CS_Short_Name CS_Site_Lon CS_Site_Lat Run_ID
ACTN -118.18378 34.4613 4296
ALIS -118.09137 34.41973 4297
ALP -118.29946 34.68708 4298
BKBU -117.72605 34.56202 4299
BRE -117.98116 33.80776 4300
BVH -118.1005 34.015 4301
CCP -118.41302 34.054886 4284
CHN -117.68044 33.99879 4302
COO -118.21639 33.89604 4286
CSDH -118.257 33.863 4303
DLA -118.09624 33.84822 4305
EMCH -118.0297 34.0709 4306
FFI -118.50862 34.33603 4307
FIL -118.912 34.39865 4308
GAVI -117.39802 33.79844 4309
GLBT -117.38252 33.95727 4310
GOPH -117.3596 33.90287 4311
GV03 -117.23294 34.27648 4312
GV05 -117.24477 34.28145 4313
HLL -118.35967 34.17643 4314
HUMC -118.2918 33.8306 4315
LADT -118.25713 34.05204 4283
LAF -118.33143 33.86889 4316
LAPD -118.125 34.557 4294
LBP -118.223 33.754944 4317
LBUT -117.83157 34.59946 4318
LBUT2 -117.81468 34.59237 4319
LGB -118.14918 33.9753 4320
LGU -119.06587 34.10819 4321
LMAT -117.40281 33.80195 4322
LPER -117.16344 33.8865 4323
MBRD -117.37745 33.962 4324
MKBD -117.38617 33.88442 4325
MOP -118.9049 34.28085 4326
MRSD -117.8811 34.1749 4327
MRVY -117.16828 33.92527 4328
NUEVO -117.15202 33.77602 4329
OLI -117.92372 33.94539 4330
OSI -118.7235 34.6145 4331
P1 -118.48887 34.3146 4332
P10 -118.20656 34.056297 4333
P11 -118.197174 34.033783 4334
P12 -118.17989 34.01185 4335
P13 -118.164375 33.99317 4336
P14 -118.27574 34.061253 4337
P15 -118.48174 34.024624 4342
P16 -118.4468 34.03183 4343
P17 -118.409584 34.03552 4344
P18 -118.35438 34.051228 4345
P19 -118.321785 34.04732 4346
P2 -118.46393 34.285625 4347
P20 -118.60878 34.23448 4348
P21 -118.58717 34.209946 4349
P22 -118.56609 34.18277 4287
P23 -118.54903 34.15379 4350
P24 -118.53032 34.123295 4351
P25 -118.49891 34.07598 4352
P3 -118.42409 34.24939 4353
P4 -118.37437 34.216213 4354
P5 -118.33417 34.191063 4355
P6 -118.30314 34.16921 4356
P7 -118.27466 34.13857 4357
P8 -118.251945 34.1073 4358
P9 -118.22514 34.08211 4359
PACI -117.97474 34.34609 4360
PACI2 -118.0498 34.3863 4361
PAS -118.17119 34.148426 4282
PBWL -117.85763 34.4131 4362
