# Station list for La Habra
# From Fabio, 07/02/20
# Swap column 1 and 3 from la_habra_v20_07_1.stl
# StationId Lon Lat Vs30(m/s) HP_Freq(Hz) LP_Freq(Hz)
CE_12919 -116.97260 33.92990 333.00 0.1250 8.0000
CE_13066 -117.95680 33.84010 288.00 0.1250 8.0000
CE_13067 -117.80940 33.78610 367.00 0.1250 8.0000
CE_13068 -117.74210 33.86330 474.00 0.1250 8.0000
CE_13069 -117.84970 33.76760 318.00 0.1250 8.0000
CE_13079 -117.44300 33.91740 305.00 0.1250 8.0000
CE_13080 -117.25190 33.96770 420.00 0.1625 8.0000
CE_13096 -117.26640 33.69890 646.00 0.1625 8.0000
CE_13098 -117.51410 33.88420 383.00 0.1250 8.0000
CE_13099 -117.59260 33.87600 420.00 0.1250 8.0000
CE_13100 -117.63550 33.87560 341.00 0.1250 8.0000
CE_13123 -117.44530 33.95060 547.00 0.1625 8.0000
CE_13160 -117.90310 33.63360 355.00 0.1250 8.0000
CE_13162 -117.71780 33.99010 348.00 0.1250 8.0000
CE_13174 -117.88970 33.98930 377.00 0.1250 8.0000
CE_13197 -117.99740 33.66230 337.00 0.1250 8.0000
CE_13215 -117.90230 33.66260 380.00 0.1250 8.0000
CE_13220 -117.75270 33.67820 350.00 0.1250 8.0000
CE_13441 -117.77520 33.65980 279.00 0.1250 8.0000
CE_13726 -117.54040 33.85560 336.00 0.1250 8.0000
CE_13849 -117.81800 33.85350 385.00 0.1250 8.0000
CE_13873 -117.89630 33.93310 423.00 0.1250 8.0000
CE_13875 -117.83350 33.77740 335.00 0.1250 8.0000
CE_13877 -117.88960 33.60540 384.00 0.1250 8.0000
CE_13878 -117.88700 33.88910 398.00 0.1250 8.0000
CE_13879 -117.95910 33.86630 299.00 0.1250 8.0000
CE_13880 -117.93110 33.90860 324.00 0.1250 8.0000
CE_13881 -117.95570 33.93150 353.00 0.1250 8.0000
CE_13882 -117.80340 33.92740 412.00 0.1250 8.0000
CE_13883 -117.85780 33.85340 300.00 0.1250 8.0000
CE_13884 -117.91780 33.76670 300.00 0.1250 8.0000
CE_13885 -117.95580 33.75710 285.00 0.1250 8.0000
CE_13886 -117.96800 33.79110 267.00 0.1250 8.0000
CE_13887 -117.96290 33.67650 302.00 0.1250 8.0000
