# CE_13890 -117.89373173 33.74203072
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0       404.7470093     156.2757874    1928.9095459  
  20.0      1163.5000000     353.4390259    2048.7165527  
  40.0      1299.9000244     409.4644470    2070.2541504  
  60.0      1312.7465820     506.7519836    2072.2827148  
  80.0      1307.7093506     543.6506348    2071.4873047  
 100.0      1310.5533447     571.6148071    2071.9362793  
 120.0      1328.6545410     625.8879395    2074.7944336  
 140.0      1366.8118896     641.1684570    2080.8195801  
 160.0      1427.5327148     607.0281982    2090.4074707  
 180.0      1511.2066650     653.1848145    2103.6196289  
 200.0      1616.2767334     689.9184570    2120.2102051  
 220.0      1668.4084473     689.9184570    2128.4416504  
 240.0      1717.4697266     720.3984375    2136.1884766  
 260.0      1763.8779297     720.3984375    2143.5163574  
 280.0      1807.9643555     720.3984375    2150.4775391  
 300.0      1849.9997559     720.3984375    2157.1149902  
 320.0      1890.2071533     872.2344360    2163.4636230  
 340.0      1928.7734375     895.3725586    2169.5532227  
 360.0      1965.8551025     917.7581177    2175.4084473  
 380.0      2001.5887451     939.4555664    2181.0507812  
 400.0      2036.0905762     960.5208130    2186.4987793  
 420.0      2069.4606934     981.0011597    2191.7678223  
 440.0      2060.2309570    1097.3740234    2220.7145996  
 460.0      2065.0090332    1101.6303711    2224.5217285  
 480.0      2069.4575195    1105.7192383    2228.2204590  
 500.0      2073.5979004    1109.6502686    2231.8173828  
 520.0      2089.4660645    1118.6409912    2235.3200684  
 540.0      2105.0649414    1127.4926758    2238.7336426  
 560.0      2120.4116211    1136.2133789    2242.0642090  
 580.0      2135.5207520    1144.8104248    2245.3166504  
 600.0      2150.4057617    1153.2902832    2248.4948730  
 620.0      2165.0786133    1161.6588135    2251.6032715  
 640.0      2179.5515137    1169.9218750    2254.6457520  
 660.0      2193.8337402    1178.0842285    2257.6252441  
 680.0      2207.9353027    1186.1505127    2260.5451660  
 700.0      2221.8649902    1194.1252441    2263.4086914  
 720.0      2235.6308594    1202.0124512    2266.2180176  
 740.0      2249.2402344    1209.8160400    2268.9755859  
 760.0      2262.7004395    1217.5391846    2271.6840820  
 780.0      2276.0178223    1225.1853027    2274.3454590  
 800.0      2289.1984863    1232.7575684    2276.9619141  
 820.0      2302.2478027    1240.2583008    2279.5349121  
 840.0      2315.1716309    1247.6909180    2282.0664062  
 860.0      2327.9741211    1255.0576172    2284.5581055  
 880.0      2340.6608887    1262.3605957    2287.0114746  
 900.0      2353.2353516    1269.6022949    2289.4279785  
 920.0      2365.7023926    1276.7846680    2291.8088379  
 940.0      2378.0654297    1283.9097900    2294.1557617  
 960.0      2390.3281250    1290.9794922    2296.4692383  
 980.0      2402.4938965    1297.9954834    2298.7509766  
1000.0      2414.5666504    1304.9597168    2301.3032227  
1020.0      2428.0700684    1313.6024170    2304.1921387  
1040.0      2441.4855957    1322.1960449    2307.0437012  
1060.0      2454.8171387    1330.7426758    2309.8588867  
1080.0      2468.0666504    1339.2436523    2312.6391602  
1100.0      2481.2353516    1347.6990967    2315.3847656  
1120.0      2494.3281250    1356.1118164    2318.0976562  
1140.0      2507.3459473    1371.8812256    2320.7783203  
1160.0      2520.2907715    1387.5512695    2323.4277344  
1180.0      2533.1652832    1403.1094971    2326.0471191  
1200.0      2545.9709473    1418.5585938    2328.6369629  
1220.0      2558.7099609    1433.9018555    2331.1979980  
1240.0      2571.3842773    1449.1414795    2333.7314453  
1260.0      2583.9951172    1464.2803955    2336.2377930  
1280.0      2596.6152344    1479.3206787    2338.7175293  
1300.0      2618.9257812    1494.2656250    2341.1718750  
1320.0      2641.0776367    1509.1162109    2343.6010742  
1340.0      2663.0751953    1523.8758545    2346.0058594  
1360.0      2684.9218750    1538.5457764    2348.3867188  
1380.0      2706.6210938    1553.1280518    2350.7443848  
1400.0      3111.2626953    1837.6655273    2413.5688477  
1420.0      3398.0754395    2044.5495605    2457.7878418  
1440.0      3492.9453125    2113.3913574    2471.6992188  
1460.0      3510.7363281    2125.7519531    2473.4399414  
1480.0      3528.4277344    2138.0446777    2475.1647949  
1500.0      3546.0261230    2150.2744141    2476.8750000  
1520.0      3558.4094238    2158.4824219    2478.5705566  
1540.0      3570.7016602    2166.6286621    2480.2519531  
1560.0      3582.9072266    2174.7163086    2481.9194336  
1580.0      3595.0258789    2182.7458496    2483.5734863  
1600.0      3607.0610352    2190.7187500    2485.2143555  
1620.0      3619.0134277    2198.6350098    2486.8417969  
1640.0      3630.8859863    2206.4980469    2488.4570312  
1660.0      3642.6796875    2214.3071289    2490.0595703  
1680.0      3654.3962402    2222.0642090    2491.6501465  
1700.0      3666.0373535    2229.7697754    2493.2285156  
1720.0      3677.6059570    2237.4267578    2494.7956543  
1740.0      3689.0991211    2245.0322266    2496.3508301  
1760.0      3700.5234375    2252.5908203    2497.8950195  
1780.0      3711.8793945    2260.1035156    2499.4287109  
1800.0      3723.1640625    2266.5617676    2500.9509277  
1820.0      3734.3835449    2272.3808594    2502.4628906  
1840.0      3745.5385742    2278.1628418    2503.9645996  
1860.0      3756.6274414    2283.9067383    2505.4560547  
1880.0      3767.6530762    2289.6137695    2506.9372559  
1900.0      3778.6179199    2295.2858887    2508.4091797  
1920.0      3789.5219727    2300.9228516    2509.8710938  
1940.0      3800.3654785    2306.5249023    2511.3237305  
1960.0      3811.1508789    2312.0935059    2512.7670898  
1980.0      3821.8789062    2317.6289062    2514.2016602  
2000.0      3832.5502930    2323.1318359    2515.6269531  
2020.0      3843.6767578    2328.8918457    2517.0432129  
2040.0      3854.7526855    2334.6228027    2518.4514160  
2060.0      3865.7731934    2340.3220215    2519.8510742  
2080.0      3876.7416992    2345.9909668    2521.2421875  
2100.0      3887.6552734    2351.6281738    2522.6247559  
2120.0      3898.5197754    2357.2368164    2523.9997559  
2140.0      3909.3352051    2362.8178711    2525.3666992  
2160.0      3920.0976562    2368.3676758    2526.7255859  
2180.0      3930.8120117    2373.8898926    2528.0766602  
2200.0      3941.4816895    2379.3864746    2529.4208984  
2220.0      3952.1022949    2384.8544922    2530.7570801  
2240.0      3962.6762695    2390.2956543    2532.0861816  
2260.0      3973.2045898    2395.7106934    2533.4079590  
2280.0      3983.6877441    2401.0993652    2534.7226562  
2300.0      3994.1281738    2406.4633789    2536.0305176  
2320.0      4004.5214844    2411.8005371    2537.3308105  
2340.0      4014.8735352    2417.1135254    2538.6250000  
2360.0      4025.1833496    2422.4020996    2539.9121094  
2380.0      4035.4509277    2427.6665039    2541.1928711  
2400.0      4045.6772461    2432.9069824    2542.4667969  
2420.0      4055.8632812    2438.1242676    2543.7346191  
2440.0      4066.0092773    2443.3183594    2544.9960938  
2460.0      4076.1154785    2448.4895020    2546.2509766  
2480.0      4086.1818848    2453.6376953    2547.5000000  
2500.0      4096.2089844    2458.7629395    2548.7426758  
2520.0      4099.8974609    2458.0900879    2549.9799805  
2540.0      4103.5434570    2457.3928223    2551.2106934  
2560.0      4107.1542969    2456.6750488    2552.4360352  
2580.0      4110.7285156    2455.9362793    2553.6552734  
2600.0      4114.2666016    2455.1765137    2554.8691406  
2620.0      4117.7695312    2454.3964844    2556.0771484  
2640.0      4121.2368164    2453.5959473    2557.2797852  
2660.0      4124.6699219    2452.7753906    2558.4768066  
2680.0      4128.0698242    2451.9360352    2559.6687012  
2700.0      4131.4340820    2451.0759277    2560.8549805  
2720.0      4134.7666016    2450.1975098    2562.0361328  
2740.0      4138.0649414    2449.2993164    2563.2121582  
2760.0      4141.3320312    2448.3833008    2564.3830566  
2780.0      4144.5664062    2447.4482422    2565.5488281  
2800.0      4147.7695312    2446.4951172    2566.7094727  
2820.0      4150.9409180    2445.5234375    2567.8652344  
2840.0      4154.0810547    2444.5341797    2569.0161133  
2860.0      4157.1904297    2443.5268555    2570.1621094  
2880.0      4160.2705078    2442.5026855    2571.3037109  
2900.0      4163.3203125    2441.4611816    2572.4401855  
2920.0      4166.3408203    2440.4025879    2573.5722656  
2940.0      4169.3310547    2439.3266602    2574.6994629  
2960.0      4172.2934570    2438.2343750    2575.8222656  
2980.0      4175.2270508    2437.1257324    2576.9404297  
3000.0      4178.1328125    2436.0007324    2578.0541992  
3020.0      4179.5043945    2432.6997070    2579.1635742  
3040.0      4180.8476562    2429.3828125    2580.2685547  
3060.0      4182.1640625    2426.0500488    2581.3693848  
3080.0      4183.4531250    2422.7016602    2582.4658203  
3100.0      4184.7163086    2419.3378906    2583.5581055  
3120.0      4185.9550781    2415.9602051    2584.6464844  
3140.0      4187.1635742    2412.5654297    2585.7302246  
3160.0      4188.3476562    2409.1560059    2586.8100586  
3180.0      4189.5063477    2405.7321777    2587.8857422  
3200.0      4190.6396484    2402.2939453    2588.9575195  
3220.0      4191.7480469    2398.8408203    2590.0253906  
