# CE_13885 -117.95579182 33.75705533
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0       393.7337646     165.1857910    1927.1705322  
  20.0      1337.1624756     355.7490234    2076.1379395  
  40.0      1528.9365234     458.1394653    2106.4191895  
  60.0      1311.2485352     482.2000122    2072.0461426  
  80.0      1298.7935791     526.3900146    2070.0795898  
 100.0      1287.1757812     559.8800049    2068.2451172  
 120.0      1283.4519043     584.2700195    2067.6569824  
 140.0      1292.6417236     602.5700073    2069.1081543  
 160.0      1317.9460449     547.8998413    2073.1037598  
 180.0      1360.8555908     570.8688354    2079.8791504  
 200.0      1421.2578125     603.6013184    2089.4165039  
 220.0      1467.0540771     628.7229614    2096.6479492  
 240.0      1510.1558838     652.5998535    2103.4536133  
 260.0      1550.9288330     675.3906860    2109.8916016  
 280.0      1589.6634521     681.7999878    2116.0078125  
 300.0      1626.5974121     681.7999878    2121.8398438  
 320.0      1661.9261475     738.4088745    2127.4182129  
 340.0      1695.8135986     757.9238892    2132.7690430  
 360.0      1728.3980713     776.8067627    2137.9140625  
 380.0      1759.7980957     795.1111450    2142.8720703  
 400.0      1790.1165771     812.8843994    2147.6594238  
 420.0      1819.4406738     830.1662598    2152.2897949  
 440.0      1847.8491211     846.9929199    2156.7753906  
 460.0      1875.4099121     863.3961182    2161.1271973  
 480.0      1902.1835938     879.4039917    2165.3547363  
 500.0      1928.2239990     895.0419312    2169.4665527  
 520.0      1953.5788574     910.3324585    2173.4702148  
 540.0      1978.2934570     925.2967529    2177.3725586  
 560.0      2002.4056396     939.9531860    2181.1799316  
 580.0      2025.9492188     954.3173828    2184.8974609  
 600.0      2048.9592285     968.4064941    2188.5307617  
 620.0      2071.4628906     982.2333374    2192.0839844  
 640.0      2093.4885254     995.8118286    2195.5617676  
 660.0      2052.9716797    1070.8348389    2222.3256836  
 680.0      2066.6218262    1078.4169922    2224.8918457  
 700.0      2080.1208496    1085.9222412    2227.4084473  
 720.0      2093.4765625    1093.3541260    2229.8776855  
 740.0      2106.6940918    1100.7152100    2232.3012695  
 760.0      2119.7805176    1108.0089111    2234.6816406  
 780.0      2132.7421875    1115.2379150    2237.0207520  
 800.0      2145.5830078    1122.4046631    2239.3200684  
 820.0      2158.3085938    1129.5114746    2241.5815430  
 840.0      2170.9235840    1136.5609131    2243.8066406  
 860.0      2183.4328613    1143.5550537    2245.9965820  
 880.0      2195.8398438    1150.4953613    2248.1528320  
 900.0      2208.1481934    1157.3843994    2250.2768555  
 920.0      2220.3623047    1164.2236328    2252.3696289  
 940.0      2232.4846191    1171.0145264    2254.4321289  
 960.0      2244.5190430    1177.7589111    2256.4655762  
 980.0      2256.4685059    1184.4581299    2258.4709473  
1000.0      2268.3356934    1191.1137695    2260.4497070  
1020.0      2280.4497070    1198.7735596    2262.4016113  
1040.0      2292.4863281    1206.3922119    2264.3283691  
1060.0      2304.4492188    1213.9714355    2266.2307129  
1080.0      2316.3398438    1221.5117188    2268.1093750  
1100.0      2328.1601562    1229.0146484    2269.9648438  
1120.0      2339.9130859    1236.4808350    2271.7978516  
