# CI_BBS -116.98054153 33.92142820
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0      3131.1850586    1640.2365723    2620.6855469  
  20.0      3130.7397461    1639.9118652    2620.6855469  
  40.0      3130.2944336    1639.5871582    2620.6855469  
  60.0      3129.8493652    1639.2624512    2620.6855469  
  80.0      3129.4042969    1638.9378662    2620.6855469  
 100.0      3128.9589844    1638.6132812    2620.6855469  
 120.0      3128.5136719    1638.2885742    2620.6855469  
 140.0      3128.0683594    1637.9638672    2620.6855469  
 160.0      3127.6230469    1637.6391602    2620.6855469  
 180.0      3127.1779785    1637.3145752    2620.6855469  
 200.0      3126.7329102    1636.9899902    2620.6855469  
 220.0      3126.2875977    1636.6652832    2620.6855469  
 240.0      3125.8422852    1636.3405762    2620.6855469  
 260.0      3125.3969727    1636.0159912    2620.6855469  
 280.0      3124.9516602    1635.6914062    2620.6855469  
 300.0      3124.5065918    1635.3666992    2620.6855469  
 320.0      3124.0615234    1635.0419922    2620.6855469  
 340.0      3123.6162109    1634.7172852    2620.6855469  
 360.0      3123.1708984    1634.3927002    2620.6855469  
 380.0      3122.7255859    1634.0681152    2620.6855469  
 400.0      3122.2802734    1633.7434082    2620.6855469  
 420.0      3121.8352051    1633.4187012    2620.6855469  
 440.0      3121.3901367    1633.0939941    2620.6855469  
 460.0      3120.9448242    1632.7694092    2620.6855469  
 480.0      3120.4995117    1632.4448242    2620.6855469  
 500.0      3120.0541992    1632.1201172    2620.6855469  
 520.0      3131.0466309    1640.5488281    2620.6855469  
 540.0      3142.0390625    1648.9774170    2620.6855469  
 560.0      3153.0312500    1657.4060059    2620.6855469  
 580.0      3164.0236816    1665.8347168    2620.6855469  
 600.0      3175.0161133    1674.2634277    2620.6855469  
 620.0      3186.0083008    1682.6920166    2620.6855469  
 640.0      3197.0007324    1691.1207275    2620.6855469  
 660.0      3207.9931641    1699.5493164    2620.6855469  
 680.0      3218.9853516    1707.9780273    2620.6855469  
 700.0      3229.9780273    1716.4067383    2620.6855469  
 720.0      3240.9702148    1724.8353271    2620.6855469  
 740.0      3251.9624023    1733.2639160    2620.6855469  
 760.0      3262.9550781    1741.6926270    2620.6855469  
 780.0      3273.9472656    1750.1213379    2620.6855469  
 800.0      3284.9396973    1758.5499268    2620.6855469  
 820.0      3295.9321289    1766.9785156    2620.6855469  
 840.0      3306.9243164    1775.4072266    2620.6855469  
 860.0      3317.9167480    1783.8359375    2620.6855469  
 880.0      3328.9091797    1792.2645264    2620.6855469  
 900.0      3339.9013672    1800.6931152    2620.6855469  
 920.0      3350.8937988    1809.1218262    2620.6855469  
 940.0      3361.8862305    1817.5505371    2620.6855469  
 960.0      3372.8784180    1825.9792480    2620.6855469  
 980.0      3383.8708496    1834.4078369    2620.6855469  
1000.0      3394.9282227    1842.8662109    2620.6958008  
1020.0      3411.6511230    1854.4660645    2621.5336914  
1040.0      3428.3750000    1866.0662842    2622.3715820  
1060.0      3445.0976562    1877.6662598    2623.2094727  
1080.0      3461.8208008    1889.2666016    2624.0471191  
1100.0      3478.5439453    1900.8666992    2624.8850098  
1120.0      3495.2673340    1912.4666748    2625.7229004  
1140.0      3511.9907227    1924.0668945    2626.5605469  
1160.0      3528.7141113    1935.6669922    2627.3984375  
1180.0      3545.4375000    1947.2669678    2628.2363281  
1200.0      3562.1606445    1958.8671875    2629.0742188  
1220.0      3578.8837891    1970.4672852    2629.9121094  
1240.0      3595.6069336    1982.0672607    2630.7497559  
1260.0      3612.3303223    1993.6674805    2631.5876465  
1280.0      3629.0537109    2005.2675781    2632.4255371  
1300.0      3645.7766113    2016.8674316    2633.2631836  
1320.0      3662.5000000    2028.4674072    2634.1010742  
1340.0      3679.2231445    2040.0678711    2634.9389648  
1360.0      3695.9467773    2051.6679688    2635.7768555  
1380.0      3712.6694336    2063.2680664    2636.6145020  
1400.0      3729.3928223    2074.8679199    2637.4523926  
1420.0      3746.1162109    2086.4680176    2638.2902832  
1440.0      3762.8395996    2098.0683594    2639.1279297  
1460.0      3779.5629883    2109.6684570    2639.9658203  
1480.0      3796.2861328    2121.2683105    2640.8037109  
1500.0      3813.0092773    2132.8686523    2641.6416016  
1520.0      3825.1723633    2140.1638184    2642.4792480  
1540.0      3837.3369141    2147.4589844    2643.3171387  
1560.0      3849.5004883    2154.7541504    2644.1550293  
1580.0      3861.6650391    2162.0495605    2644.9929199  
1600.0      3873.8283691    2169.3447266    2645.8305664  
1620.0      3885.9921875    2176.6401367    2646.6684570  
1640.0      3898.1562500    2183.9353027    2647.5063477  
1660.0      3910.3203125    2191.2307129    2648.3442383  
1680.0      3922.4836426    2198.5258789    2649.1818848  
1700.0      3934.6474609    2205.8212891    2650.0197754  
1720.0      3946.8120117    2213.1164551    2650.8576660  
1740.0      3958.9755859    2220.4118652    2651.6953125  
1760.0      3971.1389160    2227.7070312    2652.5332031  
