# CI_FUL -117.92248286 33.87167220
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0       664.0699463     235.7699890    1969.8566895  
  20.0      1391.6860352     421.8599854    2084.7473145  
  40.0      1661.5500488     548.0000000    2127.3588867  
  60.0      1630.0786133     588.0000000    2122.3894043  
  80.0      1611.0258789     588.0000000    2119.3811035  
 100.0      1574.5610352     603.4699707    2113.6232910  
 120.0      1530.9993896     627.8599854    2106.7448730  
 140.0      1488.7346191     646.1400146    2100.0712891  
 160.0      1454.4160156     621.7645874    2094.6523438  
 180.0      1432.9514160     609.9912109    2091.2629395  
 200.0      1427.4932861     607.0065918    2090.4011230  
 220.0      1473.4901123     632.2739258    2097.6640625  
 240.0      1516.7824707     656.2905273    2104.5000000  
 260.0      1557.7364502     679.2150269    2110.9665527  
 280.0      1596.6425781     701.1743164    2117.1098633  
 300.0      1633.7406006     722.2744751    2122.9677734  
 320.0      1669.2252197     742.6015625    2128.5708008  
 340.0      1703.2624512     762.2302856    2133.9450684  
 360.0      1735.9909668     781.2233276    2139.1130371  
 380.0      1767.5291748     799.6340942    2144.0927734  
 400.0      1797.9819336     817.5109863    2148.9013672  
 420.0      1827.4355469     834.8931885    2153.5520020  
 440.0      1855.9702148     851.8181763    2158.0576172  
 460.0      1883.6520996     868.3165283    2162.4287109  
 480.0      1910.5441895     884.4173584    2166.6748047  
 500.0      1936.6997070     900.1463623    2170.8049316  
 520.0      1962.1671143     915.5257568    2174.8261719  
 540.0      1986.9902344     930.5767212    2178.7458496  
 560.0      2011.2081299     945.3175049    2182.5698242  
 580.0      2034.8569336     959.7655640    2186.3039551  
 600.0      2057.9672852     973.9356689    2189.9531250  
 620.0      2080.5705566     987.8426514    2193.5219727  
 640.0      2170.0820312    1111.4790039    2220.8244629  
 660.0      2181.9289551    1119.5960693    2223.4545898  
 680.0      2193.6164551    1127.6319580    2226.0322266  
 700.0      2205.1523438    1135.5905762    2228.5598145  
 720.0      2216.5434570    1143.4749756    2231.0397949  
 740.0      2227.7961426    1151.2883301    2233.4741211  
 760.0      2238.9179688    1159.0344238    2235.8652344  
 780.0      2249.9133301    1166.7148438    2238.2145996  
 800.0      2260.7880859    1174.3328857    2240.5244141  
 820.0      2271.5468750    1181.8905029    2242.7956543  
 840.0      2282.1948242    1189.3903809    2245.0302734  
 860.0      2292.7358398    1196.8347168    2247.2299805  
 880.0      2303.1743164    1204.2249756    2249.3959961  
 900.0      2313.5144043    1211.5634766    2251.5290527  
 920.0      2323.7592773    1218.8520508    2253.6311035  
 940.0      2333.9118652    1226.0915527    2255.7026367  
 960.0      2343.9768066    1233.2849121    2257.7451172  
 980.0      2353.9558105    1240.4326172    2259.7595215  
1000.0      2363.8525391    1247.5364990    2261.7465820  
1020.0      2374.5136719    1255.7863770    2263.7072754  
1040.0      2385.0981445    1263.9956055    2265.6428223  
1060.0      2395.6076660    1272.1644287    2267.5532227  
1080.0      2406.0449219    1280.2945557    2269.4401855  
1100.0      2416.4111328    1288.3865967    2271.3039551  
1120.0      2426.7099609    1296.4420166    2273.1450195  
1140.0      2436.9428711    1304.4619141    2274.9645996  
1160.0      2447.1115723    1312.4470215    2276.7629395  
1180.0      2457.2177734    1320.3983154    2278.5407715  
1200.0      2467.2631836    1328.3164062    2280.2980957  
1220.0      2477.2495117    1336.2028809    2282.0366211  
1240.0      2487.1799316    1344.0583496    2283.7563477  
1260.0      2497.0534668    1351.8828125    2285.4572754  
1280.0      2506.8728027    1359.6774902    2287.1403809  
1300.0      2516.6389160    1367.4431152    2288.8059082  
1320.0      2526.3549805    1375.1811523    2290.4550781  
1340.0      2536.0190430    1382.8907471    2292.0871582  
1360.0      2545.6354980    1390.5736084    2293.7031250  
1380.0      2555.2031250    1398.2299805    2295.3032227  
1400.0      2564.7243652    1405.8605957    2296.8881836  
1420.0      2574.2004395    1413.4660645    2298.4580078  
1440.0      2583.6315918    1421.0466309    2300.0170898  
1460.0      2593.0195312    1428.6032715    2302.0214844  
1480.0      2602.3647461    1436.1362305    2304.0073242  
1500.0      2611.6687012    1443.6458740    2305.9755859  
1520.0      2619.7673340    1448.9016113    2307.9262695  
1540.0      2627.8269043    1454.1351318    2309.8601074  
1560.0      2635.8471680    1459.3468018    2311.7770996  
1580.0      2643.8295898    1464.5372314    2313.6779785  
1600.0      2651.7744141    1469.7066650    2315.5627441  
1620.0      2659.6831055    1474.8554688    2317.4316406  
1640.0      2667.5563965    1483.2539062    2319.2856445  
1660.0      2675.3942871    1493.4514160    2321.1245117  
1680.0      2683.1979980    1503.5948486    2322.9487305  
1700.0      2690.9677734    1513.6848145    2324.7583008  
1720.0      2698.7048340    1523.7225342    2326.5537109  
1740.0      2706.4094238    1533.7091064    2328.3354492  
1760.0      2714.0825195    1543.6456299    2330.1037598  
1780.0      2721.7246094    1553.5319824    2331.8583984  
1800.0      2729.3361816    1563.3702393    2333.6000977  
1820.0      2736.9177246    1573.1602783    2335.3288574  
1840.0      2744.4694824    1582.9034424    2337.0451660  
1860.0      2752.1884766    1592.6002197    2338.7490234  
1880.0      2766.4526367    1602.2515869    2340.4406738  
1900.0      2780.6416016    1611.8586426    2342.1203613  
1920.0      2794.7553711    1621.4212646    2343.7883301  
1940.0      2808.7963867    1630.9404297    2345.4445801  
1960.0      2822.7648926    1640.4173584    2347.0895996  
1980.0      2836.6635742    1649.8522949    2348.7236328  
2000.0      2850.4929199    1659.2463379    2350.3466797  
2020.0      2865.5944824    1669.3009033    2351.9587402  
2040.0      2880.6281738    1679.3151855    2353.5603027  
2060.0      2895.5959473    1689.2902832    2355.1513672  
2080.0      2910.4990234    1699.2268066    2356.7324219  
2100.0      2925.3376465    1709.1245117    2358.3029785  
2120.0      2940.1137695    1718.9851074    2359.8637695  
2140.0      2954.8276367    1728.8083496    2361.4147949  
2160.0      2969.4804688    1738.5953369    2362.9562988  
2180.0      2984.0734863    1748.3463135    2364.4882812  
2200.0      2998.6086426    1758.0623779    2366.0109863  
2220.0      3013.0834961    1767.7423096    2367.5244141  
2240.0      3027.5024414    1777.3885498    2369.0288086  
2260.0      3041.8630371    1786.9993896    2370.5239258  
2280.0      3056.1689453    1796.5775146    2372.0104980  
2300.0      3070.4199219    1806.1225586    2373.4885254  
2320.0      3084.6169434    1815.6348877    2374.9580078  
2340.0      3098.7607422    1825.1151123    2376.4189453  
2360.0      3112.8525391    1834.5638428    2377.8715820  
2380.0      3126.8906250    1843.9799805    2379.3159180  
2400.0      3140.8784180    1853.3657227    2380.7524414  
2420.0      3154.8166504    1862.7213135    2382.1809082  
2440.0      3168.7045898    1872.0465088    2383.6015625  
2460.0      3182.5437012    1881.3417969    2385.0144043  
2480.0      3196.3344727    1890.6076660    2386.4196777  
2500.0      3210.0773926    1899.8446045    2387.8173828  
2520.0      3218.2658691    1903.2534180    2389.2077637  
2540.0      3226.4072266    1906.6333008    2390.5905762  
2560.0      3234.5026855    1909.9855957    2391.9663086  
2580.0      3242.5532227    1913.3103027    2393.3349609  
2600.0      3250.5590820    1916.6074219    2394.6962891  
2620.0      3258.5207520    1919.8775635    2396.0507812  
2640.0      3266.4387207    1923.1209717    2397.3984375  
2660.0      3274.3142090    1926.3383789    2398.7395020  
2680.0      3282.1474609    1929.5297852    2400.0737305  
2700.0      3289.9377441    1932.6948242    2401.4011230  
2720.0      3297.6872559    1935.8347168    2402.7221680  
2740.0      3305.3957520    1938.9494629    2404.0366211  
2760.0      3313.0642090    1942.0395508    2405.3449707  
2780.0      3320.6916504    1945.1044922    2406.6467285  
2800.0      3328.2807617    1948.1456299    2407.9423828  
2820.0      3335.8308105    1951.1627197    2409.2319336  
2840.0      3343.3417969    1954.1556396    2410.5153809  
2860.0      3350.8146973    1957.1247559    2411.7927246  
2880.0      3358.2504883    1960.0711670    2413.0642090  
2900.0      3365.6489258    1962.9943848    2414.3295898  
2920.0      3377.8432617    1969.3591309    2416.3525391  
2940.0      3423.7639160    1999.9694824    2423.7006836  
2960.0      3467.3410645    2029.0058594    2430.6789551  
2980.0      3508.8476562    2056.6474609    2437.3303223  
3000.0      3548.5112305    2083.0449219    2443.6906738  
3020.0      3579.9777832    2101.2280273    2449.7900391  
3040.0      3609.9536133    2118.4003906    2455.6542969  
3060.0      3638.5788574    2134.6542969    2461.3051758  
3080.0      3665.9726562    2150.0690918    2466.7617188  
3100.0      3692.2365723    2164.7128906    2472.0397949  
3120.0      3717.4665527    2178.6501465    2477.1547852  
3140.0      3741.7380371    2191.9304199    2482.1181641  
3160.0      3765.1223145    2204.6025391    2486.9414062  
3180.0      3787.6813965    2216.7077637    2491.6345215  
3200.0      3809.4748535    2228.2861328    2496.2067871  
3220.0      3830.5515137    2238.6665039    2500.6657715  
3240.0      3850.9545898    2244.6694336    2505.0183105  
3260.0      3870.7268066    2250.3083496    2509.2714844  
3280.0      3889.9057617    2255.6047363    2513.4306641  
3300.0      3908.5236816    2260.5771484    2517.5014648  
3320.0      3926.6135254    2265.2446289    2521.4890137  
3340.0      3944.2021484    2269.6230469    2525.3972168  
3360.0      3961.3161621    2273.7268066    2529.2304688  
3380.0      3977.9787598    2277.5703125    2532.9924316  
