# CI_LBW1 -118.08836293 33.79810181
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0       404.7470093     160.4799957    1928.9095459  
  20.0      1163.5000000     377.9299927    2048.7165527  
  40.0      1299.9000244     416.6700134    2070.2541504  
  60.0      1311.1995850     482.2000122    2072.0383301  
  80.0      1298.5021973     526.3900146    2070.0334473  
 100.0      1286.4112549     559.8800049    2068.1242676  
 120.0      1281.9732666     584.2700195    2067.4235840  
 140.0      1290.2152100     602.5700073    2068.7250977  
 160.0      1314.3598633     545.9910278    2072.5373535  
 180.0      1355.9348145     568.2225952    2079.1020508  
 200.0      1414.8739014     600.1202393    2088.4086914  
 220.0      1460.4621582     625.0910034    2095.6069336  
 240.0      1503.3688965     648.8251953    2102.3818359  
 260.0      1543.9567871     671.4796143    2108.7907715  
 280.0      1582.5159912     681.7999878    2114.8793945  
 300.0      1619.2824707     681.7999878    2120.6848145  
 320.0      1654.4511719     734.1212158    2126.2377930  
 340.0      1688.1851807     753.5198364    2131.5644531  
 360.0      1720.6220703     772.2900391    2136.6862793  
 380.0      1751.8802490     790.4855957    2141.6218262  
 400.0      1782.0607910     808.1526489    2146.3874512  
 420.0      1811.2525635     825.3316040    2150.9968262  
 440.0      1839.5325928     842.0582275    2155.4621582  
 460.0      1866.9686279     858.3640747    2159.7944336  
 480.0      1893.6212158     874.2770386    2164.0029297  
 500.0      1919.5440674     889.8220215    2168.0959473  
 520.0      1944.7849121     905.0219727    2172.0815430  
 540.0      1969.3870850     919.8973389    2175.9663086  
 560.0      1993.3895264     934.4664307    2179.7563477  
 580.0      2016.8278809     948.7460327    2183.4570312  
 600.0      2039.7335205     962.7515259    2187.0739746  
 620.0      2062.1354980     976.4966431    2190.6113281  
 640.0      2084.0612793     989.9945679    2194.0732422  
 660.0      1967.3983154    1006.3284912    2221.1696777  
 680.0      1981.6093750    1014.5228271    2223.7241211  
 700.0      1995.6701660    1022.6407471    2226.2292480  
 720.0      2009.5876465    1030.6854248    2228.6872559  
 740.0      2023.3686523    1038.6602783    2231.1000977  
 760.0      2037.0187988    1046.5678711    2233.4697266  
 780.0      2050.5439453    1054.4108887    2235.7980957  
 800.0      2063.9497070    1062.1923828    2238.0871582  
 820.0      2077.2404785    1069.9143066    2240.3386230  
 840.0      2090.4213867    1077.5793457    2242.5534668  
 860.0      2103.4965820    1085.1888428    2244.7333984  
 880.0      2116.4699707    1092.7454834    2246.8801270  
 900.0      2129.3457031    1100.2506104    2248.9943848  
 920.0      2142.1267090    1107.7062988    2251.0773926  
 940.0      2154.8173828    1115.1145020    2253.1308594  
 960.0      2167.4201660    1122.4759521    2255.1550293  
 980.0      2179.9382324    1129.7927246    2257.1516113  
1000.0      2192.3745117    1137.0662842    2259.1210938  
1020.0      2204.7541504    1145.6223145    2261.0642090  
1040.0      2217.0571289    1154.1378174    2262.9824219  
1060.0      2229.2863770    1162.6140137    2264.8762207  
1080.0      2241.4433594    1171.0515137    2266.7460938  
1100.0      2253.5307617    1179.4514160    2268.5935059  
1120.0      2265.5512695    1187.8155518    2270.4184570  
1140.0      2277.5058594    1196.1440430    2272.2214355  
1160.0      2289.3969727    1204.4385986    2274.0039062  
1180.0      2301.2265625    1212.6995850    2275.7658691  
1200.0      2312.9956055    1220.9278564    2277.5078125  
1220.0      2324.7065430    1229.1247559    2279.2309570  
1240.0      2336.3608398    1237.2905273    2280.9350586  
1260.0      2347.9597168    1245.4261475    2282.6208496  
1280.0      2359.5048828    1253.5327148    2284.2893066  
1300.0      2370.9975586    1261.6103516    2285.9401855  
1320.0      2382.4389648    1269.6600342    2287.5742188  
1340.0      2393.8312988    1277.6824951    2289.1921387  
1360.0      2405.1743164    1285.6782227    2290.7937012  
1380.0      2416.4704590    1293.6478271    2292.3796387  
1400.0      2427.7199707    1301.5920410    2293.9504395  
1420.0      2438.9245605    1309.5111084    2295.5063477  
1440.0      2450.0849609    1317.4057617    2297.0478516  
1460.0      2461.2021484    1325.2766113    2298.5749512  
1480.0      2472.2773438    1333.1242676    2300.1147461  
1500.0      2483.3120117    1340.9488525    2302.0654297  
1520.0      2494.6889648    1348.4197998    2303.9987793  
1540.0      2506.0273438    1355.8691406    2305.9155273  
1560.0      2517.3269043    1363.2967529    2307.8154297  
1580.0      2528.5891113    1370.7033691    2309.6994629  
1600.0      2539.8144531    1378.0891113    2311.5673828  
1620.0      2551.0029297    1385.4547119    2313.4199219  
1640.0      2562.1569824    1392.8006592    2315.2573242  
1660.0      2573.2758789    1400.1268311    2317.0798340  
1680.0      2584.3605957    1409.6026611    2318.8876953  
1700.0      2595.4121094    1421.8532715    2320.6813965  
1720.0      2606.4309082    1434.0517578    2322.4609375  
1740.0      2617.4179688    1446.2001953    2324.2270508  
1760.0      2628.3735352    1458.2982178    2325.9792480  
1780.0      2639.2980957    1470.3476562    2327.7185059  
1800.0      2650.1923828    1482.3486328    2329.4445801  
1820.0      2661.0571289    1494.3031006    2331.1582031  
1840.0      2671.8925781    1506.2105713    2332.8591309  
1860.0      2682.6997070    1518.0723877    2334.5478516  
1880.0      2693.4782715    1529.8889160    2336.2243652  
1900.0      2704.2294922    1541.6619873    2337.8891602  
1920.0      2718.3247070    1553.3916016    2339.5424805  
1940.0      2735.5913086    1565.0777588    2341.1840820  
1960.0      2752.7866211    1576.7220459    2342.8144531  
1980.0      2769.9125977    1588.3251953    2344.4338379  
2000.0      2786.9694824    1599.8876953    2346.0424805  
2020.0      2806.0319824    1613.1544189    2347.6403809  
2040.0      2825.0275879    1626.3814697    2349.2275391  
2060.0      2843.9577637    1639.5698242    2350.8046875  
2080.0      2862.8237305    1652.7198486    2352.3715820  
2100.0      2881.6259766    1665.8317871    2353.9282227  
2120.0      2900.3659668    1678.9069824    2355.4753418  
2140.0      2919.0446777    1691.9455566    2357.0126953  
2160.0      2937.6628418    1704.9475098    2358.5402832  
2180.0      2956.2214355    1717.9141846    2360.0585938  
2200.0      2974.7214355    1730.8455811    2361.5676270  
2220.0      2993.1640625    1743.7429199    2363.0676270  
2240.0      3011.5488281    1756.6054688    2364.5585938  
2260.0      3029.8784180    1769.4346924    2366.0407715  
2280.0      3048.1528320    1782.2308350    2367.5141602  
2300.0      3066.3725586    1794.9938965    2368.9790039  
2320.0      3084.5397949    1807.7258301    2370.4355469  
2340.0      3102.6528320    1820.4246826    2371.8835449  
2360.0      3120.7141113    1833.0924072    2373.3232422  
2380.0      3138.7238770    1845.7290039    2374.7548828  
2400.0      3156.6828613    1858.3348389    2376.1784668  
2420.0      3174.5917969    1870.9104004    2377.5942383  
2440.0      3192.4511719    1883.4559326    2379.0021973  
2460.0      3210.2626953    1895.9727783    2380.4025879  
2480.0      3228.0270996    1908.4606934    2381.7954102  
2500.0      3245.7431641    1920.9193115    2383.1806641  
2520.0      3260.5959473    1929.5612793    2384.5585938  
