# CI_LLS -117.94308544 33.68441065
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0       388.0412598     161.7757874    1926.2717285  
  20.0      1278.0925293     357.0277710    2066.8107910  
  40.0      1430.9265137     440.2369385    2090.9433594  
  60.0      1312.3878174     482.2000122    2072.2260742  
  80.0      1305.5751953     526.3900146    2071.1503906  
 100.0      1304.9591064     559.8800049    2071.0529785  
 120.0      1317.8395996     584.2700195    2073.0869141  
 140.0      1349.0689697     602.5700073    2078.0180664  
 160.0      1401.3203125     592.7461548    2086.2685547  
 180.0      1475.2457275     623.8900146    2097.9414062  
 200.0      1569.6358643     651.3200073    2112.8454590  
 220.0      1620.2546387     651.3200073    2120.8381348  
 240.0      1667.8925781     681.7999878    2128.3603516  
 260.0      1712.9553223     681.7999878    2135.4755859  
 280.0      1755.7639160     681.7999878    2142.2351074  
 300.0      1796.5808105     681.7999878    2148.6801758  
 320.0      1835.6235352     839.7413330    2154.8449707  
 340.0      1873.0717773     862.0014648    2160.7580566  
 360.0      1909.0791016     883.5385742    2166.4436035  
 380.0      1943.7775879     904.4141235    2171.9223633  
 400.0      1977.2799072     924.6818237    2177.2124023  
 420.0      2009.6831055     944.3876953    2182.3291016  
 440.0      2041.0750732     963.5732422    2187.2856445  
 460.0      2071.5290527     982.2740479    2192.0944824  
 480.0      1936.4116211    1018.7349854    2220.6325684  
 500.0      1936.5249023    1019.9966431    2224.1257324  
 520.0      1952.0721436    1027.8266602    2227.5268555  
 540.0      1967.3583984    1035.5230713    2230.8417969  
 560.0      1982.3996582    1043.0937500    2234.0756836  
 580.0      1997.2099609    1050.5455322    2237.2338867  
 600.0      2011.8024902    1057.8841553    2240.3200684  
 620.0      2026.1898193    1065.1165771    2243.3386230  
 640.0      2040.3818359    1072.2470703    2246.2929688  
 660.0      2054.3896484    1079.2807617    2249.1862793  
 680.0      2068.2216797    1086.2222900    2252.0217285  
 700.0      2081.8869629    1093.0760498    2254.8022461  
 720.0      2095.3930664    1099.8454590    2257.5302734  
 740.0      2108.7478027    1106.5346680    2260.2084961  
 760.0      2121.9567871    1113.1459961    2262.8381348  
 780.0      2135.0273438    1119.6835938    2265.4226074  
 800.0      2147.9655762    1126.1503906    2267.9633789  
 820.0      2160.7758789    1132.5483398    2270.4619141  
 840.0      2173.4641113    1138.8807373    2272.9201660  
 860.0      2186.0351562    1145.1495361    2275.3398438  
 880.0      2198.4931641    1151.3571777    2277.7221680  
 900.0      2210.8427734    1157.5061035    2280.0688477  
 920.0      2223.0876465    1163.5979004    2282.3808594  
 940.0      2235.2312012    1169.6346436    2284.6596680  
 960.0      2247.2780762    1175.6181641    2286.9062500  
 980.0      2259.2304688    1181.5500488    2289.1220703  
1000.0      2271.0925293    1187.4321289    2291.3076172  
1020.0      2283.7084961    1193.9970703    2293.4648438  
1040.0      2296.2392578    1200.5147705    2295.5935059  
1060.0      2308.6879883    1206.9871826    2297.6953125  
1080.0      2321.0571289    1213.4152832    2299.7707520  
1100.0      2333.3488770    1219.8005371    2302.3681641  
1120.0      2345.5659180    1226.1440430    2305.0024414  
1140.0      2357.7099609    1232.4470215    2307.6054688  
1160.0      2369.7839355    1238.7105713    2310.1784668  
1180.0      2381.7890625    1244.9357910    2312.7219238  
1200.0      2393.7275391    1251.1235352    2315.2368164  
1220.0      2405.6013184    1257.2746582    2317.7241211  
1240.0      2417.4121094    1269.1450195    2320.1840820  
1260.0      2429.1618652    1281.9665527    2322.6179199  
1280.0      2440.8515625    1294.6933594    2325.0261230  
1300.0      2452.4829102    1307.3277588    2327.4094238  
1320.0      2464.0578613    1319.8720703    2329.7683105  
1340.0      2475.5771484    1332.3275146    2332.1032715  
1360.0      2487.0424805    1344.6981201    2334.4155273  
1380.0      2498.4558105    1356.9838867    2336.7048340  
1400.0      2510.9079590    1369.1883545    2338.9724121  
1420.0      2531.2072754    1381.3123779    2341.2185059  
1440.0      2551.3735352    1393.3571777    2343.4433594  
1460.0      2571.4101562    1405.3256836    2345.6479492  
1480.0      2591.3198242    1417.2191162    2347.8325195  
1500.0      2611.1057129    1429.0388184    2349.9975586  
1520.0      2626.1867676    1438.5836182    2352.1430664  
1540.0      2641.1489258    1448.0578613    2354.2702637  
1560.0      2655.9951172    1457.4626465    2356.3789062  
1580.0      2670.7277832    1466.7996826    2358.4694824  
1600.0      2685.3491211    1476.0704346    2360.5427246  
1620.0      2699.8613281    1485.2755127    2362.5986328  
1640.0      2714.2675781    1494.4171143    2364.6376953  
1660.0      2766.3110352    1529.9085693    2372.6198730  
1680.0      2838.6364746    1579.8457031    2383.8046875  
1700.0      2905.3859863    1626.1250000    2394.1088867  
1720.0      2967.5483398    1669.3812256    2403.6884766  
1740.0      3025.8698730    1710.0975342    2412.6621094  
1760.0      3080.9157715    1748.6391602    2421.1181641  
1780.0      3133.1364746    1785.2998047    2429.1284180  
1800.0      3182.8911133    1820.3133545    2436.7490234  
1820.0      3230.4726562    1853.8719482    2444.0266113  
1840.0      3276.1225586    1886.1339111    2450.9992676  
1860.0      3320.0424805    1917.2322998    2457.6987305  
1880.0      3362.4025879    1947.2788086    2464.1518555  
1900.0      3403.3498535    1976.3708496    2470.3818359  
1920.0      3443.0080566    2004.5905762    2476.4082031  
1940.0      3481.4868164    2032.0107422    2482.2485352  
1960.0      3518.8771973    2058.6911621    2487.9167480  
1980.0      3555.2663574    2084.6911621    2493.4272461  
2000.0      3590.7270508    2110.0581055    2498.7907715  
2020.0      3626.1740723    2131.3002930    2504.0180664  
2040.0      3652.6630859    2146.0971680    2507.8308105  
2060.0      3663.5075684    2151.8613281    2509.1733398  
2080.0      3674.2995605    2157.5957031    2510.5075684  
2100.0      3685.0390625    2163.2993164    2511.8334961  
2120.0      3695.7285156    2168.9743652    2513.1516113  
2140.0      3706.3720703    2174.6225586    2514.4624023  
2160.0      3716.9655762    2180.2421875    2515.7651367  
2180.0      3727.5119629    2185.8342285    2517.0605469  
2200.0      3738.0109863    2191.3994141    2518.3486328  
2220.0      3748.4655762    2196.9384766    2519.6293945  
2240.0      3758.8735352    2202.4506836    2520.9030762  
2260.0      3769.2348633    2207.9362793    2522.1694336  
2280.0      3779.5551758    2213.3979492    2523.4291992  
2300.0      3789.8310547    2218.8339844    2524.6816406  
2320.0      3800.0642090    2224.2453613    2525.9277344  
2340.0      3810.2561035    2229.6330566    2527.1672363  
2360.0      3820.4060059    2234.9963379    2528.4001465  
2380.0      3830.5158691    2240.3366699    2529.6264648  
2400.0      3840.5844727    2245.6530762    2530.8466797  
2420.0      3850.6142578    2250.9470215    2532.0605469  
2440.0      3860.6049805    2256.2185059    2533.2680664  
2460.0      3870.5566406    2261.4672852    2534.4697266  
2480.0      3880.4704590    2266.6943359    2535.6652832  
2500.0      3890.3474121    2271.9001465    2536.8549805  
2520.0      3895.9360352    2272.9895020    2538.0388184  
2540.0      3901.4873047    2274.0573730    2539.2170410  
2560.0      3907.0031738    2275.1049805    2540.3894043  
2580.0      3912.4858398    2276.1330566    2541.5566406  
2600.0      3917.9291992    2277.1386719    2542.7177734  
2620.0      3923.3400879    2278.1252441    2543.8735352  
2640.0      3928.7185059    2279.0935059    2545.0244141  
2660.0      3934.0595703    2280.0400391    2546.1691895  
2680.0      3939.3701172    2280.9687500    2547.3093262  
2700.0      3944.6477051    2281.8786621    2548.4440918  
2720.0      3949.8911133    2282.7685547    2549.5734863  
2740.0      3955.1040039    2283.6413574    2550.6982422  
2760.0      3960.2858887    2284.4958496    2551.8178711  
2780.0      3965.4375000    2285.3327637    2552.9328613  
2800.0      3970.5576172    2286.1518555    2554.0429688  
2820.0      3975.6472168    2286.9531250    2555.1479492  
2840.0      3980.7060547    2287.7365723    2556.2482910  
2860.0      3985.7377930    2288.5046387    2557.3442383  
2880.0      3990.7365723    2289.2531738    2558.4350586  
2900.0      3995.7092285    2289.9873047    2559.5219727  
2920.0      4000.6508789    2290.7028809    2560.6035156  
2940.0      4005.5646973    2291.4028320    2561.6811523  
2960.0      4010.4509277    2292.0866699    2562.7541504  
2980.0      4015.3100586    2292.7548828    2563.8227539  
3000.0      4020.1411133    2293.4069824    2564.8872070  
3020.0      4026.3598633    2294.8461914    2565.9475098  
3040.0      4032.5515137    2296.2697754    2567.0034180  
3060.0      4038.7148438    2297.6770020    2568.0549316  
3080.0      4044.8540039    2299.0703125    2569.1025391  
3100.0      4050.9685059    2300.4494629    2570.1462402  
3120.0      4057.0556641    2301.8127441    2571.1857910  
3140.0      4063.1186523    2303.1618652    2572.2211914  
3160.0      4069.1555176    2304.4960938    2573.2529297  
3180.0      4075.1679688    2305.8164062    2574.2805176  
3200.0      4081.1582031    2307.1235352    2575.3046875  
3220.0      4087.1218262    2308.4155273    2576.3247070  
3240.0      4093.0617676    2309.6938477    2577.3408203  
3260.0      4098.9760742    2310.9572754    2578.3530273  
3280.0      4104.8686523    2312.2080078    2579.3615723  
3300.0      4110.7377930    2313.4458008    2580.3666992  
3320.0      4116.5844727    2314.6699219    2581.3681641  
3340.0      4122.4067383    2315.8803711    2582.3657227  
3360.0      4128.2084961    2317.0788574    2583.3601074  
3380.0      4133.9858398    2318.2634277    2584.3505859  
3400.0      4139.7446289    2319.4367676    2585.3381348  
3420.0      4145.4790039    2320.5966797    2586.3220215  
3440.0      4151.1918945    2321.7436523    2587.3022461  
3460.0      4156.8842773    2322.8789062    2588.2792969  
3480.0      4162.5537109    2324.0012207    2589.2529297  
3500.0      4168.2031250    2325.1115723    2590.2231445  
3520.0      4178.9199219    2330.3107910    2591.1904297  
3540.0      4189.6157227    2335.4975586    2592.1540527  
3560.0      4200.2910156    2340.6728516    2593.1145020  
3580.0      4210.9453125    2345.8356934    2594.0717773  
3600.0      4221.5805664    2350.9877930    2595.0258789  
3620.0      4232.1958008    2356.1281738    2595.9770508  
3640.0      4242.7910156    2361.2568359    2596.9248047  
3660.0      4253.3671875    2366.3747559    2597.8696289  
3680.0      4263.9238281    2371.4814453    2598.8115234  
3700.0      4274.4604492    2376.5766602    2599.7502441  
3720.0      4284.9794922    2381.6616211    2600.6860352  
3740.0      4295.4780273    2386.7343750    2601.6186523  
3760.0      4305.9594727    2391.7976074    2602.5485840  
3780.0      4316.4218750    2396.8498535    2603.4753418  
3800.0      4326.8652344    2401.8911133    2604.3994141  
3820.0      4337.2905273    2406.9218750    2605.3203125  
3840.0      4347.6992188    2411.9431152    2606.2387695  
3860.0      4358.0888672    2416.9531250    2607.1542969  
3880.0      4368.4614258    2421.9536133    2608.0668945  
3900.0      4378.8159180    2426.9431152    2608.9768066  
3920.0      4389.1523438    2431.9228516    2609.8837891  
3940.0      4399.4721680    2436.8928223    2610.7883301  
3960.0      4409.7749023    2441.8525391    2611.6899414  
3980.0      4420.0605469    2446.8027344    2612.5888672  
4000.0      4430.3291016    2451.7429199    2613.4851074  
4020.0      4442.7504883    2457.5585938    2614.3789062  
4040.0      4455.1552734    2463.3645020    2615.2700195  
4060.0      4467.5434570    2469.1604004    2616.1586914  
4080.0      4479.9165039    2474.9477539    2617.0444336  
4100.0      4492.2739258    2480.7263184    2617.9282227  
4120.0      4504.6113281    2486.4934082    2618.8085938  
4140.0      4516.9350586    2492.2524414    2619.6870117  
4160.0      4529.2426758    2498.0021973    2620.5627441  
4180.0      4541.5351562    2503.7429199    2621.4360352  
4200.0      4553.8125000    2509.4753418    2622.3071289  
4220.0      4566.0751953    2515.1992188    2623.1757812  
4240.0      4578.3198242    2520.9123535    2624.0415039  
4260.0      4590.5527344    2526.6188965    2624.9055176  
4280.0      4602.7666016    2532.3144531    2625.7666016  
4300.0      4614.9667969    2538.0021973    2626.6252441  
