# CI_MWC -118.05826808 34.22367586
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0      4774.0830078    2596.8530273    2752.3063965  
  20.0      4759.2934570    2588.3781738    2752.3063965  
  40.0      4744.5039062    2579.9035645    2752.3063965  
  60.0      4729.7143555    2571.4289551    2752.3063965  
  80.0      4714.9248047    2562.9543457    2752.3063965  
 100.0      4700.1352539    2554.4797363    2752.3063965  
 120.0      4685.3457031    2546.0048828    2752.3063965  
 140.0      4670.5561523    2537.5302734    2752.3063965  
 160.0      4655.7666016    2529.0556641    2752.3063965  
 180.0      4640.9770508    2520.5810547    2752.3063965  
 200.0      4626.1875000    2512.1064453    2752.3063965  
 220.0      4611.3974609    2503.6318359    2752.3063965  
 240.0      4596.6079102    2495.1569824    2752.3063965  
 260.0      4581.8183594    2486.6823730    2752.3063965  
 280.0      4567.0292969    2478.2077637    2752.3063965  
 300.0      4552.2392578    2469.7331543    2752.3063965  
 320.0      4537.4497070    2461.2585449    2752.3063965  
 340.0      4522.6601562    2452.7836914    2752.3063965  
 360.0      4507.8706055    2444.3090820    2752.3063965  
 380.0      4493.0810547    2435.8344727    2752.3063965  
 400.0      4478.2915039    2427.3598633    2752.3063965  
 420.0      4463.5019531    2418.8852539    2752.3063965  
 440.0      4448.7124023    2410.4106445    2752.3063965  
 460.0      4433.9228516    2401.9360352    2752.3063965  
 480.0      4419.1333008    2393.4611816    2752.3063965  
 500.0      4404.3437500    2384.9865723    2752.3063965  
 520.0      4410.8291016    2389.9440918    2752.3063965  
 540.0      4417.3144531    2394.9016113    2752.3063965  
 560.0      4423.8002930    2399.8591309    2752.3063965  
 580.0      4430.2856445    2404.8166504    2752.3063965  
 600.0      4436.7709961    2409.7741699    2752.3063965  
 620.0      4443.2568359    2414.7316895    2752.3063965  
 640.0      4449.7421875    2419.6892090    2752.3063965  
 660.0      4456.2275391    2424.6467285    2752.3063965  
 680.0      4462.7128906    2429.6042480    2752.3063965  
 700.0      4469.1987305    2434.5617676    2752.3063965  
 720.0      4475.6840820    2439.5192871    2752.3063965  
 740.0      4482.1699219    2444.4768066    2752.3063965  
 760.0      4488.6552734    2449.4343262    2752.3063965  
 780.0      4495.1406250    2454.3918457    2752.3063965  
 800.0      4501.6259766    2459.3493652    2752.3063965  
 820.0      4508.1113281    2464.3068848    2752.3063965  
 840.0      4514.5971680    2469.2644043    2752.3063965  
 860.0      4521.0825195    2474.2219238    2752.3063965  
 880.0      4527.5683594    2479.1794434    2752.3063965  
 900.0      4534.0537109    2484.1369629    2752.3063965  
 920.0      4540.5390625    2489.0944824    2752.3063965  
 940.0      4547.0244141    2494.0520020    2752.3063965  
 960.0      4553.5097656    2499.0095215    2752.3063965  
 980.0      4559.9956055    2503.9670410    2752.3063965  
1000.0      4566.5126953    2508.9794922    2752.3115234  
1020.0      4578.4106445    2518.6088867    2752.7202148  
1040.0      4590.3085938    2528.2382812    2753.1289062  
1060.0      4602.2065430    2537.8679199    2753.5375977  
1080.0      4614.1044922    2547.4973145    2753.9462891  
1100.0      4626.0029297    2557.1267090    2754.3549805  
1120.0      4637.9013672    2566.7561035    2754.7639160  
1140.0      4649.7983398    2576.3857422    2755.1726074  
1160.0      4661.6967773    2586.0151367    2755.5812988  
1180.0      4673.5947266    2595.6447754    2755.9902344  
1200.0      4685.4926758    2605.2739258    2756.3989258  
1220.0      4697.3911133    2614.9035645    2756.8076172  
1240.0      4709.2890625    2624.5327148    2757.2163086  
1260.0      4721.1870117    2634.1625977    2757.6250000  
1280.0      4733.0849609    2643.7917480    2758.0339355  
1300.0      4744.9829102    2653.4213867    2758.4426270  
1320.0      4756.8808594    2663.0505371    2758.8513184  
1340.0      4768.7792969    2672.6801758    2759.2602539  
1360.0      4780.6772461    2682.3095703    2759.6689453  
1380.0      4792.5751953    2691.9392090    2760.0776367  
1400.0      4804.4731445    2701.5683594    2760.4863281  
1420.0      4816.3710938    2711.1979980    2760.8950195  
1440.0      4828.2690430    2720.8276367    2761.3037109  
1460.0      4840.1669922    2730.4567871    2761.7124023  
1480.0      4852.0654297    2740.0861816    2762.1213379  
1500.0      4863.9633789    2749.7158203    2762.5300293  
1520.0      4869.9208984    2755.3657227    2762.9387207  
1540.0      4875.8789062    2761.0161133    2763.3476562  
1560.0      4881.8369141    2766.6665039    2763.7563477  
1580.0      4887.7949219    2772.3166504    2764.1650391  
1600.0      4893.7519531    2777.9665527    2764.5737305  
1620.0      4899.7099609    2783.6169434    2764.9824219  
1640.0      4905.6679688    2789.2673340    2765.3913574  
1660.0      4911.6254883    2794.9174805    2765.8000488  
1680.0      4917.5830078    2800.5676270    2766.2087402  
1700.0      4923.5415039    2806.2177734    2766.6176758  
1720.0      4929.4990234    2811.8681641    2767.0263672  
1740.0      4935.4570312    2817.5183105    2767.4350586  
1760.0      4941.4145508    2823.1684570    2767.8437500  
1780.0      4947.3725586    2828.8186035    2768.2524414  
1800.0      4953.3305664    2834.4687500    2768.6613770  
1820.0      4959.2880859    2840.1188965    2769.0700684  
1840.0      4965.2456055    2845.7692871    2769.4787598  
1860.0      4971.2041016    2851.4196777    2769.8876953  
1880.0      4977.1611328    2857.0695801    2770.2963867  
1900.0      4983.1191406    2862.7197266    2770.7050781  
1920.0      4989.0771484    2868.3701172    2771.1137695  
1940.0      4995.0346680    2874.0205078    2771.5224609  
1960.0      5000.9926758    2879.6704102    2771.9311523  
1980.0      5006.9501953    2885.3208008    2772.3400879  
2000.0      5012.9082031    2890.9707031    2772.7487793  
2020.0      5018.9912109    2896.8200684    2773.1577148  
2040.0      5025.0737305    2902.6689453    2773.5664062  
2060.0      5031.1562500    2908.5183105    2773.9750977  
2080.0      5037.2387695    2914.3669434    2774.3837891  
2100.0      5043.3217773    2920.2163086    2774.7924805  
2120.0      5049.4042969    2926.0654297    2775.2011719  
2140.0      5055.4868164    2931.9145508    2775.6101074  
2160.0      5061.5693359    2937.7634277    2776.0187988  
2180.0      5067.6523438    2943.6123047    2776.4274902  
2200.0      5073.7348633    2949.4616699    2776.8364258  
2220.0      5079.8173828    2955.3107910    2777.2451172  
2240.0      5085.9003906    2961.1596680    2777.6538086  
2260.0      5091.9824219    2967.0087891    2778.0625000  
2280.0      5098.0654297    2972.8579102    2778.4711914  
2300.0      5104.1479492    2978.7070312    2778.8798828  
2320.0      5110.2304688    2984.5559082    2779.2888184  
2340.0      5116.3129883    2990.4050293    2779.6975098  
2360.0      5122.3959961    2996.2541504    2780.1062012  
2380.0      5128.4785156    3002.1032715    2780.5151367  
2400.0      5134.5615234    3007.9521484    2780.9238281  
2420.0      5140.6435547    3013.8012695    2781.3325195  
2440.0      5146.7265625    3019.6503906    2781.7412109  
2460.0      5152.8090820    3025.4995117    2782.1499023  
2480.0      5158.8920898    3031.3486328    2782.5588379  
