# CI_OGC -117.84405717 33.78824732
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0       405.1187439     158.3382874    1928.9682617  
  20.0      1248.2275391     381.4065247    2062.0952148  
  40.0      1299.0915527     414.9644775    2070.1264648  
  60.0      1314.5638428     506.7519836    2072.5695801  
  80.0      1318.5153809     543.6506348    2073.1936035  
 100.0      1338.8707275     571.6148071    2076.4077148  
 120.0      1383.3873291     625.8879395    2083.4367676  
 140.0      1456.5942383     641.1684570    2094.9963379  
 160.0      1560.1585693     641.1684570    2111.3491211  
 180.0      1693.1367188     662.4884644    2132.3461914  
 200.0      1852.2270508     689.9184570    2157.4667969  
 220.0      1911.9978027     689.9184570    2166.9045410  
 240.0      1968.2459717     720.3984375    2175.7861328  
 260.0      2021.4520264     720.3984375    2184.1872559  
 280.0      2071.9948730     720.3984375    2192.1679688  
 300.0      2120.1845703     720.3984375    2199.7770996  
 320.0      2077.0551758    1117.3928223    2228.5434570  
 340.0      2087.2788086    1124.6358643    2233.9104004  
 360.0      2096.8759766    1131.5562744    2239.0710449  
 380.0      2105.9035645    1138.1813965    2244.0439453  
 400.0      2114.4111328    1144.5346680    2248.8449707  
 420.0      2122.4414062    1150.6373291    2253.4890137  
 440.0      2130.0312500    1156.5075684    2257.9875488  
 460.0      2137.2138672    1162.1613770    2262.3520508  
 480.0      2144.0183105    1167.6135254    2266.5917969  
 500.0      2150.4707031    1172.8765869    2270.7150879  
 520.0      2168.3315430    1184.3702393    2274.7299805  
 540.0      2185.8842773    1195.6970215    2278.6435547  
 560.0      2203.1477051    1206.8664551    2282.4611816  
 580.0      2220.1386719    1217.8870850    2286.1892090  
 600.0      2236.8723145    1228.7668457    2289.8325195  
 620.0      2419.3383789    1407.6641846    2347.4980469  
 640.0      2725.2041016    1621.6608887    2394.8964844  
 660.0      2749.9055176    1638.9254150    2397.8989258  
 680.0      2774.1945801    1655.9176025    2400.8364258  
 700.0      2798.0834961    1672.6445312    2403.7109375  
 720.0      2821.5996094    1689.1240234    2406.5263672  
 740.0      2844.7597656    1705.3671875    2409.2856445  
 760.0      2867.5825195    1721.3861084    2411.9916992  
 780.0      2890.0808105    1737.1889648    2414.6464844  
 800.0      2912.2727051    1752.7875977    2417.2526855  
 820.0      2934.1716309    1768.1909180    2419.8127441  
 840.0      2955.7900391    1783.4069824    2422.3286133  
 860.0      2977.1401367    1798.4436035    2424.8020020  
 880.0      2998.2333984    1813.3087158    2427.2348633  
 900.0      3019.0795898    1828.0084229    2429.6289062  
 920.0      3039.6904297    1842.5502930    2431.9855957  
 940.0      3060.0732422    1856.9387207    2434.3061523  
 960.0      3080.2365723    1871.1806641    2436.5922852  
 980.0      3100.1921387    1885.2828369    2438.8457031  
1000.0      3119.9423828    1899.2467041    2441.0664062  
1020.0      3141.4553223    1915.1269531    2443.2573242  
1040.0      3162.7736816    1930.8752441    2445.4172363  
1060.0      3183.9167480    1946.5058594    2447.5495605  
1080.0      3204.8793945    1962.0148926    2449.6535645  
1100.0      3225.6748047    1977.4112549    2451.7309570  
1120.0      3246.3044434    1992.6950684    2453.7822266  
1140.0      3266.7778320    2007.8739014    2455.8088379  
1160.0      3287.0947266    2022.9467773    2457.8107910  
1180.0      3307.2634277    2037.9193115    2459.7893066  
1200.0      3327.2880859    2052.7941895    2461.7451172  
1220.0      3347.1726074    2067.5744629    2463.6787109  
1240.0      3366.9213867    2082.2624512    2465.5908203  
1260.0      3386.5375977    2096.8603516    2467.4821777  
1280.0      3406.0246582    2111.3708496    2469.3530273  
1300.0      3425.3901367    2125.7990723    2471.2048340  
1320.0      3444.6323242    2140.1433105    2473.0371094  
1340.0      3463.7585449    2154.4084473    2474.8508301  
1360.0      3482.7670898    2168.5937500    2476.6462402  
1380.0      3501.6640625    2182.7026367    2478.4238281  
1400.0      3520.4543457    2196.7397461    2480.1848145  
1420.0      3539.1379395    2210.7036133    2481.9287109  
1440.0      3557.7177734    2224.5971680    2483.6564941  
1460.0      3576.1970215    2238.4216309    2485.3681641  
1480.0      3594.5781250    2252.1794434    2487.0644531  
1500.0      3612.8642578    2265.8723145    2488.7456055  
1520.0      3627.0400391    2275.7167969    2490.4118652  
1540.0      3641.1259766    2285.4990234    2492.0634766  
1560.0      3655.1225586    2295.2211914    2493.7014160  
1580.0      3669.0322266    2304.8835449    2495.3251953  
1600.0      3682.8571777    2314.4880371    2496.9360352  
1620.0      3696.5964355    2324.0334473    2498.5332031  
1640.0      3710.2570801    2333.3999023    2500.1176758  
1660.0      3723.8334961    2341.1728516    2501.6892090  
1680.0      3737.3361816    2348.9030762    2503.2490234  
1700.0      3750.7609863    2356.5886230    2504.7963867  
1720.0      3764.1103516    2364.2302246    2506.3320312  
1740.0      3777.3872070    2371.8300781    2507.8559570  
1760.0      3790.5903320    2379.3876953    2509.3684082  
1780.0      3803.7260742    2386.9060059    2510.8701172  
1800.0      3816.7932129    2394.3850098    2512.3613281  
1820.0      3829.7873535    2401.8215332    2513.8405762  
1840.0      3842.7216797    2409.2238770    2515.3105469  
1860.0      3855.5878906    2416.5866699    2516.7700195  
1880.0      3868.3903809    2423.9128418    2518.2189941  
1900.0      3881.1306152    2431.2028809    2519.6584473  
1920.0      3893.8095703    2438.4572754    2521.0881348  
