# CI_PDR -118.43699732 33.96261661
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0       375.9137573     160.6482849    1924.3568115  
  20.0      1261.9224854     377.1715393    2064.2575684  
  40.0      1299.9000244     483.5494385    2070.2541504  
  60.0      1312.1807861     482.2000122    2072.1933594  
  80.0      1304.3436279     526.3900146    2070.9558105  
 100.0      1301.7303467     559.8800049    2070.5432129  
 120.0      1311.5974121     584.2700195    2072.1013184  
 140.0      1338.8272705     602.5700073    2076.4008789  
 160.0      1386.1887207     584.5407715    2083.8791504  
 180.0      1454.4871826     621.8037109    2094.6635742  
 200.0      1542.7111816     651.3200073    2108.5939941  
 220.0      1592.4560547     651.3200073    2116.4487305  
 240.0      1639.2723389     681.7999878    2123.8410645  
 260.0      1683.5574951     681.7999878    2130.8337402  
 280.0      1725.6275635     681.7999878    2137.4765625  
 300.0      1765.7402344     681.7999878    2143.8103027  
 320.0      1804.1098633     821.1199951    2149.8688965  
 340.0      1840.9128418     842.8767700    2155.6801758  
 360.0      1876.2996826     863.9270020    2161.2678223  
 380.0      1910.4008789     884.3316040    2166.6523438  
 400.0      1943.3264160     904.1420898    2171.8513184  
 420.0      1975.1712646     923.4031982    2176.8796387  
 440.0      2006.0212402     942.1555786    2181.7507324  
 460.0      2035.9516602     960.4357300    2186.4768066  
 480.0      2065.0263672     978.2736816    2191.0676270  
 500.0      2093.3046875     995.6983032    2195.5327148  
 520.0      1974.6763916     920.8760376    2223.0270996  
 540.0      1987.2508545     930.1914673    2226.2851562  
 560.0      1999.5843506     939.3839722    2229.4636230  
 580.0      2011.6910400     948.4601440    2232.5673828  
 600.0      2023.5836182     957.4260864    2235.6003418  
 620.0      2035.2747803     966.2881470    2238.5671387  
 640.0      2046.7739258     975.0503540    2241.4702148  
 660.0      2058.0920410     983.7185059    2244.3139648  
 680.0      2069.2375488     992.2966309    2247.1005859  
 700.0      2080.2192383    1000.7886963    2249.8332520  
 720.0      2091.0439453    1009.1983643    2252.5141602  
 740.0      2101.7197266    1017.5295410    2255.1459961  
 760.0      2112.2529297    1025.7849121    2257.7309570  
 780.0      2122.6503906    1033.9686279    2260.2709961  
 800.0      2132.9165039    1042.0822754    2262.7678223  
 820.0      2143.0578613    1050.1291504    2265.2233887  
 840.0      2153.0793457    1058.1118164    2267.6391602  
 860.0      2162.9848633    1066.0324707    2270.0173340  
 880.0      2172.7800293    1073.8935547    2272.3586426  
 900.0      2182.4687500    1081.6970215    2274.6647949  
 920.0      2192.0539551    1089.4448242    2276.9372559  
 940.0      2201.5405273    1097.1387939    2279.1767578  
 960.0      2210.9311523    1104.7807617    2281.3847656  
 980.0      2220.2292480    1112.3724365    2283.5625000  
1000.0      2229.4384766    1119.9152832    2285.7106934  
1020.0      2236.2995605    1128.7399902    2287.8303223  
1040.0      2243.0771484    1137.5189209    2289.9226074  
1060.0      2249.7739258    1146.2534180    2291.9880371  
1080.0      2256.3925781    1154.9448242    2294.0278320  
1100.0      2262.9350586    1163.5941162    2296.0424805  
1120.0      2269.4038086    1172.2028809    2298.0329590  
1140.0      2275.8017578    1180.7717285    2299.9997559  
1160.0      2282.1298828    1189.3023682    2302.5285645  
1180.0      2288.3906250    1197.7951660    2305.0280762  
1200.0      2294.5861816    1206.2514648    2307.4997559  
1220.0      2300.7180176    1214.6723633    2309.9440918  
1240.0      2306.7878418    1223.0584717    2312.3618164  
1260.0      2312.7973633    1231.4106445    2314.7539062  
1280.0      2318.7480469    1239.7299805    2317.1206055  
1300.0      2324.6416016    1251.7762451    2319.4628906  
1320.0      2330.4792480    1266.4486084    2321.7810059  
1340.0      2336.2634277    1281.0357666    2324.0761719  
1360.0      2341.9938965    1295.5383301    2326.3483887  
1380.0      2347.6733398    1309.9600830    2328.5988770  
1400.0      2353.3020020    1324.3004150    2330.8271484  
1420.0      2358.8808594    1338.5616455    2333.0344238  
1440.0      2364.4121094    1352.7475586    2335.2214355  
1460.0      2369.8964844    1366.8580322    2337.3879395  
1480.0      2378.6748047    1380.8941650    2339.5346680  
1500.0      2392.5822754    1394.8587646    2341.6623535  
1520.0      2407.1181641    1405.9925537    2343.7712402  
1540.0      2421.5375977    1417.0578613    2345.8618164  
1560.0      2435.8425293    1428.0548096    2347.9340820  
1580.0      2450.0358887    1438.9854736    2349.9887695  
1600.0      2464.1201172    1449.8514404    2352.0263672  
1620.0      2478.0964355    1460.6531982    2354.0468750  
1640.0      2491.9692383    1471.3930664    2356.0510254  
1660.0      2505.7385254    1482.0712891    2358.0388184  
1680.0      2519.4067383    1492.6890869    2360.0107422  
1700.0      2532.9770508    1503.2480469    2361.9670410  
1720.0      2546.4504395    1513.7490234    2363.9079590  
1740.0      2559.8286133    1524.1928711    2365.8339844  
1760.0      2573.1137695    1534.5809326    2367.7453613  
1780.0      2586.3073730    1544.9138184    2369.6423340  
1800.0      2599.4116211    1555.1928711    2371.5251465  
1820.0      2612.4279785    1565.4188232    2373.3940430  
1840.0      2810.4960938    1706.5657959    2404.4826660  
1860.0      3063.2827148    1889.5820312    2444.2111816  
1880.0      3254.7038574    2030.6462402    2474.2502441  
1900.0      3411.1494141    2147.4592285    2498.7666016  
1920.0      4086.8032227    2491.5490723    2605.2661133  
1940.0      4087.9782715    2492.6049805    2605.2651367  
1960.0      4089.1533203    2493.6606445    2605.2641602  
1980.0      4090.3281250    2494.7165527    2605.2634277  
2000.0      4091.5026855    2495.7719727    2605.2624512  
2020.0      4100.3051758    2500.4523926    2605.2617188  
2040.0      4109.1079102    2505.1320801    2605.2607422  
2060.0      4117.9096680    2509.8120117    2605.2597656  
2080.0      4126.7124023    2514.4921875    2605.2590332  
2100.0      4135.5151367    2519.1718750    2605.2583008  
2120.0      4144.3173828    2523.8518066    2605.2573242  
2140.0      4153.1201172    2528.5319824    2605.2565918  
2160.0      4161.9218750    2533.2116699    2605.2556152  
2180.0      4170.7246094    2537.8916016    2605.2548828  
2200.0      4179.5273438    2542.5717773    2605.2539062  
2220.0      4188.3295898    2547.2514648    2605.2529297  
2240.0      4197.1318359    2551.9318848    2605.2521973  
2260.0      4205.9340820    2556.6115723    2605.2512207  
2280.0      4214.7368164    2561.2917480    2605.2504883  
