# CI_Q0009 -117.70509280 33.60497427
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0      3312.4257812    1883.9091797    2595.5566406  
  20.0      3312.3427734    1883.8522949    2595.5566406  
  40.0      3312.2595215    1883.7954102    2595.5566406  
  60.0      3312.1762695    1883.7385254    2595.5566406  
  80.0      3312.0932617    1883.6816406    2595.5566406  
 100.0      3312.0097656    1883.6247559    2595.5566406  
 120.0      3311.9267578    1883.5678711    2595.5566406  
 140.0      3311.8435059    1883.5109863    2595.5566406  
 160.0      3311.7602539    1883.4542236    2595.5566406  
 180.0      3311.6772461    1883.3973389    2595.5566406  
 200.0      3311.5939941    1883.3404541    2595.5566406  
 220.0      3311.5107422    1883.2835693    2595.5566406  
 240.0      3311.4277344    1883.2266846    2595.5566406  
 260.0      3311.3444824    1883.1697998    2595.5566406  
 280.0      3311.2612305    1883.1129150    2595.5566406  
 300.0      3311.1782227    1883.0560303    2595.5566406  
 320.0      3311.0947266    1882.9991455    2595.5566406  
 340.0      3311.0117188    1882.9422607    2595.5566406  
 360.0      3310.9284668    1882.8853760    2595.5566406  
 380.0      3310.8452148    1882.8284912    2595.5566406  
 400.0      3310.7622070    1882.7716064    2595.5566406  
 420.0      3310.6789551    1882.7147217    2595.5566406  
 440.0      3310.5957031    1882.6578369    2595.5566406  
 460.0      3310.5126953    1882.6009521    2595.5566406  
 480.0      3310.4291992    1882.5440674    2595.5566406  
 500.0      3310.3461914    1882.4871826    2595.5566406  
 520.0      3317.8237305    1887.6977539    2595.5566406  
 540.0      3325.3007812    1892.9083252    2595.5566406  
 560.0      3332.7783203    1898.1188965    2595.5566406  
 580.0      3340.2558594    1903.3293457    2595.5566406  
 600.0      3347.7331543    1908.5399170    2595.5566406  
 620.0      3355.2104492    1913.7504883    2595.5566406  
 640.0      3362.6879883    1918.9609375    2595.5566406  
 660.0      3370.1652832    1924.1715088    2595.5566406  
 680.0      3377.6425781    1929.3820801    2595.5566406  
 700.0      3385.1201172    1934.5925293    2595.5566406  
 720.0      3392.5974121    1939.8031006    2595.5566406  
 740.0      3400.0747070    1945.0136719    2595.5566406  
 760.0      3407.5522461    1950.2241211    2595.5566406  
 780.0      3415.0297852    1955.4346924    2595.5566406  
 800.0      3422.5068359    1960.6452637    2595.5566406  
 820.0      3429.9843750    1965.8558350    2595.5566406  
 840.0      3437.4619141    1971.0664062    2595.5566406  
 860.0      3444.9392090    1976.2768555    2595.5566406  
 880.0      3452.4165039    1981.4874268    2595.5566406  
 900.0      3459.8940430    1986.6979980    2595.5566406  
 920.0      3467.3713379    1991.9084473    2595.5566406  
 940.0      3474.8486328    1997.1190186    2595.5566406  
 960.0      3482.3261719    2002.3295898    2595.5566406  
 980.0      3489.8034668    2007.5400391    2595.5566406  
1000.0      3497.3530273    2012.8231201    2595.5678711  
1020.0      3511.8247070    2024.0218506    2596.5019531  
1040.0      3526.2968750    2035.2205811    2597.4360352  
1060.0      3540.7680664    2046.4191895    2598.3698730  
1080.0      3555.2402344    2057.6179199    2599.3039551  
1100.0      3569.7124023    2068.8168945    2600.2380371  
1120.0      3584.1840820    2080.0153809    2601.1718750  
1140.0      3598.6562500    2091.2141113    2602.1059570  
1160.0      3613.1279297    2102.4128418    2603.0400391  
1180.0      3627.6000977    2113.6113281    2603.9741211  
1200.0      3642.0715332    2124.8100586    2604.9082031  
1220.0      3656.5432129    2136.0087891    2605.8420410  
1240.0      3671.0153809    2147.2075195    2606.7761230  
1260.0      3685.4875488    2158.4062500    2607.7102051  
1280.0      3699.9597168    2169.6049805    2608.6442871  
1300.0      3714.4306641    2180.8037109    2609.5781250  
1320.0      3728.9028320    2192.0024414    2610.5122070  
1340.0      3743.3750000    2203.2011719    2611.4462891  
1360.0      3757.8466797    2214.3999023    2612.3803711  
1380.0      3772.3188477    2225.5983887    2613.3144531  
1400.0      3786.7905273    2236.7971191    2614.2482910  
1420.0      3801.2622070    2247.9958496    2615.1823730  
1440.0      3815.7343750    2259.1945801    2616.1164551  
1460.0      3830.2060547    2270.3933105    2617.0502930  
1480.0      3844.6779785    2281.5920410    2617.9843750  
1500.0      3859.1496582    2292.7907715    2618.9184570  
1520.0      3870.5383301    2301.4157715    2619.8525391  
1540.0      3881.9277344    2310.0407715    2620.7863770  
1560.0      3893.3164062    2318.6657715    2621.7204590  
1580.0      3904.7055664    2327.2907715    2622.6545410  
1600.0      3916.0942383    2335.9155273    2623.5883789  
1620.0      3927.4833984    2344.5407715    2624.5224609  
1640.0      3938.8728027    2353.1657715    2625.4565430  
1660.0      3950.2614746    2361.7907715    2626.3906250  
1680.0      3961.6503906    2370.4157715    2627.3247070  
1700.0      3973.0395508    2379.0407715    2628.2585449  
1720.0      3984.4282227    2387.6657715    2629.1926270  
1740.0      3995.8173828    2396.2907715    2630.1267090  
1760.0      4007.2060547    2404.9155273    2631.0605469  
1780.0      4018.5954590    2413.5407715    2631.9946289  
1800.0      4029.9846191    2422.1657715    2632.9287109  
1820.0      4041.3728027    2430.7907715    2633.8627930  
1840.0      4052.7622070    2439.4157715    2634.7968750  
1860.0      4064.1508789    2448.0407715    2635.7307129  
1880.0      4075.5400391    2456.6657715    2636.6647949  
1900.0      4086.9291992    2465.2905273    2637.5988770  
1920.0      4098.3178711    2473.9155273    2638.5327148  
1940.0      4109.7070312    2482.5407715    2639.4667969  
1960.0      4121.0957031    2491.1660156    2640.4008789  
1980.0      4132.4848633    2499.7910156    2641.3349609  
2000.0      4143.8740234    2508.4160156    2642.2690430  
2020.0      4155.9169922    2517.4973145    2643.2028809  
2040.0      4167.9599609    2526.5786133    2644.1369629  
2060.0      4180.0029297    2535.6599121    2645.0710449  
2080.0      4192.0458984    2544.7414551    2646.0051270  
2100.0      4204.0888672    2553.8227539    2646.9389648  
2120.0      4216.1313477    2562.9042969    2647.8730469  
2140.0      4228.1748047    2571.9858398    2648.8071289  
2160.0      4240.2177734    2581.0671387    2649.7412109  
2180.0      4252.2607422    2590.1484375    2650.6750488  
2200.0      4264.3037109    2599.2299805    2651.6091309  
2220.0      4276.3466797    2608.3115234    2652.5432129  
2240.0      4288.3896484    2617.3928223    2653.4770508  
2260.0      4300.4326172    2626.4738770    2654.4111328  
2280.0      4312.4755859    2635.5556641    2655.3452148  
2300.0      4324.5180664    2644.6367188    2656.2792969  
2320.0      4336.5620117    2653.7185059    2657.2133789  
2340.0      4348.6044922    2662.7995605    2658.1472168  
2360.0      4360.6474609    2671.8813477    2659.0812988  
2380.0      4372.6904297    2680.9626465    2660.0151367  
2400.0      4384.7333984    2690.0441895    2660.9492188  
2420.0      4396.7763672    2699.1252441    2661.8833008  
2440.0      4408.8193359    2708.2067871    2662.8173828  
2460.0      4420.8623047    2717.2880859    2663.7514648  
2480.0      4432.9052734    2726.3693848    2664.6855469  
2500.0      4444.9482422    2735.4509277    2665.6193848  
2520.0      4453.9414062    2741.1660156    2666.5534668  
2540.0      4462.9335938    2746.8808594    2667.4875488  
2560.0      4471.9257812    2752.5959473    2668.4213867  
2580.0      4480.9189453    2758.3105469    2669.3554688  
2600.0      4489.9116211    2764.0253906    2670.2895508  
2620.0      4498.9042969    2769.7402344    2671.2236328  
2640.0      4507.8964844    2775.4550781    2672.1574707  
2660.0      4516.8896484    2781.1701660    2673.0915527  
2680.0      4525.8823242    2786.8852539    2674.0256348  
2700.0      4534.8750000    2792.6000977    2674.9597168  
2720.0      4543.8671875    2798.3151855    2675.8935547  
2740.0      4552.8598633    2804.0300293    2676.8276367  
2760.0      4561.8525391    2809.7446289    2677.7617188  
2780.0      4570.8452148    2815.4594727    2678.6958008  
2800.0      4579.8378906    2821.1743164    2679.6296387  
2820.0      4588.8300781    2826.8894043    2680.5637207  
2840.0      4597.8232422    2832.6042480    2681.4978027  
2860.0      4606.8159180    2838.3195801    2682.4318848  
2880.0      4615.8085938    2844.0344238    2683.3657227  
2900.0      4624.8012695    2849.7492676    2684.2998047  
2920.0      4633.7939453    2855.4638672    2685.2338867  
2940.0      4642.7866211    2861.1789551    2686.1679688  
2960.0      4651.7792969    2866.8935547    2687.1020508  
2980.0      4660.7714844    2872.6088867    2688.0358887  
3000.0      4669.7641602    2878.3234863    2688.9699707  
3020.0      4678.2753906    2883.4562988    2689.9040527  
3040.0      4686.7861328    2888.5886230    2690.8378906  
3060.0      4695.2968750    2893.7209473    2691.7719727  
3080.0      4703.8081055    2898.8535156    2692.7060547  
3100.0      4712.3188477    2903.9855957    2693.6401367  
3120.0      4720.8300781    2909.1184082    2694.5742188  
3140.0      4729.3403320    2914.2509766    2695.5080566  
3160.0      4737.8510742    2919.3833008    2696.4421387  
3180.0      4746.3623047    2924.5161133    2697.3759766  
3200.0      4754.8735352    2929.6481934    2698.3100586  
3220.0      4763.3842773    2934.7807617    2699.2441406  
3240.0      4771.8945312    2939.9130859    2700.1782227  
3260.0      4780.4057617    2945.0456543    2701.1123047  
3280.0      4788.9165039    2950.1782227    2702.0461426  
3300.0      4797.4277344    2955.3105469    2702.9802246  
3320.0      4805.9384766    2960.4431152    2703.9143066  
