# CI_RIN -118.47927600 34.28203347
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0       615.6356812     351.3867798    1962.2088623  
  20.0      1849.7849121     617.4190674    2157.0810547  
  40.0      2172.9899902     729.5511475    2208.1152344  
  60.0      2200.1079102     798.8975830    2212.3969727  
  80.0      2248.9077148     833.3532715    2220.1025391  
 100.0      2317.8032227     869.8364258    2230.9812012  
 120.0      2404.5541992     924.6974487    2244.6791992  
 140.0      2506.3408203     924.6974487    2260.7512207  
 160.0      2619.8535156     964.3154297    2278.6748047  
 180.0      2741.4025879     964.3154297    2297.8674316  
 200.0      2867.0356445     964.3154297    2317.7050781  
 220.0      2867.0395508     964.3154297    2317.7055664  
 240.0      2867.0395508     964.3154297    2317.7055664  
 260.0      2867.0395508     964.3154297    2317.7055664  
 280.0      2867.0395508     964.3154297    2317.7055664  
 300.0      2867.0395508     964.3154297    2317.7055664  
 320.0      2609.3618164    1359.4119873    2317.7055664  
 340.0      2604.0041504    1357.6433105    2317.7055664  
 360.0      2598.6464844    1355.8745117    2317.7055664  
 380.0      2593.2888184    1354.1057129    2317.7055664  
 400.0      2587.9311523    1352.3369141    2317.7055664  
 420.0      2582.5732422    1350.5681152    2317.7055664  
 440.0      2577.2158203    1348.7994385    2317.7055664  
 460.0      2576.1791992    1353.9025879    2319.5590820  
 480.0      2575.2045898    1360.2280273    2321.4389648  
 500.0      2574.0346680    1366.2016602    2323.2353516  
 520.0      2581.5788574    1376.3537598    2324.9438477  
 540.0      2588.9091797    1386.1174316    2326.5605469  
 560.0      2596.0141602    1395.4703369    2328.0808105  
 580.0      2602.8845215    1404.3937988    2329.5004883  
 600.0      2609.5070801    1412.8621826    2330.8139648  
 620.0      2615.8688965    1420.8497314    2332.0153809  
 640.0      2621.9555664    1428.3293457    2333.0988770  
 660.0      2627.7500000    1435.2678223    2334.0571289  
 680.0      2633.2363281    1441.6337891    2334.8828125  
 700.0      2638.3937988    1447.3895264    2335.5678711  
 720.0      2643.2019043    1452.4949951    2336.1030273  
 740.0      2647.6362305    1456.9036865    2336.4777832  
 760.0      2651.6699219    1460.5654297    2336.6806641  
 780.0      2655.2729492    1463.4244385    2336.6989746  
 800.0      2658.4111328    1465.4158936    2336.5178223  
 820.0      2661.0458984    1466.4689941    2336.1206055  
 840.0      2663.1328125    1466.5008545    2335.4885254  
 860.0      2663.5625000    1463.4478760    2334.1457520  
 880.0      2667.1235352    1466.2275391    2334.1457520  
 900.0      2670.6840820    1469.0069580    2334.1457520  
 920.0      2674.2443848    1471.7861328    2334.1457520  
 940.0      2677.8051758    1474.5659180    2334.1457520  
 960.0      2681.3654785    1477.3449707    2334.1457520  
 980.0      2684.9262695    1480.1248779    2334.1457520  
1000.0      2688.4868164    1482.9044189    2334.1457520  
1020.0      2690.3581543    1486.0989990    2334.1457520  
1040.0      2692.2299805    1489.2944336    2334.1457520  
1060.0      2694.1015625    1492.4890137    2334.1457520  
1080.0      2695.9733887    1495.6843262    2334.1457520  
1100.0      2697.8449707    1498.8793945    2334.1457520  
1120.0      2699.7165527    1502.0739746    2334.1457520  
1140.0      2701.5883789    1505.2694092    2334.1457520  
1160.0      2703.4599609    1508.4643555    2334.1457520  
1180.0      2705.3320312    1511.6602783    2334.1459961  
1200.0      2707.2033691    1514.8543701    2334.1457520  
1220.0      2709.0749512    1518.0493164    2334.1457520  
1240.0      2710.9470215    1521.2452393    2334.1459961  
1260.0      2712.8181152    1524.4393311    2334.1457520  
1280.0      2714.6904297    1527.6352539    2334.1459961  
1300.0      2716.5620117    1530.8302002    2334.1459961  
1320.0      2718.4331055    1534.0244141    2334.1457520  
1340.0      2720.3044434    1537.2189941    2334.1457520  
1360.0      2722.1765137    1540.4143066    2334.1457520  
1380.0      2724.0485840    1543.6102295    2334.1459961  
1400.0      2725.9201660    1546.8051758    2334.1459961  
1420.0      2727.7912598    1549.9993896    2334.1457520  
1440.0      2729.6628418    1553.1939697    2334.1457520  
1460.0      2731.5346680    1556.3894043    2334.1457520  
1480.0      2733.4062500    1559.5843506    2334.1457520  
1500.0      2735.2783203    1562.7801514    2334.1459961  
1520.0      2740.6972656    1567.9146729    2334.1457520  
1540.0      2746.1164551    1573.0500488    2334.1457520  
1560.0      2751.5358887    1578.1854248    2334.1457520  
1580.0      2756.9550781    1583.3206787    2334.1457520  
1600.0      2762.3745117    1588.4560547    2334.1457520  
1620.0      2767.7937012    1593.5913086    2334.1457520  
1640.0      2773.2128906    1598.7266846    2334.1457520  
1660.0      2778.6323242    1603.8620605    2334.1457520  
1680.0      2784.0515137    1608.9974365    2334.1457520  
1700.0      2789.4709473    1614.1326904    2334.1457520  
1720.0      2794.8901367    1619.2680664    2334.1457520  
1740.0      2800.3095703    1624.4034424    2334.1457520  
1760.0      2805.7287598    1629.5386963    2334.1457520  
1780.0      2811.1479492    1634.6740723    2334.1457520  
1800.0      2816.5673828    1639.8094482    2334.1457520  
