# CI_SAN -117.88578919 33.70436327
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0       404.7470093     159.5758057    1928.9095459  
  20.0      1163.5000000     362.7615356    2048.7165527  
  40.0      1299.9000244     416.6700134    2070.2541504  
  60.0      1313.3374023     482.2000122    2072.3759766  
  80.0      1311.2235107     526.3900146    2072.0422363  
 100.0      1319.7636719     559.8800049    2073.3906250  
 120.0      1346.4582520     584.2700195    2077.6057129  
 140.0      1396.0185547     602.5700073    2085.4313965  
 160.0      1470.6787109     602.5700073    2097.2202148  
 180.0      1570.3945312     623.8900146    2112.9653320  
 200.0      1693.0423584     651.3200073    2132.3312988  
 220.0      1747.6608887     651.3200073    2140.9555664  
 240.0      1799.0634766     681.7999878    2149.0722656  
 260.0      1847.6838379     681.7999878    2156.7492676  
 280.0      1893.8721924     681.7999878    2164.0424805  
 300.0      1937.9112549     681.7999878    2170.9960938  
 320.0      1980.0350342     926.3534546    2177.6474609  
 340.0      2020.4388428     950.9507446    2184.0273438  
 360.0      2059.2880859     974.7469482    2190.1616211  
 380.0      2096.7246094     997.8107300    2196.0727539  
 400.0      2067.2023926    1113.2901611    2224.4877930  
 420.0      2073.5869141    1118.2160645    2228.7319336  
 440.0      2079.5686035    1122.9359131    2232.8430176  
 460.0      2085.1791992    1127.4644775    2236.8317871  
 480.0      2090.4431152    1131.8139648    2240.7065430  
 500.0      2095.3852539    1135.9958496    2244.4746094  
 520.0      2111.8977051    1145.1694336    2248.1440430  
 540.0      2128.1281738    1154.1950684    2251.7204590  
 560.0      2144.0942383    1163.0811768    2255.2094727  
 580.0      2159.8112793    1171.8356934    2258.6166992  
 600.0      2175.2934570    1180.4653320    2261.9462891  
 620.0      2190.5537109    1188.9765625    2265.2028809  
 640.0      2205.6037598    1197.3753662    2268.3901367  
 660.0      2220.4550781    1205.6669922    2271.5114746  
 680.0      2235.1164551    1213.8566895    2274.5705566  
 700.0      2249.5979004    1221.9487305    2277.5703125  
 720.0      2263.9077148    1229.9476318    2280.5131836  
 740.0      2278.0534668    1237.8572998    2283.4023438  
 760.0      2292.0434570    1245.6815186    2286.2397461  
 780.0      2305.8833008    1253.4237061    2289.0278320  
 800.0      2319.5800781    1261.0874023    2291.7687988  
 820.0      2333.1391602    1268.6750488    2294.4643555  
 840.0      2346.5668945    1276.1900635    2297.1164551  
 860.0      2359.8676758    1283.6345215    2299.7265625  
 880.0      2373.0466309    1291.0113525    2302.9873047  
 900.0      2386.1083984    1298.3232422    2306.2802734  
 920.0      2399.0571289    1305.5717773    2309.5246582  
 940.0      2411.8974609    1312.7592773    2312.7221680  
 960.0      2424.6323242    1319.8879395    2315.8747559  
 980.0      2437.2663574    1329.3947754    2318.9841309  
1000.0      2449.8020020    1344.9001465    2322.0510254  
