# CI_STS -118.19872103 33.79025639
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0       344.7049866     192.0130005    1919.4289551  
  20.0      1575.5400391     295.6400146    2113.7778320  
  40.0      1679.2700195     350.5020142    2130.1567383  
  60.0      1669.2500000     405.3630066    2128.5747070  
  80.0      1739.8299561     466.3200073    2139.7192383  
 100.0      1722.2500000     466.3200073    2136.9433594  
 120.0      1724.8100586     527.2769775    2137.3474121  
 140.0      1700.5338135     527.2769775    2133.5144043  
 160.0      1650.1179199     588.2340088    2125.5537109  
 180.0      1603.6728516     588.2340088    2118.2199707  
 200.0      1583.1574707     693.5432129    2114.9804688  
 220.0      1634.2120361     722.5433960    2123.0419922  
 240.0      1682.2631836     750.1053467    2130.6293945  
 260.0      1727.7155762     776.4101562    2137.8063965  
 280.0      1770.8944092     801.6047974    2144.6242676  
 300.0      1812.0650635     825.8110352    2151.1250000  
 320.0      1851.4450684     849.1288452    2157.3432617  
 340.0      1889.2175293     871.6426392    2163.3073730  
 360.0      1925.5363770     893.4249878    2169.0422363  
 380.0      1960.5350342     914.5381470    2174.5683594  
 400.0      1994.3269043     935.0364380    2179.9042969  
 420.0      2027.0109863     954.9662476    2185.0649414  
 440.0      2058.6743164     974.3698730    2190.0646973  
 460.0      2089.3918457     993.2830200    2194.9150391  
 480.0      1849.7885742     926.5880127    2222.8320312  
 500.0      1845.1954346     924.6741943    2226.3552246  
 520.0      1859.8675537     932.7781982    2229.7858887  
 540.0      1874.2758789     940.7470093    2233.1293945  
 560.0      1888.4372559     948.5886841    2236.3913574  
 580.0      1902.3657227     956.3101196    2239.5766602  
 600.0      1916.0749512     963.9172363    2242.6896973  
 620.0      1929.5766602     971.4163818    2245.7343750  
 640.0      1942.8818359     978.8127441    2248.7141113  
 660.0      1956.0003662     986.1112061    2251.6325684  
 680.0      1968.9425049     993.3165283    2254.4924316  
 700.0      1981.7156982    1000.4324951    2257.2968750  
 720.0      1994.3288574    1007.4637451    2260.0483398  
 740.0      2006.7890625    1014.4135742    2262.7497559  
 760.0      2019.1032715    1021.2852173    2265.4025879  
 780.0      2031.2770996    1028.0817871    2268.0092773  
 800.0      2043.3166504    1034.8061523    2270.5715332  
 820.0      2055.2280273    1041.4616699    2273.0917969  
 840.0      2067.0161133    1048.0504150    2275.5715332  
 860.0      2078.6860352    1054.5751953    2278.0122070  
 880.0      2090.2419434    1061.0380859    2280.4150391  
 900.0      2101.6882324    1067.4414062    2282.7817383  
 920.0      2113.0292969    1073.7869873    2285.1137695  
 940.0      2124.2680664    1080.0769043    2287.4121094  
 960.0      2135.4091797    1086.3129883    2289.6782227  
 980.0      2146.4555664    1092.4968262    2291.9133301  
1000.0      2157.4101562    1098.6301270    2294.1179199  
1020.0      2168.3837891    1104.9133301    2296.2934570  
1040.0      2179.2719727    1111.1490479    2298.4406738  
1060.0      2190.0773926    1117.3387451    2300.7290039  
1080.0      2200.8022461    1123.4838867    2303.4519043  
1100.0      2211.4492188    1129.5854492    2306.1413574  
1120.0      2222.0209961    1135.6447754    2308.7983398  
1140.0      2232.5190430    1141.6632080    2311.4240723  
1160.0      2242.9462891    1147.6416016    2314.0190430  
1180.0      2253.3041992    1153.5811768    2316.5844727  
1200.0      2263.5947266    1162.2971191    2319.1210938  
1220.0      2273.8200684    1175.1049805    2321.6298828  
1240.0      2283.9821777    1187.8117676    2324.1110840  
1260.0      2294.0815430    1200.4208984    2326.5659180  
1280.0      2304.1213379    1212.9342041    2328.9948730  
