# CI_WSS -118.64980715 34.17168103
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0       474.3919983     231.6369934    1939.9064941  
  20.0      1333.8100586     518.1350098    2075.6086426  
  40.0      2149.9992676     676.6229858    2204.4848633  
  60.0      2155.0261230     841.2069702    2205.2785645  
  80.0      2172.2773438     959.2169800    2208.0026855  
 100.0      2333.0527344    1190.8070068    2233.2780762  
 120.0      2347.2524414    1199.2419434    2240.7424316  
 140.0      2360.8242188    1207.4036865    2247.9995117  
 160.0      2385.1818848    1219.0932617    2258.8129883  
 180.0      2415.9438477    1241.7020264    2271.7387695  
 200.0      2452.1347656    1264.7943115    2286.4543457  
 220.0      2448.6186523    1262.5561523    2288.0766602  
 240.0      2457.5083008    1258.1929932    2293.7897949  
 260.0      2459.7104492    1269.8302002    2297.2980957  
 280.0      2461.6289062    1271.1593018    2300.9265137  
 300.0      2463.2878418    1272.3388672    2305.2563477  
 320.0      2429.3862305    1250.3645020    2295.6435547  
 340.0      2465.9104004    1274.2978516    2313.6176758  
 360.0      2466.9096680    1275.0980225    2317.6645508  
 380.0      2467.7216797    1285.5507812    2321.6311035  
 400.0      2468.3593750    1296.9360352    2325.5229492  
 420.0      2468.8347168    1308.0596924    2329.3449707  
 440.0      2469.1582031    1318.9399414    2333.1020508  
 460.0      2469.3405762    1329.5943604    2336.7985840  
 480.0      2476.3461914    1340.0369873    2340.4382324  
 500.0      2490.6196289    1350.2785645    2344.0239258  
 520.0      2516.9760742    1369.5447998    2347.5595703  
 540.0      2543.0317383    1388.6346436    2351.0478516  
 560.0      2568.8037109    1407.5585938    2354.4912109  
 580.0      2594.3066406    1426.3254395    2357.8920898  
 600.0      2633.1994629    1454.4537354    2363.4072266  
 620.0      2675.7116699    1485.1895752    2369.4936523  
 640.0      2717.7592773    1515.6900635    2375.5070801  
 660.0      2759.3652344    1545.9663086    2381.4504395  
 680.0      2800.5551758    1576.0330811    2387.3283691  
 700.0      2841.3486328    1605.9001465    2393.1435547  
 720.0      2881.7670898    1635.5791016    2398.8996582  
 740.0      2921.8273926    1665.0789795    2404.5991211  
 760.0      2961.5488281    1694.4105225    2410.2451172  
 780.0      3000.9458008    1723.5809326    2415.8398438  
 800.0      3040.0336914    1752.5986328    2421.3857422  
 820.0      3078.8261719    1781.4710693    2426.8850098  
 840.0      3117.3369141    1810.2056885    2432.3398438  
 860.0      3155.5778809    1838.8084717    2437.7519531  
 880.0      3193.5603027    1867.2860107    2443.1232910  
 900.0      3231.2961426    1895.6442871    2448.4555664  
 920.0      3268.7944336    1923.8887939    2453.7504883  
 940.0      3306.0644531    1952.0244141    2459.0095215  
 960.0      3343.1166992    1980.0563965    2464.2338867  
 980.0      3379.9589844    2007.9891357    2469.4252930  
1000.0      3416.5996094    2035.8276367    2474.5849609  
1020.0      2694.7746582    1519.6533203    2360.0415039  
1040.0      2708.4396973    1530.5742188    2361.6318359  
1060.0      2722.1069336    1541.5031738    2363.2226562  
1080.0      2735.7766113    1552.4401855    2364.8139648  
1100.0      2749.4482422    1563.3847656    2366.4055176  
1120.0      2763.1228027    1574.3377686    2367.9975586  
1140.0      2776.8002930    1585.2987061    2369.5900879  
1160.0      2790.4777832    1596.2658691    2371.1823730  
1180.0      2804.1577148    1607.2412109    2372.7753906  
1200.0      2817.8417969    1618.2254639    2374.3688965  
1220.0      2831.5273438    1629.2166748    2375.9624023  
1240.0      2845.2150879    1640.2156982    2377.5566406  
1260.0      2858.9055176    1651.2226562    2379.1511230  
1280.0      2872.5991211    1662.2381592    2380.7460938  
1300.0      2886.2919922    1673.2591553    2382.3410645  
1320.0      2899.9890137    1684.2888184    2383.9365234  
1340.0      2913.6882324    1695.3264160    2385.5324707  
1360.0      2927.3891602    1706.3707275    2387.1284180  
1380.0      2941.0913086    1717.4226074    2388.7248535  
1400.0      2954.7983398    1728.4836426    2390.3220215  
1420.0      2968.5063477    1739.5512695    2391.9194336  
1440.0      2982.2170410    1750.6269531    2393.5170898  
1460.0      2995.9299316    1761.7097168    2395.1149902  
1480.0      3009.6457520    1772.8009033    2396.7136230  
1500.0      3023.3615723    1783.8975830    2398.3120117  
1520.0      3037.7424316    1794.4593506    2399.9111328  
1540.0      3057.2512207    1808.6774902    2402.3198242  
1560.0      3078.9992676    1824.5052490    2405.0822754  
1580.0      3100.7136230    1840.3262939    2407.8393555  
1600.0      3122.3994141    1856.1440430    2410.5917969  
1620.0      3144.0541992    1871.9567871    2413.3395996  
1640.0      3165.6796875    1887.7651367    2416.0825195  
1660.0      3187.2753906    1903.5687256    2418.8208008  
1680.0      3208.8466797    1919.3715820    2421.5554199  
1700.0      3230.3906250    1935.1707764    2424.2854004  
1720.0      3251.9089355    1950.9682617    2427.0117188  
