# CI_WTT2 -118.25502177 33.94893114
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0       404.7470093     160.4799957    1928.9095459  
  20.0      1163.5000000     355.0065308    2048.7165527  
  40.0      1299.9000244     416.6700134    2070.2541504  
  60.0      1310.3677979     482.2000122    2071.9069824  
  80.0      1293.5432129     526.3900146    2069.2504883  
 100.0      1273.3958740     559.8800049    2066.0693359  
 120.0      1256.7905273     584.2700195    2063.4472656  
 140.0      1248.8756104     602.5700073    2062.1975098  
 160.0      1253.2593994     513.7333984    2062.8896484  
 180.0      1272.0837402     523.6181641    2065.8620605  
 200.0      1306.0880127     541.5947876    2071.2312012  
 220.0      1348.1219482     564.0276489    2077.8684082  
 240.0      1387.6865234     585.3517456    2084.1157227  
 260.0      1425.1148682     605.7071533    2090.0256348  
 280.0      1460.6752930     625.2083740    2095.6406250  
 300.0      1494.5823975     643.9468994    2100.9946289  
 320.0      1527.0177002     662.0013428    2106.1162109  
 340.0      1558.1309814     679.4368286    2111.0288086  
 360.0      1588.0482178     696.3085938    2115.7529297  
 380.0      1616.8790283     712.6647339    2120.3051758  
 400.0      1644.7169189     728.5469971    2124.7006836  
 420.0      1671.6425781     743.9913940    2128.9523926  
 440.0      1697.7286377     759.0303345    2133.0712891  
 460.0      1723.0363770     773.6916504    2137.0673828  
 480.0      1747.6212158     788.0003052    2140.9494629  
 500.0      1771.5346680     801.9799805    2144.7253418  
 520.0      1794.8179932     815.6491089    2148.4018555  
 540.0      1817.5124512     829.0271606    2151.9853516  
 560.0      1839.6542969     842.1304932    2155.4814453  
 580.0      1861.2755127     854.9743652    2158.8955078  
 600.0      1882.4056396     867.5720215    2162.2319336  
 620.0      1903.0718994     879.9364624    2165.4951172  
 640.0      1923.2988281     892.0791626    2168.6889648  
 660.0      1943.1094971     904.0111084    2171.8168945  
 680.0      1962.5233154     915.7412109    2174.8823242  
 700.0      1981.5607910     927.2796021    2177.8884277  
 720.0      2000.2398682     938.6344604    2180.8378906  
 740.0      2018.5755615     949.8130493    2183.7331543  
 760.0      2036.5843506     960.8229980    2186.5766602  
 780.0      2054.2800293     971.6715088    2189.3708496  
 800.0      2071.6757812     982.3643799    2192.1176758  
 820.0      2088.7854004     992.9088745    2194.8193359  
