# CI_CFS -117.28289636 34.10533221
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0       360.8139954     228.5930023    1921.9725342  
  20.0      1921.5999756     332.2200012    2168.4206543  
  40.0      1913.3590088     387.0820007    2167.1193848  
  60.0      1895.3468018     441.9429932    2164.2753906  
  80.0      1879.8989258     502.8999939    2161.8359375  
 100.0      1875.5665283     502.8999939    2161.1518555  
 120.0      1888.4243164     563.8569946    2163.1821289  
 140.0      1922.5246582     563.8569946    2168.5666504  
 160.0      1980.0976562     624.8140259    2177.6574707  
 180.0      2061.6865234     624.8140259    2190.5402832  
 200.0      2102.0527344    1093.4906006    2228.5427246  
 220.0      2111.9560547    1086.4918213    2237.0310059  
 240.0      2120.3422852    1079.4930420    2245.0190430  
 260.0      2127.4179688    1072.4943848    2252.5751953  
 280.0      2133.3464355    1065.4956055    2259.7524414  
 300.0      2138.2622070    1058.4968262    2266.5961914  
 320.0      2142.2744141    1150.0676270    2273.1420898  
 340.0      2145.4760742    1155.1945801    2279.4204102  
 360.0      2147.9448242    1159.9226074    2285.4572754  
 380.0      2149.7478027    1164.2858887    2291.2744141  
 400.0      2150.9421387    1168.3139648    2296.8908691  
 420.0      2151.5776367    1172.0327148    2303.0217285  
 440.0      2151.6984863    1175.4644775    2309.8666992  
 460.0      2151.3425293    1178.6289062    2316.5070801  
 480.0      2150.5439453    1194.9814453    2322.9577637  
 500.0      2149.3330078    1215.0894775    2329.2316895  
 520.0      2165.8505859    1243.1486816    2335.3405762  
 540.0      2192.3901367    1270.6312256    2341.2946777  
 560.0      2231.4533691    1297.5701904    2347.1035156  
 580.0      4461.7065430    2574.0178223    2698.9013672  
 600.0      4463.9814453    2575.5825195    2698.9013672  
 620.0      4466.2558594    2577.1469727    2698.9013672  
 640.0      4468.5307617    2578.7114258    2698.9013672  
 660.0      4470.8056641    2580.2761230    2698.9013672  
 680.0      4473.0805664    2581.8408203    2698.9013672  
 700.0      4475.3554688    2583.4052734    2698.9013672  
 720.0      4477.6303711    2584.9697266    2698.9013672  
 740.0      4479.9052734    2586.5344238    2698.9013672  
 760.0      4482.1801758    2588.0991211    2698.9013672  
 780.0      4484.4550781    2589.6635742    2698.9013672  
 800.0      4486.7299805    2591.2280273    2698.9013672  
 820.0      4489.0048828    2592.7927246    2698.9013672  
 840.0      4491.2797852    2594.3574219    2698.9013672  
 860.0      4493.5546875    2595.9218750    2698.9013672  
 880.0      4495.8291016    2597.4863281    2698.9013672  
 900.0      4498.1040039    2599.0510254    2698.9013672  
 920.0      4500.3789062    2600.6157227    2698.9013672  
 940.0      4502.6538086    2602.1801758    2698.9013672  
 960.0      4504.9287109    2603.7448730    2698.9013672  
 980.0      4507.2036133    2605.3093262    2698.9013672  
1000.0      4509.5053711    2606.8918457    2698.9055176  
1020.0      4514.6318359    2611.2341309    2699.2536621  
1040.0      4519.7587891    2615.5771484    2699.6018066  
1060.0      4524.8847656    2619.9194336    2699.9497070  
1080.0      4530.0117188    2624.2619629    2700.2978516  
1100.0      4535.1381836    2628.6047363    2700.6459961  
1120.0      4540.2656250    2632.9472656    2700.9941406  
1140.0      4545.3920898    2637.2897949    2701.3422852  
1160.0      4550.5190430    2641.6325684    2701.6904297  
1180.0      4555.6450195    2645.9750977    2702.0383301  
1200.0      4560.7719727    2650.3176270    2702.3864746  
1220.0      4565.8984375    2654.6601562    2702.7346191  
1240.0      4571.0253906    2659.0026855    2703.0827637  
1260.0      4576.1518555    2663.3452148    2703.4309082  
1280.0      4581.2783203    2667.6879883    2703.7788086  
1300.0      4586.4047852    2672.0305176    2704.1269531  
1320.0      4591.5317383    2676.3730469    2704.4750977  
1340.0      4596.6582031    2680.7155762    2704.8232422  
1360.0      4601.7851562    2685.0581055    2705.1713867  
1380.0      4606.9111328    2689.4006348    2705.5192871  
1400.0      4612.0380859    2693.7434082    2705.8674316  
1420.0      4617.1645508    2698.0859375    2706.2155762  
1440.0      4622.2919922    2702.4287109    2706.5637207  
1460.0      4627.4179688    2706.7709961    2706.9116211  
1480.0      4632.5439453    2711.1137695    2707.2597656  
1500.0      4637.6713867    2715.4562988    2707.6079102  
1520.0      4642.2104492    2719.1962891    2707.9560547  
1540.0      4646.7504883    2722.9365234    2708.3041992  
1560.0      4651.2900391    2726.6765137    2708.6523438  
1580.0      4655.8295898    2730.4165039    2709.0004883  
1600.0      4660.3686523    2734.1567383    2709.3483887  
1620.0      4664.9086914    2737.8969727    2709.6965332  
1640.0      4669.4477539    2741.6369629    2710.0446777  
1660.0      4673.9873047    2745.3769531    2710.3925781  
1680.0      4678.5263672    2749.1166992    2710.7407227  
1700.0      4683.0664062    2752.8571777    2711.0888672  
1720.0      4687.6059570    2756.5971680    2711.4370117  
1740.0      4692.1450195    2760.3371582    2711.7851562  
1760.0      4696.6845703    2764.0771484    2712.1330566  
1780.0      4701.2241211    2767.8173828    2712.4812012  
1800.0      4705.7636719    2771.5573730    2712.8293457  
1820.0      4710.3027344    2775.2973633    2713.1774902  
1840.0      4714.8417969    2779.0373535    2713.5253906  
1860.0      4719.3818359    2782.7775879    2713.8735352  
1880.0      4723.9208984    2786.5178223    2714.2216797  
1900.0      4728.4609375    2790.2575684    2714.5698242  
1920.0      4733.0000000    2793.9975586    2714.9179688  
1940.0      4737.5395508    2797.7380371    2715.2661133  
1960.0      4742.0791016    2801.4777832    2715.6142578  
1980.0      4746.6186523    2805.2180176    2715.9621582  
2000.0      4751.1582031    2808.9580078    2716.3103027  
2020.0      4756.5517578    2812.8420410    2716.6584473  
2040.0      4761.9453125    2816.7255859    2717.0065918  
2060.0      4767.3383789    2820.6093750    2717.3544922  
2080.0      4772.7319336    2824.4934082    2717.7026367  
2100.0      4778.1250000    2828.3764648    2718.0507812  
2120.0      4783.5185547    2832.2604980    2718.3989258  
2140.0      4788.9121094    2836.1445312    2718.7470703  
2160.0      4794.3051758    2840.0280762    2719.0949707  
2180.0      4799.6987305    2843.9118652    2719.4431152  
2200.0      4805.0922852    2847.7958984    2719.7912598  
2220.0      4810.4853516    2851.6796875    2720.1394043  
2240.0      4815.8789062    2855.5634766    2720.4873047  
2260.0      4821.2719727    2859.4470215    2720.8354492  
2280.0      4826.6660156    2863.3308105    2721.1835938  
2300.0      4832.0590820    2867.2145996    2721.5317383  
2320.0      4837.4531250    2871.0983887    2721.8798828  
2340.0      4842.8457031    2874.9821777    2722.2277832  
2360.0      4848.2397461    2878.8659668    2722.5761719  
2380.0      4853.6328125    2882.7495117    2722.9240723  
2400.0      4859.0263672    2886.6333008    2723.2722168  
2420.0      4864.4199219    2890.5170898    2723.6203613  
2440.0      4869.8134766    2894.4011230    2723.9682617  
2460.0      4875.2060547    2898.2846680    2724.3164062  
2480.0      4880.5996094    2902.1687012    2724.6645508  
2500.0      4885.9936523    2906.0524902    2725.0126953  
2520.0      4888.8032227    2907.5170898    2725.3608398  
2540.0      4891.6132812    2908.9819336    2725.7089844  
2560.0      4894.4228516    2910.4462891    2726.0568848  
2580.0      4897.2324219    2911.9106445    2726.4050293  
2600.0      4900.0429688    2913.3754883    2726.7531738  
2620.0      4902.8525391    2914.8398438    2727.1010742  
2640.0      4905.6621094    2916.3044434    2727.4492188  
2660.0      4908.4721680    2917.7692871    2727.7973633  
2680.0      4911.2827148    2919.2338867    2728.1455078  
2700.0      4914.0917969    2920.6984863    2728.4936523  
2720.0      4916.9013672    2922.1630859    2728.8415527  
2740.0      4919.7119141    2923.6276855    2729.1899414  
2760.0      4922.5219727    2925.0922852    2729.5378418  
2780.0      4925.3310547    2926.5568848    2729.8859863  
2800.0      4928.1411133    2928.0214844    2730.2341309  
2820.0      4930.9511719    2929.4860840    2730.5820312  
2840.0      4933.7612305    2930.9506836    2730.9301758  
2860.0      4936.5712891    2932.4152832    2731.2783203  
2880.0      4939.3808594    2933.8798828    2731.6264648  
2900.0      4942.1909180    2935.3444824    2731.9746094  
2920.0      4945.0009766    2936.8090820    2732.3227539  
2940.0      4947.8100586    2938.2736816    2732.6706543  
2960.0      4950.6201172    2939.7382812    2733.0187988  
2980.0      4953.4301758    2941.2028809    2733.3669434  
3000.0      4956.2402344    2942.6677246    2733.7150879  
3020.0      4958.8779297    2944.2158203    2734.0629883  
3040.0      4961.5151367    2945.7641602    2734.4111328  
3060.0      4964.1533203    2947.3122559    2734.7592773  
3080.0      4966.7910156    2948.8603516    2735.1074219  
3100.0      4969.4291992    2950.4086914    2735.4555664  
3120.0      4972.0664062    2951.9570312    2735.8037109  
3140.0      4974.7041016    2953.5051270    2736.1516113  
3160.0      4977.3422852    2955.0534668    2736.4997559  
3180.0      4979.9799805    2956.6015625    2736.8479004  
3200.0      4982.6176758    2958.1496582    2737.1960449  
3220.0      4985.2553711    2959.6979980    2737.5439453  
3240.0      4987.8935547    2961.2460938    2737.8920898  
3260.0      4990.5307617    2962.7941895    2738.2402344  
3280.0      4993.1689453    2964.3425293    2738.5883789  
3300.0      4995.8066406    2965.8906250    2738.9365234  
3320.0      4998.4443359    2967.4389648    2739.2846680  
3340.0      5001.0820312    2968.9870605    2739.6325684  
3360.0      5003.7197266    2970.5351562    2739.9807129  
3380.0      5006.3579102    2972.0834961    2740.3288574  
3400.0      5008.9951172    2973.6315918    2740.6767578  
3420.0      5011.6337891    2975.1799316    2741.0251465  
3440.0      5014.2709961    2976.7280273    2741.3730469  
3460.0      5016.9086914    2978.2761230    2741.7211914  
3480.0      5019.5468750    2979.8244629    2742.0693359  
3500.0      5022.1845703    2981.3728027    2742.4174805  
3520.0      5025.7753906    2983.2119141    2742.7656250  
3540.0      5029.3652344    2985.0507812    2743.1135254  
3560.0      5032.9565430    2986.8896484    2743.4616699  
3580.0      5036.5468750    2988.7290039    2743.8098145  
3600.0      5040.1376953    2990.5681152    2744.1577148  
3620.0      5043.7280273    2992.4069824    2744.5058594  
3640.0      5047.3188477    2994.2458496    2744.8540039  
3660.0      5050.9096680    2996.0849609    2745.2021484  
3680.0      5054.5004883    2997.9240723    2745.5502930  
3700.0      5058.0903320    2999.7629395    2745.8984375  
3720.0      5061.6811523    3001.6020508    2746.2463379  
3740.0      5065.2719727    3003.4411621    2746.5944824  
3760.0      5068.8627930    3005.2802734    2746.9426270  
3780.0      5072.4531250    3007.1191406    2747.2907715  
3800.0      5076.0439453    3008.9582520    2747.6389160  
3820.0      5079.6342773    3010.7971191    2747.9868164  
3840.0      5083.2255859    3012.6362305    2748.3349609  
3860.0      5086.8154297    3014.4755859    2748.6831055  
3880.0      5090.4062500    3016.3144531    2749.0312500  
3900.0      5093.9970703    3018.1533203    2749.3793945  
3920.0      5097.5883789    3019.9924316    2749.7275391  
3940.0      5101.1782227    3021.8315430    2750.0754395  
3960.0      5104.7690430    3023.6704102    2750.4235840  
3980.0      5108.3598633    3025.5095215    2750.7717285  
4000.0      5111.9501953    3027.3486328    2751.1198730  
4020.0      5116.3193359    3029.9267578    2751.4677734  
4040.0      5120.6884766    3032.5046387    2751.8159180  
4060.0      5125.0571289    3035.0820312    2752.1640625  
4080.0      5129.4262695    3037.6601562    2752.5122070  
4100.0      5133.7949219    3040.2377930    2752.8601074  
4120.0      5138.1645508    3042.8159180    2753.2084961  
4140.0      5142.5332031    3045.3937988    2753.5563965  
4160.0      5146.9023438    3047.9714355    2753.9045410  
4180.0      5151.2714844    3050.5493164    2754.2524414  
4200.0      5155.6401367    3053.1271973    2754.6005859  
4220.0      5160.0092773    3055.7050781    2754.9487305  
4240.0      5164.3784180    3058.2829590    2755.2968750  
4260.0      5168.7475586    3060.8608398    2755.6450195  
4280.0      5173.1166992    3063.4387207    2755.9931641  
4300.0      5177.4853516    3066.0166016    2756.3410645  
4320.0      5181.8544922    3068.5942383    2756.6892090  
4340.0      5186.2236328    3071.1723633    2757.0373535  
4360.0      5190.5927734    3073.7500000    2757.3854980  
4380.0      5194.9614258    3076.3281250    2757.7336426  
4400.0      5199.3305664    3078.9057617    2758.0815430  
4420.0      5203.6997070    3081.4838867    2758.4296875  
4440.0      5208.0683594    3084.0617676    2758.7778320  
4460.0      5212.4379883    3086.6391602    2759.1259766  
4480.0      5216.8071289    3089.2175293    2759.4741211  
4500.0      5221.1757812    3091.7951660    2759.8220215  
4520.0      5228.4677734    3096.6740723    2760.1701660  
4540.0      5235.7602539    3101.5527344    2760.5183105  
4560.0      5243.0527344    3106.4311523    2760.8664551  
4580.0      5250.3447266    3111.3100586    2761.2145996  
4600.0      5257.6367188    3116.1884766    2761.5625000  
4620.0      5264.9291992    3121.0671387    2761.9106445  
4640.0      5272.2211914    3125.9458008    2762.2587891  
4660.0      5279.5136719    3130.8242188    2762.6069336  
4680.0      5286.8066406    3135.7031250    2762.9550781  
4700.0      5294.0981445    3140.5817871    2763.3032227  
4720.0      5301.3906250    3145.4604492    2763.6511230  
4740.0      5308.6826172    3150.3391113    2763.9992676  
4760.0      5315.9750977    3155.2177734    2764.3474121  
4780.0      5323.2675781    3160.0966797    2764.6955566  
4800.0      5330.5590820    3164.9750977    2765.0434570  
4820.0      5337.8515625    3169.8537598    2765.3916016  
4840.0      5345.1440430    3174.7326660    2765.7397461  
4860.0      5352.4355469    3179.6108398    2766.0878906  
4880.0      5359.7285156    3184.4895020    2766.4360352  
4900.0      5367.0209961    3189.3681641    2766.7841797  
4920.0      5374.3125000    3194.2468262    2767.1320801  
4940.0      5381.6049805    3199.1257324    2767.4802246  
4960.0      5388.8974609    3204.0043945    2767.8283691  
4980.0      5396.1899414    3208.8830566    2768.1765137  
5000.0      5403.4819336    3213.7617188    2768.5244141  
