# CI_CFT -117.11241922 34.03553414
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0       348.4389954     207.2539978    1920.0185547  
  20.0      1387.3299561     487.6560059    2084.0593262  
  40.0      1708.3199463     640.0479736    2134.7436523  
  60.0      1689.7487793     754.4219360    2131.8112793  
  80.0      1711.8300781     767.1909790    2135.2978516  
 100.0      2103.5874023     914.3549805    2197.1564941  
 120.0      2484.5869141     980.0000000    2257.3164062  
 140.0      2966.2900391     980.0000000    2333.3771973  
 160.0      2753.1589355     965.7468872    2422.0151367  
 180.0      3343.4672852     947.7050781    2519.3559570  
 200.0      3961.9484863     929.6633301    2621.1455078  
 220.0      3935.8041992     911.6215820    2621.1486816  
 240.0      3909.6398926     893.5797119    2621.1486816  
 260.0      3883.4755859     875.5379639    2621.1486816  
 280.0      3857.3115234     857.4962158    2621.1486816  
 300.0      3831.1472168     839.4544067    2621.1486816  
 320.0      3804.9829102    2193.2856445    2621.1486816  
 340.0      3778.8188477    2175.2436523    2621.1486816  
 360.0      3752.6545410    2157.2019043    2621.1486816  
 380.0      3726.4902344    2139.1601562    2621.1486816  
 400.0      3700.3261719    2121.1184082    2621.1486816  
 420.0      3674.1618652    2103.0766602    2621.1486816  
 440.0      3647.9975586    2085.0349121    2621.1486816  
 460.0      3621.8334961    2066.9931641    2621.1486816  
 480.0      3595.6689453    2048.9511719    2621.1486816  
 500.0      3569.5048828    2030.9094238    2621.1486816  
 520.0      3575.9396973    2035.7995605    2621.1486816  
 540.0      3582.3745117    2040.6894531    2621.1486816  
 560.0      3588.8093262    2045.5794678    2621.1486816  
 580.0      3595.2441406    2050.4694824    2621.1486816  
 600.0      3601.6789551    2055.3593750    2621.1486816  
 620.0      3608.1137695    2060.2495117    2621.1486816  
 640.0      3614.5483398    2065.1396484    2621.1486816  
 660.0      3620.9833984    2070.0295410    2621.1486816  
 680.0      3627.4179688    2074.9194336    2621.1486816  
 700.0      3633.8530273    2079.8095703    2621.1486816  
 720.0      3640.2875977    2084.6994629    2621.1486816  
 740.0      3646.7226562    2089.5895996    2621.1486816  
 760.0      3653.1572266    2094.4794922    2621.1486816  
 780.0      3659.5922852    2099.3696289    2621.1486816  
 800.0      3666.0268555    2104.2595215    2621.1486816  
 820.0      3672.4619141    2109.1496582    2621.1486816  
 840.0      3678.8964844    2114.0395508    2621.1486816  
 860.0      3685.3315430    2118.9296875    2621.1486816  
 880.0      3691.7661133    2123.8195801    2621.1486816  
 900.0      3698.2011719    2128.7094727    2621.1486816  
 920.0      3704.6357422    2133.5996094    2621.1486816  
 940.0      3711.0708008    2138.4897461    2621.1486816  
 960.0      3717.5053711    2143.3796387    2621.1486816  
 980.0      3723.9404297    2148.2695312    2621.1486816  
1000.0      3730.4311523    2153.1899414    2621.1577148  
1020.0      3741.6220703    2160.9584961    2621.8837891  
1040.0      3752.8129883    2168.7272949    2622.6096191  
1060.0      3764.0041504    2176.4956055    2623.3356934  
1080.0      3775.1955566    2184.2646484    2624.0620117  
1100.0      3786.3864746    2192.0332031    2624.7878418  
1120.0      3797.5773926    2199.8017578    2625.5139160  
1140.0      3808.7678223    2207.5705566    2626.2399902  
1160.0      3819.9594727    2215.3391113    2626.9660645  
1180.0      3831.1503906    2223.1079102    2627.6921387  
1200.0      3842.3413086    2230.8762207    2628.4182129  
1220.0      3853.5327148    2238.6450195    2629.1442871  
1240.0      3864.7236328    2246.4135742    2629.8703613  
1260.0      3875.9140625    2254.1821289    2630.5961914  
