# CI_CHN -117.68040507 33.99877869
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0       360.8139954     228.5930023    1921.9725342  
  20.0      1921.5999756     332.2200012    2168.4206543  
  40.0      1912.6197510     387.0820007    2167.0026855  
  60.0      1891.6015625     441.9429932    2163.6838379  
  80.0      1870.4139404     502.8999939    2160.3383789  
 100.0      1857.4116211     502.8999939    2158.2854004  
 120.0      1858.6628418     563.8569946    2158.4829102  
 140.0      1878.3742676     563.8569946    2161.5952148  
 160.0      1919.0706787     624.8140259    2168.0212402  
 180.0      1981.7111816     624.8140259    2177.9121094  
 200.0      2065.7963867     978.7471924    2191.1892090  
 220.0      2196.8447266    1103.4492188    2224.4396973  
 240.0      2209.1772461    1098.4746094    2232.0571289  
 260.0      2220.2597656    1093.4998779    2239.2622070  
 280.0      2230.1381836    1088.5251465    2246.0705566  
 300.0      2238.5920410    1083.5505371    2252.4089355  
 320.0      2246.2309570    1149.1154785    2258.4787598  
 340.0      2253.1359863    1155.2316895    2264.3063965  
 360.0      2259.3769531    1160.9925537    2269.9150391  
 380.0      2265.0126953    1166.4277344    2275.3242188  
 400.0      2270.0937500    1171.5623779    2280.5505371  
 420.0      2274.6655273    1176.4196777    2285.6088867  
 440.0      2278.7670898    1181.0195312    2290.5122070  
 460.0      2282.4326172    1185.3792725    2295.2714844  
 480.0      2285.6928711    1189.5147705    2299.8974609  
 500.0      2288.5749512    1193.4400635    2305.7211914  
 520.0      2302.2343750    1202.4863281    2311.4243164  
 540.0      2315.5617676    1211.3465576    2316.9853516  
 560.0      2328.5776367    1231.9570312    2322.4125977  
 580.0      2341.2998047    1255.1911621    2327.7141113  
 600.0      2353.7456055    1277.9851074    2332.8967285  
 620.0      2365.9291992    1300.3612061    2337.9670410  
 640.0      2394.7951660    1322.3395996    2342.9309082  
 660.0      2425.9536133    1343.9389648    2347.7934570  
 680.0      2456.5051270    1365.1784668    2352.5605469  
 700.0      2486.4755859    1386.0715332    2357.2355957  
 720.0      2515.8952637    1406.6354980    2361.8237305  
 740.0      2544.7871094    1426.8830566    2366.3286133  
 760.0      2573.1755371    1446.8282471    2370.7539062  
 780.0      2601.0812988    1466.4820557    2375.1030273  
 800.0      4746.7763672    2724.2895508    2713.8510742  
 820.0      4747.1386719    2724.6330566    2713.8510742  
 840.0      4747.5009766    2724.9765625    2713.8510742  
 860.0      4747.8637695    2725.3200684    2713.8510742  
 880.0      4748.2260742    2725.6635742    2713.8510742  
 900.0      4748.5883789    2726.0070801    2713.8510742  
 920.0      4748.9506836    2726.3505859    2713.8510742  
 940.0      4749.3129883    2726.6943359    2713.8510742  
 960.0      4749.6752930    2727.0378418    2713.8510742  
 980.0      4750.0375977    2727.3813477    2713.8510742  
1000.0      4750.4150391    2727.7451172    2713.8535156  
1020.0      4756.1752930    2733.0537109    2714.0478516  
1040.0      4761.9355469    2738.3627930    2714.2424316  
1060.0      4767.6962891    2743.6716309    2714.4370117  
1080.0      4773.4565430    2748.9804688    2714.6318359  
1100.0      4779.2167969    2754.2893066    2714.8261719  
1120.0      4784.9765625    2759.5981445    2715.0207520  
1140.0      4790.7373047    2764.9069824    2715.2153320  
1160.0      4796.4975586    2770.2158203    2715.4099121  
1180.0      4802.2578125    2775.5244141    2715.6044922  
1200.0      4808.0185547    2780.8332520    2715.7990723  
1220.0      4813.7783203    2786.1423340    2715.9936523  
1240.0      4819.5385742    2791.4511719    2716.1882324  
1260.0      4825.2988281    2796.7597656    2716.3828125  
1280.0      4831.0590820    2802.0686035    2716.5773926  
1300.0      4836.8198242    2807.3776855    2716.7719727  
1320.0      4842.5795898    2812.6865234    2716.9665527  
1340.0      4848.3398438    2817.9951172    2717.1611328  
1360.0      4854.1005859    2823.3039551    2717.3557129  
1380.0      4859.8603516    2828.6127930    2717.5502930  
1400.0      4865.6206055    2833.9216309    2717.7446289  
1420.0      4871.3808594    2839.2304688    2717.9394531  
1440.0      4877.1416016    2844.5393066    2718.1340332  
1460.0      4882.9013672    2849.8483887    2718.3286133  
1480.0      4888.6621094    2855.1569824    2718.5229492  
1500.0      4894.4223633    2860.4660645    2718.7177734  
1520.0      4900.3217773    2865.6777344    2718.9123535  
1540.0      4906.2211914    2870.8896484    2719.1069336  
1560.0      4912.1206055    2876.1013184    2719.3012695  
1580.0      4918.0200195    2881.3132324    2719.4960938  
1600.0      4923.9189453    2886.5251465    2719.6904297  
1620.0      4929.8183594    2891.7368164    2719.8852539  
1640.0      4935.7182617    2896.9487305    2720.0795898  
1660.0      4941.6176758    2902.1606445    2720.2744141  
1680.0      4947.5161133    2907.3723145    2720.4687500  
1700.0      4953.4160156    2912.5844727    2720.6633301  
1720.0      4959.3159180    2917.7963867    2720.8579102  
1740.0      4965.2148438    2923.0078125    2721.0524902  
1760.0      4971.1142578    2928.2199707    2721.2470703  
1780.0      4977.0141602    2933.4318848    2721.4418945  
1800.0      4982.9130859    2938.6435547    2721.6362305  
1820.0      4988.8120117    2943.8552246    2721.8308105  
1840.0      4994.7114258    2949.0673828    2722.0253906  
1860.0      5000.6113281    2954.2790527    2722.2199707  
1880.0      5006.5107422    2959.4909668    2722.4145508  
1900.0      5012.4096680    2964.7026367    2722.6091309  
1920.0      5018.3095703    2969.9145508    2722.8037109  
1940.0      5024.2089844    2975.1267090    2722.9982910  
1960.0      5030.1079102    2980.3381348    2723.1928711  
1980.0      5036.0073242    2985.5500488    2723.3874512  
2000.0      5041.9067383    2990.7619629    2723.5820312  
2020.0      5049.2128906    2996.5581055    2723.7766113  
2040.0      5056.5195312    3002.3537598    2723.9711914  
2060.0      5063.8251953    3008.1496582    2724.1657715  
2080.0      5071.1318359    3013.9458008    2724.3603516  
2100.0      5078.4375000    3019.7419434    2724.5546875  
2120.0      5085.7446289    3025.5378418    2724.7495117  
2140.0      5093.0502930    3031.3337402    2724.9440918  
2160.0      5100.3564453    3037.1298828    2725.1386719  
2180.0      5107.6625977    3042.9255371    2725.3330078  
2200.0      5114.9692383    3048.7219238    2725.5278320  
2220.0      5122.2753906    3054.5175781    2725.7224121  
2240.0      5129.5815430    3060.3137207    2725.9169922  
2260.0      5136.8876953    3066.1093750    2726.1113281  
2280.0      5144.1943359    3071.9055176    2726.3061523  
2300.0      5151.5000000    3077.7011719    2726.5004883  
2320.0      5158.8066406    3083.4975586    2726.6953125  
2340.0      5166.1123047    3089.2932129    2726.8896484  
2360.0      5173.4189453    3095.0893555    2727.0842285  
2380.0      5180.7246094    3100.8850098    2727.2788086  
2400.0      5188.0312500    3106.6811523    2727.4733887  
2420.0      5195.3374023    3112.4770508    2727.6679688  
2440.0      5202.6440430    3118.2731934    2727.8625488  
2460.0      5209.9497070    3124.0690918    2728.0571289  
2480.0      5217.2563477    3129.8649902    2728.2517090  
2500.0      5224.5620117    3135.6608887    2728.4462891  
2520.0      5227.7558594    3137.7202148    2728.6408691  
2540.0      5230.9497070    3139.7792969    2728.8354492  
2560.0      5234.1430664    3141.8381348    2729.0300293  
2580.0      5237.3364258    3143.8974609    2729.2246094  
2600.0      5240.5302734    3145.9562988    2729.4191895  
2620.0      5243.7236328    3148.0156250    2729.6137695  
2640.0      5246.9169922    3150.0744629    2729.8083496  
2660.0      5250.1108398    3152.1337891    2730.0029297  
2680.0      5253.3046875    3154.1931152    2730.1975098  
2700.0      5256.4985352    3156.2519531    2730.3920898  
2720.0      5259.6909180    3158.3110352    2730.5864258  
2740.0      5262.8847656    3160.3701172    2730.7812500  
2760.0      5266.0786133    3162.4294434    2730.9758301  
2780.0      5269.2724609    3164.4885254    2731.1704102  
2800.0      5272.4653320    3166.5476074    2731.3647461  
2820.0      5275.6591797    3168.6066895    2731.5595703  
2840.0      5278.8530273    3170.6660156    2731.7541504  
2860.0      5282.0463867    3172.7250977    2731.9487305  
2880.0      5285.2402344    3174.7841797    2732.1430664  
2900.0      5288.4335938    3176.8432617    2732.3378906  
2920.0      5291.6269531    3178.9023438    2732.5322266  
2940.0      5294.8208008    3180.9614258    2732.7270508  
2960.0      5298.0136719    3183.0205078    2732.9213867  
2980.0      5301.2075195    3185.0798340    2733.1159668  
3000.0      5304.4013672    3187.1386719    2733.3105469  
3020.0      5307.5703125    3189.5666504    2733.5053711  
3040.0      5310.7392578    3191.9941406    2733.6997070  
3060.0      5313.9072266    3194.4223633    2733.8942871  
3080.0      5317.0756836    3196.8498535    2734.0888672  
3100.0      5320.2446289    3199.2780762    2734.2834473  
3120.0      5323.4135742    3201.7055664    2734.4780273  
3140.0      5326.5825195    3204.1337891    2734.6726074  
3160.0      5329.7509766    3206.5615234    2734.8671875  
3180.0      5332.9194336    3208.9895020    2735.0617676  
3200.0      5336.0878906    3211.4172363    2735.2563477  
3220.0      5339.2568359    3213.8452148    2735.4509277  
3240.0      5342.4257812    3216.2729492    2735.6455078  
3260.0      5345.5947266    3218.7006836    2735.8400879  
3280.0      5348.7631836    3221.1289062    2736.0346680  
3300.0      5351.9316406    3223.5563965    2736.2292480  
3320.0      5355.1000977    3225.9846191    2736.4238281  
3340.0      5358.2690430    3228.4121094    2736.6184082  
3360.0      5361.4379883    3230.8403320    2736.8129883  
3380.0      5364.6069336    3233.2680664    2737.0075684  
3400.0      5367.7749023    3235.6960449    2737.2021484  
3420.0      5370.9438477    3238.1237793    2737.3964844  
3440.0      5374.1123047    3240.5517578    2737.5913086  
3460.0      5377.2812500    3242.9794922    2737.7858887  
3480.0      5380.4501953    3245.4072266    2737.9804688  
3500.0      5383.6186523    3247.8352051    2738.1748047  
3520.0      5385.8608398    3249.5246582    2738.3696289  
3540.0      5388.1025391    3251.2143555    2738.5639648  
3560.0      5390.3447266    3252.9035645    2738.7587891  
3580.0      5392.5869141    3254.5932617    2738.9531250  
3600.0      5394.8291016    3256.2824707    2739.1479492  
3620.0      5397.0708008    3257.9721680    2739.3422852  
3640.0      5399.3129883    3259.6616211    2739.5371094  
3660.0      5401.5546875    3261.3510742    2739.7314453  
3680.0      5403.7968750    3263.0405273    2739.9260254  
3700.0      5406.0390625    3264.7299805    2740.1206055  
3720.0      5408.2812500    3266.4194336    2740.3154297  
3740.0      5410.5224609    3268.1088867    2740.5097656  
3760.0      5412.7646484    3269.7988281    2740.7043457  
3780.0      5415.0063477    3271.4880371    2740.8989258  
3800.0      5417.2485352    3273.1774902    2741.0935059  
3820.0      5419.4907227    3274.8669434    2741.2880859  
3840.0      5421.7324219    3276.5566406    2741.4826660  
3860.0      5423.9746094    3278.2460938    2741.6772461  
3880.0      5426.2167969    3279.9353027    2741.8718262  
3900.0      5428.4584961    3281.6247559    2742.0664062  
3920.0      5430.7006836    3283.3144531    2742.2609863  
3940.0      5432.9423828    3285.0039062    2742.4555664  
3960.0      5435.1845703    3286.6933594    2742.6501465  
3980.0      5437.4267578    3288.3828125    2742.8447266  
4000.0      5439.6684570    3290.0722656    2743.0393066  
4020.0      5442.4111328    3291.7194824    2743.2338867  
4040.0      5445.1538086    3293.3666992    2743.4284668  
4060.0      5447.8959961    3295.0139160    2743.6230469  
4080.0      5450.6391602    3296.6611328    2743.8176270  
4100.0      5453.3808594    3298.3085938    2744.0122070  
4120.0      5456.1230469    3299.9553223    2744.2065430  
4140.0      5458.8657227    3301.6027832    2744.4013672  
4160.0      5461.6083984    3303.2500000    2744.5959473  
4180.0      5464.3505859    3304.8972168    2744.7905273  
4200.0      5467.0932617    3306.5444336    2744.9848633  
4220.0      5469.8359375    3308.1916504    2745.1796875  
4240.0      5472.5781250    3309.8388672    2745.3740234  
4260.0      5475.3208008    3311.4860840    2745.5688477  
4280.0      5478.0634766    3313.1333008    2745.7631836  
4300.0      5480.8051758    3314.7802734    2745.9577637  
4320.0      5483.5478516    3316.4277344    2746.1523438  
4340.0      5486.2905273    3318.0749512    2746.3471680  
4360.0      5489.0327148    3319.7221680    2746.5415039  
4380.0      5491.7753906    3321.3691406    2746.7360840  
4400.0      5494.5180664    3323.0166016    2746.9306641  
4420.0      5497.2602539    3324.6638184    2747.1252441  
4440.0      5500.0029297    3326.3110352    2747.3198242  
4460.0      5502.7456055    3327.9582520    2747.5144043  
4480.0      5505.4873047    3329.6054688    2747.7089844  
4500.0      5508.2299805    3331.2524414    2747.9035645  
4520.0      5513.1108398    3334.2016602    2748.0981445  
4540.0      5517.9912109    3337.1513672    2748.2927246  
4560.0      5522.8715820    3340.1005859    2748.4873047  
4580.0      5527.7514648    3343.0498047    2748.6818848  
4600.0      5532.6323242    3345.9987793    2748.8764648  
4620.0      5537.5126953    3348.9479980    2749.0710449  
4640.0      5542.3930664    3351.8974609    2749.2656250  
4660.0      5547.2734375    3354.8466797    2749.4602051  
4680.0      5552.1542969    3357.7958984    2749.6547852  
4700.0      5557.0346680    3360.7451172    2749.8493652  
4720.0      5561.9145508    3363.6943359    2750.0439453  
4740.0      5566.7954102    3366.6435547    2750.2385254  
4760.0      5571.6752930    3369.5927734    2750.4331055  
4780.0      5576.5556641    3372.5419922    2750.6274414  
4800.0      5581.4360352    3375.4912109    2750.8222656  
4820.0      5586.3168945    3378.4404297    2751.0166016  
4840.0      5591.1972656    3381.3898926    2751.2114258  
4860.0      5596.0781250    3384.3391113    2751.4057617  
4880.0      5600.9580078    3387.2885742    2751.6005859  
4900.0      5605.8388672    3390.2377930    2751.7949219  
4920.0      5610.7187500    3393.1870117    2751.9895020  
4940.0      5615.5996094    3396.1359863    2752.1840820  
4960.0      5620.4794922    3399.0852051    2752.3786621  
4980.0      5625.3603516    3402.0346680    2752.5732422  
5000.0      5630.2407227    3404.9838867    2752.7678223  
