# CI_GVR -118.11994908 34.04962586
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0       638.4124756     208.7099915    1965.8052979  
  20.0      1641.0836182     817.8725586    2124.1271973  
  40.0      1661.5500488     548.0000000    2127.3588867  
  60.0      1630.8603516     588.0000000    2122.5129395  
  80.0      1638.7530518     588.0000000    2123.7590332  
 100.0      1665.4458008     603.4699707    2127.9738770  
 120.0      1716.8212891     627.8599854    2136.0861816  
 140.0      1795.4123535     646.1400146    2148.4956055  
 160.0      1900.9659424     646.1400146    2165.1625977  
 180.0      2030.8112793     667.4799805    2185.6650391  
 200.0      2180.2224121     694.9099731    2209.2570801  
 220.0      2216.1093750     694.9099731    2214.9235840  
 240.0      2249.4672852     725.3900146    2220.1909180  
 260.0      2280.6748047     725.3900146    2225.1186523  
 280.0      2310.0270996     725.3900146    2229.7534180  
 300.0      2337.7592773     725.3900146    2234.1323242  
 320.0      2518.7590332    1275.4573975    2252.5541992  
 340.0      2524.6994629    1279.8209229    2255.5939941  
 360.0      2530.2229004    1283.9417725    2258.4963379  
 380.0      2535.3720703    1287.8439941    2261.2753906  
 400.0      2540.1816406    1291.5474854    2263.9421387  
 420.0      2544.6821289    1295.0695801    2266.5073242  
 440.0      2548.8999023    1298.4257812    2268.9792480  
 460.0      2552.8593750    1301.6296387    2271.3659668  
 480.0      2556.5793457    1304.6920166    2273.6735840  
 500.0      2560.0788574    1307.6241455    2275.9086914  
 520.0      2569.4138184    1315.5943604    2278.0759277  
 540.0      2578.5583496    1323.4520264    2280.1806641  
 560.0      2587.5253906    1331.2034912    2282.2265625  
 580.0      2596.3261719    1338.8560791    2284.2177734  
 600.0      2604.9702148    1346.4152832    2286.1572266  
 620.0      2613.4687500    1353.8873291    2288.0488281  
 640.0      2621.8288574    1361.2767334    2289.8950195  
 660.0      2630.0593262    1368.5882568    2291.6982422  
 680.0      2638.1667480    1375.8258057    2293.4609375  
 700.0      2646.1579590    1382.9935303    2295.1850586  
 720.0      2654.0383301    1390.0948486    2296.8730469  
 740.0      2661.8146973    1397.1328125    2298.5261230  
 760.0      2669.4912109    1404.1109619    2300.1909180  
 780.0      2677.0727539    1411.0317383    2302.2580566  
 800.0      2684.5639648    1417.8977051    2304.2863770  
 820.0      2691.9687500    1424.7114258    2306.2775879  
 840.0      2699.2912598    1431.4754639    2308.2336426  
 860.0      2706.5349121    1438.1914062    2310.1557617  
 880.0      2713.7031250    1444.8615723    2312.0456543  
 900.0      2720.7985840    1451.4875488    2313.9042969  
 920.0      2727.8244629    1458.0711670    2315.7329102  
 940.0      2734.7839355    1464.6141357    2317.5332031  
 960.0      2741.6787109    1474.4431152    2319.3059082  
 980.0      2748.5122070    1485.7413330    2321.0520020  
1000.0      2755.2858887    1496.9377441    2322.7727051  
1020.0      2763.5795898    1509.4500732    2324.4687500  
1040.0      2771.8183594    1521.8676758    2326.1411133  
1060.0      2780.0034180    1534.1938477    2327.7905273  
1080.0      2788.1372070    1546.4316406    2329.4179688  
1100.0      2796.2207031    1558.5838623    2331.0239258  
1120.0      2804.2565918    1570.6534424    2332.6093750  
1140.0      2812.2456055    1582.6430664    2334.1748047  
1160.0      2820.1896973    1594.5549316    2335.7209473  
1180.0      2828.0898438    1606.3913574    2337.2480469  
1200.0      2836.1770020    1618.1550293    2338.7573242  
1220.0      2849.9624023    1629.8476562    2340.2487793  
1240.0      2863.6396484    1641.4716797    2341.7231445  
1260.0      2877.2116699    1653.0290527    2343.1811523  
1280.0      2890.6821289    1664.5212402    2344.6228027  
1300.0      2904.0529785    1675.9504395    2346.0488281  
1320.0      2930.8464355    1696.6667480    2349.5944824  
1340.0      2957.7211914    1717.4713135    2353.1528320  
1360.0      2984.2282715    1738.0523682    2356.6530762  
1380.0      3010.3796387    1758.4165039    2360.0971680  
1400.0      3036.1914062    1778.5734863    2363.4875488  
1420.0      3061.6789551    1798.5322266    2366.8269043  
1440.0      3086.8540039    1818.2996826    2370.1166992  
1460.0      3111.7290039    1837.8833008    2373.3593750  
1480.0      3136.3156738    1857.2896729    2376.5563965  
1500.0      3160.6254883    1876.5258789    2379.7097168  
1520.0      3183.8986816    1892.7049561    2382.8208008  
1540.0      3206.9121094    1908.7235107    2385.8906250  
1560.0      3229.6774902    1924.5891113    2388.9213867  
1580.0      3252.2021484    1940.3055420    2391.9140625  
1600.0      3274.4936523    1955.8775635    2394.8701172  
1620.0      3296.5595703    1971.3093262    2397.7902832  
1640.0      3318.4077148    1986.6063232    2400.6762695  
1660.0      3340.0449219    2001.7716064    2403.5288086  
1680.0      3361.4760742    2016.8085938    2406.3488770  
1700.0      3382.7062988    2031.7202148    2409.1372070  
1720.0      3403.7446289    2046.5117188    2411.8952637  
1740.0      3424.5952148    2061.1860352    2414.6237793  
1760.0      3445.2634277    2075.7458496    2417.3232422  
1780.0      3465.7536621    2090.1940918    2419.9948730  
1800.0      3486.0717773    2104.5341797    2422.6391602  
1820.0      3506.2199707    2118.7675781    2425.2568359  
1840.0      3526.2077637    2132.8999023    2427.8488770  
1860.0      3546.0341797    2146.9301758    2430.4155273  
1880.0      3565.7048340    2160.8623047    2432.9575195  
1900.0      3585.2255859    2174.6999512    2435.4760742  
1920.0      3604.5957031    2188.4418945    2437.9707031  
1940.0      3623.8222656    2202.0925293    2440.4426270  
1960.0      3642.9079590    2215.6542969    2442.8923340  
1980.0      3661.8554688    2229.1281738    2445.3203125  
2000.0      3680.6711426    2242.5185547    2447.7275391  
2020.0      3699.4694824    2256.2233887    2450.1132812  
2040.0      3718.1398926    2269.8466797    2452.4790039  
2060.0      3736.6848145    2283.3896484    2454.8247070  
2080.0      3755.1049805    2296.8530273    2457.1508789  
2100.0      3773.4079590    2310.2419434    2459.4584961  
2120.0      3791.5908203    2323.5534668    2461.7470703  
2140.0      3809.6589355    2336.7915039    2464.0175781  
2160.0      3827.6157227    2349.9584961    2466.2705078  
2180.0      3845.4582520    2363.0515137    2468.5053711  
2200.0      3863.1933594    2376.0756836    2470.7233887  
2220.0      3880.8222656    2389.0317383    2472.9245605  
2240.0      3898.3469238    2401.9206543    2475.1093750  
2260.0      3915.7685547    2414.7426758    2477.2778320  
2280.0      3933.0905762    2427.5007324    2479.4306641  
