# CI_LAF -118.33132709 33.86886504
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0       696.4910278     213.0000000    1974.9759521  
  20.0      1534.6899414     441.0000000    2107.3276367  
  40.0      1661.5500488     548.0000000    2127.3588867  
  60.0      1630.1865234     588.0000000    2122.4064941  
  80.0      1615.1932373     588.0000000    2120.0390625  
 100.0      1589.2615967     603.4699707    2115.9443359  
 120.0      1563.0723877     627.8599854    2111.8090820  
 140.0      1544.8515625     646.1400146    2108.9321289  
 160.0      1540.6003418     646.1400146    2108.2607422  
 180.0      1554.1528320     667.4799805    2110.4006348  
 200.0      1587.2336426     694.9099731    2115.6242676  
 220.0      1637.9913330     694.9099731    2123.6389160  
 240.0      1685.7840576     725.3900146    2131.1853027  
 260.0      1731.0114746     725.3900146    2138.3266602  
 280.0      1773.9901123     725.3900146    2145.1130371  
 300.0      1814.9818115     725.3900146    2151.5856934  
 320.0      1854.2011719     850.7665405    2157.7783203  
 340.0      1891.8269043     873.2033081    2163.7194824  
 360.0      1928.0146484     894.9161377    2169.4335938  
 380.0      1962.8901367     915.9633789    2174.9404297  
 400.0      1996.5705566     936.4013062    2180.2585449  
 420.0      2029.1503906     956.2742920    2185.4028320  
 440.0      2060.7160645     975.6244507    2190.3872070  
 460.0      2091.3444824     994.4882812    2195.2233887  
 480.0      1979.9401855     916.0828247    2223.0588379  
 500.0      1979.9329834     914.3232422    2226.5725098  
 520.0      1991.1228027     923.0279541    2229.9941406  
 540.0      2002.0506592     931.5981445    2233.3291016  
 560.0      2012.7333984     940.0419922    2236.5832520  
 580.0      2023.1840820     948.3659668    2239.7609863  
 600.0      2033.4167480     956.5766602    2242.8666992  
 620.0      2043.4428711     964.6795654    2245.9045410  
 640.0      2053.2731934     972.6801758    2248.8776855  
 660.0      2062.9189453     980.5836182    2251.7897949  
 680.0      2072.3879395     988.3941650    2254.6437988  
 700.0      2081.6896973     996.1159668    2257.4426270  
 720.0      2090.8312988    1003.7531738    2260.1887207  
 740.0      2099.8208008    1011.3090820    2262.8845215  
 760.0      2108.6643066    1018.7871094    2265.5322266  
 780.0      2117.3691406    1026.1910400    2268.1342773  
 800.0      2125.9399414    1033.5227051    2270.6921387  
 820.0      2134.3830566    1040.7857666    2273.2077637  
 840.0      2142.7036133    1047.9822998    2275.6831055  
 860.0      2150.9060059    1055.1151123    2278.1193848  
 880.0      2158.9948730    1062.1862793    2280.5180664  
 900.0      2166.9748535    1069.1979980    2282.8811035  
 920.0      2174.8493652    1076.1520996    2285.2094727  
 940.0      2182.6228027    1083.0510254    2287.5043945  
 960.0      2190.2983398    1089.8959961    2289.7666016  
 980.0      2197.8791504    1096.6890869    2291.9982910  
1000.0      2205.3686523    1103.4317627    2294.1994629  
1020.0      2212.8103027    1110.8126221    2296.3715820  
1040.0      2220.1665039    1118.1461182    2298.5158691  
