# CI_LUG -117.36676960 34.36556317
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0      3763.7299805    2080.2807617    2765.6625977  
  20.0      3763.9096680    2080.3183594    2765.6625977  
  40.0      3764.0893555    2080.3559570    2765.6625977  
  60.0      3764.2687988    2080.3937988    2765.6625977  
  80.0      3764.4482422    2080.4316406    2765.6625977  
 100.0      3764.6279297    2080.4692383    2765.6625977  
 120.0      3764.8073730    2080.5070801    2765.6625977  
 140.0      3764.9868164    2080.5449219    2765.6625977  
 160.0      3765.1665039    2080.5825195    2765.6625977  
 180.0      3765.3461914    2080.6201172    2765.6625977  
 200.0      3765.5256348    2080.6579590    2765.6625977  
 220.0      3765.7050781    2080.6958008    2765.6625977  
 240.0      3765.8847656    2080.7333984    2765.6625977  
 260.0      3766.0644531    2080.7712402    2765.6625977  
 280.0      3766.2436523    2080.8090820    2765.6625977  
 300.0      3766.4233398    2080.8466797    2765.6625977  
 320.0      3766.6030273    2080.8842773    2765.6625977  
 340.0      3766.7824707    2080.9221191    2765.6625977  
 360.0      3766.9619141    2080.9599609    2765.6625977  
 380.0      3767.1416016    2080.9975586    2765.6625977  
 400.0      3767.3212891    2081.0354004    2765.6625977  
 420.0      3767.5007324    2081.0732422    2765.6625977  
 440.0      3767.6801758    2081.1108398    2765.6625977  
 460.0      3767.8598633    2081.1484375    2765.6625977  
 480.0      3768.0393066    2081.1862793    2765.6625977  
 500.0      3768.2187500    2081.2241211    2765.6625977  
 520.0      3780.2036133    2090.6484375    2765.6625977  
 540.0      3792.1884766    2100.0725098    2765.6625977  
 560.0      3804.1733398    2109.4965820    2765.6625977  
 580.0      3816.1582031    2118.9208984    2765.6625977  
 600.0      3828.1430664    2128.3452148    2765.6625977  
 620.0      3840.1279297    2137.7692871    2765.6625977  
 640.0      3852.1127930    2147.1933594    2765.6625977  
 660.0      3864.0974121    2156.6176758    2765.6625977  
 680.0      3876.0822754    2166.0419922    2765.6625977  
 700.0      3888.0668945    2175.4660645    2765.6625977  
 720.0      3900.0517578    2184.8903809    2765.6625977  
 740.0      3912.0366211    2194.3144531    2765.6625977  
 760.0      3924.0214844    2203.7387695    2765.6625977  
 780.0      3936.0063477    2213.1630859    2765.6625977  
 800.0      3947.9912109    2222.5871582    2765.6625977  
 820.0      3959.9760742    2232.0112305    2765.6625977  
 840.0      3971.9609375    2241.4355469    2765.6625977  
 860.0      3983.9455566    2250.8598633    2765.6625977  
 880.0      3995.9304199    2260.2839355    2765.6625977  
 900.0      4007.9152832    2269.7082520    2765.6625977  
 920.0      4019.8999023    2279.1323242    2765.6625977  
 940.0      4031.8847656    2288.5566406    2765.6625977  
 960.0      4043.8696289    2297.9809570    2765.6625977  
 980.0      4055.8544922    2307.4050293    2765.6625977  
1000.0      4067.8393555    2316.8349609    2765.6625977  
1020.0      4081.2309570    2327.5993652    2765.6618652  
1040.0      4094.6232910    2338.3637695    2765.6611328  
1060.0      4108.0146484    2349.1276855    2765.6604004  
1080.0      4121.4072266    2359.8920898    2765.6599121  
1100.0      4134.7988281    2370.6564941    2765.6591797  
1120.0      4148.1909180    2381.4206543    2765.6584473  
1140.0      4161.5830078    2392.1850586    2765.6577148  
1160.0      4174.9750977    2402.9494629    2765.6572266  
1180.0      4188.3671875    2413.7133789    2765.6562500  
1200.0      4201.7592773    2424.4777832    2765.6557617  
1220.0      4215.1508789    2435.2419434    2765.6550293  
1240.0      4228.5434570    2446.0063477    2765.6542969  
1260.0      4241.9355469    2456.7705078    2765.6538086  
1280.0      4255.3271484    2467.5346680    2765.6530762  
1300.0      4268.7187500    2478.2990723    2765.6523438  
1320.0      4282.1113281    2489.0632324    2765.6516113  
1340.0      4295.5029297    2499.8276367    2765.6508789  
1360.0      4308.8950195    2510.5917969    2765.6501465  
1380.0      4322.2866211    2521.3562012    2765.6494141  
1400.0      4335.6787109    2532.1203613    2765.6489258  
1420.0      4349.0703125    2542.8847656    2765.6479492  
1440.0      4362.4628906    2553.6491699    2765.6474609  
1460.0      4375.8549805    2564.4135742    2765.6467285  
1480.0      4389.2470703    2575.1774902    2765.6459961  
1500.0      4402.6386719    2585.9418945    2765.6455078  
1520.0      4413.9902344    2594.2397461    2765.6445312  
1540.0      4425.3417969    2602.5380859    2765.6440430  
1560.0      4436.6933594    2610.8361816    2765.6433105  
1580.0      4448.0454102    2619.1347656    2765.6425781  
1600.0      4459.3964844    2627.4326172    2765.6418457  
1620.0      4470.7480469    2635.7309570    2765.6411133  
1640.0      4482.0996094    2644.0292969    2765.6406250  
1660.0      4493.4516602    2652.3273926    2765.6398926  
1680.0      4504.8027344    2660.6254883    2765.6391602  
1700.0      4516.1547852    2668.9240723    2765.6384277  
1720.0      4527.5063477    2677.2219238    2765.6376953  
1740.0      4538.8579102    2685.5202637    2765.6372070  
1760.0      4550.2089844    2693.8183594    2765.6362305  
1780.0      4561.5610352    2702.1166992    2765.6357422  
1800.0      4572.9125977    2710.4150391    2765.6350098  
1820.0      4584.2641602    2718.7128906    2765.6342773  
1840.0      4595.6152344    2727.0112305    2765.6335449  
1860.0      4606.9672852    2735.3095703    2765.6328125  
1880.0      4618.3188477    2743.6076660    2765.6323242  
1900.0      4629.6704102    2751.9062500    2765.6315918  
1920.0      4641.0214844    2760.2041016    2765.6308594  
1940.0      4652.3735352    2768.5021973    2765.6301270  
1960.0      4663.7250977    2776.8005371    2765.6293945  
1980.0      4675.0766602    2785.0988770    2765.6289062  
2000.0      4686.4282227    2793.3969727    2765.6281738  
2020.0      4698.8071289    2802.4240723    2765.6274414  
2040.0      4711.1860352    2811.4504395    2765.6267090  
2060.0      4723.5654297    2820.4775391    2765.6259766  
2080.0      4735.9443359    2829.5041504    2765.6252441  
2100.0      4748.3232422    2838.5310059    2765.6245117  
2120.0      4760.7031250    2847.5581055    2765.6240234  
2140.0      4773.0815430    2856.5847168    2765.6232910  
2160.0      4785.4614258    2865.6115723    2765.6225586  
2180.0      4797.8398438    2874.6381836    2765.6218262  
2200.0      4810.2197266    2883.6652832    2765.6210938  
2220.0      4822.5981445    2892.6921387    2765.6206055  
2240.0      4834.9775391    2901.7189941    2765.6198730  
2260.0      4847.3564453    2910.7456055    2765.6191406  
2280.0      4859.7358398    2919.7729492    2765.6184082  
2300.0      4872.1142578    2928.7993164    2765.6176758  
2320.0      4884.4941406    2937.8261719    2765.6171875  
2340.0      4896.8725586    2946.8530273    2765.6162109  
2360.0      4909.2519531    2955.8801270    2765.6157227  
2380.0      4921.6308594    2964.9067383    2765.6149902  
2400.0      4934.0102539    2973.9335938    2765.6142578  
2420.0      4946.3891602    2982.9602051    2765.6135254  
2440.0      4958.7685547    2991.9873047    2765.6127930  
2460.0      4971.1474609    3001.0141602    2765.6120605  
2480.0      4983.5268555    3010.0410156    2765.6115723  
2500.0      4995.9052734    3019.0676270    2765.6108398  
2520.0      5004.3588867    3024.4204102    2765.6101074  
2540.0      5012.8125000    3029.7731934    2765.6093750  
2560.0      5021.2656250    3035.1254883    2765.6088867  
2580.0      5029.7182617    3040.4782715    2765.6079102  
2600.0      5038.1718750    3045.8310547    2765.6074219  
2620.0      5046.6250000    3051.1831055    2765.6066895  
2640.0      5055.0781250    3056.5358887    2765.6059570  
2660.0      5063.5317383    3061.8889160    2765.6054688  
2680.0      5071.9848633    3067.2412109    2765.6047363  
2700.0      5080.4379883    3072.5939941    2765.6040039  
2720.0      5088.8906250    3077.9467773    2765.6032715  
2740.0      5097.3442383    3083.2993164    2765.6025391  
2760.0      5105.7973633    3088.6518555    2765.6018066  
2780.0      5114.2504883    3094.0043945    2765.6010742  
2800.0      5122.7036133    3099.3569336    2765.6003418  
2820.0      5131.1572266    3104.7097168    2765.5998535  
2840.0      5139.6098633    3110.0625000    2765.5991211  
2860.0      5148.0634766    3115.4150391    2765.5983887  
2880.0      5156.5166016    3120.7675781    2765.5976562  
2900.0      5164.9697266    3126.1203613    2765.5971680  
2920.0      5173.4228516    3131.4726562    2765.5961914  
2940.0      5181.8759766    3136.8254395    2765.5957031  
2960.0      5190.3291016    3142.1782227    2765.5947266  
2980.0      5198.7827148    3147.5307617    2765.5942383  
3000.0      5207.2353516    3152.8833008    2765.5935059  
3020.0      5216.0581055    3158.4135742    2765.5927734  
3040.0      5224.8803711    3163.9438477    2765.5922852  
3060.0      5233.7026367    3169.4743652    2765.5915527  
3080.0      5242.5249023    3175.0048828    2765.5908203  
3100.0      5251.3471680    3180.5351562    2765.5900879  
3120.0      5260.1694336    3186.0654297    2765.5893555  
3140.0      5268.9916992    3191.5954590    2765.5886230  
3160.0      5277.8144531    3197.1259766    2765.5881348  
3180.0      5286.6362305    3202.6564941    2765.5874023  
3200.0      5295.4589844    3208.1870117    2765.5866699  
3220.0      5304.2807617    3213.7170410    2765.5859375  
3240.0      5313.1030273    3219.2475586    2765.5854492  
3260.0      5321.9252930    3224.7780762    2765.5844727  
3280.0      5330.7480469    3230.3081055    2765.5839844  
3300.0      5339.5698242    3235.8386230    2765.5830078  
3320.0      5348.3925781    3241.3688965    2765.5825195  
3340.0      5357.2138672    3246.8991699    2765.5817871  
3360.0      5366.0371094    3252.4296875    2765.5810547  
3380.0      5374.8588867    3257.9597168    2765.5805664  
3400.0      5383.6811523    3263.4902344    2765.5798340  
3420.0      5392.5034180    3269.0207520    2765.5791016  
3440.0      5401.3256836    3274.5510254    2765.5783691  
3460.0      5410.1479492    3280.0815430    2765.5776367  
3480.0      5418.9702148    3285.6118164    2765.5769043  
3500.0      5427.7924805    3291.1418457    2765.5761719  
3520.0      5434.4877930    3294.8620605    2765.5756836  
3540.0      5441.1831055    3298.5815430    2765.5749512  
3560.0      5447.8784180    3302.3012695    2765.5742188  
3580.0      5454.5737305    3306.0212402    2765.5734863  
3600.0      5461.2685547    3309.7407227    2765.5727539  
3620.0      5467.9638672    3313.4602051    2765.5722656  
3640.0      5474.6591797    3317.1804199    2765.5712891  
3660.0      5481.3544922    3320.8999023    2765.5708008  
3680.0      5488.0498047    3324.6196289    2765.5700684  
3700.0      5494.7446289    3328.3393555    2765.5693359  
3720.0      5501.4404297    3332.0593262    2765.5688477  
3740.0      5508.1352539    3335.7788086    2765.5678711  
3760.0      5514.8305664    3339.4985352    2765.5673828  
3780.0      5521.5263672    3343.2182617    2765.5666504  
3800.0      5528.2207031    3346.9382324    2765.5659180  
3820.0      5534.9165039    3350.6577148    2765.5651855  
3840.0      5541.6118164    3354.3774414    2765.5644531  
