# CI_Q0001 -118.03004133 34.14898811
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0       348.4389954     207.2539978    1920.0185547  
  20.0      1387.3299561     479.9577637    2084.0593262  
  40.0      1708.3199463     640.0479736    2134.7436523  
  60.0      1690.2227783     755.8670044    2131.8862305  
  80.0      1711.9461670     767.2584229    2135.3164062  
 100.0      1766.0288086     798.7558594    2143.8559570  
 120.0      1858.8151855     853.5101929    2158.5068359  
 140.0      1992.7172852     934.0575562    2179.6501465  
 160.0      2231.7351074    1141.0285645    2228.5937500  
 180.0      2294.8085938    1135.7738037    2254.0769043  
 200.0      2368.5905762    1130.5190430    2283.0913086  
 220.0      2374.5500488    1125.2642822    2289.7409668  
 240.0      2379.4057617    1120.0095215    2296.0263672  
 260.0      2383.3134766    1114.7547607    2302.6008301  
 280.0      2386.3945312    1109.5000000    2310.0153809  
 300.0      2388.7485352    1104.2452393    2317.1181641  
 320.0      2390.4533691    1302.7115479    2323.9426270  
 340.0      2391.5773926    1325.8850098    2330.5175781  
 360.0      2392.1752930    1348.1929932    2336.8674316  
 380.0      2409.5490723    1369.7103271    2343.0117188  
 400.0      2433.0710449    1390.5056152    2348.9689941  
 420.0      2455.5000000    1410.6328125    2354.7536621  
 440.0      2476.9194336    1430.1416016    2360.3789062  
 460.0      2497.4074707    1449.0784912    2365.8569336  
 480.0      2517.0219727    1467.4775391    2371.1972656  
 500.0      2535.8244629    1485.3757324    2376.4094238  
 520.0      2570.6794434    1511.1037598    2381.5014648  
 540.0      2604.8186035    1536.3881836    2386.4804688  
 560.0      2638.2841797    1561.2541504    2391.3532715  
 580.0      2671.1171875    1585.7263184    2396.1259766  
 600.0      2703.3493652    1609.8239746    2400.8039551  
 620.0      2735.0100098    1633.5639648    2405.3916016  
 640.0      2766.1313477    1656.9660645    2409.8940430  
 660.0      2796.7377930    1680.0451660    2414.3154297  
 680.0      2826.8544922    1702.8164062    2418.6594238  
 700.0      2856.5039062    1725.2927246    2422.9294434  
 720.0      2885.7060547    1747.4868164    2427.1289062  
 740.0      2914.4807129    1769.4104004    2431.2609863  
 760.0      2477.8637695    1460.7050781    2361.9077148  
 780.0      2481.3776855    1464.3825684    2362.0510254  
 800.0      2483.2277832    1466.9006348    2361.9316406  
 820.0      2483.3608398    1468.2221680    2361.5410156  
 840.0      2481.7194824    1468.3085938    2360.8703613  
 860.0      2478.2416992    1467.1176758    2359.9096680  
 880.0      2472.8598633    1464.6047363    2358.6484375  
 900.0      2465.5039062    1460.7237549    2357.0754395  
 920.0      2456.0942383    1455.4233398    2355.1782227  
 940.0      2444.5517578    1448.6530762    2352.9440918  
 960.0      2430.7873535    1440.3571777    2350.3591309  
 980.0      2414.7106934    1430.4803467    2347.4091797  
1000.0      2396.2199707    1418.9605713    2344.0778809  
1020.0      2379.5800781    1406.6014404    2340.3491211  
1040.0      2370.2944336    1392.4727783    2336.2048340  
1060.0      2366.5971680    1376.5096436    2331.6271973  
1080.0      2361.8427734    1358.6420898    2326.5961914  
1100.0      2355.9829102    1338.7994385    2321.0908203  
1120.0      2348.9655762    1325.2308350    2315.0891113  
1140.0      2340.7368164    1319.1689453    2308.5678711  
1160.0      2349.8574219    1324.4836426    2309.4877930  
1180.0      2364.1318359    1333.1787109    2312.6184082  
1200.0      2378.3327637    1341.8354492    2315.7177734  
1220.0      2392.4624023    1352.3421631    2318.7861328  
1240.0      2406.5229492    1369.3345947    2321.8249512  
1260.0      2428.3762207    1400.7973633    2328.2062988  
1280.0      2550.6328125    1512.9522705    2353.0397949  
1300.0      4543.4121094    2360.5893555    2666.5981445  
1320.0      4555.0498047    2370.0981445    2667.3344727  
1340.0      4566.6865234    2379.6069336    2668.0703125  
1360.0      4578.3237305    2389.1159668    2668.8063965  
1380.0      4589.9609375    2398.6245117    2669.5424805  
1400.0      4601.5981445    2408.1335449    2670.2785645  
1420.0      4613.2348633    2417.6418457    2671.0146484  
1440.0      4624.8720703    2427.1511230    2671.7507324  
1460.0      4636.5092773    2436.6599121    2672.4868164  
1480.0      4648.1469727    2446.1684570    2673.2229004  
1500.0      4659.7841797    2455.6774902    2673.9589844  
1520.0      4667.7739258    2463.2348633    2674.6950684  
1540.0      4675.7636719    2470.7927246    2675.4311523  
1560.0      4683.7534180    2478.3498535    2676.1672363  
1580.0      4691.7431641    2485.9074707    2676.9033203  
1600.0      4699.7324219    2493.4648438    2677.6394043  
1620.0      4707.7226562    2501.0227051    2678.3754883  
1640.0      4715.7128906    2508.5800781    2679.1115723  
1660.0      4723.7021484    2516.1376953    2679.8476562  
1680.0      4731.6918945    2523.6953125    2680.5837402  
1700.0      4739.6821289    2531.2529297    2681.3198242  
1720.0      4747.6718750    2538.8103027    2682.0559082  
1740.0      4755.6616211    2546.3681641    2682.7919922  
1760.0      4763.6513672    2553.9252930    2683.5280762  
1780.0      4771.6416016    2561.4829102    2684.2641602  
1800.0      4779.6308594    2569.0407715    2685.0002441  
1820.0      4787.6206055    2576.5981445    2685.7363281  
1840.0      4795.6103516    2584.1555176    2686.4721680  
1860.0      4803.6005859    2591.7133789    2687.2084961  
1880.0      4811.5903320    2599.2707520    2687.9445801  
1900.0      4819.5800781    2606.8283691    2688.6806641  
1920.0      4827.5693359    2614.3857422    2689.4165039  
1940.0      4835.5595703    2621.9436035    2690.1528320  
1960.0      4843.5493164    2629.5009766    2690.8886719  
1980.0      4851.5390625    2637.0583496    2691.6250000  
2000.0      4859.5288086    2644.6162109    2692.3608398  
2020.0      4867.4912109    2652.5800781    2693.0971680  
2040.0      4875.4526367    2660.5437012    2693.8330078  
2060.0      4883.4140625    2668.5078125    2694.5690918  
2080.0      4891.3764648    2676.4714355    2695.3051758  
2100.0      4899.3378906    2684.4353027    2696.0412598  
2120.0      4907.3002930    2692.3991699    2696.7773438  
2140.0      4915.2612305    2700.3632812    2697.5134277  
2160.0      4923.2236328    2708.3271484    2698.2495117  
2180.0      4931.1850586    2716.2907715    2698.9855957  
2200.0      4939.1474609    2724.2548828    2699.7216797  
2220.0      4947.1088867    2732.2189941    2700.4577637  
2240.0      4955.0708008    2740.1826172    2701.1938477  
2260.0      4963.0327148    2748.1464844    2701.9299316  
2280.0      4970.9946289    2756.1105957    2702.6660156  
2300.0      4978.9565430    2764.0739746    2703.4020996  
2320.0      4986.9184570    2772.0380859    2704.1381836  
2340.0      4994.8798828    2780.0019531    2704.8742676  
2360.0      5002.8417969    2787.9658203    2705.6103516  
2380.0      5010.8037109    2795.9296875    2706.3464355  
2400.0      5018.7656250    2803.8935547    2707.0825195  
2420.0      5026.7275391    2811.8574219    2707.8186035  
2440.0      5034.6894531    2819.8212891    2708.5546875  
2460.0      5042.6508789    2827.7851562    2709.2907715  
2480.0      5050.6127930    2835.7492676    2710.0268555  
2500.0      5058.5747070    2843.7128906    2710.7629395  
2520.0      5062.8339844    2847.8942871    2711.4990234  
2540.0      5067.0922852    2852.0759277    2712.2348633  
2560.0      5071.3515625    2856.2573242    2712.9711914  
2580.0      5075.6098633    2860.4387207    2713.7070312  
2600.0      5079.8691406    2864.6203613    2714.4433594  
2620.0      5084.1279297    2868.8017578    2715.1791992  
2640.0      5088.3872070    2872.9831543    2715.9155273  
2660.0      5092.6464844    2877.1647949    2716.6516113  
2680.0      5096.9047852    2881.3464355    2717.3876953  
2700.0      5101.1640625    2885.5278320    2718.1237793  
2720.0      5105.4223633    2889.7092285    2718.8596191  
2740.0      5109.6816406    2893.8908691    2719.5957031  
2760.0      5113.9399414    2898.0722656    2720.3317871  
2780.0      5118.1992188    2902.2536621    2721.0678711  
2800.0      5122.4580078    2906.4353027    2721.8039551  
2820.0      5126.7172852    2910.6169434    2722.5400391  
2840.0      5130.9760742    2914.7980957    2723.2761230  
2860.0      5135.2348633    2918.9797363    2724.0122070  
2880.0      5139.4941406    2923.1613770    2724.7485352  
2900.0      5143.7524414    2927.3427734    2725.4843750  
2920.0      5148.0117188    2931.5239258    2726.2207031  
2940.0      5152.2705078    2935.7058105    2726.9565430  
2960.0      5156.5297852    2939.8867188    2727.6926270  
2980.0      5160.7880859    2944.0683594    2728.4287109  
3000.0      5165.0473633    2948.2500000    2729.1647949  
3020.0      5170.5942383    2952.5012207    2729.9008789  
3040.0      5176.1420898    2956.7519531    2730.6369629  
3060.0      5181.6894531    2961.0029297    2731.3730469  
3080.0      5187.2373047    2965.2541504    2732.1091309  
3100.0      5192.7851562    2969.5051270    2732.8452148  
3120.0      5198.3320312    2973.7558594    2733.5812988  
3140.0      5203.8793945    2978.0070801    2734.3173828  
3160.0      5209.4267578    2982.2580566    2735.0534668  
3180.0      5214.9746094    2986.5090332    2735.7895508  
3200.0      5220.5214844    2990.7600098    2736.5253906  
3220.0      5226.0693359    2995.0109863    2737.2617188  
3240.0      5231.6166992    2999.2619629    2737.9978027  
3260.0      5237.1645508    3003.5129395    2738.7338867  
3280.0      5242.7119141    3007.7641602    2739.4699707  
3300.0      5248.2592773    3012.0151367    2740.2060547  
3320.0      5253.8071289    3016.2661133    2740.9421387  
3340.0      5259.3540039    3020.5170898    2741.6782227  
3360.0      5264.9018555    3024.7680664    2742.4143066  
3380.0      5270.4487305    3029.0187988    2743.1503906  
3400.0      5275.9965820    3033.2700195    2743.8864746  
3420.0      5281.5439453    3037.5209961    2744.6223145  
3440.0      5287.0917969    3041.7717285    2745.3583984  
3460.0      5292.6391602    3046.0229492    2746.0947266  
3480.0      5298.1865234    3050.2741699    2746.8305664  
3500.0      5303.7338867    3054.5249023    2747.5666504  
3520.0      5309.8715820    3059.2878418    2748.3027344  
3540.0      5316.0087891    3064.0505371    2749.0388184  
3560.0      5322.1464844    3068.8134766    2749.7749023  
3580.0      5328.2846680    3073.5761719    2750.5112305  
3600.0      5334.4213867    3078.3393555    2751.2470703  
3620.0      5340.5595703    3083.1022949    2751.9831543  
3640.0      5346.6967773    3087.8649902    2752.7192383  
3660.0      5352.8349609    3092.6279297    2753.4553223  
3680.0      5358.9721680    3097.3906250    2754.1914062  
3700.0      5365.1098633    3102.1533203    2754.9274902  
3720.0      5371.2475586    3106.9162598    2755.6635742  
3740.0      5377.3847656    3111.6794434    2756.3996582  
3760.0      5383.5229492    3116.4421387    2757.1357422  
3780.0      5389.6601562    3121.2050781    2757.8718262  
3800.0      5395.7978516    3125.9680176    2758.6079102  
3820.0      5401.9355469    3130.7309570    2759.3439941  
3840.0      5408.0727539    3135.4938965    2760.0800781  
3860.0      5414.2104492    3140.2563477    2760.8161621  
