# CI_RSS -117.32673958 33.97336655
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0       348.4389954     207.2539978    1920.0185547  
  20.0      1387.3299561     487.6560059    2084.0593262  
  40.0      1708.3199463     640.0479736    2134.7436523  
  60.0      1688.2301025     753.5457153    2131.5715332  
  80.0      1696.8916016     758.5466919    2132.9392090  
 100.0      1731.2980957     778.4929199    2138.3720703  
 120.0      1803.1640625     820.5628662    2149.7197266  
 140.0      1919.1025391     889.5567627    2168.0263672  
 160.0      2081.2055664     988.2340698    2193.6223145  
 180.0      2329.1025391    1056.1324463    2243.2524414  
 200.0      2417.8193359    1050.2202148    2272.9516602  
 220.0      2446.5532227    1044.3081055    2282.8713379  
 240.0      5254.5498047    1038.3959961    2759.8464355  
 260.0      5253.2011719    1032.4838867    2759.8464355  
 280.0      5251.8530273    1026.5717773    2759.8464355  
 300.0      5250.5048828    1020.6596680    2759.8464355  
 320.0      5249.1567383    2923.8476562    2759.8464355  
 340.0      5247.8085938    2917.9355469    2759.8464355  
 360.0      5246.4604492    2912.0234375    2759.8464355  
 380.0      5245.1123047    2906.1113281    2759.8464355  
 400.0      5243.7636719    2900.1992188    2759.8464355  
 420.0      5242.4155273    2894.2871094    2759.8464355  
 440.0      5241.0673828    2888.3750000    2759.8464355  
 460.0      5239.7192383    2882.4628906    2759.8464355  
 480.0      5238.3710938    2876.5507812    2759.8464355  
 500.0      5237.0229492    2870.6386719    2759.8464355  
 520.0      5244.5551758    2877.9375000    2759.8464355  
 540.0      5252.0874023    2885.2365723    2759.8464355  
 560.0      5259.6196289    2892.5354004    2759.8464355  
 580.0      5267.1523438    2899.8344727    2759.8464355  
 600.0      5274.6845703    2907.1333008    2759.8464355  
 620.0      5282.2167969    2914.4323730    2759.8464355  
 640.0      5289.7490234    2921.7312012    2759.8464355  
 660.0      5297.2817383    2929.0302734    2759.8464355  
 680.0      5304.8139648    2936.3291016    2759.8464355  
 700.0      5312.3461914    2943.6281738    2759.8464355  
 720.0      5319.8784180    2950.9270020    2759.8464355  
 740.0      5327.4111328    2958.2260742    2759.8464355  
 760.0      5334.9433594    2965.5249023    2759.8464355  
 780.0      5342.4755859    2972.8237305    2759.8464355  
 800.0      5350.0078125    2980.1228027    2759.8464355  
 820.0      5357.5400391    2987.4218750    2759.8464355  
 840.0      5365.0727539    2994.7207031    2759.8464355  
 860.0      5372.6049805    3002.0195312    2759.8464355  
 880.0      5380.1372070    3009.3186035    2759.8464355  
 900.0      5387.6699219    3016.6174316    2759.8464355  
 920.0      5395.2021484    3023.9165039    2759.8464355  
 940.0      5402.7343750    3031.2153320    2759.8464355  
 960.0      5410.2666016    3038.5144043    2759.8464355  
 980.0      5417.7988281    3045.8132324    2759.8464355  
1000.0      5425.3564453    3053.1184082    2759.8503418  
1020.0      5435.0834961    3062.3547363    2760.1711426  
1040.0      5444.8115234    3071.5913086    2760.4919434  
1060.0      5454.5385742    3080.8273926    2760.8125000  
1080.0      5464.2666016    3090.0642090    2761.1333008  
1100.0      5473.9941406    3099.3007812    2761.4541016  
1120.0      5483.7221680    3108.5373535    2761.7749023  
1140.0      5493.4497070    3117.7736816    2762.0954590  
1160.0      5503.1767578    3127.0102539    2762.4162598  
1180.0      5512.9042969    3136.2468262    2762.7368164  
1200.0      5522.6323242    3145.4833984    2763.0576172  
1220.0      5532.3598633    3154.7194824    2763.3784180  
1240.0      5542.0874023    3163.9560547    2763.6992188  
1260.0      5551.8149414    3173.1926270    2764.0200195  
