# CI_RVR -117.37540950 33.99343325
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0       360.8139954     228.5930023    1921.9725342  
  20.0      1921.5999756     332.2200012    2168.4206543  
  40.0      1969.8265381     387.0820007    2176.0356445  
  60.0      2134.9770508     441.9429932    2202.1127930  
  80.0      2412.5170898     502.8999939    2245.9365234  
 100.0      2793.8239746     502.8999939    2306.1447754  
 120.0      3267.0507812     563.8569946    2380.8671875  
 140.0      3817.4941406     563.8569946    2467.7822266  
 160.0      4428.0537109     624.8140259    2564.1896973  
 180.0      5079.7583008     624.8140259    2667.0937500  
 200.0      5561.2573242    1159.4377441    2773.2976074  
 220.0      5560.0034180    1156.0136719    2773.3010254  
 240.0      5558.7290039    1152.5895996    2773.3010254  
 260.0      5557.4541016    1149.1655273    2773.3010254  
 280.0      5556.1796875    1145.7414551    2773.3010254  
 300.0      5554.9047852    1142.3173828    2773.3010254  
 320.0      5553.6303711    3139.4135742    2773.3010254  
 340.0      5552.3554688    3135.9895020    2773.3010254  
 360.0      5551.0810547    3132.5654297    2773.3010254  
 380.0      5549.8061523    3129.1413574    2773.3010254  
 400.0      5548.5317383    3125.7172852    2773.3010254  
 420.0      5547.2568359    3122.2932129    2773.3010254  
 440.0      5545.9819336    3118.8691406    2773.3010254  
 460.0      5544.7075195    3115.4450684    2773.3010254  
 480.0      5543.4326172    3112.0209961    2773.3010254  
 500.0      5542.1582031    3108.5969238    2773.3010254  
 520.0      5549.8818359    3114.6760254    2773.3010254  
 540.0      5557.6049805    3120.7553711    2773.3010254  
 560.0      5565.3286133    3126.8347168    2773.3010254  
 580.0      5573.0522461    3132.9140625    2773.3010254  
 600.0      5580.7753906    3138.9934082    2773.3010254  
 620.0      5588.4990234    3145.0727539    2773.3010254  
 640.0      5596.2226562    3151.1520996    2773.3010254  
 660.0      5603.9462891    3157.2314453    2773.3010254  
 680.0      5611.6694336    3163.3105469    2773.3010254  
 700.0      5619.3930664    3169.3898926    2773.3010254  
 720.0      5627.1166992    3175.4692383    2773.3010254  
 740.0      5634.8403320    3181.5485840    2773.3010254  
 760.0      5642.5634766    3187.6279297    2773.3010254  
 780.0      5650.2871094    3193.7072754    2773.3010254  
 800.0      5658.0107422    3199.7866211    2773.3010254  
 820.0      5665.7343750    3205.8657227    2773.3010254  
 840.0      5673.4575195    3211.9450684    2773.3010254  
 860.0      5681.1811523    3218.0244141    2773.3010254  
 880.0      5688.9047852    3224.1037598    2773.3010254  
 900.0      5696.6284180    3230.1831055    2773.3010254  
 920.0      5704.3515625    3236.2624512    2773.3010254  
 940.0      5712.0751953    3242.3417969    2773.3010254  
 960.0      5719.7988281    3248.4211426    2773.3010254  
 980.0      5727.5224609    3254.5002441    2773.3010254  
1000.0      5735.2651367    3260.5817871    2773.3041992  
1020.0      5744.3706055    3269.0996094    2773.5595703  
1040.0      5753.4760742    3277.6176758    2773.8154297  
1060.0      5762.5810547    3286.1354980    2774.0710449  
1080.0      5771.6860352    3294.6535645    2774.3266602  
1100.0      5780.7910156    3303.1713867    2774.5822754  
1120.0      5789.8964844    3311.6892090    2774.8378906  
1140.0      5799.0019531    3320.2070312    2775.0935059  
1160.0      5808.1069336    3328.7248535    2775.3491211  
1180.0      5817.2119141    3337.2429199    2775.6047363  
1200.0      5826.3168945    3345.7607422    2775.8603516  
1220.0      5835.4223633    3354.2788086    2776.1159668  
1240.0      5844.5273438    3362.7963867    2776.3715820  
1260.0      5853.6328125    3371.3144531    2776.6274414  
1280.0      5862.7377930    3379.8322754    2776.8828125  
1300.0      5871.8427734    3388.3500977    2777.1386719  
1320.0      5880.9477539    3396.8679199    2777.3940430  
1340.0      5890.0532227    3405.3859863    2777.6499023  
1360.0      5899.1586914    3413.9038086    2777.9055176  
1380.0      5908.2636719    3422.4218750    2778.1611328  
1400.0      5917.3686523    3430.9394531    2778.4167480  
1420.0      5926.4736328    3439.4575195    2778.6723633  
1440.0      5935.5786133    3447.9753418    2778.9279785  
1460.0      5944.6845703    3456.4931641    2779.1835938  
1480.0      5953.7895508    3465.0109863    2779.4392090  
1500.0      5962.8945312    3473.5290527    2779.6948242  
1520.0      5965.9008789    3475.6838379    2779.9504395  
1540.0      5968.9072266    3477.8388672    2780.2060547  
1560.0      5971.9150391    3479.9934082    2780.4619141  
1580.0      5974.9213867    3482.1489258    2780.7172852  
1600.0      5977.9277344    3484.3032227    2780.9731445  
1620.0      5980.9350586    3486.4582520    2781.2287598  
1640.0      5983.9409180    3488.6135254    2781.4843750  
1660.0      5986.9482422    3490.7683105    2781.7399902  
1680.0      5989.9545898    3492.9228516    2781.9956055  
1700.0      5992.9614258    3495.0781250    2782.2512207  
1720.0      5995.9682617    3497.2329102    2782.5068359  
1740.0      5998.9750977    3499.3879395    2782.7624512  
1760.0      6001.9814453    3501.5424805    2783.0180664  
1780.0      6004.9882812    3503.6977539    2783.2736816  
1800.0      6007.9951172    3505.8522949    2783.5292969  
1820.0      6011.0014648    3508.0073242    2783.7849121  
1840.0      6014.0083008    3510.1621094    2784.0405273  
1860.0      6017.0151367    3512.3171387    2784.2963867  
1880.0      6020.0214844    3514.4719238    2784.5517578  
1900.0      6023.0278320    3516.6269531    2784.8076172  
1920.0      6026.0346680    3518.7814941    2785.0629883  
1940.0      6029.0419922    3520.9367676    2785.3188477  
1960.0      6032.0488281    3523.0917969    2785.5744629  
1980.0      6035.0551758    3525.2465820    2785.8300781  
2000.0      6038.0615234    3527.4011230    2786.0856934  
2020.0      6039.8505859    3528.8254395    2786.3413086  
2040.0      6041.6386719    3530.2492676    2786.5969238  
2060.0      6043.4272461    3531.6733398    2786.8525391  
2080.0      6045.2153320    3533.0971680    2787.1081543  
2100.0      6047.0034180    3534.5209961    2787.3637695  
2120.0      6048.7924805    3535.9450684    2787.6196289  
2140.0      6050.5805664    3537.3693848    2787.8750000  
2160.0      6052.3691406    3538.7929688    2788.1308594  
2180.0      6054.1572266    3540.2172852    2788.3862305  
2200.0      6055.9458008    3541.6411133    2788.6420898  
2220.0      6057.7338867    3543.0651855    2788.8974609  
2240.0      6059.5224609    3544.4895020    2789.1533203  
2260.0      6061.3110352    3545.9130859    2789.4089355  
2280.0      6063.0996094    3547.3374023    2789.6645508  
2300.0      6064.8872070    3548.7612305    2789.9201660  
2320.0      6066.6762695    3550.1853027    2790.1757812  
2340.0      6068.4643555    3551.6091309    2790.4313965  
2360.0      6070.2529297    3553.0332031    2790.6870117  
2380.0      6072.0410156    3554.4570312    2790.9426270  
2400.0      6073.8295898    3555.8811035    2791.1982422  
2420.0      6075.6176758    3557.3049316    2791.4538574  
2440.0      6077.4062500    3558.7294922    2791.7094727  
2460.0      6079.1943359    3560.1528320    2791.9650879  
2480.0      6080.9833984    3561.5771484    2792.2209473  
2500.0      6082.7714844    3563.0009766    2792.4765625  
2520.0      6078.6713867    3560.2551270    2792.7321777  
2540.0      6074.5712891    3557.5090332    2792.9877930  
2560.0      6070.4716797    3554.7629395    2793.2434082  
2580.0      6066.3720703    3552.0166016    2793.4990234  
2600.0      6062.2719727    3549.2707520    2793.7546387  
2620.0      6058.1713867    3546.5244141    2794.0102539  
2640.0      6054.0717773    3543.7785645    2794.2658691  
2660.0      6049.9721680    3541.0327148    2794.5214844  
2680.0      6045.8725586    3538.2866211    2794.7773438  
2700.0      6041.7729492    3535.5405273    2795.0329590  
2720.0      6037.6723633    3532.7939453    2795.2885742  
2740.0      6033.5722656    3530.0483398    2795.5439453  
2760.0      6029.4726562    3527.3020020    2795.7998047  
2780.0      6025.3725586    3524.5559082    2796.0551758  
2800.0      6021.2724609    3521.8095703    2796.3110352  
2820.0      6017.1728516    3519.0637207    2796.5666504  
2840.0      6013.0727539    3516.3176270    2796.8222656  
2860.0      6008.9731445    3513.5717773    2797.0778809  
2880.0      6004.8735352    3510.8256836    2797.3334961  
2900.0      6000.7739258    3508.0795898    2797.5891113  
2920.0      5996.6728516    3505.3334961    2797.8447266  
2940.0      5992.5732422    3502.5874023    2798.1003418  
2960.0      5988.4736328    3499.8413086    2798.3559570  
2980.0      5984.3740234    3497.0949707    2798.6118164  
3000.0      5980.2739258    3494.3488770    2798.8671875  
3020.0      5976.7246094    3493.7314453    2799.1228027  
3040.0      5973.1757812    3493.1137695    2799.3784180  
3060.0      5969.6269531    3492.4960938    2799.6342773  
3080.0      5966.0781250    3491.8784180    2799.8898926  
3100.0      5962.5288086    3491.2609863    2800.1455078  
3120.0      5958.9804688    3490.6435547    2800.4011230  
3140.0      5955.4311523    3490.0256348    2800.6567383  
3160.0      5951.8823242    3489.4082031    2800.9123535  
3180.0      5948.3334961    3488.7902832    2801.1679688  
3200.0      5944.7841797    3488.1728516    2801.4235840  
3220.0      5941.2348633    3487.5551758    2801.6791992  
3240.0      5937.6865234    3486.9375000    2801.9348145  
3260.0      5934.1376953    3486.3200684    2802.1904297  
3280.0      5930.5888672    3485.7021484    2802.4462891  
3300.0      5927.0400391    3485.0847168    2802.7019043  
3320.0      5923.4907227    3484.4670410    2802.9575195  
3340.0      5919.9414062    3483.8493652    2803.2128906  
3360.0      5916.3930664    3483.2316895    2803.4687500  
3380.0      5912.8442383    3482.6140137    2803.7243652  
3400.0      5909.2954102    3481.9965820    2803.9799805  
3420.0      5905.7460938    3481.3786621    2804.2355957  
3440.0      5902.1967773    3480.7612305    2804.4912109  
3460.0      5898.6479492    3480.1433105    2804.7468262  
3480.0      5895.0991211    3479.5258789    2805.0024414  
3500.0      5891.5507812    3478.9082031    2805.2580566  
3520.0      5887.5869141    3476.8559570    2805.5136719  
3540.0      5883.6230469    3474.8037109    2805.7692871  
3560.0      5879.6596680    3472.7512207    2806.0249023  
3580.0      5875.6962891    3470.6992188    2806.2807617  
3600.0      5871.7329102    3468.6467285    2806.5363770  
3620.0      5867.7690430    3466.5944824    2806.7919922  
3640.0      5863.8056641    3464.5422363    2807.0476074  
3660.0      5859.8417969    3462.4897461    2807.3032227  
3680.0      5855.8789062    3460.4377441    2807.5588379  
3700.0      5851.9155273    3458.3852539    2807.8144531  
3720.0      5847.9516602    3456.3330078    2808.0700684  
3740.0      5843.9882812    3454.2807617    2808.3256836  
3760.0      5840.0244141    3452.2285156    2808.5812988  
3780.0      5836.0610352    3450.1757812    2808.8369141  
3800.0      5832.0971680    3448.1237793    2809.0925293  
3820.0      5828.1342773    3446.0715332    2809.3481445  
3840.0      5824.1704102    3444.0190430    2809.6040039  
3860.0      5820.2065430    3441.9670410    2809.8593750  
3880.0      5816.2431641    3439.9143066    2810.1152344  
3900.0      5812.2797852    3437.8623047    2810.3706055  
3920.0      5808.3168945    3435.8098145    2810.6264648  
3940.0      5804.3530273    3433.7575684    2810.8820801  
3960.0      5800.3896484    3431.7053223    2811.1376953  
3980.0      5796.4257812    3429.6528320    2811.3933105  
4000.0      5792.4619141    3427.6005859    2811.6489258  
4020.0      5789.0830078    3425.7900391    2811.9045410  
4040.0      5785.7026367    3423.9792480    2812.1601562  
4060.0      5782.3232422    3422.1689453    2812.4157715  
4080.0      5778.9428711    3420.3579102    2812.6713867  
4100.0      5775.5634766    3418.5476074    2812.9270020  
4120.0      5772.1831055    3416.7368164    2813.1826172  
4140.0      5768.8032227    3414.9262695    2813.4382324  
4160.0      5765.4243164    3413.1159668    2813.6938477  
4180.0      5762.0439453    3411.3049316    2813.9497070  
4200.0      5758.6645508    3409.4946289    2814.2053223  
4220.0      5755.2841797    3407.6838379    2814.4609375  
4240.0      5751.9042969    3405.8732910    2814.7163086  
4260.0      5748.5244141    3404.0625000    2814.9721680  
4280.0      5745.1450195    3402.2521973    2815.2277832  
4300.0      5741.7656250    3400.4414062    2815.4833984  
4320.0      5738.3852539    3398.6308594    2815.7390137  
4340.0      5735.0058594    3396.8200684    2815.9946289  
4360.0      5731.6254883    3395.0095215    2816.2502441  
4380.0      5728.2460938    3393.1987305    2816.5058594  
4400.0      5724.8662109    3391.3881836    2816.7614746  
4420.0      5721.4868164    3389.5778809    2817.0170898  
4440.0      5718.1069336    3387.7670898    2817.2729492  
4460.0      5714.7265625    3385.9565430    2817.5283203  
4480.0      5711.3476562    3384.1457520    2817.7841797  
4500.0      5707.9672852    3382.3352051    2818.0397949  
4520.0      5709.4160156    3383.4858398    2818.2954102  
4540.0      5710.8637695    3384.6369629    2818.5510254  
4560.0      5712.3115234    3385.7878418    2818.8066406  
4580.0      5713.7597656    3386.9387207    2819.0622559  
4600.0      5715.2084961    3388.0893555    2819.3178711  
4620.0      5716.6567383    3389.2404785    2819.5734863  
4640.0      5718.1044922    3390.3911133    2819.8291016  
4660.0      5719.5527344    3391.5422363    2820.0847168  
4680.0      5721.0009766    3392.6928711    2820.3403320  
4700.0      5722.4492188    3393.8439941    2820.5959473  
4720.0      5723.8974609    3394.9948730    2820.8515625  
4740.0      5725.3452148    3396.1455078    2821.1074219  
4760.0      5726.7939453    3397.2966309    2821.3627930  
4780.0      5728.2416992    3398.4475098    2821.6186523  
4800.0      5729.6899414    3399.5983887    2821.8742676  
4820.0      5731.1381836    3400.7492676    2822.1298828  
4840.0      5732.5859375    3401.9001465    2822.3854980  
4860.0      5734.0346680    3403.0507812    2822.6411133  
4880.0      5735.4824219    3404.2019043    2822.8967285  
4900.0      5736.9306641    3405.3525391    2823.1523438  
4920.0      5738.3789062    3406.5036621    2823.4079590  
4940.0      5739.8271484    3407.6542969    2823.6635742  
4960.0      5741.2753906    3408.8054199    2823.9191895  
4980.0      5742.7231445    3409.9560547    2824.1748047  
5000.0      5744.1718750    3411.1069336    2824.4304199  
