# CI_SMF2 -118.44606049 34.02196127
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0       640.4749756     230.8860016    1966.1309814  
  20.0      1390.5310059     449.2754517    2084.5649414  
  40.0      1661.5500488     555.7445068    2127.3588867  
  60.0      1630.0850830     587.2815552    2122.3903809  
  80.0      1611.1199951     573.5452881    2119.3957520  
 100.0      1574.5517578     604.4797363    2113.6218262  
 120.0      1530.4658203     627.3600464    2106.6606445  
 140.0      1487.1433105     619.9908447    2099.8198242  
 160.0      1451.2010498     619.9908447    2094.1445312  
 180.0      1427.5754395     607.0514526    2090.4140625  
 200.0      1419.4969482     602.6407471    2089.1386719  
 220.0      1464.4813232     627.3048096    2096.2416992  
 240.0      1506.8594971     650.7659302    2102.9331055  
 260.0      1546.9790039     673.1743774    2109.2680664  
 280.0      1585.1175537     694.6511841    2115.2900391  
 300.0      1621.5051270     699.2408447    2121.0356445  
 320.0      1656.3286133     735.1973877    2126.5341797  
 340.0      1689.7448730     754.4198608    2131.8107910  
 360.0      1721.8895264     773.0257568    2136.8862305  
 380.0      1752.8765869     791.0673828    2141.7792969  
 400.0      1782.8049316     808.5893555    2146.5048828  
 420.0      1811.7617188     825.6320801    2151.0771484  
 440.0      1839.8197021     842.2286377    2155.5075684  
 460.0      1867.0476074     858.4111328    2159.8068848  
 480.0      1893.5029297     874.2060547    2163.9841309  
 500.0      1919.2403564     889.6395264    2168.0480957  
 520.0      1944.3044434     904.7321167    2172.0056152  
 540.0      1968.7385254     919.5042725    2175.8637695  
 560.0      1992.5809326     933.9744873    2179.6284180  
 580.0      2015.8648682     948.1584473    2183.3051758  
 600.0      2038.6246338     962.0724487    2186.8989258  
 620.0      2060.8872070     975.7294922    2190.4140625  
 640.0      2082.6774902     989.1413574    2193.8547363  
 660.0      2092.0014648    1042.6062012    2220.9855957  
 680.0      2103.8034668    1051.0913086    2223.5253906  
 700.0      2115.4565430    1059.5004883    2226.0158691  
 720.0      2126.9682617    1067.8375244    2228.4597168  
 740.0      2138.3439941    1076.1051025    2230.8586426  
 760.0      2149.5910645    1084.3066406    2233.2153320  
 780.0      2160.7138672    1092.4440918    2235.5310059  
 800.0      2171.7185059    1100.5203857    2237.8076172  
 820.0      2182.6093750    1108.5379639    2240.0468750  
 840.0      2193.3913574    1116.4990234    2242.2502441  
 860.0      2204.0688477    1124.4052734    2244.4189453  
 880.0      2214.6450195    1132.2589111    2246.5544434  
 900.0      2225.1245117    1140.0617676    2248.6579590  
 920.0      2235.5104980    1147.8157959    2250.7304688  
 940.0      2245.8066406    1155.5223389    2252.7736816  
 960.0      2256.0161133    1163.1826172    2254.7880859  
 980.0      2266.1408691    1170.7990723    2256.7749023  
1000.0      2276.1850586    1178.3721924    2258.7346191  
