# CI_STG -117.76856839 33.66392344
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0      3532.7861328    1978.3679199    2569.3608398  
  20.0      3530.6762695    1977.3395996    2569.3608398  
  40.0      3528.5664062    1976.3114014    2569.3608398  
  60.0      3526.4565430    1975.2830811    2569.3608398  
  80.0      3524.3466797    1974.2547607    2569.3608398  
 100.0      3522.2368164    1973.2264404    2569.3608398  
 120.0      3520.1269531    1972.1982422    2569.3608398  
 140.0      3518.0170898    1971.1699219    2569.3608398  
 160.0      3515.9069824    1970.1416016    2569.3608398  
 180.0      3513.7971191    1969.1132812    2569.3608398  
 200.0      3511.6872559    1968.0849609    2569.3608398  
 220.0      3509.5773926    1967.0566406    2569.3608398  
 240.0      3507.4675293    1966.0283203    2569.3608398  
 260.0      3505.3574219    1965.0001221    2569.3608398  
 280.0      3503.2475586    1963.9718018    2569.3608398  
 300.0      3501.1376953    1962.9434814    2569.3608398  
 320.0      3499.0278320    1961.9151611    2569.3608398  
 340.0      3496.9179688    1960.8869629    2569.3608398  
 360.0      3494.8081055    1959.8586426    2569.3608398  
 380.0      3492.6982422    1958.8303223    2569.3608398  
 400.0      3490.5883789    1957.8020020    2569.3608398  
 420.0      3488.4785156    1956.7736816    2569.3608398  
 440.0      3486.3684082    1955.7453613    2569.3608398  
 460.0      3484.2585449    1954.7171631    2569.3608398  
 480.0      3482.1486816    1953.6888428    2569.3608398  
 500.0      3480.0388184    1952.6605225    2569.3608398  
 520.0      3487.5500488    1957.7669678    2569.3608398  
 540.0      3495.0615234    1962.8734131    2569.3608398  
 560.0      3502.5727539    1967.9798584    2569.3608398  
 580.0      3510.0839844    1973.0863037    2569.3608398  
 600.0      3517.5952148    1978.1927490    2569.3608398  
 620.0      3525.1064453    1983.2991943    2569.3608398  
 640.0      3532.6176758    1988.4056396    2569.3608398  
 660.0      3540.1291504    1993.5120850    2569.3608398  
 680.0      3547.6403809    1998.6185303    2569.3608398  
 700.0      3555.1516113    2003.7249756    2569.3608398  
 720.0      3562.6630859    2008.8314209    2569.3608398  
 740.0      3570.1743164    2013.9378662    2569.3608398  
 760.0      3577.6855469    2019.0443115    2569.3608398  
 780.0      3585.1967773    2024.1508789    2569.3608398  
 800.0      3592.7080078    2029.2573242    2569.3608398  
 820.0      3600.2194824    2034.3637695    2569.3608398  
 840.0      3607.7307129    2039.4702148    2569.3608398  
 860.0      3615.2419434    2044.5766602    2569.3608398  
 880.0      3622.7534180    2049.6831055    2569.3608398  
 900.0      3630.2646484    2054.7895508    2569.3608398  
 920.0      3637.7758789    2059.8959961    2569.3608398  
 940.0      3645.2871094    2065.0024414    2569.3608398  
 960.0      3652.7983398    2070.1088867    2569.3608398  
 980.0      3660.3095703    2075.2153320    2569.3608398  
1000.0      3667.9060059    2080.4060059    2569.3742676  
1020.0      3684.9250488    2093.2343750    2570.4763184  
1040.0      3701.9445801    2106.0632324    2571.5786133  
1060.0      3718.9636230    2118.8916016    2572.6806641  
1080.0      3735.9831543    2131.7199707    2573.7829590  
1100.0      3753.0021973    2144.5483398    2574.8850098  
1120.0      3770.0212402    2157.3769531    2575.9873047  
1140.0      3787.0407715    2170.2055664    2577.0893555  
1160.0      3804.0598145    2183.0341797    2578.1914062  
1180.0      3821.0788574    2195.8625488    2579.2937012  
1200.0      3838.0983887    2208.6909180    2580.3959961  
1220.0      3855.1174316    2221.5195312    2581.4980469  
1240.0      3872.1364746    2234.3481445    2582.6000977  
1260.0      3889.1555176    2247.1767578    2583.7023926  
1280.0      3906.1750488    2260.0051270    2584.8044434  
1300.0      3923.1940918    2272.8334961    2585.9067383  
1320.0      3940.2131348    2285.6621094    2587.0087891  
1340.0      3957.2326660    2298.4907227    2588.1110840  
1360.0      3974.2517090    2311.3190918    2589.2131348  
1380.0      3991.2712402    2324.1477051    2590.3154297  
1400.0      4008.2902832    2336.9760742    2591.4174805  
1420.0      4025.3093262    2349.8046875    2592.5195312  
1440.0      4042.3283691    2362.6333008    2593.6218262  
1460.0      4059.3479004    2375.4619141    2594.7241211  
1480.0      4076.3669434    2388.2902832    2595.8261719  
1500.0      4093.3859863    2401.1186523    2596.9282227  
1520.0      4104.6210938    2410.2727051    2598.0302734  
1540.0      4115.8564453    2419.4272461    2599.1325684  
