# CI_SVD -117.09826829 34.10652027
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0       608.4359741     273.3059998    1961.0720215  
  20.0      1811.5090332    1117.1228027    2203.2402344  
  40.0      1861.1519775    1178.3466797    2226.3076172  
  60.0      1979.3754883    1223.2426758    2271.9895020  
  80.0      2059.2094727    1233.9925537    2306.5200195  
 100.0      2067.8244629    1271.1607666    2318.9267578  
 120.0      2198.7534180    1302.1362305    2355.3015137  
 140.0      2544.9018555    1284.4425049    2413.1652832  
 160.0      3002.1694336    1359.2917480    2488.5749512  
 180.0      3538.0117188    1341.5981445    2576.3916016  
 200.0      4114.5273438    1323.9044189    2670.6306152  
 220.0      4094.2351074    1306.2108154    2670.6335449  
 240.0      4073.9243164    1288.5170898    2670.6335449  
 260.0      4053.6132812    1270.8234863    2670.6335449  
 280.0      4033.3022461    1423.1297607    2670.6335449  
 300.0      4012.9914551    1405.4360352    2670.6335449  
 320.0      3992.6806641    2354.2583008    2670.6335449  
 340.0      3972.3696289    2336.5646973    2670.6335449  
 360.0      3952.0585938    2318.8710938    2670.6335449  
 380.0      3931.7475586    2301.1772461    2670.6335449  
 400.0      3911.4367676    2283.4836426    2670.6335449  
 420.0      3891.1259766    2265.7900391    2670.6335449  
 440.0      3870.8149414    2248.0961914    2670.6335449  
 460.0      3850.5039062    2230.4025879    2670.6335449  
 480.0      3830.1928711    2212.7089844    2670.6335449  
 500.0      3809.8820801    2195.0151367    2670.6335449  
 520.0      3817.2321777    2200.2663574    2670.6335449  
 540.0      3824.5820312    2205.5175781    2670.6335449  
 560.0      3831.9321289    2210.7687988    2670.6335449  
 580.0      3839.2822266    2216.0200195    2670.6335449  
 600.0      3846.6323242    2221.2712402    2670.6335449  
 620.0      3853.9824219    2226.5224609    2670.6335449  
 640.0      3861.3325195    2231.7736816    2670.6335449  
 660.0      3868.6826172    2237.0249023    2670.6335449  
 680.0      3876.0327148    2242.2761230    2670.6335449  
 700.0      3883.3828125    2247.5273438    2670.6335449  
 720.0      3890.7329102    2252.7783203    2670.6335449  
 740.0      3898.0830078    2258.0297852    2670.6335449  
 760.0      3905.4328613    2263.2807617    2670.6335449  
 780.0      3912.7829590    2268.5319824    2670.6335449  
 800.0      3920.1330566    2273.7832031    2670.6335449  
 820.0      3927.4829102    2279.0344238    2670.6335449  
 840.0      3934.8330078    2284.2856445    2670.6335449  
 860.0      3942.1831055    2289.5368652    2670.6335449  
 880.0      3949.5332031    2294.7880859    2670.6335449  
 900.0      3956.8833008    2300.0393066    2670.6335449  
 920.0      3964.2333984    2305.2905273    2670.6335449  
 940.0      3971.5834961    2310.5417480    2670.6335449  
 960.0      3978.9335938    2315.7929688    2670.6335449  
 980.0      3986.2836914    2321.0439453    2670.6335449  
1000.0      3993.6748047    2326.3154297    2670.6398926  
1020.0      4004.3623047    2333.4379883    2671.1716309  
1040.0      4015.0500488    2340.5605469    2671.7033691  
1060.0      4025.7377930    2347.6831055    2672.2351074  
1080.0      4036.4250488    2354.8061523    2672.7666016  
1100.0      4047.1127930    2361.9287109    2673.2983398  
1120.0      4057.8002930    2369.0512695    2673.8300781  
