# CI_WLT -117.95076346 34.00955077
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0       360.8139954     188.9669952    1921.9725342  
  20.0      1921.5999756     379.9816895    2168.4206543  
  40.0      1912.1975098     535.8822021    2166.9360352  
  60.0      1889.4501953     639.5092163    2163.3442383  
  80.0      1864.9497070     682.1791992    2159.4755859  
 100.0      1846.9345703     743.1362305    2156.6308594  
 120.0      1841.4681396     785.8062134    2155.7678223  
 140.0      1852.8457031     832.8591919    2157.5644531  
 160.0      1883.7615967     868.3819580    2162.4460449  
 180.0      1935.4160156     899.3728638    2170.6022949  
 200.0      2007.6120605     943.1251221    2182.0019531  
 220.0      2072.3916016     982.8050537    2192.2307129  
 240.0      2311.8525391    1172.5686035    2224.5466309  
 260.0      2327.6525879    1170.2338867    2231.5471191  
 280.0      2342.3906250    1167.8991699    2238.1970215  
 300.0      2356.1894531    1165.5644531    2244.5375977  
 320.0      2369.1523438    1216.9008789    2250.6022949  
 340.0      2381.3642578    1225.5468750    2256.4194336  
 360.0      2392.8974609    1233.8331299    2262.0126953  
 380.0      2403.8127441    1241.7902832    2267.4023438  
 400.0      2414.1652832    1249.4448242    2272.6064453  
 420.0      2424.0002441    1256.8198242    2277.6396484  
 440.0      2433.3579102    1263.9361572    2282.5156250  
 460.0      2442.2739258    1270.8112793    2287.2458496  
 480.0      2450.7802734    1277.4615479    2291.8413086  
 500.0      2458.9042969    1283.9011230    2296.3103027  
 520.0      2475.5449219    1295.8143311    2300.8610840  
 540.0      2491.8510742    1307.5415039    2306.3779297  
 560.0      2507.8439941    1319.0937500    2311.7604980  
 580.0      2523.5410156    1330.4798584    2317.0158691  
 600.0      2538.9597168    1352.9130859    2322.1520996  
 620.0      2554.1154785    1377.9338379    2327.1755371  
 640.0      2569.0222168    1402.5588379    2332.0920410  
 660.0      2583.6921387    1426.8063965    2336.9069824  
 680.0      2609.8452148    1450.6945801    2341.6257324  
 700.0      2647.2062988    1477.4266357    2346.9814453  
 720.0      2688.6750488    1507.0788574    2352.9853516  
 740.0      2729.1533203    1536.1339111    2358.8332520  
 760.0      2768.7097168    1564.6306152    2364.5354004  
 780.0      2807.4016113    1592.6026611    2370.1010742  
 800.0      2845.2817383    1620.0803223    2375.5385742  
 820.0      2882.3967285    1647.0903320    2380.8552246  
 840.0      2918.7919922    1673.6596680    2386.0581055  
 860.0      2954.5053711    1699.8103027    2391.1535645  
 880.0      2989.5717773    1725.5622559    2396.1467285  
 900.0      3024.0249023    1750.9356689    2401.0432129  
 920.0      3057.8962402    1775.9486084    2405.8476562  
 940.0      3091.2094727    1800.6148682    2410.5639648  
 960.0      3123.9953613    1824.9533691    2415.1972656  
 980.0      3156.2724609    1848.9741211    2419.7500000  
1000.0      3188.0661621    1872.6921387    2424.2263184  
1020.0      3220.0917969    1897.1710205    2428.6298828  
1040.0      3251.6694336    1921.3677979    2432.9628906  
1060.0      3282.8208008    1945.2960205    2437.2282715  
1080.0      2839.4343262    1631.1791992    2366.5642090  
1100.0      2844.8442383    1636.4538574    2366.7651367  
1120.0      2848.5615234    1640.5461426    2366.6989746  
1140.0      2850.5329590    1643.4183350    2366.3569336  
1160.0      2850.6975098    1645.0295410    2365.7297363  
1180.0      2848.9916992    1645.3356934    2364.8068848  
1200.0      2845.3466797    1644.2915039    2363.5781250  
1220.0      2839.6877441    1641.8472900    2362.0312500  
1240.0      2831.9379883    1637.9536133    2360.1542969  
1260.0      2822.0117188    1632.5551758    2357.9335938  
1280.0      2809.8205566    1625.5968018    2355.3554688  
1300.0      2795.2687988    1617.0190430    2352.4045410  
1320.0      2778.2558594    1606.7606201    2349.0649414  
1340.0      2758.6733398    1594.7568359    2345.3195801  
1360.0      2736.4091797    1580.9422607    2341.1506348  
1380.0      2719.9885254    1565.2486572    2336.5393066  
1400.0      2712.2958984    1547.6048584    2331.4653320  
1420.0      2703.4750977    1527.9384766    2325.9074707  
1440.0      2693.4733887    1506.1746826    2319.8430176  
1460.0      2685.9250488    1498.0578613    2314.8308105  
1480.0      2697.7084961    1507.4934082    2318.1103516  
1500.0      2709.4147949    1525.8493652    2321.3566895  
1520.0      2720.9484863    1542.5308838    2324.5705566  
1540.0      2732.4086914    1559.1036377    2327.7529297  
1560.0      2743.7978516    1575.5706787    2330.9045410  
1580.0      2755.1152344    1591.9311523    2334.0253906  
1600.0      2766.3647461    1608.1903076    2337.1171875  
1620.0      2783.4719238    1624.3499756    2340.1804199  
1640.0      2806.7348633    1640.4114990    2343.2155762  
1660.0      2829.8242188    1656.3768311    2346.2233887  
1680.0      2852.7434082    1672.2478027    2349.2043457  
1700.0      2875.4978027    1688.0274658    2352.1591797  
1720.0      2898.0891113    1703.7155762    2355.0881348  
1740.0      2920.5219727    1719.3155518    2357.9921875  
1760.0      2942.8000488    1734.8287354    2360.8720703  
1780.0      2964.7832031    1750.1567383    2363.7050781  
1800.0      2985.4289551    1764.5704346    2366.3269043  
1820.0      3005.9514160    1778.9147949    2368.9294434  
1840.0      3026.3515625    1793.1896973    2371.5124512  
1860.0      3046.6330566    1807.3979492    2374.0769043  
1880.0      3066.7958984    1821.5388184    2376.6225586  
1900.0      3086.8435059    1835.6137695    2379.1499023  
1920.0      3106.7805176    1849.6264648    2381.6599121  
1940.0      3126.6069336    1863.5758057    2384.1523438  
1960.0      3146.3203125    1877.4608154    2386.6271973  
1980.0      3165.9289551    1891.2854004    2389.0852051  
2000.0      3185.4313965    1905.0493164    2391.5266113  
2020.0      3207.2158203    1919.3415527    2393.9516602  
2040.0      3228.8991699    1933.5758057    2396.3608398  
2060.0      3250.4785156    1947.7497559    2398.7536621  
2080.0      3271.9602051    1961.8670654    2401.1308594  
2100.0      3293.3479004    1975.9305420    2403.4934082  
2120.0      3314.6379395    1989.9370117    2405.8403320  
2140.0      3335.8339844    2003.8887939    2408.1726074  
2160.0      3356.9375000    2017.7867432    2410.4902344  
2180.0      3377.9504395    2031.6317139    2412.7934570  
2200.0      3398.8740234    2045.4248047    2415.0827637  
2220.0      3419.7077637    2059.1652832    2417.3579102  
2240.0      3440.4560547    2072.8552246    2419.6191406  
2260.0      3461.1171875    2086.4941406    2421.8669434  
2280.0      3481.6970215    2100.0859375    2424.1020508  
2300.0      3502.1914062    2113.6264648    2426.3232422  
2320.0      3522.6013184    2127.1171875    2428.5314941  
2340.0      3542.9331055    2140.5615234    2430.7270508  
2360.0      3563.1840820    2153.9584961    2432.9101562  
2380.0      3583.3579102    2167.3095703    2435.0810547  
2400.0      3603.4538574    2180.6145020    2437.2395020  
2420.0      3623.4736328    2193.8740234    2439.3859863  
2440.0      4611.3100586    2567.2653809    2594.3505859  
2460.0      4621.7714844    2573.4443359    2594.9877930  
2480.0      4632.2338867    2579.6232910    2595.6252441  
2500.0      4642.6958008    2585.8024902    2596.2624512  
2520.0      4644.1645508    2584.1008301    2596.8999023  
2540.0      4645.6328125    2582.3989258    2597.5371094  
2560.0      4647.1015625    2580.6970215    2598.1743164  
2580.0      4648.5703125    2578.9953613    2598.8115234  
2600.0      4650.0390625    2577.2937012    2599.4489746  
2620.0      4651.5083008    2575.5917969    2600.0861816  
2640.0      4652.9765625    2573.8901367    2600.7233887  
2660.0      4654.4448242    2572.1884766    2601.3605957  
2680.0      4655.9135742    2570.4868164    2601.9980469  
2700.0      4657.3828125    2568.7849121    2602.6352539  
2720.0      4658.8515625    2567.0830078    2603.2724609  
2740.0      4660.3203125    2565.3813477    2603.9099121  
2760.0      4661.7885742    2563.6796875    2604.5471191  
2780.0      4663.2573242    2561.9777832    2605.1843262  
2800.0      4664.7260742    2560.2758789    2605.8217773  
2820.0      4666.1948242    2558.5742188    2606.4589844  
2840.0      4667.6640625    2556.8728027    2607.0961914  
2860.0      4669.1328125    2555.1708984    2607.7336426  
2880.0      4670.6010742    2553.4692383    2608.3708496  
2900.0      4672.0698242    2551.7673340    2609.0080566  
2920.0      4673.5385742    2550.0656738    2609.6452637  
2940.0      4675.0073242    2548.3640137    2610.2827148  
2960.0      4676.4760742    2546.6621094    2610.9199219  
2980.0      4677.9448242    2544.9602051    2611.5571289  
3000.0      4679.4135742    2543.2585449    2612.1943359  
3020.0      4680.4741211    2542.3789062    2612.8317871  
3040.0      4681.5356445    2541.4990234    2613.4689941  
3060.0      4682.5966797    2540.6191406    2614.1064453  
3080.0      4683.6582031    2539.7392578    2614.7436523  
3100.0      4684.7192383    2538.8596191    2615.3808594  
3120.0      4685.7802734    2537.9799805    2616.0180664  
3140.0      4686.8413086    2537.0998535    2616.6552734  
3160.0      4687.9023438    2536.2199707    2617.2927246  
3180.0      4688.9638672    2535.3403320    2617.9299316  
3200.0      4690.0249023    2534.4606934    2618.5671387  
3220.0      4691.0859375    2533.5808105    2619.2045898  
3240.0      4692.1474609    2532.7011719    2619.8417969  
3260.0      4693.2080078    2531.8210449    2620.4790039  
3280.0      4694.2695312    2530.9414062    2621.1162109  
3300.0      4695.3305664    2530.0617676    2621.7536621  
3320.0      4696.3916016    2529.1816406    2622.3908691  
3340.0      4697.4531250    2528.3017578    2623.0283203  
3360.0      4698.5136719    2527.4221191    2623.6655273  
3380.0      4699.5751953    2526.5422363    2624.3027344  
3400.0      4700.6362305    2525.6625977    2624.9399414  
3420.0      4701.6977539    2524.7827148    2625.5773926  
3440.0      4702.7587891    2523.9028320    2626.2145996  
3460.0      4703.8198242    2523.0231934    2626.8518066  
3480.0      4704.8808594    2522.1435547    2627.4890137  
3500.0      4705.9418945    2521.2634277    2628.1264648  
3520.0      4714.0024414    2523.7145996    2628.7636719  
3540.0      4722.0629883    2526.1660156    2629.4008789  
3560.0      4730.1230469    2528.6174316    2630.0383301  
3580.0      4738.1831055    2531.0686035    2630.6755371  
3600.0      4746.2431641    2533.5197754    2631.3127441  
3620.0      4754.3037109    2535.9709473    2631.9501953  
3640.0      4762.3637695    2538.4223633    2632.5874023  
3660.0      4770.4238281    2540.8737793    2633.2246094  
3680.0      4778.4843750    2543.3247070    2633.8618164  
3700.0      4786.5449219    2545.7758789    2634.4992676  
3720.0      4794.6044922    2548.2272949    2635.1364746  
3740.0      4802.6650391    2550.6784668    2635.7736816  
3760.0      4810.7255859    2553.1298828    2636.4111328  
3780.0      4818.7861328    2555.5810547    2637.0483398  
3800.0      4826.8457031    2558.0322266    2637.6855469  
3820.0      4834.9062500    2560.4836426    2638.3229980  
3840.0      4842.9663086    2562.9348145    2638.9602051  
3860.0      4851.0268555    2565.3857422    2639.5974121  
3880.0      4859.0869141    2567.8371582    2640.2348633  
3900.0      4867.1469727    2570.2885742    2640.8720703  
3920.0      4875.2075195    2572.7397461    2641.5092773  
3940.0      4883.2680664    2575.1909180    2642.1464844  
3960.0      4891.3276367    2577.6423340    2642.7836914  
3980.0      4899.3881836    2580.0935059    2643.4211426  
4000.0      4907.4487305    2582.5449219    2644.0583496  
4020.0      4915.9301758    2585.7211914    2644.6958008  
4040.0      4924.4125977    2588.8977051    2645.3330078  
4060.0      4932.8940430    2592.0739746    2645.9702148  
4080.0      4941.3759766    2595.2504883    2646.6074219  
4100.0      4949.8579102    2598.4267578    2647.2446289  
4120.0      4958.3403320    2601.6032715    2647.8820801  
4140.0      4966.8217773    2604.7795410    2648.5192871  
4160.0      4975.3041992    2607.9560547    2649.1567383  
4180.0      4983.7856445    2611.1325684    2649.7939453  
4200.0      4992.2675781    2614.3088379    2650.4311523  
4220.0      5000.7495117    2617.4853516    2651.0683594  
4240.0      5009.2314453    2620.6618652    2651.7055664  
4260.0      5017.7138672    2623.8378906    2652.3430176  
4280.0      5026.1958008    2627.0141602    2652.9804688  
4300.0      5034.6772461    2630.1904297    2653.6176758  
4320.0      5043.1596680    2633.3669434    2654.2548828  
4340.0      5051.6416016    2636.5434570    2654.8920898  
4360.0      5060.1230469    2639.7199707    2655.5292969  
4380.0      5068.6054688    2642.8962402    2656.1667480  
4400.0      5077.0869141    2646.0727539    2656.8039551  
4420.0      5085.5693359    2649.2490234    2657.4411621  
4440.0      5094.0512695    2652.4255371    2658.0786133  
4460.0      5102.5332031    2655.6018066    2658.7158203  
4480.0      5111.0151367    2658.7783203    2659.3530273  
4500.0      5119.4970703    2661.9545898    2659.9902344  
4520.0      5132.5576172    2672.2419434    2660.6276855  
4540.0      5145.6186523    2682.5290527    2661.2648926  
4560.0      5158.6787109    2692.8161621    2661.9023438  
4580.0      5171.7387695    2703.1032715    2662.5395508  
4600.0      5184.7998047    2713.3906250    2663.1767578  
4620.0      5197.8598633    2723.6777344    2663.8139648  
4640.0      5210.9204102    2733.9648438    2664.4511719  
4660.0      5223.9814453    2744.2517090    2665.0886230  
4680.0      5237.0415039    2754.5390625    2665.7258301  
4700.0      5250.1020508    2764.8261719    2666.3630371  
4720.0      5263.1630859    2775.1132812    2667.0004883  
4740.0      5276.2236328    2785.4006348    2667.6376953  
4760.0      5289.2836914    2795.6879883    2668.2749023  
4780.0      5302.3447266    2805.9748535    2668.9121094  
4800.0      5315.4047852    2816.2622070    2669.5495605  
4820.0      5328.4653320    2826.5493164    2670.1867676  
4840.0      5341.5258789    2836.8364258    2670.8242188  
4860.0      5354.5864258    2847.1235352    2671.4614258  
4880.0      5367.6469727    2857.4108887    2672.0986328  
4900.0      5380.7075195    2867.6977539    2672.7358398  
4920.0      5393.7680664    2877.9851074    2673.3730469  
4940.0      5406.8286133    2888.2722168    2674.0104980  
4960.0      5419.8891602    2898.5593262    2674.6477051  
4980.0      5432.9501953    2908.8466797    2675.2851562  
5000.0      5446.0102539    2919.1337891    2675.9223633  
