# CE_24833 -118.31557032 34.06261973
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0       664.0699463     268.4048767    1969.8566895  
  20.0      1561.9660645     443.1227722    2111.6345215  
  40.0      1661.5500488     593.1708984    2127.3588867  
  60.0      1630.6574707     639.3110962    2122.4809570  
  80.0      1633.8354492     616.7033691    2122.9826660  
 100.0      1656.0429688     603.4699707    2126.4892578  
 120.0      1710.2961426     627.8599854    2135.0556641  
 140.0      1804.3883057     646.1400146    2149.9128418  
 160.0      1932.7006836     646.1400146    2170.1733398  
 180.0      2083.0119629     667.4799805    2193.9077148  
 200.0      2258.4799805     694.9099731    2221.6140137  
 220.0      2305.9628906     694.9099731    2229.1115723  
 240.0      2350.8530273     725.3900146    2236.1997070  
 260.0      2393.5161133     725.3900146    2242.9362793  
 280.0      2434.2385254     725.3900146    2249.3662109  
 300.0      2473.2492676     725.3900146    2255.5261230  
 320.0      2335.3208008    1166.7880859    2270.3588867  
 340.0      2340.7832031    1170.8442383    2274.7431641  
 360.0      2345.7910156    1174.6461182    2278.9780273  
 380.0      2350.3842773    1178.2150879    2283.0759277  
 400.0      2354.5991211    1181.5708008    2287.0490723  
 420.0      2358.4653320    1184.7298584    2290.9072266  
 440.0      2362.0097656    1187.7065430    2294.6591797  
 460.0      2365.2558594    1190.5142822    2298.3129883  
 480.0      2368.2246094    1193.1640625    2302.4389648  
 500.0      2370.9331055    1195.6656494    2306.9609375  
 520.0      2382.1625977    1206.6732178    2311.3786621  
 540.0      2393.1650391    1217.5507812    2315.6987305  
 560.0      2403.9523926    1233.3470459    2319.9267578  
 580.0      2414.5366211    1255.4556885    2324.0673828  
 600.0      2424.9291992    1277.2553711    2328.1259766  
 620.0      2435.1396484    1298.7597656    2332.1064453  
 640.0      2445.1772461    1319.9846191    2336.0129395  
 660.0      2459.6479492    1340.9423828    2339.8488770  
 680.0      2484.4458008    1361.6448975    2343.6176758  
 700.0      2508.8393555    1382.1046143    2347.3225098  
 720.0      2532.8447266    1402.3306885    2350.9660645  
 740.0      2556.4780273    1422.3325195    2354.5510254  
 760.0      2579.7558594    1442.1195068    2358.0795898  
 780.0      2602.6914062    1461.6995850    2361.5544434  
 800.0      2625.3017578    1481.0820312    2364.9777832  
 820.0      2647.5957031    1500.2722168    2368.3510742  
 840.0      2669.5878906    1519.2789307    2371.6767578  
 860.0      2691.2856445    1538.1062012    2374.9560547  
 880.0      2712.7028809    1556.7617188    2378.1909180  
 900.0      2733.8476562    1575.2507324    2381.3828125  
 920.0      2754.7321777    1593.5805664    2384.5336914  
 940.0      2775.3613281    1611.7532959    2387.6442871  
 960.0      2795.7456055    1629.7752686    2390.7160645  
 980.0      2815.8923340    1647.6508789    2393.7502441  
1000.0      2835.8088379    1665.3845215    2396.7482910  
1020.0      2859.7016602    1685.3532715    2399.7111816  
1040.0      2883.3774414    1705.1873779    2402.6396484  
1060.0      2906.8447266    1724.8923340    2405.5351562  
1080.0      2930.1069336    1744.4698486    2408.3984375  
1100.0      2953.1716309    1763.9246826    2411.2304688  
1120.0      2976.0439453    1783.2597656    2414.0322266  
1140.0      2998.7290039    1802.4779053    2416.8041992  
1160.0      3021.2319336    1821.5821533    2419.5476074  
1180.0      3043.5571289    1840.5755615    2422.2629395  
1200.0      3065.7102051    1859.4610596    2424.9511719  
1220.0      3087.6945801    1878.2404785    2427.6125488  
1240.0      3109.5148926    1896.9168701    2430.2480469  
1260.0      3131.1752930    1915.4929199    2432.8583984  
1280.0      3152.6796875    1933.9705811    2435.4440918  
1300.0      3174.0317383    1952.3520508    2438.0056152  
1320.0      3195.2351074    1970.6395264    2440.5437012  
1340.0      3216.2932129    1988.8355713    2443.0590820  
1360.0      3237.2094727    2006.9415283    2445.5517578  
1380.0      3257.9868164    2024.9592285    2448.0227051  
1400.0      3278.6284180    2042.8913574    2450.4721680  
1420.0      3299.1376953    2060.7385254    2452.9006348  
1440.0      3319.5170898    2078.5034180    2455.3085938  
1460.0      3339.7695312    2096.1877441    2457.6967773  
1480.0      3359.8974609    2113.7924805    2460.0649414  
1500.0      3379.9038086    2131.3193359    2462.4140625  
1520.0      3400.6049805    2145.5888672    2464.7443848  
1540.0      3421.1894531    2159.7834473    2467.0561523  
1560.0      3441.6596680    2173.9047852    2469.3500977  
1580.0      3462.0180664    2187.9545898    2471.6262207  
1600.0      3482.2656250    2201.9331055    2473.8847656  
1620.0      3502.4052734    2215.8422852    2476.1264648  
1640.0      3522.4399414    2229.6835938    2478.3513184  
1660.0      3542.3703613    2243.4582520    2480.5600586  
1680.0      3562.1984863    2257.1665039    2482.7524414  
1700.0      3581.9272461    2270.8103027    2484.9289551  
1720.0      3601.5568848    2284.3906250    2487.0900879  
1740.0      3621.0905762    2297.9084473    2489.2360840  
1760.0      3640.5297852    2311.3652344    2491.3669434  
1780.0      3663.8969727    2327.7458496    2494.1181641  
1800.0      3701.9855957    2355.0849609    2499.1938477  
1820.0      3739.3520508    2377.5312500    2504.1557617  
1840.0      3776.0505371    2398.7429199    2509.0119629  
1860.0      3812.1130371    2419.5874023    2513.7675781  
1880.0      3847.5751953    2440.0852051    2518.4287109  
1900.0      3882.4721680    2460.2570801    2523.0004883  
1920.0      3916.8305664    2480.1176758    2527.4873047  
1940.0      3950.6791992    2499.6838379    2531.8935547  
1960.0      3984.0429688    2518.9704590    2536.2231445  
1980.0      4479.5122070    2518.9865723    2613.5192871  
2000.0      4486.8403320    2523.3205566    2613.7377930  
2020.0      4495.2358398    2528.2988281    2613.9565430  
2040.0      4503.6308594    2533.2770996    2614.1750488  
2060.0      4512.0263672    2538.2556152    2614.3935547  
2080.0      4520.4213867    2543.2341309    2614.6123047  
2100.0      4528.8168945    2548.2126465    2614.8308105  
2120.0      4537.2119141    2553.1911621    2615.0493164  
2140.0      4545.6079102    2558.1696777    2615.2680664  
2160.0      4554.0024414    2563.1477051    2615.4865723  
2180.0      4562.3984375    2568.1262207    2615.7050781  
2200.0      4570.7934570    2573.1047363    2615.9238281  
2220.0      4579.1889648    2578.0832520    2616.1423340  
2240.0      4587.5844727    2583.0617676    2616.3608398  
2260.0      4595.9794922    2588.0400391    2616.5795898  
2280.0      4604.3754883    2593.0187988    2616.7980957  
2300.0      4612.7700195    2597.9970703    2617.0166016  
2320.0      4621.1660156    2602.9753418    2617.2353516  
2340.0      4629.5605469    2607.9538574    2617.4538574  
2360.0      4637.9565430    2612.9323730    2617.6723633  
2380.0      4646.3510742    2617.9108887    2617.8911133  
2400.0      4654.7470703    2622.8891602    2618.1096191  
2420.0      4663.1420898    2627.8676758    2618.3281250  
2440.0      4671.5380859    2632.8461914    2618.5468750  
2460.0      4679.9326172    2637.8242188    2618.7653809  
2480.0      4688.3286133    2642.8029785    2618.9838867  
2500.0      4696.7241211    2647.7812500    2619.2026367  
2520.0      4697.3642578    2646.7192383    2619.4211426  
2540.0      4698.0043945    2645.6569824    2619.6396484  
2560.0      4698.6450195    2644.5947266    2619.8583984  
2580.0      4699.2851562    2643.5324707    2620.0769043  
2600.0      4699.9257812    2642.4702148    2620.2954102  
2620.0      4700.5654297    2641.4079590    2620.5141602  
2640.0      4701.2065430    2640.3457031    2620.7326660  
2660.0      4701.8466797    2639.2836914    2620.9511719  
2680.0      4702.4868164    2638.2214355    2621.1699219  
2700.0      4703.1279297    2637.1591797    2621.3886719  
2720.0      4703.7675781    2636.0971680    2621.6069336  
2740.0      4704.4082031    2635.0349121    2621.8256836  
2760.0      4705.0478516    2633.9724121    2622.0441895  
2780.0      4705.6889648    2632.9104004    2622.2626953  
2800.0      4706.3286133    2631.8479004    2622.4814453  
2820.0      4706.9692383    2630.7858887    2622.6999512  
2840.0      4707.6103516    2629.7236328    2622.9187012  
2860.0      4708.2500000    2628.6616211    2623.1372070  
2880.0      4708.8906250    2627.5991211    2623.3557129  
2900.0      4709.5312500    2626.5373535    2623.5742188  
2920.0      4710.1713867    2625.4748535    2623.7929688  
2940.0      4710.8115234    2624.4125977    2624.0114746  
2960.0      4711.4516602    2623.3505859    2624.2299805  
2980.0      4712.0922852    2622.2883301    2624.4487305  
3000.0      4712.7324219    2621.2260742    2624.6672363  
3020.0      4715.4697266    2620.4643555    2624.8859863  
3040.0      4718.2060547    2619.7026367    2625.1044922  
3060.0      4720.9433594    2618.9411621    2625.3229980  
3080.0      4723.6801758    2618.1794434    2625.5415039  
3100.0      4726.4169922    2617.4179688    2625.7602539  
3120.0      4729.1538086    2616.6560059    2625.9787598  
3140.0      4731.8911133    2615.8947754    2626.1972656  
3160.0      4734.6279297    2615.1328125    2626.4160156  
3180.0      4737.3647461    2614.3713379    2626.6345215  
3200.0      4740.1020508    2613.6096191    2626.8532715  
3220.0      4742.8383789    2612.8481445    2627.0717773  
3240.0      4745.5756836    2612.0864258    2627.2902832  
3260.0      4748.3125000    2611.3247070    2627.5087891  
3280.0      4751.0493164    2610.5632324    2627.7275391  
3300.0      4753.7866211    2609.8012695    2627.9462891  
3320.0      4756.5229492    2609.0397949    2628.1645508  
3340.0      4759.2602539    2608.2783203    2628.3833008  
3360.0      4761.9970703    2607.5166016    2628.6018066  
3380.0      4764.7338867    2606.7546387    2628.8203125  
3400.0      4767.4707031    2605.9931641    2629.0390625  
3420.0      4770.2080078    2605.2314453    2629.2575684  
3440.0      4772.9448242    2604.4699707    2629.4760742  
3460.0      4775.6816406    2603.7082520    2629.6948242  
3480.0      4778.4189453    2602.9465332    2629.9135742  
3500.0      4781.1557617    2602.1848145    2630.1320801  
3520.0      4782.5434570    2600.9660645    2630.3505859  
3540.0      4783.9316406    2599.7470703    2630.5690918  
3560.0      4785.3193359    2598.5283203    2630.7875977  
3580.0      4786.7080078    2597.3093262    2631.0063477  
3600.0      4788.0952148    2596.0903320    2631.2248535  
3620.0      4789.4838867    2594.8715820    2631.4436035  
3640.0      4790.8710938    2593.6525879    2631.6621094  
3660.0      4792.2597656    2592.4338379    2631.8806152  
3680.0      4793.6474609    2591.2148438    2632.0993652  
3700.0      4795.0356445    2589.9958496    2632.3178711  
3720.0      4796.4233398    2588.7770996    2632.5363770  
3740.0      4797.8115234    2587.5581055    2632.7548828  
3760.0      4799.2001953    2586.3391113    2632.9736328  
3780.0      4800.5878906    2585.1203613    2633.1923828  
3800.0      4801.9760742    2583.9013672    2633.4108887  
3820.0      4803.3637695    2582.6826172    2633.6293945  
3840.0      4804.7519531    2581.4633789    2633.8479004  
3860.0      4806.1396484    2580.2446289    2634.0664062  
