# CI_BFS -117.65846893 34.23883622
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0      4346.6572266    2271.3569336    2744.3481445  
  20.0      4345.1323242    2270.7373047    2744.3481445  
  40.0      4343.6074219    2270.1181641    2744.3481445  
  60.0      4342.0820312    2269.4985352    2744.3481445  
  80.0      4340.5566406    2268.8793945    2744.3481445  
 100.0      4339.0317383    2268.2597656    2744.3481445  
 120.0      4337.5068359    2267.6406250    2744.3481445  
 140.0      4335.9814453    2267.0209961    2744.3481445  
 160.0      4334.4565430    2266.4018555    2744.3481445  
 180.0      4332.9311523    2265.7822266    2744.3481445  
 200.0      4331.4062500    2265.1630859    2744.3481445  
 220.0      4329.8808594    2264.5434570    2744.3481445  
 240.0      4328.3559570    2263.9243164    2744.3481445  
 260.0      4326.8310547    2263.3049316    2744.3481445  
 280.0      4325.3056641    2262.6855469    2744.3481445  
 300.0      4323.7802734    2262.0661621    2744.3481445  
 320.0      4322.2553711    2261.4467773    2744.3481445  
 340.0      4320.7304688    2260.8273926    2744.3481445  
 360.0      4319.2050781    2260.2080078    2744.3481445  
 380.0      4317.6801758    2259.5886230    2744.3481445  
 400.0      4316.1547852    2258.9692383    2744.3481445  
 420.0      4314.6298828    2258.3498535    2744.3481445  
 440.0      4313.1044922    2257.7304688    2744.3481445  
 460.0      4311.5795898    2257.1110840    2744.3481445  
 480.0      4310.0546875    2256.4916992    2744.3481445  
 500.0      4308.5292969    2255.8723145    2744.3481445  
 520.0      4318.9169922    2263.7595215    2744.3481445  
 540.0      4329.3046875    2271.6467285    2744.3481445  
 560.0      4339.6918945    2279.5336914    2744.3481445  
 580.0      4350.0795898    2287.4208984    2744.3481445  
 600.0      4360.4672852    2295.3081055    2744.3481445  
 620.0      4370.8549805    2303.1953125    2744.3481445  
 640.0      4381.2421875    2311.0825195    2744.3481445  
 660.0      4391.6298828    2318.9697266    2744.3481445  
 680.0      4402.0175781    2326.8569336    2744.3481445  
 700.0      4412.4052734    2334.7441406    2744.3481445  
 720.0      4422.7929688    2342.6313477    2744.3481445  
 740.0      4433.1806641    2350.5183105    2744.3481445  
 760.0      4443.5683594    2358.4055176    2744.3481445  
 780.0      4453.9555664    2366.2927246    2744.3481445  
 800.0      4464.3432617    2374.1799316    2744.3481445  
 820.0      4474.7309570    2382.0671387    2744.3481445  
 840.0      4485.1186523    2389.9543457    2744.3481445  
 860.0      4495.5058594    2397.8413086    2744.3481445  
 880.0      4505.8935547    2405.7285156    2744.3481445  
 900.0      4516.2812500    2413.6157227    2744.3481445  
 920.0      4526.6689453    2421.5029297    2744.3481445  
 940.0      4537.0566406    2429.3901367    2744.3481445  
 960.0      4547.4443359    2437.2773438    2744.3481445  
 980.0      4557.8315430    2445.1645508    2744.3481445  
1000.0      4568.2504883    2453.0905762    2744.3530273  
1020.0      4582.0249023    2464.5544434    2744.7546387  
1040.0      4595.7998047    2476.0190430    2745.1562500  
1060.0      4609.5747070    2487.4831543    2745.5581055  
1080.0      4623.3491211    2498.9475098    2745.9597168  
1100.0      4637.1245117    2510.4116211    2746.3615723  
1120.0      4650.8984375    2521.8759766    2746.7631836  
1140.0      4664.6738281    2533.3403320    2747.1650391  
1160.0      4678.4482422    2544.8046875    2747.5666504  
1180.0      4692.2236328    2556.2685547    2747.9682617  
1200.0      4705.9980469    2567.7329102    2748.3698730  
1220.0      4719.7729492    2579.1972656    2748.7717285  
1240.0      4733.5478516    2590.6616211    2749.1733398  
1260.0      4747.3217773    2602.1257324    2749.5749512  
1280.0      4761.0971680    2613.5898438    2749.9768066  
1300.0      4774.8715820    2625.0541992    2750.3784180  
1320.0      4788.6459961    2636.5185547    2750.7800293  
1340.0      4802.4208984    2647.9829102    2751.1818848  
1360.0      4816.1962891    2659.4472656    2751.5834961  
1380.0      4829.9707031    2670.9113770    2751.9853516  
1400.0      4843.7451172    2682.3754883    2752.3869629  
1420.0      4857.5200195    2693.8398438    2752.7885742  
1440.0      4871.2954102    2705.3041992    2753.1904297  
1460.0      4885.0698242    2716.7685547    2753.5920410  
1480.0      4898.8442383    2728.2324219    2753.9936523  
1500.0      4912.6191406    2739.6970215    2754.3955078  
1520.0      4923.6059570    2747.9824219    2754.7973633  
1540.0      4934.5922852    2756.2683105    2755.1989746  
1560.0      4945.5791016    2764.5539551    2755.6005859  
1580.0      4956.5654297    2772.8398438    2756.0021973  
1600.0      4967.5517578    2781.1252441    2756.4040527  
1620.0      4978.5390625    2789.4111328    2756.8056641  
1640.0      4989.5253906    2797.6967773    2757.2075195  
1660.0      5000.5117188    2805.9826660    2757.6091309  
1680.0      5011.4980469    2814.2680664    2758.0107422  
1700.0      5022.4853516    2822.5539551    2758.4125977  
1720.0      5033.4711914    2830.8395996    2758.8142090  
1740.0      5044.4584961    2839.1254883    2759.2158203  
1760.0      5055.4448242    2847.4108887    2759.6176758  
1780.0      5066.4316406    2855.6967773    2760.0192871  
1800.0      5077.4179688    2863.9824219    2760.4208984  
1820.0      5088.4042969    2872.2680664    2760.8227539  
1840.0      5099.3906250    2880.5537109    2761.2243652  
1860.0      5110.3774414    2888.8395996    2761.6259766  
1880.0      5121.3642578    2897.1250000    2762.0278320  
1900.0      5132.3505859    2905.4111328    2762.4296875  
1920.0      5143.3374023    2913.6965332    2762.8312988  
1940.0      5154.3237305    2921.9824219    2763.2329102  
1960.0      5165.3110352    2930.2683105    2763.6347656  
1980.0      5176.2968750    2938.5537109    2764.0363770  
2000.0      5187.2836914    2946.8393555    2764.4379883  
2020.0      5199.1171875    2955.7321777    2764.8398438  
2040.0      5210.9506836    2964.6250000    2765.2414551  
2060.0      5222.7841797    2973.5175781    2765.6430664  
2080.0      5234.6176758    2982.4104004    2766.0449219  
2100.0      5246.4506836    2991.3029785    2766.4465332  
2120.0      5258.2846680    3000.1958008    2766.8481445  
2140.0      5270.1181641    3009.0883789    2767.2500000  
2160.0      5281.9516602    3017.9812012    2767.6516113  
2180.0      5293.7851562    3026.8737793    2768.0532227  
2200.0      5305.6191406    3035.7666016    2768.4550781  
2220.0      5317.4521484    3044.6591797    2768.8569336  
2240.0      5329.2856445    3053.5520020    2769.2585449  
2260.0      5341.1186523    3062.4448242    2769.6601562  
2280.0      5352.9526367    3071.3374023    2770.0620117  
2300.0      5364.7861328    3080.2302246    2770.4636230  
2320.0      5376.6191406    3089.1230469    2770.8652344  
2340.0      5388.4526367    3098.0156250    2771.2668457  
2360.0      5400.2866211    3106.9084473    2771.6687012  
2380.0      5412.1196289    3115.8010254    2772.0703125  
2400.0      5423.9536133    3124.6938477    2772.4721680  
2420.0      5435.7871094    3133.5861816    2772.8737793  
2440.0      5447.6210938    3142.4794922    2773.2753906  
2460.0      5459.4541016    3151.3718262    2773.6772461  
2480.0      5471.2875977    3160.2646484    2774.0788574  
2500.0      5483.1210938    3169.1572266    2774.4804688  
2520.0      5489.7890625    3173.4321289    2774.8823242  
2540.0      5496.4575195    3177.7067871    2775.2839355  
2560.0      5503.1254883    3181.9812012    2775.6855469  
2580.0      5509.7934570    3186.2558594    2776.0874023  
2600.0      5516.4619141    3190.5305176    2776.4890137  
2620.0      5523.1298828    3194.8054199    2776.8906250  
2640.0      5529.7978516    3199.0800781    2777.2924805  
2660.0      5536.4663086    3203.3547363    2777.6940918  
2680.0      5543.1352539    3207.6293945    2778.0959473  
2700.0      5549.8032227    3211.9040527    2778.4975586  
2720.0      5556.4711914    3216.1784668    2778.8994141  
2740.0      5563.1396484    3220.4533691    2779.3010254  
2760.0      5569.8076172    3224.7277832    2779.7026367  
2780.0      5576.4755859    3229.0021973    2780.1044922  
2800.0      5583.1440430    3233.2770996    2780.5061035  
2820.0      5589.8120117    3237.5520020    2780.9077148  
2840.0      5596.4799805    3241.8264160    2781.3095703  
2860.0      5603.1484375    3246.1010742    2781.7111816  
2880.0      5609.8164062    3250.3757324    2782.1127930  
2900.0      5616.4848633    3254.6503906    2782.5146484  
2920.0      5623.1528320    3258.9250488    2782.9162598  
2940.0      5629.8212891    3263.1997070    2783.3178711  
2960.0      5636.4892578    3267.4743652    2783.7197266  
