# CI_BHP -118.36167530 33.99061849
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0       716.8699951     227.7500000    1978.1937256  
  20.0      1416.7661133     435.4094849    2088.7072754  
  40.0      1661.5500488     495.0700073    2127.3588867  
  60.0      1630.1402588     541.7700195    2122.3991699  
  80.0      1613.3399658     551.8200073    2119.7463379  
 100.0      1582.5815430     603.4699707    2114.8896484  
 120.0      1548.2839355     627.8599854    2109.4741211  
 140.0      1518.7033691     646.1400146    2104.8032227  
 160.0      1500.1212158     646.1400146    2101.8691406  
 180.0      1496.8720703     645.2172852    2101.3562012  
 200.0      1511.3610840     653.2708130    2103.6440430  
 220.0      1559.5363770     680.2269897    2111.2507324  
 240.0      1604.9064941     705.8610229    2118.4147949  
 260.0      1647.8464355     725.3900146    2125.1948242  
 280.0      1688.6578369     725.3900146    2131.6391602  
 300.0      1727.5859375     725.3900146    2137.7858887  
 320.0      1764.8352051     798.0573120    2143.6674805  
 340.0      1800.5745850     819.0374756    2149.3107910  
 360.0      1834.9489746     839.3417969    2154.7385254  
 380.0      1868.0806885     859.0266113    2159.9699707  
 400.0      1900.0776367     878.1423340    2165.0222168  
 420.0      1931.0307617     896.7313843    2169.9096680  
 440.0      1961.0238037     914.8340454    2174.6457520  
 460.0      1990.1260986     932.4822388    2179.2409668  
 480.0      2018.4006348     949.7061157    2183.7055664  
 500.0      2045.9038086     966.5328369    2188.0483398  
 520.0      2072.6865234     982.9866943    2192.2773438  
 540.0      2098.7958984     999.0904541    2196.3999023  
 560.0      2194.7971191    1068.7869873    2223.4438477  
 580.0      2205.2524414    1077.7059326    2226.4638672  
 600.0      2215.5004883    1086.5187988    2229.4155273  
 620.0      2225.5524902    1095.2318115    2232.3029785  
 640.0      2235.4196777    1103.8491211    2235.1286621  
 660.0      2245.1098633    1112.3753662    2237.8967285  
 680.0      2254.6333008    1120.8149414    2240.6091309  
 700.0      2263.9968262    1129.1717529    2243.2695312  
 720.0      2273.2099609    1137.4497070    2245.8796387  
 740.0      2282.2778320    1145.6519775    2248.4423828  
 760.0      2291.2070312    1153.7812500    2250.9592285  
 780.0      2300.0039062    1161.8408203    2253.4323730  
 800.0      2308.6745605    1169.8339844    2255.8637695  
 820.0      2317.2236328    1177.7624512    2258.2553711  
 840.0      2325.6557617    1185.6290283    2260.6083984  
 860.0      2333.9763184    1193.4357910    2262.9243164  
 880.0      2342.1882324    1201.1851807    2265.2045898  
 900.0      2350.2973633    1208.8790283    2267.4511719  
 920.0      2358.3061523    1216.5192871    2269.6645508  
 940.0      2366.2189941    1224.1076660    2271.8459473  
 960.0      2374.0388184    1231.6458740    2273.9970703  
 980.0      2381.7687988    1239.1354980    2276.1181641  
1000.0      2389.4123535    1246.5784912    2278.2111816  
1020.0      2396.7180176    1255.3676758    2280.2761230  
1040.0      2403.9421387    1264.1126709    2282.3144531  
1060.0      2411.0888672    1272.8151855    2284.3271484  
1080.0      2418.1586914    1281.4759521    2286.3144531  
1100.0      2425.1552734    1290.0963135    2288.2775879  
1120.0      2432.0798340    1298.6772461    2290.2170410  
1140.0      2438.9353027    1307.2202148    2292.1337891  
1160.0      2445.7231445    1315.7255859    2294.0278320  
1180.0      2452.4453125    1324.1949463    2295.9006348  
1200.0      2459.1044922    1332.6291504    2297.7521973  
1220.0      2465.7009277    1341.0289307    2299.5834961  
1240.0      2472.2375488    1349.3952637    2301.8144531  
1260.0      2478.7155762    1357.7287598    2304.1455078  
1280.0      2485.1362305    1366.0306396    2306.4519043  
1300.0      2491.5012207    1374.3013916    2308.7346191  
1320.0      2497.8125000    1382.5419922    2310.9941406  
1340.0      2504.0708008    1390.7526855    2313.2307129  
1360.0      2510.2773438    1398.9344482    2315.4453125  
1380.0      2516.4335938    1407.0881348    2317.6386719  
1400.0      2522.5407715    1419.9349365    2319.8105469  
1420.0      2528.6005859    1433.9906006    2321.9621582  
1440.0      2534.6130371    1447.9715576    2324.0935059  
1460.0      2540.5798340    1461.8801270    2326.2053223  
1480.0      2546.5017090    1475.7177734    2328.2978516  
1500.0      2552.3806152    1489.4863281    2330.3718262  
1520.0      2561.6123047    1501.7271729    2332.4274902  
1540.0      2570.8022461    1513.9014893    2334.4650879  
1560.0      2579.9516602    1526.0107422    2336.4851074  
1580.0      2589.0610352    1538.0562744    2338.4882812  
1600.0      2605.2314453    1550.0385742    2340.4743652  
1620.0      2622.1445312    1561.9589844    2342.4438477  
1640.0      2638.9570312    1573.8200684    2344.3977051  
1660.0      2655.6689453    1585.6214600    2346.3354492  
1680.0      2672.2829590    1597.3648682    2348.2578125  
1700.0      2688.7995605    1609.0501709    2350.1647949  
1720.0      2705.2226562    1620.6801758    2352.0571289  
1740.0      2721.5537109    1632.2553711    2353.9348145  
1760.0      2737.7939453    1643.7762451    2355.7980957  
1780.0      2753.9453125    1655.2441406    2357.6474609  
1800.0      2770.0092773    1666.6596680    2359.4829102  
1820.0      2785.9877930    1678.0245361    2361.3051758  
1840.0      2801.8823242    1689.3385010    2363.1137695  
1860.0      2817.6940918    1700.6029053    2364.9094238  
1880.0      2833.4240723    1711.8186035    2366.6923828  
1900.0      2849.0751953    1722.9865723    2368.4626465  
1920.0      2864.6479492    1734.1074219    2370.2207031  
1940.0      2880.1435547    1745.1815186    2371.9663086  
1960.0      2895.5634766    1756.2100830    2373.7001953  
1980.0      2910.9091797    1767.1940918    2375.4223633  
2000.0      2926.1816406    1778.1335449    2377.1328125  
2020.0      2945.3906250    1790.1502686    2378.8320312  
2040.0      2964.5288086    1802.1240234    2380.5200195  
2060.0      2983.5974121    1814.0556641    2382.1972656  
2080.0      3002.5974121    1825.9451904    2383.8632812  
2100.0      3021.5300293    1837.7944336    2385.5190430  
2120.0      3047.7922363    1854.8293457    2388.3320312  
2140.0      3089.4929199    1882.8192139    2393.5825195  
2160.0      3130.1103516    1910.1035156    2398.6623535  
2180.0      3169.7341309    1936.7388916    2403.5849609  
2200.0      3208.4426270    1962.7760010    2408.3632812  
2220.0      3246.3051758    1988.2585449    2413.0078125  
2240.0      3283.3835449    2013.2271729    2417.5288086  
2260.0      3319.7319336    2037.7156982    2421.9340820  
2280.0      3355.4003906    2061.7573242    2426.2324219  
2300.0      3390.4291992    2085.3774414    2430.4296875  
2320.0      3424.8605957    2108.6030273    2434.5324707  
2340.0      3458.7321777    2131.4589844    2438.5468750  
2360.0      3492.0744629    2153.9653320    2442.4777832  
2380.0      3524.9135742    2176.1379395    2446.3291016  
2400.0      3557.2797852    2197.9973145    2450.1059570  
2420.0      3589.2001953    2219.5610352    2453.8125000  
2440.0      3620.6938477    2240.8408203    2457.4514160  
2460.0      3651.7817383    2261.8510742    2461.0263672  
2480.0      3682.4843750    2282.6047363    2464.5405273  
2500.0      3712.8178711    2303.1118164    2467.9960938  
2520.0      3733.6242676    2315.7004395    2471.3972168  
2540.0      3754.0917969    2328.0627441    2474.7448730  
2560.0      3774.2355957    2340.2080078    2478.0412598  
2580.0      3794.0732422    2352.1489258    2481.2893066  
2600.0      3813.6149902    2363.8918457    2484.4907227  
2620.0      3832.8723145    2375.4438477    2487.6472168  
2640.0      3851.8559570    2386.8117676    2490.7602539  
2660.0      3870.5771484    2398.0043945    2493.8322754  
2680.0      3889.0454102    2409.0263672    2496.8640137  
2700.0      3907.2685547    2419.8837891    2499.8571777  
2720.0      3925.2561035    2427.6049805    2502.8132324  
2740.0      3943.0161133    2435.0451660    2505.7331543  
2760.0      3960.5561523    2442.3583984    2508.6186523  
2780.0      3977.8828125    2449.5483398    2511.4702148  
2800.0      3995.0036621    2456.6193848    2514.2893066  
2820.0      4011.9255371    2463.5759277    2517.0769043  
2840.0      4028.6525879    2470.4199219    2519.8339844  
2860.0      4045.1931152    2477.1557617    2522.5612793  
2880.0      4061.5515137    2483.7868652    2525.2600098  
2900.0      4077.7331543    2490.3159180    2527.9309082  
2920.0      4093.7429199    2496.7456055    2530.5744629  
2940.0      4109.5859375    2503.0788574    2533.1918945  
2960.0      4125.2666016    2509.3188477    2535.7834473  
2980.0      4140.7890625    2515.4672852    2538.3500977  
3000.0      4156.1577148    2521.5268555    2540.8928223  
3020.0      4169.4799805    2525.1791992    2543.4116211  
3040.0      4182.6562500    2528.7463379    2545.9072266  
3060.0      4195.6899414    2532.2319336    2548.3806152  
3080.0      4208.5849609    2535.6374512    2550.8320312  
3100.0      4221.3447266    2538.9645996    2553.2622070  
3120.0      4232.5097656    2541.3708496    2555.4404297  
3140.0      4241.9248047    2542.7668457    2557.3420410  
3160.0      4251.2631836    2544.1188965    2559.2319336  
3180.0      4260.5371094    2545.4335938    2561.1115723  
3200.0      4269.7426758    2546.7087402    2562.9804688  
3220.0      4278.8745117    2547.9414062    2564.8376465  
3240.0      4287.9462891    2549.1394043    2566.6853027  
3260.0      4296.9501953    2550.2980957    2568.5222168  
3280.0      4305.8881836    2551.4187012    2570.3488770  
3300.0      4314.7641602    2552.5034180    2572.1655273  
3320.0      4323.5791016    2553.5532227    2573.9726562  
3340.0      4332.3295898    2554.5656738    2575.7695312  
3360.0      4341.0205078    2555.5437012    2577.5571289  
3380.0      4349.6499023    2556.4863281    2579.3349609  
3400.0      4358.2211914    2557.3952637    2581.1037598  
3420.0      4366.7319336    2558.2692871    2582.8627930  
3440.0      4375.1879883    2559.1118164    2584.6132812  
3460.0      4383.5859375    2559.9206543    2586.3544922  
3480.0      4391.9272461    2560.6967773    2588.0869141  
3500.0      4400.2138672    2561.4414062    2589.8105469  
3520.0      4418.3115234    2575.9152832    2591.5256348  
3540.0      4436.3549805    2590.3574219    2593.2321777  
3560.0      4454.3461914    2604.7697754    2594.9301758  
3580.0      4472.2832031    2619.1508789    2596.6201172  
3600.0      4490.1689453    2633.5021973    2598.3015137  
3620.0      4508.0043945    2647.8244629    2599.9750977  
3640.0      4525.7880859    2662.1169434    2601.6406250  
3660.0      4543.5219727    2676.3808594    2603.2983398  
3680.0      4561.2089844    2690.6174316    2604.9484863  
3700.0      4578.8452148    2704.8247070    2606.5905762  
3720.0      4596.4306641    2719.0029297    2608.2248535  
3740.0      4613.9702148    2733.1542969    2609.8515625  
3760.0      4631.4643555    2747.2797852    2611.4714355  
3780.0      4648.9106445    2761.3771973    2613.0834961  
3800.0      4666.3110352    2775.4487305    2614.6884766  
3820.0      4683.6669922    2789.4941406    2616.2863770  
