# CI_BRE -117.98112625 33.80776812
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0       379.2137451     161.5557861    1924.8778076  
  20.0      1227.2724609     366.0065308    2058.7863770  
  40.0      1299.9000244     416.6700134    2070.2541504  
  60.0      1311.0239258     482.2000122    2072.0107422  
  80.0      1297.4554443     526.3900146    2069.8681641  
 100.0      1283.6649170     559.8800049    2067.6906738  
 120.0      1276.6607666     584.2700195    2066.5847168  
 140.0      1281.4958496     602.5700073    2067.3481445  
 160.0      1301.4741211     539.1466064    2070.5026855  
 180.0      1338.2528076     558.7399292    2076.3100586  
 200.0      1391.9364014     587.6542358    2084.7868652  
 220.0      1436.7764893     612.0851440    2091.8669434  
 240.0      1478.9796143     635.3067017    2098.5307617  
 260.0      1518.9022217     657.4722290    2104.8347168  
 280.0      1556.8304443     678.7056885    2110.8234863  
 300.0      1592.9952393     681.7999878    2116.5339355  
 320.0      1627.5887451     718.7647095    2121.9963379  
 340.0      1660.7701416     737.7453613    2127.2355957  
 360.0      1692.6773682     756.1124878    2132.2736816  
 380.0      1723.4243164     773.9169312    2137.1286621  
 400.0      1753.1118164     791.2047119    2141.8164062  
 420.0      1781.8258057     808.0146484    2146.3503418  
 440.0      1809.6445312     824.3830566    2150.7429199  
 460.0      1836.6322021     840.3389282    2155.0041504  
 480.0      1862.8498535     855.9113159    2159.1440430  
 500.0      1888.3491211     871.1235352    2163.1704102  
 520.0      1913.1779785     885.9982910    2167.0908203  
 540.0      1937.3782959     900.5552979    2170.9121094  
 560.0      1960.9890137     914.8129272    2174.6401367  
 580.0      1984.0433350     928.7868042    2178.2805176  
 600.0      2006.5758057     942.4935913    2181.8383789  
 620.0      2028.6125488     955.9454346    2185.3178711  
 640.0      2050.1804199     969.1557007    2188.7236328  
 660.0      2071.3039551     982.1355591    2192.0588379  
 680.0      2092.0051270     994.8960571    2195.3276367  
 700.0      2089.2324219    1069.8177490    2221.9912109  
 720.0      2102.5515137    1078.1245117    2224.4089355  
 740.0      2115.7358398    1086.3625488    2226.7822266  
 760.0      2128.7922363    1094.5354004    2229.1135254  
 780.0      2141.7258301    1102.6453857    2231.4042969  
 800.0      2154.5410156    1110.6945801    2233.6557617  
 820.0      2167.2443848    1118.6859131    2235.8703613  
 840.0      2179.8386230    1126.6207275    2238.0490723  
 860.0      2192.3288574    1134.5018311    2240.1936035  
 880.0      2204.7197266    1142.3312988    2242.3051758  
 900.0      2217.0136719    1150.1102295    2244.3847656  
 920.0      2229.2153320    1157.8411865    2246.4343262  
 940.0      2241.3278809    1165.5250244    2248.4541016  
 960.0      2253.3537598    1173.1636963    2250.4455566  
 980.0      2265.2963867    1180.7585449    2252.4094238  
1000.0      2277.1584473    1188.3107910    2254.3464355  
1020.0      2289.4353027    1197.2574463    2256.2583008  
1040.0      2301.6367188    1206.1644287    2258.1450195  
1060.0      2313.7656250    1215.0325928    2260.0078125  
1080.0      2325.8239746    1223.8634033    2261.8476562  
1100.0      2337.8139648    1232.6575928    2263.6647949  
1120.0      2349.7370605    1241.4161377    2265.4594727  
1140.0      2361.5961914    1250.1403809    2267.2336426  
1160.0      2373.3923340    1258.8310547    2268.9868164  
1180.0      2385.1284180    1267.4888916    2270.7199707  
1200.0      2396.8049316    1276.1149902    2272.4338379  
1220.0      2408.4240723    1284.7100830    2274.1284180  
1240.0      2419.9877930    1293.2751465    2275.8051758  
1260.0      2431.4968262    1301.8105469    2277.4636230  
1280.0      2442.9526367    1310.3172607    2279.1044922  
1300.0      2454.3574219    1318.7960205    2280.7285156  
1320.0      2465.7121582    1327.2474365    2282.3361816  
1340.0      2477.0170898    1335.6719971    2283.9274902  
1360.0      2488.2751465    1344.0705566    2285.5029297  
1380.0      2499.4855957    1352.4433594    2287.0632324  
1400.0      2510.6511230    1360.7912598    2288.6083984  
1420.0      2521.7722168    1369.1149902    2290.1389160  
1440.0      2532.8500977    1377.4147949    2291.6552734  
1460.0      2543.8857422    1385.6914062    2293.1574707  
1480.0      2554.8793945    1393.9448242    2294.6459961  
1500.0      2565.8325195    1402.1757812    2296.1213379  
1520.0      2574.7001953    1407.5122070    2297.5834961  
