# CI_CJM -117.42440727 34.27118789
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0      4245.0590820    2404.5109863    2737.7746582  
  20.0      4233.2299805    2395.4843750    2737.7746582  
  40.0      4221.4003906    2386.4580078    2737.7746582  
  60.0      4209.5712891    2377.4313965    2737.7746582  
  80.0      4197.7416992    2368.4047852    2737.7746582  
 100.0      4185.9121094    2359.3781738    2737.7746582  
 120.0      4174.0830078    2350.3515625    2737.7746582  
 140.0      4162.2539062    2341.3249512    2737.7746582  
 160.0      4150.4243164    2332.2983398    2737.7746582  
 180.0      4138.5947266    2323.2719727    2737.7746582  
 200.0      4126.7656250    2314.2453613    2737.7746582  
 220.0      4114.9360352    2305.2187500    2737.7746582  
 240.0      4103.1069336    2296.1921387    2737.7746582  
 260.0      4091.2773438    2287.1655273    2737.7746582  
 280.0      4079.4479980    2278.1389160    2737.7746582  
 300.0      4067.6186523    2269.1123047    2737.7746582  
 320.0      4055.7893066    2260.0859375    2737.7746582  
 340.0      4043.9599609    2251.0593262    2737.7746582  
 360.0      4032.1303711    2242.0327148    2737.7746582  
 380.0      4020.3012695    2233.0061035    2737.7746582  
 400.0      4008.4716797    2223.9794922    2737.7746582  
 420.0      3996.6425781    2214.9528809    2737.7746582  
 440.0      3984.8129883    2205.9262695    2737.7746582  
 460.0      3972.9836426    2196.8999023    2737.7746582  
 480.0      3961.1542969    2187.8732910    2737.7746582  
 500.0      3949.3249512    2178.8466797    2737.7746582  
 520.0      3959.7905273    2186.7607422    2737.7746582  
 540.0      3970.2561035    2194.6748047    2737.7746582  
 560.0      3980.7216797    2202.5888672    2737.7746582  
 580.0      3991.1870117    2210.5029297    2737.7746582  
 600.0      4001.6528320    2218.4169922    2737.7746582  
 620.0      4012.1181641    2226.3310547    2737.7746582  
 640.0      4022.5839844    2234.2451172    2737.7746582  
 660.0      4033.0493164    2242.1591797    2737.7746582  
 680.0      4043.5151367    2250.0732422    2737.7746582  
 700.0      4053.9804688    2257.9875488    2737.7746582  
 720.0      4064.4462891    2265.9016113    2737.7746582  
 740.0      4074.9116211    2273.8156738    2737.7746582  
 760.0      4085.3771973    2281.7297363    2737.7746582  
 780.0      4095.8427734    2289.6437988    2737.7746582  
 800.0      4106.3085938    2297.5578613    2737.7746582  
 820.0      4116.7739258    2305.4719238    2737.7746582  
 840.0      4127.2392578    2313.3859863    2737.7746582  
 860.0      4137.7050781    2321.3000488    2737.7746582  
 880.0      4148.1708984    2329.2143555    2737.7746582  
 900.0      4158.6362305    2337.1284180    2737.7746582  
 920.0      4169.1015625    2345.0424805    2737.7746582  
 940.0      4179.5673828    2352.9565430    2737.7746582  
 960.0      4190.0332031    2360.8706055    2737.7746582  
 980.0      4200.4985352    2368.7846680    2737.7746582  
1000.0      4210.9697266    2376.7160645    2737.7756348  
1020.0      4223.0615234    2386.5344238    2737.8525391  
1040.0      4235.1533203    2396.3535156    2737.9294434  
1060.0      4247.2451172    2406.1718750    2738.0063477  
1080.0      4259.3374023    2415.9907227    2738.0830078  
1100.0      4271.4287109    2425.8093262    2738.1599121  
1120.0      4283.5205078    2435.6284180    2738.2368164  
1140.0      4295.6123047    2445.4467773    2738.3134766  
1160.0      4307.7041016    2455.2656250    2738.3906250  
1180.0      4319.7958984    2465.0842285    2738.4672852  
