# CI_CLT -117.31677366 34.09287113
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0       316.5215454     192.8570862    1914.9787598  
  20.0      1339.9204102     466.5927429    2076.5734863  
  40.0      1708.3199463     649.2500000    2134.7436523  
  60.0      1686.0010986     752.2600708    2131.2194824  
  80.0      1674.9785156     745.9103394    2129.4790039  
 100.0      1666.6917725     741.1455688    2128.1706543  
 120.0      1671.5528564     743.9397583    2128.9382324  
 140.0      1696.7641602     758.4729614    2132.9189453  
 160.0      1746.6662598     787.4432373    2140.7985840  
 180.0      1822.9218750     832.2235718    2152.8393555  
 200.0      1924.6968994     892.9199829    2168.9096680  
 220.0      1986.8171387     930.4716187    2178.7185059  
 240.0      2045.2766113     966.1481934    2187.9492188  
 260.0      2066.6577148    1076.7773438    2220.5671387  
 280.0      2071.0815430    1072.9666748    2226.9438477  
 300.0      2074.6052246    1065.9372559    2233.0239258  
 320.0      2077.3266602    1089.2810059    2238.8391113  
 340.0      2079.3281250    1092.6467285    2244.4172363  
 360.0      2080.6782227    1095.6722412    2249.7805176  
 380.0      2081.4367676    1098.3867188    2254.9484863  
 400.0      2081.6547852    1100.8151855    2259.9382324  
 420.0      2081.3762207    1102.9796143    2264.7646484  
 440.0      2080.6401367    1104.8991699    2269.4399414  
 460.0      2079.4812012    1106.5910645    2273.9755859  
 480.0      2077.9282227    1108.0700684    2278.3815918  
 500.0      2076.0100098    1109.3503418    2282.6669922  
 520.0      2092.3422852    1120.3045654    2286.8395996  
 540.0      2108.3540039    1131.0825195    2290.9064941  
 560.0      2124.0642090    1141.6949463    2294.8740234  
 580.0      2139.4921875    1152.1508789    2298.7485352  
 600.0      2154.6528320    1162.4587402    2303.2968750  
 620.0      2169.5610352    1172.6256104    2308.1132812  
 640.0      2184.2304688    1182.6589355    2312.8273926  
 660.0      2198.6728516    1192.5648193    2317.4440918  
 680.0      2212.9001465    1213.0457764    2321.9687500  
 700.0      2226.9228516    1235.0224609    2326.4052734  
 720.0      2240.7500000    1256.6899414    2330.7583008  
 740.0      2254.3911133    1278.0603027    2335.0312500  
 760.0      2269.9675293    1299.1464844    2339.2280273  
 780.0      2299.7619629    1319.9598389    2343.3518066  
 800.0      2329.1142578    1340.5114746    2347.4057617  
 820.0      2358.0417480    1360.8109131    2351.3925781  
 840.0      2386.5620117    1380.8679199    2355.3149414  
 860.0      2414.6909180    1400.6914062    2359.1757812  
 880.0      2442.4438477    1420.2901611    2362.9770508  
 900.0      2469.8349609    1439.6716309    2366.7211914  
 920.0      2496.8784180    1458.8443604    2370.4106445  
 940.0      2523.5844727    1477.8134766    2374.0466309  
 960.0      2549.9648438    1496.5859375    2377.6313477  
 980.0      2576.0332031    1515.1689453    2381.1665039  
1000.0      2601.7993164    1533.5690918    2384.6542969  
1020.0      2628.4362793    1553.6318359    2388.0957031  
1040.0      2654.7900391    1573.5219727    2391.4921875  
1060.0      2680.8701172    1593.2447510    2394.8457031  
1080.0      2706.6845703    1612.8049316    2398.1572266  
1100.0      2732.2414551    1632.2073975    2401.4282227  
1120.0      2757.5490723    1651.4561768    2404.6596680  
1140.0      2782.6142578    1670.5556641    2407.8527832  
1160.0      2807.4443359    1689.5101318    2411.0087891  
1180.0      4734.0400391    2763.6298828    2714.4538574  
1200.0      4741.4252930    2770.1452637    2714.8554688  
1220.0      4748.8110352    2776.6604004    2715.2570801  
1240.0      4756.1967773    2783.1755371    2715.6586914  
1260.0      4763.5830078    2789.6909180    2716.0603027  
1280.0      4770.9682617    2796.2060547    2716.4619141  
1300.0      4778.3540039    2802.7211914    2716.8635254  
1320.0      4785.7397461    2809.2363281    2717.2651367  
1340.0      4793.1254883    2815.7517090    2717.6667480  
1360.0      4800.5107422    2822.2668457    2718.0683594  
1380.0      4807.8964844    2828.7819824    2718.4699707  
1400.0      4815.2822266    2835.2971191    2718.8715820  
1420.0      4822.6679688    2841.8122559    2719.2731934  
1440.0      4830.0541992    2848.3276367    2719.6748047  
1460.0      4837.4394531    2854.8427734    2720.0764160  
1480.0      4844.8251953    2861.3579102    2720.4780273  
1500.0      4852.2114258    2867.8730469    2720.8798828  
1520.0      4858.1166992    2872.9733887    2721.2812500  
1540.0      4864.0229492    2878.0737305    2721.6828613  
1560.0      4869.9287109    2883.1738281    2722.0844727  
