# CI_CRN -117.56102607 33.87566039
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0       348.4389954     207.2539978    1920.0185547  
  20.0      1387.3299561     487.6560059    2084.0593262  
  40.0      1708.3199463     640.0479736    2134.7436523  
  60.0      1708.7003174     755.8670044    2134.8037109  
  80.0      1871.4367676     853.3980103    2160.5000000  
 100.0      1722.2303467     773.2236938    2136.9401855  
 120.0      1768.8439941     800.4039917    2144.3005371  
 140.0      1839.1066895     841.8057251    2155.3950195  
 160.0      1932.8181152     897.8078613    2170.1918945  
 180.0      2047.7866211     967.6871948    2188.3454590  
 200.0      2337.6638184    1062.8171387    2230.2241211  
 220.0      2347.6789551    1055.5148926    2234.4621582  
 240.0      2356.7536621    1048.2126465    2238.3901367  
 260.0      2365.0278320    1040.9105225    2242.0541992  
 280.0      2372.6110840    1033.6082764    2245.4902344  
 300.0      2379.5915527    1026.3061523    2248.7275391  
 320.0      2386.0412598    1076.8955078    2251.7897949  
 340.0      2392.0190430    1075.0786133    2254.6962891  
 360.0      2397.5744629    1073.0147705    2257.4641113  
 380.0      2402.7502441    1070.7276611    2260.1062012  
 400.0      2407.5820312    1068.2377930    2262.6350098  
 420.0      2412.1005859    1065.5632324    2265.0605469  
 440.0      2416.3330078    1062.7189941    2267.3916016  
 460.0      2420.3022461    1059.7187500    2269.6359863  
 480.0      2424.0292969    1056.5745850    2271.8005371  
 500.0      2427.5322266    1053.2963867    2273.8908691  
 520.0      2439.5034180    1060.0202637    2275.9128418  
 540.0      2451.2810059    1066.6281738    2277.8713379  
 560.0      2462.8781738    1073.1279297    2279.7700195  
 580.0      2474.3063965    1079.5260010    2281.6130371  
 600.0      2485.5761719    1085.8286133    2283.4038086  
 620.0      2496.6972656    1092.0417480    2285.1457520  
 640.0      2507.6779785    1098.1700439    2286.8410645  
 660.0      2518.5266113    1104.2182617    2288.4931641  
 680.0      2529.2504883    1110.1909180    2290.1037598  
 700.0      2539.8559570    1116.0914307    2291.6755371  
 720.0      2550.3491211    1121.9243164    2293.2104492  
 740.0      2560.7358398    1127.6917725    2294.7097168  
 760.0      2571.0214844    1133.3974609    2296.1757812  
 780.0      2581.2104492    1139.0445557    2297.6103516  
 800.0      2591.3073730    1144.6352539    2299.0144043  
 820.0      2601.3164062    1150.1721191    2300.5065918  
 840.0      2611.2421875    1155.6578369    2302.2592773  
 860.0      2621.0869141    1161.0938721    2303.9772949  
 880.0      2630.8552246    1166.4829102    2305.6625977  
 900.0      2640.5495605    1171.8265381    2307.3161621  
 920.0      2650.1733398    1177.1267090    2308.9394531  
 940.0      2659.7290039    1182.3847656    2310.5334473  
 960.0      2669.2192383    1187.6025391    2312.0996094  
 980.0      2678.6469727    1192.7813721    2313.6386719  
1000.0      2688.0139160    1197.9229736    2315.1518555  
1020.0      2696.4301758    1204.8416748    2316.6401367  
1040.0      2704.7897949    1211.7277832    2318.1040039  
1060.0      2713.0957031    1222.5614014    2319.5449219  
1080.0      2721.3491211    1233.3038330    2320.9631348  
1100.0      2729.5515137    1243.9581299    2322.3596191  
1120.0      2737.7050781    1254.5268555    2323.7351074  
1140.0      2745.8112793    1265.0131836    2325.0903320  
1160.0      2753.8715820    1275.4195557    2326.4260254  
1180.0      2761.8876953    1285.7482910    2327.7424316  
1200.0      2769.8608398    1296.0017090    2329.0405273  
1220.0      2777.7917480    1306.1815186    2330.3205566  
1240.0      2785.6826172    1316.2913818    2331.5834961  
1260.0      2793.5336914    1326.3315430    2332.8293457  
