# CI_FON -117.43885195 34.09956832
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0       348.4389954     207.2539978    1920.0185547  
  20.0      1387.3299561     487.6560059    2084.0593262  
  40.0      1708.3199463     640.0479736    2134.7436523  
  60.0      1687.2713623     752.9927368    2131.4201660  
  80.0      1687.4710693     753.1079102    2131.4516602  
 100.0      1703.5322266     762.3864136    2133.9877930  
 120.0      1746.6131592     787.4122925    2140.7902832  
 140.0      1823.5820312     832.6139526    2152.9436035  
 160.0      1937.4970703     900.6267700    2170.9306641  
 180.0      2087.9177246     992.3732910    2194.6821289  
 200.0      2221.0417480    1099.7382812    2241.2819824  
 220.0      2231.8786621    1092.6214600    2250.1821289  
 240.0      2241.1247559    1085.5046387    2258.5573730  
 260.0      2248.9958496    1078.3876953    2266.4794922  
 280.0      2255.6647949    1071.2708740    2274.0048828  
 300.0      2261.2712402    1064.1540527    2281.1801758  
 320.0      2265.9309082    1184.5024414    2288.0432129  
 340.0      2269.7404785    1190.2774658    2294.6257324  
 360.0      2272.7817383    1195.6280518    2301.2421875  
 380.0      2275.1247559    1200.5899658    2309.1752930  
 400.0      2276.8298340    1205.1945801    2316.8347168  
 420.0      2277.9489746    1226.4705811    2324.2431641  
 440.0      4795.9208984    2676.2238770    2733.5161133  
 460.0      4779.7675781    2669.1069336    2733.5161133  
 480.0      4763.6152344    2661.9902344    2733.5161133  
 500.0      4747.4624023    2654.8732910    2733.5161133  
 520.0      4758.0839844    2661.5688477    2733.5161133  
 540.0      4768.7060547    2668.2641602    2733.5161133  
 560.0      4779.3281250    2674.9597168    2733.5161133  
 580.0      4789.9501953    2681.6552734    2733.5161133  
 600.0      4800.5722656    2688.3505859    2733.5161133  
 620.0      4811.1938477    2695.0461426    2733.5161133  
 640.0      4821.8159180    2701.7414551    2733.5161133  
 660.0      4832.4379883    2708.4370117    2733.5161133  
 680.0      4843.0600586    2715.1325684    2733.5161133  
 700.0      4853.6816406    2721.8278809    2733.5161133  
 720.0      4864.3037109    2728.5234375    2733.5161133  
 740.0      4874.9257812    2735.2187500    2733.5161133  
 760.0      4885.5478516    2741.9143066    2733.5161133  
 780.0      4896.1699219    2748.6098633    2733.5161133  
 800.0      4906.7915039    2755.3051758    2733.5161133  
 820.0      4917.4135742    2762.0007324    2733.5161133  
 840.0      4928.0356445    2768.6962891    2733.5161133  
 860.0      4938.6577148    2775.3916016    2733.5161133  
 880.0      4949.2792969    2782.0871582    2733.5161133  
 900.0      4959.9013672    2788.7824707    2733.5161133  
 920.0      4970.5234375    2795.4780273    2733.5161133  
 940.0      4981.1455078    2802.1735840    2733.5161133  
 960.0      4991.7675781    2808.8688965    2733.5161133  
 980.0      5002.3891602    2815.5644531    2733.5161133  
1000.0      5013.0449219    2822.2915039    2733.5214844  
1020.0      5028.4887695    2833.3789062    2733.9567871  
1040.0      5043.9335938    2844.4667969    2734.3920898  
1060.0      5059.3779297    2855.5544434    2734.8276367  
1080.0      5074.8222656    2866.6423340    2735.2629395  
1100.0      5090.2661133    2877.7302246    2735.6982422  
1120.0      5105.7114258    2888.8178711    2736.1337891  
1140.0      5121.1552734    2899.9055176    2736.5690918  
1160.0      5136.6000977    2910.9934082    2737.0046387  
1180.0      5152.0444336    2922.0810547    2737.4399414  
1200.0      5167.4887695    2933.1684570    2737.8754883  
1220.0      5182.9326172    2944.2565918    2738.3107910  
1240.0      5198.3769531    2955.3442383    2738.7460938  
1260.0      5213.8212891    2966.4321289    2739.1816406  
