# CI_GSA -118.12831287 34.13685114
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0       399.2119141     255.4544983    1928.0355225  
  20.0      1178.2149658     509.7779846    2051.0400391  
  40.0      1720.1472168     619.2490234    2136.6113281  
  60.0      1690.0947266     676.3334961    2131.8659668  
  80.0      1711.4982910     766.9988403    2135.2456055  
 100.0      1765.9172363     798.6906128    2143.8383789  
 120.0      1859.5346680     853.9383545    2158.6206055  
 140.0      3064.1721191     918.8822632    2348.8327637  
 160.0      3668.5170898     938.8822632    2444.2587891  
 180.0      4332.2011719     938.8822632    2549.0546875  
 200.0      5026.2163086     938.8822632    2658.6396484  
 220.0      5026.2377930     938.8822632    2658.6430664  
 240.0      5026.2377930     938.8822632    2658.6430664  
 260.0      5026.2377930     938.8822632    2658.6430664  
 280.0      5026.2377930     938.8822632    2658.6430664  
 300.0      5026.2377930     938.8822632    2658.6430664  
 320.0      4608.3798828    2148.7397461    2658.6430664  
 340.0      4596.2773438    2145.9196777    2658.6430664  
 360.0      4584.1752930    2143.0996094    2658.6430664  
 380.0      4572.0727539    2140.2795410    2658.6430664  
 400.0      4559.9707031    2137.4594727    2658.6430664  
 420.0      4547.8681641    2134.6394043    2658.6430664  
 440.0      4535.7656250    2131.8193359    2658.6430664  
 460.0      4523.6635742    2128.9990234    2658.6430664  
 480.0      4511.5610352    2126.1789551    2658.6430664  
 500.0      4499.4589844    2123.3588867    2658.6430664  
 520.0      4502.2670898    2127.6298828    2658.6430664  
 540.0      4505.0756836    2131.9006348    2658.6430664  
 560.0      4507.8837891    2136.1713867    2658.6430664  
 580.0      4510.6918945    2140.4423828    2658.6430664  
 600.0      4513.5004883    2144.7131348    2658.6430664  
 620.0      4516.3085938    2148.9838867    2658.6430664  
 640.0      4519.1166992    2153.2546387    2658.6430664  
 660.0      4521.9252930    2157.5256348    2658.6430664  
 680.0      4524.7333984    2161.7963867    2658.6430664  
 700.0      4527.5419922    2166.0671387    2658.6430664  
 720.0      4530.3500977    2170.3381348    2658.6430664  
 740.0      4533.1582031    2174.6088867    2658.6430664  
 760.0      4535.9667969    2178.8796387    2658.6430664  
 780.0      4538.7749023    2183.1503906    2658.6430664  
 800.0      4541.5830078    2187.4213867    2658.6430664  
 820.0      4544.3916016    2191.6921387    2658.6430664  
 840.0      4547.1997070    2195.9628906    2658.6430664  
 860.0      4550.0083008    2200.2338867    2658.6430664  
 880.0      4552.8164062    2204.5046387    2658.6430664  
 900.0      4555.6245117    2208.7753906    2658.6430664  
 920.0      4558.4331055    2213.0461426    2658.6430664  
 940.0      4561.2412109    2217.3171387    2658.6430664  
 960.0      4564.0498047    2221.5878906    2658.6430664  
 980.0      4566.8579102    2225.8586426    2658.6430664  
1000.0      4569.7260742    2230.2182617    2658.6523438  
1020.0      4582.7548828    2242.8620605    2659.4284668  
1040.0      4595.7846680    2255.5061035    2660.2045898  
1060.0      4608.8134766    2268.1501465    2660.9807129  
1080.0      4621.8427734    2280.7941895    2661.7568359  
1100.0      4634.8710938    2293.4379883    2662.5327148  
1120.0      4647.9003906    2306.0820312    2663.3088379  
1140.0      4660.9296875    2318.7260742    2664.0849609  
1160.0      4673.9584961    2331.3701172    2664.8608398  
1180.0      4686.9873047    2344.0139160    2665.6369629  
