# CI_HLN -117.21905000 34.12121799
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0       360.8139954     228.5930023    1921.9725342  
  20.0      1921.5999756     332.2200012    2168.4206543  
  40.0      1915.8129883     387.0820007    2167.5068359  
  60.0      1907.7606201     441.9429932    2166.2353516  
  80.0      1911.3150635     502.8999939    2166.7966309  
 100.0      1935.6726074     502.8999939    2170.6428223  
 120.0      1986.9257812     563.8569946    2178.7355957  
 140.0      2068.6174316     563.8569946    2191.6347656  
 160.0      2182.0034180     624.8140259    2209.5383301  
 180.0      2326.2500000     624.8140259    2232.3149414  
 200.0      2167.0561523    1097.9301758    2268.8886719  
 220.0      2182.0056152    1092.2314453    2278.6765137  
 240.0      2195.2060547    1086.5327148    2287.8881836  
 260.0      4453.7109375    1080.8339844    2677.5976562  
 280.0      4438.9770508    1075.1352539    2677.5976562  
 300.0      4424.2431641    1069.4366455    2677.5976562  
 320.0      4409.5097656    2533.1457520    2677.5976562  
 340.0      4394.7758789    2527.4470215    2677.5976562  
 360.0      4380.0419922    2521.7482910    2677.5976562  
 380.0      4365.3085938    2516.0495605    2677.5976562  
 400.0      4350.5747070    2510.3510742    2677.5976562  
 420.0      4335.8408203    2504.6523438    2677.5976562  
 440.0      4321.1069336    2498.9536133    2677.5976562  
 460.0      4306.3735352    2493.2548828    2677.5976562  
 480.0      4291.6396484    2487.5561523    2677.5976562  
 500.0      4276.9057617    2481.8574219    2677.5976562  
 520.0      4278.9375000    2483.0759277    2677.5976562  
 540.0      4280.9692383    2484.2944336    2677.5976562  
 560.0      4283.0009766    2485.5126953    2677.5976562  
 580.0      4285.0327148    2486.7312012    2677.5976562  
 600.0      4287.0644531    2487.9497070    2677.5976562  
 620.0      4289.0957031    2489.1679688    2677.5976562  
 640.0      4291.1274414    2490.3864746    2677.5976562  
 660.0      4293.1591797    2491.6049805    2677.5976562  
 680.0      4295.1909180    2492.8232422    2677.5976562  
 700.0      4297.2226562    2494.0417480    2677.5976562  
 720.0      4299.2543945    2495.2602539    2677.5976562  
 740.0      4301.2861328    2496.4785156    2677.5976562  
 760.0      4303.3173828    2497.6970215    2677.5976562  
 780.0      4305.3491211    2498.9155273    2677.5976562  
 800.0      4307.3808594    2500.1340332    2677.5976562  
 820.0      4309.4125977    2501.3522949    2677.5976562  
 840.0      4311.4443359    2502.5708008    2677.5976562  
 860.0      4313.4760742    2503.7893066    2677.5976562  
 880.0      4315.5078125    2505.0075684    2677.5976562  
 900.0      4317.5390625    2506.2260742    2677.5976562  
 920.0      4319.5708008    2507.4445801    2677.5976562  
 940.0      4321.6025391    2508.6630859    2677.5976562  
 960.0      4323.6342773    2509.8813477    2677.5976562  
 980.0      4325.6660156    2511.0998535    2677.5976562  
1000.0      4327.7177734    2512.3271484    2677.6008301  
1020.0      4331.7880859    2514.7038574    2677.8569336  
1040.0      4335.8588867    2517.0812988    2678.1130371  
1060.0      4339.9287109    2519.4580078    2678.3691406  
1080.0      4344.0000000    2521.8352051    2678.6252441  
1100.0      4348.0703125    2524.2124023    2678.8813477  
1120.0      4352.1416016    2526.5893555    2679.1376953  
1140.0      4356.2119141    2528.9667969    2679.3937988  
1160.0      4360.2827148    2531.3439941    2679.6499023  
1180.0      4364.3530273    2533.7207031    2679.9060059  
1200.0      4368.4238281    2536.0979004    2680.1621094  
1220.0      4372.4941406    2538.4750977    2680.4182129  
1240.0      4376.5649414    2540.8520508    2680.6743164  
1260.0      4380.6357422    2543.2292480    2680.9306641  
1280.0      4384.7065430    2545.6062012    2681.1865234  
1300.0      4388.7763672    2547.9833984    2681.4428711  
1320.0      4392.8476562    2550.3605957    2681.6989746  
1340.0      4396.9179688    2552.7377930    2681.9550781  
1360.0      4400.9887695    2555.1147461    2682.2111816  
1380.0      4405.0590820    2557.4919434    2682.4672852  
1400.0      4409.1298828    2559.8686523    2682.7233887  
1420.0      4413.2001953    2562.2458496    2682.9794922  
1440.0      4417.2709961    2564.6232910    2683.2355957  
1460.0      4421.3417969    2567.0002441    2683.4919434  
1480.0      4425.4125977    2569.3771973    2683.7480469  
1500.0      4429.4833984    2571.7546387    2684.0041504  
1520.0      4433.1352539    2573.7451172    2684.2602539  
1540.0      4436.7890625    2575.7360840    2684.5163574  
1560.0      4440.4414062    2577.7268066    2684.7724609  
1580.0      4444.0947266    2579.7180176    2685.0288086  
1600.0      4447.7470703    2581.7084961    2685.2849121  
1620.0      4451.3994141    2583.6994629    2685.5410156  
1640.0      4455.0527344    2585.6901855    2685.7971191  
1660.0      4458.7055664    2587.6813965    2686.0532227  
1680.0      4462.3579102    2589.6718750    2686.3093262  
1700.0      4466.0112305    2591.6628418    2686.5654297  
1720.0      4469.6640625    2593.6535645    2686.8217773  
1740.0      4473.3168945    2595.6445312    2687.0776367  
1760.0      4476.9692383    2597.6352539    2687.3337402  
1780.0      4480.6220703    2599.6262207    2687.5900879  
1800.0      4484.2749023    2601.6169434    2687.8461914  
1820.0      4487.9277344    2603.6079102    2688.1022949  
1840.0      4491.5805664    2605.5983887    2688.3583984  
1860.0      4495.2333984    2607.5895996    2688.6147461  
1880.0      4498.8862305    2609.5803223    2688.8706055  
1900.0      4502.5390625    2611.5710449    2689.1269531  
1920.0      4506.1918945    2613.5620117    2689.3830566  
1940.0      4509.8447266    2615.5529785    2689.6391602  
1960.0      4513.4970703    2617.5437012    2689.8952637  
1980.0      4517.1499023    2619.5346680    2690.1513672  
2000.0      4520.8027344    2621.5253906    2690.4074707  
2020.0      4524.7280273    2623.6394043    2690.6635742  
2040.0      4528.6528320    2625.7529297    2690.9199219  
2060.0      4532.5781250    2627.8669434    2691.1757812  
2080.0      4536.5029297    2629.9809570    2691.4321289  
2100.0      4540.4277344    2632.0947266    2691.6882324  
2120.0      4544.3525391    2634.2084961    2691.9443359  
2140.0      4548.2778320    2636.3222656    2692.2004395  
2160.0      4552.2021484    2638.4362793    2692.4565430  
2180.0      4556.1269531    2640.5500488    2692.7126465  
2200.0      4560.0527344    2642.6643066    2692.9687500  
2220.0      4563.9775391    2644.7778320    2693.2250977  
2240.0      4567.9023438    2646.8918457    2693.4812012  
2260.0      4571.8271484    2649.0056152    2693.7373047  
2280.0      4575.7519531    2651.1198730    2693.9934082  
2300.0      4579.6767578    2653.2333984    2694.2495117  
2320.0      4583.6015625    2655.3471680    2694.5056152  
2340.0      4587.5263672    2657.4611816    2694.7617188  
2360.0      4591.4521484    2659.5749512    2695.0180664  
2380.0      4595.3769531    2661.6889648    2695.2741699  
2400.0      4599.3017578    2663.8024902    2695.5302734  
2420.0      4603.2265625    2665.9167480    2695.7863770  
2440.0      4607.1518555    2668.0305176    2696.0424805  
2460.0      4611.0761719    2670.1445312    2696.2985840  
2480.0      4615.0019531    2672.2580566    2696.5546875  
2500.0      4618.9267578    2674.3720703    2696.8110352  
2520.0      4621.9980469    2675.5842285    2697.0668945  
2540.0      4625.0693359    2676.7963867    2697.3232422  
2560.0      4628.1406250    2678.0085449    2697.5793457  
2580.0      4631.2119141    2679.2204590    2697.8354492  
2600.0      4634.2832031    2680.4326172    2698.0915527  
2620.0      4637.3544922    2681.6445312    2698.3476562  
2640.0      4640.4257812    2682.8566895    2698.6037598  
2660.0      4643.4980469    2684.0690918    2698.8598633  
2680.0      4646.5698242    2685.2810059    2699.1162109  
2700.0      4649.6411133    2686.4931641    2699.3723145  
2720.0      4652.7124023    2687.7050781    2699.6284180  
2740.0      4655.7836914    2688.9174805    2699.8845215  
2760.0      4658.8549805    2690.1293945    2700.1406250  
2780.0      4661.9262695    2691.3415527    2700.3967285  
2800.0      4664.9980469    2692.5534668    2700.6528320  
2820.0      4668.0693359    2693.7656250    2700.9091797  
2840.0      4671.1406250    2694.9777832    2701.1650391  
2860.0      4674.2119141    2696.1901855    2701.4213867  
2880.0      4677.2832031    2697.4018555    2701.6774902  
2900.0      4680.3549805    2698.6140137    2701.9335938  
2920.0      4683.4257812    2699.8261719    2702.1896973  
2940.0      4686.4970703    2701.0383301    2702.4458008  
2960.0      4689.5693359    2702.2504883    2702.7021484  
2980.0      4692.6406250    2703.4624023    2702.9580078  
3000.0      4695.7124023    2704.6745605    2703.2143555  
3020.0      4698.6977539    2705.9182129    2703.4704590  
3040.0      4701.6835938    2707.1616211    2703.7265625  
3060.0      4704.6689453    2708.4047852    2703.9826660  
3080.0      4707.6547852    2709.6484375    2704.2387695  
3100.0      4710.6406250    2710.8918457    2704.4948730  
3120.0      4713.6259766    2712.1354980    2704.7509766  
3140.0      4716.6118164    2713.3786621    2705.0073242  
3160.0      4719.5976562    2714.6225586    2705.2634277  
3180.0      4722.5830078    2715.8657227    2705.5195312  
3200.0      4725.5693359    2717.1091309    2705.7756348  
3220.0      4728.5541992    2718.3525391    2706.0317383  
3240.0      4731.5405273    2719.5964355    2706.2878418  
3260.0      4734.5263672    2720.8395996    2706.5439453  
3280.0      4737.5122070    2722.0830078    2706.8002930  
3300.0      4740.4980469    2723.3266602    2707.0563965  
3320.0      4743.4833984    2724.5700684    2707.3125000  
3340.0      4746.4692383    2725.8134766    2707.5686035  
3360.0      4749.4550781    2727.0568848    2707.8247070  
3380.0      4752.4404297    2728.3005371    2708.0808105  
3400.0      4755.4262695    2729.5439453    2708.3369141  
3420.0      4758.4116211    2730.7873535    2708.5932617  
3440.0      4761.3974609    2732.0310059    2708.8491211  
3460.0      4764.3828125    2733.2744141    2709.1054688  
3480.0      4767.3686523    2734.5178223    2709.3615723  
3500.0      4770.3549805    2735.7612305    2709.6176758  
3520.0      4775.1147461    2738.0351562    2709.8737793  
3540.0      4779.8745117    2740.3095703    2710.1298828  
3560.0      4784.6342773    2742.5834961    2710.3859863  
3580.0      4789.3940430    2744.8576660    2710.6420898  
3600.0      4794.1538086    2747.1315918    2710.8984375  
3620.0      4798.9135742    2749.4057617    2711.1542969  
3640.0      4803.6738281    2751.6799316    2711.4106445  
3660.0      4808.4335938    2753.9538574    2711.6667480  
3680.0      4813.1933594    2756.2280273    2711.9228516  
3700.0      4817.9531250    2758.5021973    2712.1789551  
3720.0      4822.7128906    2760.7761230    2712.4350586  
3740.0      4827.4726562    2763.0500488    2712.6914062  
3760.0      4832.2324219    2765.3242188    2712.9472656  
3780.0      4836.9926758    2767.5986328    2713.2036133  
3800.0      4841.7519531    2769.8725586    2713.4597168  
3820.0      4846.5122070    2772.1464844    2713.7158203  
3840.0      4851.2719727    2774.4206543    2713.9719238  
3860.0      4856.0317383    2776.6948242    2714.2280273  
3880.0      4860.7919922    2778.9687500    2714.4843750  
3900.0      4865.5517578    2781.2431641    2714.7404785  
3920.0      4870.3115234    2783.5170898    2714.9965820  
3940.0      4875.0712891    2785.7910156    2715.2526855  
3960.0      4879.8310547    2788.0651855    2715.5087891  
3980.0      4884.5908203    2790.3393555    2715.7648926  
4000.0      4889.3505859    2792.6132812    2716.0209961  
4020.0      4895.2880859    2795.9926758    2716.2773438  
4040.0      4901.2246094    2799.3718262    2716.5332031  
4060.0      4907.1611328    2802.7509766    2716.7895508  
4080.0      4913.0981445    2806.1303711    2717.0454102  
4100.0      4919.0346680    2809.5095215    2717.3017578  
4120.0      4924.9721680    2812.8889160    2717.5578613  
4140.0      4930.9096680    2816.2683105    2717.8139648  
4160.0      4936.8461914    2819.6472168    2718.0703125  
4180.0      4942.7827148    2823.0266113    2718.3261719  
4200.0      4948.7197266    2826.4057617    2718.5825195  
4220.0      4954.6567383    2829.7851562    2718.8386230  
4240.0      4960.5937500    2833.1645508    2719.0947266  
4260.0      4966.5302734    2836.5434570    2719.3508301  
4280.0      4972.4672852    2839.9228516    2719.6069336  
4300.0      4978.4038086    2843.3022461    2719.8630371  
4320.0      4984.3408203    2846.6813965    2720.1191406  
4340.0      4990.2778320    2850.0605469    2720.3752441  
4360.0      4996.2143555    2853.4399414    2720.6313477  
4380.0      5002.1518555    2856.8193359    2720.8876953  
4400.0      5008.0883789    2860.1984863    2721.1437988  
4420.0      5014.0253906    2863.5776367    2721.3999023  
4440.0      5019.9624023    2866.9570312    2721.6560059  
4460.0      5025.8994141    2870.3361816    2721.9121094  
4480.0      5031.8359375    2873.7155762    2722.1682129  
4500.0      5037.7724609    2877.0947266    2722.4243164  
4520.0      5047.0253906    2883.4848633    2722.6806641  
4540.0      5056.2783203    2889.8750000    2722.9367676  
4560.0      5065.5307617    2896.2648926    2723.1928711  
4580.0      5074.7832031    2902.6552734    2723.4489746  
4600.0      5084.0361328    2909.0454102    2723.7050781  
4620.0      5093.2880859    2915.4355469    2723.9611816  
4640.0      5102.5410156    2921.8254395    2724.2172852  
4660.0      5111.7929688    2928.2158203    2724.4733887  
4680.0      5121.0458984    2934.6057129    2724.7297363  
4700.0      5130.2988281    2940.9960938    2724.9858398  
4720.0      5139.5512695    2947.3859863    2725.2419434  
4740.0      5148.8041992    2953.7763672    2725.4980469  
4760.0      5158.0561523    2960.1665039    2725.7541504  
4780.0      5167.3085938    2966.5566406    2726.0102539  
4800.0      5176.5610352    2972.9465332    2726.2663574  
4820.0      5185.8139648    2979.3364258    2726.5227051  
4840.0      5195.0664062    2985.7265625    2726.7788086  
4860.0      5204.3193359    2992.1166992    2727.0349121  
4880.0      5213.5722656    2998.5070801    2727.2910156  
4900.0      5222.8247070    3004.8969727    2727.5471191  
4920.0      5232.0766602    3011.2871094    2727.8032227  
4940.0      5241.3295898    3017.6772461    2728.0595703  
4960.0      5250.5815430    3024.0673828    2728.3154297  
4980.0      5259.8344727    3030.4575195    2728.5717773  
5000.0      5269.0869141    3036.8476562    2728.8278809  
