# CI_IPT -117.28488250 34.19701487
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0      4259.8432617    2553.1660156    2700.7182617  
  20.0      4246.5825195    2542.0056152    2700.7182617  
  40.0      4233.3212891    2530.8452148    2700.7182617  
  60.0      4220.0605469    2519.6845703    2700.7182617  
  80.0      4206.7993164    2508.5241699    2700.7182617  
 100.0      4193.5385742    2497.3637695    2700.7182617  
 120.0      4180.2773438    2486.2033691    2700.7182617  
 140.0      4167.0166016    2475.0429688    2700.7182617  
 160.0      4153.7558594    2463.8823242    2700.7182617  
 180.0      4140.4946289    2452.7219238    2700.7182617  
 200.0      4127.2333984    2441.5615234    2700.7182617  
 220.0      4113.9726562    2430.4011230    2700.7182617  
 240.0      4100.7119141    2419.2407227    2700.7182617  
 260.0      4087.4506836    2408.0800781    2700.7182617  
 280.0      4074.1896973    2396.9196777    2700.7182617  
 300.0      4060.9287109    2385.7592773    2700.7182617  
 320.0      4047.6677246    2374.5988770    2700.7182617  
 340.0      4034.4067383    2363.4384766    2700.7182617  
 360.0      4021.1457520    2352.2778320    2700.7182617  
 380.0      4007.8847656    2341.1174316    2700.7182617  
 400.0      3994.6237793    2329.9570312    2700.7182617  
 420.0      3981.3627930    2318.7966309    2700.7182617  
 440.0      3968.1018066    2307.6362305    2700.7182617  
 460.0      3954.8408203    2296.4755859    2700.7182617  
 480.0      3941.5798340    2285.3151855    2700.7182617  
 500.0      3928.3188477    2274.1547852    2700.7182617  
 520.0      3932.6865234    2276.9055176    2700.7182617  
 540.0      3937.0541992    2279.6562500    2700.7182617  
 560.0      3941.4218750    2282.4067383    2700.7182617  
 580.0      3945.7895508    2285.1574707    2700.7182617  
 600.0      3950.1572266    2287.9082031    2700.7182617  
 620.0      3954.5249023    2290.6589355    2700.7182617  
 640.0      3958.8925781    2293.4096680    2700.7182617  
 660.0      3963.2602539    2296.1601562    2700.7182617  
 680.0      3967.6279297    2298.9108887    2700.7182617  
 700.0      3971.9956055    2301.6616211    2700.7182617  
 720.0      3976.3632812    2304.4123535    2700.7182617  
 740.0      3980.7309570    2307.1630859    2700.7182617  
 760.0      3985.0986328    2309.9135742    2700.7182617  
 780.0      3989.4663086    2312.6643066    2700.7182617  
 800.0      3993.8339844    2315.4150391    2700.7182617  
 820.0      3998.2016602    2318.1657715    2700.7182617  
 840.0      4002.5693359    2320.9165039    2700.7182617  
 860.0      4006.9370117    2323.6669922    2700.7182617  
 880.0      4011.3046875    2326.4177246    2700.7182617  
 900.0      4015.6723633    2329.1684570    2700.7182617  
 920.0      4020.0400391    2331.9191895    2700.7182617  
 940.0      4024.4077148    2334.6699219    2700.7182617  
 960.0      4028.7753906    2337.4204102    2700.7182617  
 980.0      4033.1430664    2340.1711426    2700.7182617  
1000.0      4037.5297852    2342.9458008    2700.7211914  
1020.0      4043.4067383    2347.4677734    2700.9667969  
1040.0      4049.2846680    2351.9892578    2701.2126465  
1060.0      4055.1618652    2356.5114746    2701.4582520  
1080.0      4061.0400391    2361.0332031    2701.7041016  
1100.0      4066.9174805    2365.5551758    2701.9497070  
1120.0      4072.7951660    2370.0771484    2702.1955566  
1140.0      4078.6728516    2374.5991211    2702.4411621  
1160.0      4084.5502930    2379.1208496    2702.6870117  
1180.0      4090.4279785    2383.6428223    2702.9326172  
1200.0      4096.3051758    2388.1645508    2703.1782227  
1220.0      4102.1826172    2392.6865234    2703.4238281  
1240.0      4108.0595703    2397.2084961    2703.6696777  
1260.0      4113.9375000    2401.7304688    2703.9152832  
1280.0      4119.8149414    2406.2521973    2704.1611328  
1300.0      4125.6923828    2410.7739258    2704.4067383  
1320.0      4131.5703125    2415.2961426    2704.6523438  
1340.0      4137.4477539    2419.8178711    2704.8981934  
1360.0      4143.3251953    2424.3398438    2705.1440430  
1380.0      4149.2031250    2428.8615723    2705.3896484  
1400.0      4155.0800781    2433.3837891    2705.6352539  
1420.0      4160.9575195    2437.9055176    2705.8808594  
1440.0      4166.8349609    2442.4274902    2706.1267090  
1460.0      4172.7128906    2446.9492188    2706.3725586  
1480.0      4178.5903320    2451.4711914    2706.6181641  
1500.0      4184.4682617    2455.9931641    2706.8640137  
1520.0      4191.0874023    2460.9870605    2707.1096191  
1540.0      4197.7065430    2465.9809570    2707.3552246  
1560.0      4204.3261719    2470.9753418    2707.6010742  
1580.0      4210.9453125    2475.9694824    2707.8466797  
1600.0      4217.5644531    2480.9636230    2708.0922852  
1620.0      4224.1845703    2485.9575195    2708.3381348  
1640.0      4230.8032227    2490.9516602    2708.5837402  
1660.0      4237.4233398    2495.9460449    2708.8295898  
1680.0      4244.0419922    2500.9396973    2709.0751953  
1700.0      4250.6621094    2505.9340820    2709.3210449  
1720.0      4257.2812500    2510.9282227    2709.5666504  
1740.0      4263.9008789    2515.9223633    2709.8125000  
1760.0      4270.5195312    2520.9162598    2710.0581055  
1780.0      4277.1391602    2525.9104004    2710.3037109  
1800.0      4283.7587891    2530.9047852    2710.5495605  
1820.0      4290.3779297    2535.8986816    2710.7951660  
1840.0      4296.9970703    2540.8925781    2711.0410156  
1860.0      4303.6166992    2545.8869629    2711.2866211  
1880.0      4310.2363281    2550.8811035    2711.5324707  
1900.0      4316.8554688    2555.8750000    2711.7780762  
1920.0      4323.4746094    2560.8691406    2712.0236816  
1940.0      4330.0937500    2565.8632812    2712.2695312  
1960.0      4336.7133789    2570.8576660    2712.5151367  
1980.0      4343.3330078    2575.8513184    2712.7607422  
2000.0      4349.9521484    2580.8457031    2713.0065918  
2020.0      4356.9472656    2586.0993652    2713.2524414  
2040.0      4363.9423828    2591.3525391    2713.4980469  
2060.0      4370.9365234    2596.6059570    2713.7436523  
2080.0      4377.9316406    2601.8598633    2713.9892578  
2100.0      4384.9267578    2607.1127930    2714.2351074  
2120.0      4391.9213867    2612.3666992    2714.4809570  
2140.0      4398.9165039    2617.6201172    2714.7265625  
2160.0      4405.9116211    2622.8740234    2714.9721680  
2180.0      4412.9062500    2628.1269531    2715.2180176  
2200.0      4419.9013672    2633.3808594    2715.4636230  
2220.0      4426.8964844    2638.6342773    2715.7094727  
2240.0      4433.8911133    2643.8881836    2715.9550781  
2260.0      4440.8857422    2649.1411133    2716.2006836  
2280.0      4447.8813477    2654.3950195    2716.4465332  
2300.0      4454.8754883    2659.6484375    2716.6921387  
2320.0      4461.8706055    2664.9018555    2716.9379883  
2340.0      4468.8652344    2670.1552734    2717.1835938  
2360.0      4475.8608398    2675.4089355    2717.4291992  
2380.0      4482.8554688    2680.6623535    2717.6750488  
2400.0      4489.8500977    2685.9160156    2717.9206543  
2420.0      4496.8452148    2691.1694336    2718.1665039  
2440.0      4503.8408203    2696.4230957    2718.4121094  
2460.0      4510.8349609    2701.6762695    2718.6577148  
2480.0      4517.8300781    2706.9299316    2718.9035645  
2500.0      4524.8251953    2712.1835938    2719.1494141  
2520.0      4530.7202148    2716.2062988    2719.3950195  
2540.0      4536.6157227    2720.2287598    2719.6406250  
2560.0      4542.5107422    2724.2512207    2719.8862305  
2580.0      4548.4062500    2728.2739258    2720.1320801  
2600.0      4554.3012695    2732.2966309    2720.3779297  
2620.0      4560.1967773    2736.3188477    2720.6235352  
2640.0      4566.0917969    2740.3415527    2720.8691406  
2660.0      4571.9873047    2744.3642578    2721.1149902  
2680.0      4577.8828125    2748.3867188    2721.3605957  
2700.0      4583.7778320    2752.4091797    2721.6064453  
2720.0      4589.6733398    2756.4316406    2721.8520508  
2740.0      4595.5688477    2760.4543457    2722.0976562  
2760.0      4601.4638672    2764.4768066    2722.3435059  
2780.0      4607.3588867    2768.4992676    2722.5891113  
2800.0      4613.2548828    2772.5217285    2722.8349609  
2820.0      4619.1494141    2776.5446777    2723.0805664  
2840.0      4625.0449219    2780.5666504    2723.3261719  
2860.0      4630.9404297    2784.5893555    2723.5720215  
2880.0      4636.8359375    2788.6120605    2723.8178711  
2900.0      4642.7309570    2792.6347656    2724.0634766  
2920.0      4648.6264648    2796.6569824    2724.3090820  
2940.0      4654.5214844    2800.6796875    2724.5549316  
2960.0      4660.4165039    2804.7021484    2724.8005371  
2980.0      4666.3125000    2808.7248535    2725.0463867  
3000.0      4672.2070312    2812.7470703    2725.2919922  
3020.0      4678.1083984    2816.7514648    2725.5375977  
3040.0      4684.0097656    2820.7553711    2725.7834473  
3060.0      4689.9111328    2824.7592773    2726.0292969  
3080.0      4695.8120117    2828.7634277    2726.2749023  
3100.0      4701.7128906    2832.7675781    2726.5205078  
3120.0      4707.6142578    2836.7714844    2726.7661133  
3140.0      4713.5146484    2840.7753906    2727.0119629  
3160.0      4719.4165039    2844.7795410    2727.2578125  
3180.0      4725.3168945    2848.7836914    2727.5034180  
3200.0      4731.2182617    2852.7875977    2727.7490234  
3220.0      4737.1191406    2856.7917480    2727.9946289  
3240.0      4743.0205078    2860.7958984    2728.2404785  
3260.0      4748.9218750    2864.8000488    2728.4863281  
3280.0      4754.8227539    2868.8037109    2728.7319336  
3300.0      4760.7236328    2872.8078613    2728.9775391  
3320.0      4766.6245117    2876.8120117    2729.2231445  
3340.0      4772.5263672    2880.8156738    2729.4689941  
3360.0      4778.4267578    2884.8198242    2729.7148438  
3380.0      4784.3286133    2888.8239746    2729.9604492  
3400.0      4790.2290039    2892.8281250    2730.2060547  
3420.0      4796.1308594    2896.8320312    2730.4519043  
3440.0      4802.0312500    2900.8361816    2730.6975098  
3460.0      4807.9326172    2904.8403320    2730.9433594  
3480.0      4813.8334961    2908.8444824    2731.1889648  
3500.0      4819.7348633    2912.8483887    2731.4348145  
3520.0      4826.2543945    2917.2766113    2731.6804199  
3540.0      4832.7739258    2921.7050781    2731.9260254  
3560.0      4839.2939453    2926.1328125    2732.1718750  
3580.0      4845.8134766    2930.5612793    2732.4174805  
3600.0      4852.3339844    2934.9897461    2732.6633301  
3620.0      4858.8530273    2939.4179688    2732.9089355  
3640.0      4865.3730469    2943.8459473    2733.1547852  
3660.0      4871.8925781    2948.2744141    2733.4003906  
3680.0      4878.4125977    2952.7028809    2733.6459961  
3700.0      4884.9321289    2957.1311035    2733.8918457  
3720.0      4891.4521484    2961.5595703    2734.1374512  
3740.0      4897.9711914    2965.9875488    2734.3833008  
3760.0      4904.4912109    2970.4160156    2734.6289062  
3780.0      4911.0107422    2974.8442383    2734.8745117  
3800.0      4917.5307617    2979.2724609    2735.1203613  
3820.0      4924.0502930    2983.7009277    2735.3659668  
3840.0      4930.5703125    2988.1289062    2735.6118164  
3860.0      4937.0898438    2992.5571289    2735.8574219  
3880.0      4943.6098633    2996.9855957    2736.1032715  
3900.0      4950.1298828    3001.4138184    2736.3488770  
3920.0      4956.6494141    3005.8422852    2736.5947266  
3940.0      4963.1694336    3010.2702637    2736.8403320  
3960.0      4969.6889648    3014.6987305    2737.0859375  
3980.0      4976.2084961    3019.1269531    2737.3315430  
4000.0      4982.7285156    3023.5554199    2737.5773926  
4020.0      4989.9643555    3028.6594238    2737.8232422  
4040.0      4997.2001953    3033.7636719    2738.0688477  
4060.0      5004.4365234    3038.8676758    2738.3144531  
4080.0      5011.6718750    3043.9719238    2738.5600586  
4100.0      5018.9086914    3049.0761719    2738.8059082  
4120.0      5026.1440430    3054.1804199    2739.0517578  
4140.0      5033.3808594    3059.2844238    2739.2973633  
4160.0      5040.6162109    3064.3884277    2739.5429688  
4180.0      5047.8525391    3069.4924316    2739.7888184  
4200.0      5055.0883789    3074.5966797    2740.0344238  
4220.0      5062.3247070    3079.7009277    2740.2802734  
4240.0      5069.5605469    3084.8051758    2740.5258789  
4260.0      5076.7963867    3089.9091797    2740.7717285  
4280.0      5084.0322266    3095.0134277    2741.0173340  
4300.0      5091.2685547    3100.1176758    2741.2631836  
4320.0      5098.5043945    3105.2219238    2741.5087891  
4340.0      5105.7402344    3110.3261719    2741.7543945  
4360.0      5112.9765625    3115.4301758    2742.0000000  
4380.0      5120.2124023    3120.5341797    2742.2458496  
4400.0      5127.4487305    3125.6386719    2742.4916992  
4420.0      5134.6845703    3130.7426758    2742.7373047  
4440.0      5141.9208984    3135.8469238    2742.9829102  
4460.0      5149.1567383    3140.9509277    2743.2287598  
4480.0      5156.3930664    3146.0549316    2743.4743652  
4500.0      5163.6289062    3151.1591797    2743.7202148  
4520.0      5172.6679688    3157.8688965    2743.9658203  
4540.0      5181.7060547    3164.5786133    2744.2114258  
4560.0      5190.7456055    3171.2883301    2744.4572754  
4580.0      5199.7836914    3177.9978027    2744.7028809  
4600.0      5208.8227539    3184.7077637    2744.9487305  
4620.0      5217.8613281    3191.4174805    2745.1943359  
4640.0      5226.9003906    3198.1271973    2745.4401855  
4660.0      5235.9389648    3204.8366699    2745.6857910  
4680.0      5244.9780273    3211.5466309    2745.9316406  
4700.0      5254.0161133    3218.2561035    2746.1772461  
4720.0      5263.0556641    3224.9658203    2746.4228516  
4740.0      5272.0942383    3231.6757812    2746.6687012  
4760.0      5281.1333008    3238.3852539    2746.9145508  
4780.0      5290.1718750    3245.0952148    2747.1601562  
4800.0      5299.2104492    3251.8046875    2747.4057617  
4820.0      5308.2490234    3258.5144043    2747.6513672  
4840.0      5317.2875977    3265.2238770    2747.8969727  
4860.0      5326.3271484    3271.9335938    2748.1428223  
4880.0      5335.3652344    3278.6433105    2748.3886719  
4900.0      5344.4042969    3285.3527832    2748.6342773  
4920.0      5353.4428711    3292.0627441    2748.8798828  
4940.0      5362.4819336    3298.7724609    2749.1257324  
4960.0      5371.5205078    3305.4821777    2749.3713379  
4980.0      5380.5595703    3312.1918945    2749.6171875  
5000.0      5389.5981445    3318.9016113    2749.8627930  
