# CI_KIK -118.10157863 34.15035861
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0       373.4465332     223.2720947    1923.9671631  
  20.0      1333.3205566     490.3857422    2075.5312500  
  40.0      1720.1472168     631.2400513    2136.6113281  
  60.0      1689.8869629     728.4989014    2131.8332520  
  80.0      1708.4559326     765.2363892    2134.7651367  
 100.0      1754.3474121     791.9262085    2142.0114746  
 120.0      1831.2169189     837.1312866    2154.1491699  
 140.0      1938.5983887     901.2908325    2171.1047363  
 160.0      2072.8037109     969.8972168    2192.2956543  
 180.0      2227.6127930     969.8972168    2216.7399902  
 200.0      2394.9387207     969.8972168    2243.1608887  
 220.0      2414.4995117     969.8972168    2246.2495117  
 240.0      2428.4453125     969.8972168    2248.4516602  
 260.0      2437.1896973     969.8972168    2249.8322754  
 280.0      2441.0253906     969.8972168    2250.4379883  
 300.0      2440.1594238     969.8972168    2250.3012695  
 320.0      2274.7502441    1233.6748047    2261.1323242  
 340.0      2256.5131836    1227.3624268    2259.9299316  
 360.0      2236.6450195    1220.0322266    2258.1896973  
 380.0      2215.1479492    1211.6914062    2255.9125977  
 400.0      2192.8518066    1202.8635254    2253.3723145  
 420.0      4517.3754883    2132.8798828    2671.4716797  
 440.0      4502.7841797    2128.8535156    2671.4716797  
 460.0      4488.1928711    2124.8271484    2671.4716797  
 480.0      4473.6015625    2120.8005371    2671.4716797  
 500.0      4459.0097656    2116.7741699    2671.4716797  
 520.0      4461.9770508    2120.9528809    2671.4716797  
 540.0      4464.9438477    2125.1315918    2671.4716797  
 560.0      4467.9106445    2129.3103027    2671.4716797  
 580.0      4470.8779297    2133.4890137    2671.4716797  
 600.0      4473.8447266    2137.6677246    2671.4716797  
 620.0      4476.8115234    2141.8464355    2671.4716797  
 640.0      4479.7783203    2146.0251465    2671.4716797  
 660.0      4482.7451172    2150.2038574    2671.4716797  
 680.0      4485.7124023    2154.3825684    2671.4716797  
 700.0      4488.6791992    2158.5612793    2671.4716797  
 720.0      4491.6459961    2162.7399902    2671.4716797  
 740.0      4494.6132812    2166.9187012    2671.4716797  
 760.0      4497.5800781    2171.0974121    2671.4716797  
 780.0      4500.5468750    2175.2761230    2671.4716797  
 800.0      4503.5136719    2179.4548340    2671.4716797  
 820.0      4506.4804688    2183.6335449    2671.4716797  
 840.0      4509.4477539    2187.8122559    2671.4716797  
 860.0      4512.4145508    2191.9909668    2671.4716797  
 880.0      4515.3813477    2196.1696777    2671.4716797  
 900.0      4518.3486328    2200.3483887    2671.4716797  
 920.0      4521.3154297    2204.5270996    2671.4716797  
 940.0      4524.2822266    2208.7058105    2671.4716797  
 960.0      4527.2490234    2212.8845215    2671.4716797  
 980.0      4530.2158203    2217.0632324    2671.4716797  
1000.0      4533.2412109    2221.3286133    2671.4809570  
1020.0      4546.5913086    2233.4855957    2672.2294922  
1040.0      4559.9414062    2245.6430664    2672.9782715  
1060.0      4573.2919922    2257.8000488    2673.7270508  
1080.0      4586.6425781    2269.9572754    2674.4758301  
1100.0      4599.9926758    2282.1147461    2675.2243652  
1120.0      4613.3432617    2294.2719727    2675.9731445  
1140.0      4626.6938477    2306.4291992    2676.7219238  
1160.0      4640.0444336    2318.5866699    2677.4704590  
1180.0      4653.3950195    2330.7436523    2678.2192383  
1200.0      4666.7451172    2342.9008789    2678.9677734  
1220.0      4680.0957031    2355.0583496    2679.7165527  
1240.0      4693.4458008    2367.2153320    2680.4653320  
1260.0      4706.7968750    2379.3725586    2681.2141113  
1280.0      4720.1464844    2391.5300293    2681.9626465  
1300.0      4733.4970703    2403.6870117    2682.7114258  
1320.0      4746.8471680    2415.8442383    2683.4599609  
1340.0      4760.1982422    2428.0014648    2684.2087402  
1360.0      4773.5483398    2440.1589355    2684.9575195  
1380.0      4786.8989258    2452.3161621    2685.7060547  
1400.0      4800.2490234    2464.4733887    2686.4548340  
1420.0      4813.5996094    2476.6306152    2687.2036133  
1440.0      4826.9501953    2488.7878418    2687.9521484  
1460.0      4840.3007812    2500.9450684    2688.7009277  
1480.0      4853.6503906    2513.1022949    2689.4497070  
1500.0      4867.0014648    2525.2597656    2690.1982422  
1520.0      4874.4902344    2533.0659180    2690.9470215  
1540.0      4881.9790039    2540.8725586    2691.6958008  
1560.0      4889.4682617    2548.6789551    2692.4443359  
1580.0      4896.9570312    2556.4855957    2693.1931152  
1600.0      4904.4458008    2564.2917480    2693.9418945  
1620.0      4911.9345703    2572.0983887    2694.6904297  
1640.0      4919.4238281    2579.9047852    2695.4392090  
1660.0      4926.9125977    2587.7116699    2696.1879883  
1680.0      4934.4008789    2595.5178223    2696.9365234  
1700.0      4941.8901367    2603.3244629    2697.6853027  
1720.0      4949.3784180    2611.1308594    2698.4340820  
1740.0      4956.8681641    2618.9375000    2699.1826172  
1760.0      4964.3564453    2626.7438965    2699.9313965  
1780.0      4971.8457031    2634.5505371    2700.6801758  
1800.0      4979.3344727    2642.3566895    2701.4287109  
1820.0      4986.8227539    2650.1630859    2702.1774902  
1840.0      4994.3120117    2657.9697266    2702.9262695  
1860.0      5001.8007812    2665.7761230    2703.6748047  
1880.0      5009.2900391    2673.5827637    2704.4235840  
1900.0      5016.7783203    2681.3891602    2705.1721191  
1920.0      5024.2675781    2689.1955566    2705.9208984  
1940.0      5031.7563477    2697.0021973    2706.6696777  
1960.0      5039.2451172    2704.8088379    2707.4182129  
1980.0      5046.7343750    2712.6152344    2708.1669922  
2000.0      5054.2226562    2720.4216309    2708.9157715  
2020.0      5060.6562500    2728.3654785    2709.6645508  
2040.0      5067.0898438    2736.3090820    2710.4130859  
2060.0      5073.5229492    2744.2529297    2711.1616211  
2080.0      5079.9560547    2752.1965332    2711.9104004  
2100.0      5086.3896484    2760.1401367    2712.6591797  
2120.0      5092.8232422    2768.0837402    2713.4079590  
2140.0      5099.2563477    2776.0278320    2714.1564941  
2160.0      5105.6894531    2783.9711914    2714.9052734  
2180.0      5112.1225586    2791.9147949    2715.6538086  
2200.0      5118.5566406    2799.8583984    2716.4028320  
2220.0      5124.9897461    2807.8022461    2717.1513672  
2240.0      5131.4228516    2815.7460938    2717.8999023  
2260.0      5137.8559570    2823.6896973    2718.6486816  
2280.0      5144.2900391    2831.6333008    2719.3974609  
2300.0      5150.7231445    2839.5769043    2720.1459961  
2320.0      5157.1562500    2847.5209961    2720.8947754  
2340.0      5163.5898438    2855.4643555    2721.6435547  
2360.0      5170.0234375    2863.4082031    2722.3923340  
2380.0      5176.4560547    2871.3518066    2723.1408691  
2400.0      5182.8896484    2879.2956543    2723.8896484  
2420.0      5189.3232422    2887.2392578    2724.6381836  
2440.0      5195.7568359    2895.1831055    2725.3869629  
2460.0      5202.1894531    2903.1267090    2726.1357422  
2480.0      5208.6230469    2911.0705566    2726.8842773  
2500.0      5215.0561523    2919.0141602    2727.6330566  
2520.0      5216.6171875    2921.7722168    2728.3818359  
2540.0      5218.1777344    2924.5300293    2729.1306152  
2560.0      5219.7377930    2927.2875977    2729.8791504  
2580.0      5221.2988281    2930.0454102    2730.6279297  
2600.0      5222.8588867    2932.8037109    2731.3764648  
2620.0      5224.4194336    2935.5615234    2732.1252441  
2640.0      5225.9799805    2938.3190918    2732.8740234  
2660.0      5227.5405273    2941.0769043    2733.6225586  
2680.0      5229.1010742    2943.8352051    2734.3713379  
2700.0      5230.6611328    2946.5930176    2735.1201172  
2720.0      5232.2226562    2949.3505859    2735.8686523  
2740.0      5233.7827148    2952.1083984    2736.6174316  
2760.0      5235.3427734    2954.8664551    2737.3662109  
2780.0      5236.9038086    2957.6242676    2738.1147461  
2800.0      5238.4638672    2960.3818359    2738.8635254  
2820.0      5240.0244141    2963.1398926    2739.6123047  
2840.0      5241.5854492    2965.8977051    2740.3608398  
2860.0      5243.1455078    2968.6557617    2741.1096191  
2880.0      5244.7060547    2971.4135742    2741.8583984  
2900.0      5246.2666016    2974.1713867    2742.6069336  
2920.0      5247.8266602    2976.9291992    2743.3557129  
2940.0      5249.3876953    2979.6870117    2744.1044922  
2960.0      5250.9482422    2982.4450684    2744.8530273  
2980.0      5252.5092773    2985.2028809    2745.6018066  
3000.0      5254.0693359    2987.9606934    2746.3505859  
3020.0      5254.7861328    2989.5922852    2747.0991211  
3040.0      5255.5029297    2991.2241211    2747.8479004  
3060.0      5256.2202148    2992.8559570    2748.5966797  
3080.0      5256.9375000    2994.4877930    2749.3452148  
3100.0      5257.6542969    2996.1193848    2750.0939941  
3120.0      5258.3710938    2997.7512207    2750.8427734  
3140.0      5259.0883789    2999.3828125    2751.5913086  
3160.0      5259.8056641    3001.0144043    2752.3400879  
3180.0      5260.5219727    3002.6462402    2753.0886230  
3200.0      5261.2392578    3004.2778320    2753.8374023  
3220.0      5261.9565430    3005.9096680    2754.5861816  
3240.0      5262.6728516    3007.5415039    2755.3347168  
3260.0      5263.3906250    3009.1728516    2756.0834961  
3280.0      5264.1074219    3010.8049316    2756.8322754  
3300.0      5264.8242188    3012.4365234    2757.5808105  
3320.0      5265.5415039    3014.0681152    2758.3295898  
3340.0      5266.2583008    3015.6999512    2759.0781250  
3360.0      5266.9760742    3017.3317871    2759.8271484  
3380.0      5267.6923828    3018.9633789    2760.5756836  
3400.0      5268.4096680    3020.5952148    2761.3244629  
3420.0      5269.1269531    3022.2268066    2762.0732422  
3440.0      5269.8437500    3023.8588867    2762.8217773  
3460.0      5270.5605469    3025.4902344    2763.5703125  
3480.0      5271.2778320    3027.1220703    2764.3190918  
3500.0      5271.9951172    3028.7539062    2765.0678711  
3520.0      5274.5942383    3031.7124023    2765.8164062  
3540.0      5277.1943359    3034.6711426    2766.5651855  
3560.0      5279.7944336    3037.6296387    2767.3139648  
3580.0      5282.3945312    3040.5881348    2768.0627441  
3600.0      5284.9941406    3043.5468750    2768.8112793  
3620.0      5287.5942383    3046.5056152    2769.5600586  
3640.0      5290.1943359    3049.4638672    2770.3085938  
3660.0      5292.7934570    3052.4226074    2771.0573730  
3680.0      5295.3935547    3055.3813477    2771.8061523  
3700.0      5297.9936523    3058.3395996    2772.5546875  
3720.0      5300.5942383    3061.2985840    2773.3037109  
3740.0      5303.1938477    3064.2570801    2774.0522461  
3760.0      5305.7934570    3067.2158203    2774.8007812  
3780.0      5308.3935547    3070.1743164    2775.5495605  
3800.0      5310.9931641    3073.1328125    2776.2983398  
3820.0      5313.5932617    3076.0915527    2777.0468750  
3840.0      5316.1933594    3079.0498047    2777.7956543  
3860.0      5318.7929688    3082.0085449    2778.5444336  
3880.0      5321.3925781    3084.9675293    2779.2929688  
3900.0      5323.9931641    3087.9257812    2780.0417480  
3920.0      5326.5927734    3090.8845215    2780.7905273  
3940.0      5329.1923828    3093.8430176    2781.5390625  
3960.0      5331.7924805    3096.8015137    2782.2878418  
3980.0      5334.3925781    3099.7602539    2783.0366211  
4000.0      5336.9926758    3102.7189941    2783.7851562  
4020.0      5340.1142578    3105.3386230    2784.5339355  
4040.0      5343.2363281    3107.9584961    2785.2827148  
4060.0      5346.3579102    3110.5783691    2786.0312500  
4080.0      5349.4794922    3113.1982422    2786.7800293  
4100.0      5352.6015625    3115.8183594    2787.5288086  
4120.0      5355.7236328    3118.4379883    2788.2773438  
4140.0      5358.8457031    3121.0578613    2789.0261230  
4160.0      5361.9672852    3123.6777344    2789.7749023  
4180.0      5365.0888672    3126.2978516    2790.5234375  
4200.0      5368.2109375    3128.9177246    2791.2722168  
4220.0      5371.3330078    3131.5375977    2792.0209961  
4240.0      5374.4550781    3134.1574707    2792.7695312  
4260.0      5377.5761719    3136.7770996    2793.5183105  
4280.0      5380.6982422    3139.3972168    2794.2670898  
4300.0      5383.8203125    3142.0170898    2795.0156250  
4320.0      5386.9423828    3144.6369629    2795.7644043  
4340.0      5390.0634766    3147.2568359    2796.5131836  
4360.0      5393.1850586    3149.8764648    2797.2617188  
4380.0      5396.3071289    3152.4965820    2798.0102539  
4400.0      5399.4291992    3155.1162109    2798.7590332  
4420.0      5402.5512695    3157.7360840    2799.5078125  
4440.0      5405.6728516    3160.3564453    2800.2565918  
4460.0      5408.7949219    3162.9758301    2801.0053711  
4480.0      5411.9169922    3165.5959473    2801.7539062  
4500.0      5415.0385742    3168.2158203    2802.5026855  
4520.0      5421.9448242    3172.9250488    2803.2514648  
4540.0      5428.8510742    3177.6350098    2804.0000000  
4560.0      5435.7568359    3182.3442383    2804.7487793  
4580.0      5442.6625977    3187.0537109    2805.4973145  
4600.0      5449.5688477    3191.7631836    2806.2460938  
4620.0      5456.4746094    3196.4726562    2806.9946289  
4640.0      5463.3808594    3201.1821289    2807.7434082  
4660.0      5470.2871094    3205.8916016    2808.4921875  
4680.0      5477.1933594    3210.6010742    2809.2409668  
4700.0      5484.0996094    3215.3105469    2809.9895020  
4720.0      5491.0058594    3220.0200195    2810.7382812  
4740.0      5497.9116211    3224.7294922    2811.4870605  
4760.0      5504.8173828    3229.4389648    2812.2355957  
4780.0      5511.7236328    3234.1486816    2812.9843750  
4800.0      5518.6298828    3238.8576660    2813.7331543  
4820.0      5525.5361328    3243.5676270    2814.4819336  
4840.0      5532.4418945    3248.2768555    2815.2304688  
4860.0      5539.3476562    3252.9860840    2815.9790039  
4880.0      5546.2539062    3257.6958008    2816.7277832  
4900.0      5553.1596680    3262.4052734    2817.4765625  
4920.0      5560.0659180    3267.1147461    2818.2250977  
4940.0      5566.9721680    3271.8242188    2818.9738770  
4960.0      5573.8784180    3276.5336914    2819.7226562  
4980.0      5580.7846680    3281.2431641    2820.4714355  
5000.0      5587.6904297    3285.9526367    2821.2199707  
