# CI_LPC -117.54649906 34.31481812
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0      3790.2854004    1970.5095215    2757.7880859  
  20.0      3790.3286133    1970.4788818    2757.7880859  
  40.0      3790.3720703    1970.4482422    2757.7880859  
  60.0      3790.4150391    1970.4176025    2757.7880859  
  80.0      3790.4584961    1970.3869629    2757.7880859  
 100.0      3790.5017090    1970.3563232    2757.7880859  
 120.0      3790.5449219    1970.3256836    2757.7880859  
 140.0      3790.5883789    1970.2950439    2757.7880859  
 160.0      3790.6315918    1970.2644043    2757.7880859  
 180.0      3790.6748047    1970.2337646    2757.7880859  
 200.0      3790.7182617    1970.2031250    2757.7880859  
 220.0      3790.7612305    1970.1724854    2757.7880859  
 240.0      3790.8046875    1970.1418457    2757.7880859  
 260.0      3790.8479004    1970.1112061    2757.7880859  
 280.0      3790.8911133    1970.0805664    2757.7880859  
 300.0      3790.9345703    1970.0499268    2757.7880859  
 320.0      3790.9777832    1970.0192871    2757.7880859  
 340.0      3791.0209961    1969.9886475    2757.7880859  
 360.0      3791.0644531    1969.9581299    2757.7880859  
 380.0      3791.1074219    1969.9274902    2757.7880859  
 400.0      3791.1508789    1969.8968506    2757.7880859  
 420.0      3791.1940918    1969.8662109    2757.7880859  
 440.0      3791.2373047    1969.8355713    2757.7880859  
 460.0      3791.2807617    1969.8049316    2757.7880859  
 480.0      3791.3239746    1969.7742920    2757.7880859  
 500.0      3791.3671875    1969.7436523    2757.7880859  
 520.0      3803.3344727    1979.4345703    2757.7880859  
 540.0      3815.3012695    1989.1254883    2757.7880859  
 560.0      3827.2685547    1998.8165283    2757.7880859  
 580.0      3839.2355957    2008.5074463    2757.7880859  
 600.0      3851.2026367    2018.1983643    2757.7880859  
 620.0      3863.1696777    2027.8892822    2757.7880859  
 640.0      3875.1367188    2037.5803223    2757.7880859  
 660.0      3887.1040039    2047.2712402    2757.7880859  
 680.0      3899.0708008    2056.9621582    2757.7880859  
 700.0      3911.0380859    2066.6530762    2757.7880859  
 720.0      3923.0051270    2076.3439941    2757.7880859  
 740.0      3934.9721680    2086.0351562    2757.7880859  
 760.0      3946.9392090    2095.7260742    2757.7880859  
 780.0      3958.9062500    2105.4169922    2757.7880859  
 800.0      3970.8735352    2115.1079102    2757.7880859  
 820.0      3982.8405762    2124.7988281    2757.7880859  
 840.0      3994.8076172    2134.4897461    2757.7880859  
 860.0      4006.7746582    2144.1806641    2757.7880859  
 880.0      4018.7416992    2153.8715820    2757.7880859  
 900.0      4030.7089844    2163.5625000    2757.7880859  
 920.0      4042.6757812    2173.2534180    2757.7880859  
 940.0      4054.6430664    2182.9443359    2757.7880859  
 960.0      4066.6101074    2192.6354980    2757.7880859  
 980.0      4078.5771484    2202.3264160    2757.7880859  
1000.0      4090.5627441    2212.0415039    2757.7910156  
1020.0      4105.5615234    2224.5280762    2758.0273438  
1040.0      4120.5605469    2237.0148926    2758.2639160  
1060.0      4135.5595703    2249.5014648    2758.5004883  
1080.0      4150.5585938    2261.9885254    2758.7368164  
1100.0      4165.5576172    2274.4753418    2758.9733887  
1120.0      4180.5576172    2286.9621582    2759.2099609  
1140.0      4195.5566406    2299.4489746    2759.4465332  
1160.0      4210.5556641    2311.9360352    2759.6828613  
1180.0      4225.5546875    2324.4228516    2759.9194336  
1200.0      4240.5537109    2336.9096680    2760.1557617  
1220.0      4255.5527344    2349.3964844    2760.3923340  
1240.0      4270.5517578    2361.8833008    2760.6289062  
1260.0      4285.5512695    2374.3701172    2760.8652344  
1280.0      4300.5502930    2386.8569336    2761.1018066  
1300.0      4315.5493164    2399.3437500    2761.3383789  
1320.0      4330.5483398    2411.8305664    2761.5747070  
1340.0      4345.5473633    2424.3173828    2761.8112793  
1360.0      4360.5463867    2436.8041992    2762.0476074  
1380.0      4375.5454102    2449.2907715    2762.2841797  
1400.0      4390.5449219    2461.7775879    2762.5207520  
1420.0      4405.5439453    2474.2641602    2762.7570801  
1440.0      4420.5434570    2486.7512207    2762.9936523  
1460.0      4435.5424805    2499.2380371    2763.2302246  
1480.0      4450.5415039    2511.7248535    2763.4665527  
1500.0      4465.5410156    2524.2116699    2763.7031250  
1520.0      4477.3842773    2533.0239258    2763.9396973  
1540.0      4489.2275391    2541.8364258    2764.1760254  
1560.0      4501.0708008    2550.6486816    2764.4125977  
1580.0      4512.9145508    2559.4609375    2764.6491699  
1600.0      4524.7573242    2568.2731934    2764.8854980  
1620.0      4536.6010742    2577.0856934    2765.1220703  
