# CI_MLS -117.56170061 34.00461913
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0       360.8139954     228.5930023    1921.9725342  
  20.0      1921.5999756     332.2200012    2168.4206543  
  40.0      1917.2048340     387.0820007    2167.7265625  
  60.0      1914.8271484     441.9429932    2167.3513184  
  80.0      1929.2315674     502.8999939    2169.6257324  
 100.0      1969.9888916     502.8999939    2176.0612793  
 120.0      2043.2062988     563.8569946    2187.6223145  
 140.0      2152.1337891     563.8569946    2204.8220215  
 160.0      4431.6655273     624.8140259    2564.7600098  
 180.0      5084.3095703     624.8140259    2667.8125000  
 200.0      5574.6904297    1076.0200195    2774.1694336  
 220.0      5572.7075195    1068.3386230    2774.1726074  
 240.0      5570.7041016    1060.6572266    2774.1726074  
 260.0      5568.7001953    1052.9758301    2774.1726074  
 280.0      5566.6962891    1045.2944336    2774.1726074  
 300.0      5564.6923828    1037.6130371    2774.1726074  
 320.0      5562.6884766    2925.7822266    2774.1726074  
 340.0      5560.6845703    2918.1005859    2774.1726074  
 360.0      5558.6806641    2910.4194336    2774.1726074  
 380.0      5556.6772461    2902.7377930    2774.1726074  
 400.0      5554.6733398    2895.0566406    2774.1726074  
 420.0      5552.6694336    2887.3750000    2774.1726074  
 440.0      5550.6655273    2879.6938477    2774.1726074  
 460.0      5548.6616211    2872.0122070    2774.1726074  
 480.0      5546.6577148    2864.3308105    2774.1726074  
 500.0      5544.6542969    2856.6494141    2774.1726074  
 520.0      5550.6635742    2861.3969727    2774.1726074  
 540.0      5556.6728516    2866.1445312    2774.1726074  
 560.0      5562.6821289    2870.8920898    2774.1726074  
 580.0      5568.6914062    2875.6394043    2774.1726074  
 600.0      5574.7006836    2880.3869629    2774.1726074  
 620.0      5580.7099609    2885.1345215    2774.1726074  
 640.0      5586.7192383    2889.8818359    2774.1726074  
 660.0      5592.7285156    2894.6293945    2774.1726074  
 680.0      5598.7377930    2899.3769531    2774.1726074  
 700.0      5604.7470703    2904.1245117    2774.1726074  
 720.0      5610.7563477    2908.8720703    2774.1726074  
 740.0      5616.7656250    2913.6193848    2774.1726074  
 760.0      5622.7749023    2918.3669434    2774.1726074  
 780.0      5628.7841797    2923.1145020    2774.1726074  
 800.0      5634.7939453    2927.8618164    2774.1726074  
 820.0      5640.8032227    2932.6093750    2774.1726074  
 840.0      5646.8125000    2937.3569336    2774.1726074  
 860.0      5652.8217773    2942.1044922    2774.1726074  
 880.0      5658.8310547    2946.8518066    2774.1726074  
 900.0      5664.8403320    2951.5993652    2774.1726074  
 920.0      5670.8496094    2956.3469238    2774.1726074  
 940.0      5676.8588867    2961.0942383    2774.1726074  
 960.0      5682.8681641    2965.8417969    2774.1726074  
 980.0      5688.8774414    2970.5893555    2774.1726074  
1000.0      5694.9057617    2975.3552246    2774.1757812  
1020.0      5702.3310547    2983.0717773    2774.4211426  
1040.0      5709.7563477    2990.7885742    2774.6667480  
1060.0      5717.1816406    2998.5051270    2774.9121094  
1080.0      5724.6069336    3006.2219238    2775.1577148  
1100.0      5732.0327148    3013.9384766    2775.4033203  
1120.0      5739.4580078    3021.6552734    2775.6489258  
1140.0      5746.8828125    3029.3715820    2775.8942871  
1160.0      5754.3081055    3037.0883789    2776.1398926  
1180.0      5761.7333984    3044.8051758    2776.3854980  
1200.0      5769.1586914    3052.5214844    2776.6308594  
1220.0      5776.5839844    3060.2385254    2776.8764648  
1240.0      5784.0097656    3067.9550781    2777.1220703  
1260.0      5791.4345703    3075.6718750    2777.3674316  
1280.0      5798.8598633    3083.3881836    2777.6130371  
1300.0      5806.2851562    3091.1049805    2777.8586426  
1320.0      5813.7104492    3098.8215332    2778.1040039  
1340.0      5821.1357422    3106.5380859    2778.3496094  
1360.0      5828.5615234    3114.2548828    2778.5952148  
1380.0      5835.9863281    3121.9716797    2778.8405762  
1400.0      5843.4121094    3129.6882324    2779.0861816  
1420.0      5850.8369141    3137.4047852    2779.3317871  
1440.0      5858.2622070    3145.1215820    2779.5771484  
1460.0      5865.6875000    3152.8381348    2779.8227539  
1480.0      5873.1132812    3160.5546875    2780.0683594  
1500.0      5880.5385742    3168.2717285    2780.3139648  
1520.0      5885.2192383    3173.1171875    2780.5593262  
1540.0      5889.9013672    3177.9631348    2780.8049316  
1560.0      5894.5825195    3182.8090820    2781.0502930  
1580.0      5899.2641602    3187.6550293    2781.2958984  
1600.0      5903.9448242    3192.5009766    2781.5415039  
1620.0      5908.6269531    3197.3469238    2781.7871094  
1640.0      5913.3076172    3202.1926270    2782.0324707  
1660.0      5917.9892578    3207.0385742    2782.2780762  
1680.0      5922.6699219    3211.8842773    2782.5234375  
1700.0      5927.3515625    3216.7304688    2782.7690430  
1720.0      5932.0332031    3221.5761719    2783.0146484  
1740.0      5936.7148438    3226.4221191    2783.2602539  
1760.0      5941.3959961    3231.2680664    2783.5056152  
1780.0      5946.0776367    3236.1140137    2783.7512207  
1800.0      5950.7592773    3240.9599609    2783.9968262  
1820.0      5955.4394531    3245.8056641    2784.2421875  
1840.0      5960.1206055    3250.6513672    2784.4877930  
1860.0      5964.8027344    3255.4973145    2784.7333984  
1880.0      5969.4838867    3260.3432617    2784.9787598  
1900.0      5974.1655273    3265.1889648    2785.2243652  
1920.0      5978.8466797    3270.0351562    2785.4697266  
1940.0      5983.5283203    3274.8808594    2785.7153320  
1960.0      5988.2099609    3279.7270508    2785.9609375  
1980.0      5992.8911133    3284.5727539    2786.2065430  
2000.0      5997.5722656    3289.4184570    2786.4519043  
2020.0      6001.5571289    3294.0537109    2786.6975098  
2040.0      6005.5419922    3298.6884766    2786.9431152  
2060.0      6009.5263672    3303.3229980    2787.1884766  
2080.0      6013.5112305    3307.9580078    2787.4340820  
2100.0      6017.4960938    3312.5927734    2787.6796875  
2120.0      6021.4804688    3317.2275391    2787.9250488  
2140.0      6025.4653320    3321.8627930    2788.1706543  
2160.0      6029.4501953    3326.4975586    2788.4162598  
2180.0      6033.4350586    3331.1320801    2788.6616211  
2200.0      6037.4199219    3335.7673340    2788.9072266  
2220.0      6041.4042969    3340.4020996    2789.1528320  
2240.0      6045.3891602    3345.0368652    2789.3984375  
2260.0      6049.3735352    3349.6716309    2789.6437988  
2280.0      6053.3593750    3354.3066406    2789.8894043  
2300.0      6057.3437500    3358.9416504    2790.1347656  
2320.0      6061.3281250    3363.5764160    2790.3803711  
2340.0      6065.3125000    3368.2111816    2790.6259766  
2360.0      6069.2978516    3372.8464355    2790.8715820  
2380.0      6073.2827148    3377.4809570    2791.1169434  
2400.0      6077.2670898    3382.1157227    2791.3625488  
2420.0      6081.2519531    3386.7504883    2791.6079102  
2440.0      6085.2368164    3391.3854980    2791.8535156  
2460.0      6089.2216797    3396.0202637    2792.0991211  
2480.0      6093.2060547    3400.6555176    2792.3447266  
2500.0      6097.1909180    3405.2900391    2792.5900879  
2520.0      6096.0078125    3406.6708984    2792.8356934  
2540.0      6094.8247070    3408.0517578    2793.0810547  
2560.0      6093.6411133    3409.4321289    2793.3266602  
2580.0      6092.4580078    3410.8127441    2793.5722656  
2600.0      6091.2753906    3412.1936035    2793.8178711  
2620.0      6090.0917969    3413.5742188    2794.0632324  
2640.0      6088.9082031    3414.9550781    2794.3088379  
2660.0      6087.7260742    3416.3356934    2794.5544434  
2680.0      6086.5424805    3417.7165527    2794.7998047  
2700.0      6085.3593750    3419.0971680    2795.0454102  
2720.0      6084.1762695    3420.4777832    2795.2910156  
2740.0      6082.9931641    3421.8586426    2795.5366211  
2760.0      6081.8095703    3423.2392578    2795.7819824  
2780.0      6080.6264648    3424.6198730    2796.0273438  
2800.0      6079.4428711    3426.0002441    2796.2729492  
2820.0      6078.2602539    3427.3813477    2796.5185547  
2840.0      6077.0771484    3428.7617188    2796.7641602  
2860.0      6075.8940430    3430.1428223    2797.0097656  
2880.0      6074.7104492    3431.5234375    2797.2551270  
2900.0      6073.5278320    3432.9040527    2797.5007324  
2920.0      6072.3442383    3434.2849121    2797.7460938  
2940.0      6071.1611328    3435.6652832    2797.9916992  
2960.0      6069.9780273    3437.0458984    2798.2373047  
2980.0      6068.7949219    3438.4267578    2798.4829102  
3000.0      6067.6113281    3439.8073730    2798.7282715  
3020.0      6067.9194336    3442.9865723    2798.9738770  
3040.0      6068.2280273    3446.1657715    2799.2194824  
3060.0      6068.5356445    3449.3447266    2799.4648438  
3080.0      6068.8437500    3452.5239258    2799.7104492  
3100.0      6069.1513672    3455.7031250    2799.9560547  
3120.0      6069.4594727    3458.8818359    2800.2014160  
3140.0      6069.7670898    3462.0610352    2800.4470215  
3160.0      6070.0747070    3465.2402344    2800.6923828  
3180.0      6070.3828125    3468.4194336    2800.9379883  
3200.0      6070.6909180    3471.5986328    2801.1835938  
3220.0      6070.9990234    3474.7775879    2801.4291992  
3240.0      6071.3071289    3477.9565430    2801.6745605  
3260.0      6071.6152344    3481.1359863    2801.9201660  
3280.0      6071.9228516    3484.3149414    2802.1655273  
3300.0      6072.2304688    3487.4938965    2802.4111328  
3320.0      6072.5385742    3490.6730957    2802.6567383  
3340.0      6072.8466797    3493.8520508    2802.9023438  
3360.0      6073.1542969    3497.0312500    2803.1477051  
3380.0      6073.4619141    3500.2104492    2803.3933105  
3400.0      6073.7705078    3503.3894043    2803.6386719  
3420.0      6074.0786133    3506.5688477    2803.8842773  
3440.0      6074.3862305    3509.7478027    2804.1298828  
3460.0      6074.6938477    3512.9270020    2804.3754883  
3480.0      6075.0019531    3516.1059570    2804.6208496  
3500.0      6075.3100586    3519.2849121    2804.8664551  
3520.0      6073.5737305    3520.6853027    2805.1118164  
3540.0      6071.8378906    3522.0852051    2805.3574219  
3560.0      6070.1020508    3523.4855957    2805.6030273  
3580.0      6068.3657227    3524.8859863    2805.8486328  
3600.0      6066.6298828    3526.2861328    2806.0939941  
3620.0      6064.8940430    3527.6860352    2806.3395996  
3640.0      6063.1582031    3529.0866699    2806.5852051  
3660.0      6061.4218750    3530.4865723    2806.8305664  
3680.0      6059.6860352    3531.8869629    2807.0761719  
3700.0      6057.9501953    3533.2868652    2807.3217773  
3720.0      6056.2138672    3534.6872559    2807.5673828  
3740.0      6054.4775391    3536.0874023    2807.8127441  
3760.0      6052.7416992    3537.4875488    2808.0583496  
3780.0      6051.0058594    3538.8876953    2808.3039551  
3800.0      6049.2695312    3540.2878418    2808.5493164  
3820.0      6047.5332031    3541.6882324    2808.7949219  
3840.0      6045.7968750    3543.0883789    2809.0402832  
3860.0      6044.0615234    3544.4885254    2809.2858887  
3880.0      6042.3251953    3545.8889160    2809.5314941  
3900.0      6040.5893555    3547.2888184    2809.7768555  
3920.0      6038.8535156    3548.6892090    2810.0224609  
3940.0      6037.1176758    3550.0893555    2810.2680664  
3960.0      6035.3813477    3551.4895020    2810.5136719  
3980.0      6033.6455078    3552.8898926    2810.7590332  
4000.0      6031.9096680    3554.2900391    2811.0046387  
4020.0      6030.5864258    3555.8728027    2811.2502441  
4040.0      6029.2631836    3557.4555664    2811.4956055  
4060.0      6027.9394531    3559.0383301    2811.7412109  
4080.0      6026.6166992    3560.6213379    2811.9868164  
4100.0      6025.2939453    3562.2041016    2812.2321777  
4120.0      6023.9707031    3563.7868652    2812.4777832  
4140.0      6022.6479492    3565.3698730    2812.7233887  
4160.0      6021.3251953    3566.9523926    2812.9687500  
4180.0      6020.0019531    3568.5354004    2813.2143555  
4200.0      6018.6787109    3570.1181641    2813.4599609  
4220.0      6017.3554688    3571.7009277    2813.7053223  
4240.0      6016.0327148    3573.2836914    2813.9509277  
4260.0      6014.7094727    3574.8664551    2814.1965332  
4280.0      6013.3867188    3576.4492188    2814.4418945  
4300.0      6012.0634766    3578.0319824    2814.6875000  
4320.0      6010.7407227    3579.6149902    2814.9331055  
4340.0      6009.4174805    3581.1977539    2815.1787109  
4360.0      6008.0942383    3582.7802734    2815.4240723  
4380.0      6006.7709961    3584.3632812    2815.6696777  
4400.0      6005.4482422    3585.9462891    2815.9150391  
4420.0      6004.1250000    3587.5288086    2816.1606445  
4440.0      6002.8022461    3589.1118164    2816.4062500  
4460.0      6001.4794922    3590.6943359    2816.6518555  
4480.0      6000.1562500    3592.2770996    2816.8972168  
4500.0      5998.8330078    3593.8601074    2817.1428223  
4520.0      6001.6669922    3596.2717285    2817.3884277  
4540.0      6004.5000000    3598.6840820    2817.6337891  
4560.0      6007.3339844    3601.0959473    2817.8793945  
4580.0      6010.1674805    3603.5078125    2818.1247559  
4600.0      6013.0009766    3605.9196777    2818.3703613  
4620.0      6015.8349609    3608.3312988    2818.6159668  
4640.0      6018.6689453    3610.7434082    2818.8615723  
4660.0      6021.5024414    3613.1552734    2819.1069336  
4680.0      6024.3364258    3615.5671387    2819.3525391  
4700.0      6027.1694336    3617.9790039    2819.5981445  
4720.0      6030.0029297    3620.3911133    2819.8435059  
4740.0      6032.8369141    3622.8029785    2820.0891113  
4760.0      6035.6704102    3625.2148438    2820.3344727  
4780.0      6038.5043945    3627.6267090    2820.5800781  
4800.0      6041.3374023    3630.0385742    2820.8256836  
4820.0      6044.1713867    3632.4504395    2821.0712891  
4840.0      6047.0053711    3634.8623047    2821.3168945  
4860.0      6049.8388672    3637.2744141    2821.5622559  
4880.0      6052.6718750    3639.6862793    2821.8076172  
4900.0      6055.5063477    3642.0981445    2822.0532227  
4920.0      6058.3398438    3644.5100098    2822.2988281  
4940.0      6061.1733398    3646.9218750    2822.5444336  
4960.0      6064.0073242    3649.3339844    2822.7900391  
4980.0      6066.8408203    3651.7456055    2823.0354004  
5000.0      6069.6743164    3654.1577148    2823.2810059  
