# CI_PDU -117.63809912 34.12079191
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0       348.4389954     207.2539978    1920.0185547  
  20.0      1387.3299561     487.6560059    2084.0593262  
  40.0      1708.3199463     640.0479736    2134.7436523  
  60.0      1688.6912842     753.8117676    2131.6442871  
  80.0      1701.4344482     761.1729126    2133.6564941  
 100.0      1744.7075195     786.3010254    2140.4892578  
 120.0      1830.5024414     836.7083740    2154.0363770  
 140.0      1965.3128662     917.4299316    2175.3229980  
 160.0      1957.2525635    1048.4201660    2226.6599121  
 180.0      3808.7880859    1038.3045654    2585.5554199  
 200.0      4539.0146484    1028.1889648    2704.7214355  
 220.0      4514.5712891    1018.0733032    2704.7250977  
 240.0      4490.1044922    1007.9576416    2704.7250977  
 260.0      4465.6381836     997.8420410    2704.7250977  
 280.0      4441.1718750     987.7264404    2704.7250977  
 300.0      4416.7055664     977.6108398    2704.7250977  
 320.0      4392.2392578    2418.3059082    2704.7250977  
 340.0      4367.7724609    2408.1901855    2704.7250977  
 360.0      4343.3061523    2398.0747070    2704.7250977  
 380.0      4318.8398438    2387.9589844    2704.7250977  
 400.0      4294.3735352    2377.8432617    2704.7250977  
 420.0      4269.9072266    2367.7277832    2704.7250977  
 440.0      4245.4404297    2357.6120605    2704.7250977  
 460.0      4220.9741211    2347.4965820    2704.7250977  
 480.0      4196.5078125    2337.3808594    2704.7250977  
 500.0      4172.0415039    2327.2651367    2704.7250977  
 520.0      4181.7128906    2333.4311523    2704.7250977  
 540.0      4191.3837891    2339.5971680    2704.7250977  
 560.0      4201.0546875    2345.7634277    2704.7250977  
 580.0      4210.7255859    2351.9294434    2704.7250977  
 600.0      4220.3969727    2358.0954590    2704.7250977  
 620.0      4230.0678711    2364.2614746    2704.7250977  
 640.0      4239.7392578    2370.4274902    2704.7250977  
 660.0      4249.4101562    2376.5935059    2704.7250977  
 680.0      4259.0810547    2382.7595215    2704.7250977  
 700.0      4268.7524414    2388.9255371    2704.7250977  
 720.0      4278.4233398    2395.0917969    2704.7250977  
 740.0      4288.0947266    2401.2578125    2704.7250977  
 760.0      4297.7656250    2407.4238281    2704.7250977  
 780.0      4307.4365234    2413.5898438    2704.7250977  
 800.0      4317.1079102    2419.7558594    2704.7250977  
 820.0      4326.7788086    2425.9218750    2704.7250977  
 840.0      4336.4501953    2432.0878906    2704.7250977  
 860.0      4346.1210938    2438.2539062    2704.7250977  
 880.0      4355.7919922    2444.4199219    2704.7250977  
 900.0      4365.4633789    2450.5859375    2704.7250977  
 920.0      4375.1342773    2456.7519531    2704.7250977  
 940.0      4384.8056641    2462.9182129    2704.7250977  
 960.0      4394.4765625    2469.0842285    2704.7250977  
 980.0      4404.1474609    2475.2502441    2704.7250977  
1000.0      4413.8515625    2481.4555664    2704.7302246  
1020.0      4426.9892578    2491.3034668    2705.1489258  
1040.0      4440.1284180    2501.1511230    2705.5676270  
1060.0      4453.2666016    2510.9990234    2705.9863281  
1080.0      4466.4057617    2520.8469238    2706.4052734  
1100.0      4479.5439453    2530.6945801    2706.8239746  
1120.0      4492.6826172    2540.5424805    2707.2426758  
1140.0      4505.8212891    2550.3906250    2707.6613770  
1160.0      4518.9599609    2560.2385254    2708.0800781  
1180.0      4532.0986328    2570.0864258    2708.4990234  
1200.0      4545.2368164    2579.9340820    2708.9174805  
1220.0      4558.3759766    2589.7819824    2709.3364258  
1240.0      4571.5141602    2599.6298828    2709.7551270  
1260.0      4584.6528320    2609.4777832    2710.1738281  
