# CI_PER -117.20519400 33.86163491
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0      5205.3925781    2880.8583984    2782.4685059  
  20.0      5205.6074219    2880.8940430    2782.4685059  
  40.0      5205.8217773    2880.9294434    2782.4685059  
  60.0      5206.0366211    2880.9650879    2782.4685059  
  80.0      5206.2514648    2881.0007324    2782.4685059  
 100.0      5206.4663086    2881.0361328    2782.4685059  
 120.0      5206.6806641    2881.0717773    2782.4685059  
 140.0      5206.8955078    2881.1074219    2782.4685059  
 160.0      5207.1103516    2881.1428223    2782.4685059  
 180.0      5207.3251953    2881.1784668    2782.4685059  
 200.0      5207.5395508    2881.2141113    2782.4685059  
 220.0      5207.7543945    2881.2495117    2782.4685059  
 240.0      5207.9692383    2881.2851562    2782.4685059  
 260.0      5208.1840820    2881.3208008    2782.4685059  
 280.0      5208.3984375    2881.3562012    2782.4685059  
 300.0      5208.6132812    2881.3918457    2782.4685059  
 320.0      5208.8281250    2881.4274902    2782.4685059  
 340.0      5209.0429688    2881.4628906    2782.4685059  
 360.0      5209.2578125    2881.4985352    2782.4685059  
 380.0      5209.4721680    2881.5341797    2782.4685059  
 400.0      5209.6870117    2881.5695801    2782.4685059  
 420.0      5209.9018555    2881.6052246    2782.4685059  
 440.0      5210.1162109    2881.6408691    2782.4685059  
 460.0      5210.3310547    2881.6762695    2782.4685059  
 480.0      5210.5458984    2881.7119141    2782.4685059  
 500.0      5210.7607422    2881.7475586    2782.4685059  
 520.0      5216.0537109    2888.3837891    2782.4685059  
 540.0      5221.3466797    2895.0200195    2782.4685059  
 560.0      5226.6391602    2901.6562500    2782.4685059  
 580.0      5231.9321289    2908.2924805    2782.4685059  
 600.0      5237.2250977    2914.9287109    2782.4685059  
 620.0      5242.5180664    2921.5649414    2782.4685059  
 640.0      5247.8105469    2928.2011719    2782.4685059  
 660.0      5253.1035156    2934.8376465    2782.4685059  
 680.0      5258.3964844    2941.4738770    2782.4685059  
 700.0      5263.6894531    2948.1101074    2782.4685059  
 720.0      5268.9824219    2954.7463379    2782.4685059  
 740.0      5274.2753906    2961.3825684    2782.4685059  
 760.0      5279.5678711    2968.0187988    2782.4685059  
 780.0      5284.8608398    2974.6550293    2782.4685059  
 800.0      5290.1538086    2981.2915039    2782.4685059  
 820.0      5295.4467773    2987.9277344    2782.4685059  
 840.0      5300.7392578    2994.5639648    2782.4685059  
 860.0      5306.0322266    3001.2001953    2782.4685059  
 880.0      5311.3251953    3007.8364258    2782.4685059  
 900.0      5316.6181641    3014.4726562    2782.4685059  
 920.0      5321.9111328    3021.1088867    2782.4685059  
 940.0      5327.2036133    3027.7451172    2782.4685059  
 960.0      5332.4965820    3034.3813477    2782.4685059  
 980.0      5337.7895508    3041.0175781    2782.4685059  
1000.0      5343.1059570    3047.6506348    2782.4721680  
1020.0      5350.8056641    3054.4458008    2782.7731934  
1040.0      5358.5063477    3061.2416992    2783.0744629  
1060.0      5366.2065430    3068.0371094    2783.3754883  
