# CI_PLS -117.60898568 33.79524348
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0      3874.3000488    2234.5288086    2720.2749023  
  20.0      3874.4887695    2233.7744141    2720.2749023  
  40.0      3874.6772461    2233.0200195    2720.2749023  
  60.0      3874.8657227    2232.2656250    2720.2749023  
  80.0      3875.0541992    2231.5114746    2720.2749023  
 100.0      3875.2426758    2230.7570801    2720.2749023  
 120.0      3875.4313965    2230.0026855    2720.2749023  
 140.0      3875.6201172    2229.2482910    2720.2749023  
 160.0      3875.8085938    2228.4941406    2720.2749023  
 180.0      3875.9970703    2227.7397461    2720.2749023  
 200.0      3876.1855469    2226.9853516    2720.2749023  
 220.0      3876.3740234    2226.2309570    2720.2749023  
 240.0      3876.5627441    2225.4765625    2720.2749023  
 260.0      3876.7512207    2224.7221680    2720.2749023  
 280.0      3876.9399414    2223.9677734    2720.2749023  
 300.0      3877.1284180    2223.2136230    2720.2749023  
 320.0      3877.3168945    2222.4592285    2720.2749023  
 340.0      3877.5053711    2221.7048340    2720.2749023  
 360.0      3877.6938477    2220.9504395    2720.2749023  
 380.0      3877.8825684    2220.1962891    2720.2749023  
 400.0      3878.0710449    2219.4418945    2720.2749023  
 420.0      3878.2597656    2218.6875000    2720.2749023  
 440.0      3878.4482422    2217.9331055    2720.2749023  
 460.0      3878.6367188    2217.1787109    2720.2749023  
 480.0      3878.8251953    2216.4243164    2720.2749023  
 500.0      3879.0136719    2215.6701660    2720.2749023  
 520.0      3890.6181641    2223.4775391    2720.2749023  
 540.0      3902.2224121    2231.2851562    2720.2749023  
 560.0      3913.8266602    2239.0925293    2720.2749023  
 580.0      3925.4309082    2246.8999023    2720.2749023  
 600.0      3937.0351562    2254.7075195    2720.2749023  
 620.0      3948.6394043    2262.5148926    2720.2749023  
 640.0      3960.2436523    2270.3225098    2720.2749023  
 660.0      3971.8481445    2278.1298828    2720.2749023  
 680.0      3983.4521484    2285.9375000    2720.2749023  
 700.0      3995.0566406    2293.7448730    2720.2749023  
 720.0      4006.6606445    2301.5522461    2720.2749023  
