# CI_PSR -117.80709601 34.09173958
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0       348.4389954     207.2539978    1920.0185547  
  20.0      1387.3299561     487.6560059    2084.0593262  
  40.0      1708.3199463     640.0479736    2134.7436523  
  60.0      1706.6685791     755.8670044    2134.4829102  
  80.0      1853.2841797     853.3980103    2157.6335449  
 100.0      2140.1079102     914.3549805    2202.9230957  
 120.0      2554.6040039     980.0000000    2268.3720703  
 140.0      3078.6569824     980.0000000    2351.1198730  
 160.0      3213.4750977    1187.2498779    2447.5505371  
 180.0      3869.7731934    1183.2272949    2553.4494629  
 200.0      4556.7221680    1179.2045898    2664.1879883  
 220.0      4542.3710938    1175.1818848    2664.1914062  
 240.0      4527.9990234    1171.1591797    2664.1914062  
 260.0      4513.6264648    1167.1364746    2664.1914062  
 280.0      4499.2539062    1163.1138916    2664.1914062  
 300.0      4484.8818359    1159.0911865    2664.1914062  
 320.0      4470.5092773    2535.2285156    2664.1914062  
 340.0      4456.1367188    2531.2058105    2664.1914062  
 360.0      4441.7646484    2527.1831055    2664.1914062  
 380.0      4427.3920898    2523.1606445    2664.1914062  
 400.0      4413.0195312    2519.1379395    2664.1914062  
 420.0      4398.6474609    2515.1152344    2664.1914062  
 440.0      4384.2749023    2511.0925293    2664.1914062  
 460.0      4369.9023438    2507.0698242    2664.1914062  
 480.0      4355.5302734    2503.0471191    2664.1914062  
 500.0      4341.1577148    2499.0244141    2664.1914062  
 520.0      4343.6552734    2500.8464355    2664.1914062  
 540.0      4346.1533203    2502.6684570    2664.1914062  
 560.0      4348.6508789    2504.4907227    2664.1914062  
 580.0      4351.1489258    2506.3127441    2664.1914062  
 600.0      4353.6464844    2508.1347656    2664.1914062  
 620.0      4356.1440430    2509.9567871    2664.1914062  
 640.0      4358.6420898    2511.7788086    2664.1914062  
 660.0      4361.1396484    2513.6008301    2664.1914062  
 680.0      4363.6372070    2515.4228516    2664.1914062  
 700.0      4366.1352539    2517.2448730    2664.1914062  
 720.0      4368.6328125    2519.0668945    2664.1914062  
 740.0      4371.1303711    2520.8889160    2664.1914062  
 760.0      4373.6284180    2522.7109375    2664.1914062  
 780.0      4376.1259766    2524.5332031    2664.1914062  
 800.0      4378.6235352    2526.3552246    2664.1914062  
 820.0      4381.1215820    2528.1772461    2664.1914062  
 840.0      4383.6191406    2529.9992676    2664.1914062  
 860.0      4386.1171875    2531.8212891    2664.1914062  
 880.0      4388.6147461    2533.6433105    2664.1914062  
 900.0      4391.1123047    2535.4653320    2664.1914062  
 920.0      4393.6103516    2537.2873535    2664.1914062  
 940.0      4396.1079102    2539.1093750    2664.1914062  
 960.0      4398.6054688    2540.9313965    2664.1914062  
 980.0      4401.1035156    2542.7534180    2664.1914062  
1000.0      4403.6557617    2544.6210938    2664.2001953  
1020.0      4411.2050781    2550.6904297    2664.9033203  
1040.0      4418.7548828    2556.7597656    2665.6064453  
1060.0      4426.3041992    2562.8288574    2666.3095703  
1080.0      4433.8535156    2568.8981934    2667.0126953  
1100.0      4441.4033203    2574.9672852    2667.7160645  
1120.0      4448.9526367    2581.0366211    2668.4191895  
1140.0      4456.5024414    2587.1062012    2669.1223145  
1160.0      4464.0522461    2593.1750488    2669.8256836  
1180.0      4471.6015625    2599.2443848    2670.5288086  
1200.0      4479.1508789    2605.3134766    2671.2319336  
1220.0      4486.7006836    2611.3828125    2671.9350586  
1240.0      4494.2500000    2617.4521484    2672.6381836  
1260.0      4501.7998047    2623.5212402    2673.3415527  
