# CI_Q0048 -117.80302917 33.77197504
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0       404.7470093     160.4799957    1928.9095459  
  20.0      1163.5000000     377.9299927    2048.7165527  
  40.0      1299.9000244     416.6700134    2070.2541504  
  60.0      1319.7485352     482.2000122    2073.3881836  
  80.0      1349.3258057     526.3900146    2078.0585938  
 100.0      1419.5664062     559.8800049    2089.1494141  
 120.0      1539.2237549     584.2700195    2108.0434570  
 140.0      1712.0640869     602.5700073    2135.3349609  
 160.0      1937.3616943     602.5700073    2170.9094238  
 180.0      2210.3789062     623.8900146    2214.0187988  
 200.0      2522.8571777     651.3200073    2263.3591309  
 220.0      2604.1770020     651.3200073    2276.1994629  
 240.0      2680.7062988     681.7999878    2288.2834473  
 260.0      2753.0991211     681.7999878    2299.7143555  
 280.0      2821.8723145     681.7999878    2310.5737305  
 300.0      2887.4477539     681.7999878    2320.9279785  
 320.0      2260.9177246    1313.2812500    2330.8322754  
 340.0      2284.5976562    1351.5800781    2340.3325195  
 360.0      2319.0729980    1375.8101807    2346.5659180  
 380.0      2343.5732422    1393.2282715    2351.2241211  
 400.0      2366.9150391    1409.8970947    2355.6994629  
 420.0      2389.2011719    1425.8813477    2360.0083008  
 440.0      2410.5258789    1441.2409668    2364.1650391  
 460.0      2430.9650879    1456.0244141    2368.1821289  
 480.0      2450.5886230    1470.2758789    2372.0705566  
 500.0      2469.4587402    1484.0346680    2375.8398438  
 520.0      2500.0290527    1505.4713135    2379.4985352  
 540.0      2529.9487305    1526.4814453    2383.0546875  
 560.0      2559.2602539    1547.0920410    2386.5146484  
 580.0      2588.0061035    1567.3308105    2389.8854980  
 600.0      2616.2187500    1587.2180176    2393.1721191  
 620.0      2643.9306641    1606.7751465    2396.3796387  
 640.0      2671.1721191    1626.0213623    2399.5126953  
 660.0      2697.9677734    1644.9729004    2402.5756836  
 680.0      2724.3444824    1663.6467285    2405.5722656  
 700.0      2750.3229980    1682.0565186    2408.5058594  
 720.0      2775.9248047    1700.2164307    2411.3803711  
 740.0      2801.1662598    1718.1368408    2414.1977539  
 760.0      2826.0712891    1735.8332520    2416.9619141  
 780.0      2850.6484375    1753.3111572    2419.6743164  
 800.0      2874.9167480    1770.5836182    2422.3381348  
 820.0      2898.8898926    1787.6589355    2424.9553223  
 840.0      2922.5808105    1804.5456543    2427.5278320  
 860.0      2946.0014648    1821.2519531    2430.0578613  
 880.0      2969.1628418    1837.7843018    2432.5468750  
 900.0      2992.0759277    1854.1505127    2434.9965820  
 920.0      3014.7514648    1870.3574219    2437.4086914  
 940.0      3037.1975098    1886.4104004    2439.7846680  
 960.0      3059.4230957    1902.3151855    2442.1259766  
 980.0      3081.4370117    1918.0781250    2444.4338379  
1000.0      3103.2470703    1933.7034912    2446.7094727  
1020.0      3127.0678711    1951.1258545    2448.9541016  
1040.0      3150.6953125    1968.4176025    2451.1682129  
1060.0      3174.1418457    1985.5881348    2453.3540039  
1080.0      3197.4111328    2002.6381836    2455.5114746  
1100.0      3220.5085449    2019.5727539    2457.6420898  
1120.0      3243.4411621    2036.3959961    2459.7465820  
1140.0      3266.2136230    2053.1108398    2461.8256836  
1160.0      3288.8320312    2069.7216797    2463.8806152  
1180.0      3311.2973633    2086.2287598    2465.9113770  
1200.0      3333.6166992    2102.6364746    2467.9189453  
1220.0      3355.7978516    2118.9511719    2469.9047852  
1240.0      3377.8400879    2135.1716309    2471.8686523  
1260.0      3399.7487793    2151.3015137    2473.8115234  
1280.0      3421.5280762    2167.3430176    2475.7338867  
1300.0      3443.1813965    2183.2993164    2477.6362305  
1320.0      3464.7109375    2199.1718750    2479.5192871  
1340.0      3486.1242676    2214.9648438    2481.3837891  
1360.0      3507.4199219    2230.6779785    2483.2299805  
1380.0      3528.6030273    2246.3144531    2485.0581055  
1400.0      3549.6760254    2261.8757324    2486.8688965  
1420.0      3570.6416016    2277.3640137    2488.6628418  
1440.0      3591.5021973    2292.7810059    2490.4401855  
1460.0      3612.2619629    2308.1289062    2492.2016602  
1480.0      3632.9218750    2323.4084473    2493.9472656  
1500.0      3653.4841309    2338.6215820    2495.6772461  
1520.0      3669.1809082    2349.6987305    2497.3925781  
1540.0      3684.7851562    2360.7124023    2499.0932617  
1560.0      3700.2995605    2370.8400879    2500.7797852  
1580.0      3715.7253418    2379.9616699    2502.4521484  
1600.0      3731.0642090    2389.0327148    2504.1110840  
1620.0      3746.3186035    2398.0554199    2505.7563477  
1640.0      3761.4914551    2407.0310059    2507.3889160  
1660.0      3776.5830078    2415.9597168    2509.0087891  
1680.0      3791.5947266    2424.8420410    2510.6157227  
1700.0      3806.5295410    2433.6801758    2512.2106934  
1720.0      3821.3881836    2442.4741211    2513.7937012  
1740.0      3836.1730957    2451.2258301    2515.3649902  
1760.0      3850.8842773    2459.9345703    2516.9245605  
1780.0      3865.5251465    2468.6030273    2518.4731445  
1800.0      3880.0957031    2477.2307129    2520.0107422  
1820.0      3894.5979004    2485.8190918    2521.5373535  
1840.0      3909.0322266    2494.3681641    2523.0532227  
1860.0      3923.4011230    2502.8793945    2524.5588379  
1880.0      3937.7045898    2511.3532715    2526.0541992  
1900.0      3951.9455566    2519.7905273    2527.5395508  
1920.0      3966.1245117    2528.1923828    2529.0151367  
1940.0      3980.2404785    2536.5576172    2530.4807129  
1960.0      3994.2988281    2544.8894043    2531.9372559  
1980.0      4008.2941895    2553.1853027    2533.3837891  
2000.0      4022.2358398    2561.4499512    2534.8220215  
2020.0      4036.5388184    2570.0727539    2536.2507324  
2040.0      4050.7871094    2578.6643066    2537.6708984  
2060.0      4064.9802246    2587.2236328    2539.0820312  
2080.0      4079.1186523    2595.7517090    2540.4848633  
2100.0      4093.2048340    2604.2495117    2541.8791504  
2120.0      4107.2377930    2612.7165527    2543.2651367  
2140.0      4121.2202148    2621.1542969    2544.6433105  
2160.0      4135.1518555    2629.5627441    2546.0131836  
2180.0      4149.0336914    2637.9426270    2547.3754883  
2200.0      4162.8657227    2646.2934570    2548.7297363  
2220.0      4176.6499023    2654.6171875    2550.0764160  
2240.0      4190.3872070    2662.9133301    2551.4157715  
2260.0      4204.0766602    2671.1821289    2552.7475586  
2280.0      4217.7211914    2679.4248047    2554.0722656  
2300.0      4231.3198242    2687.6411133    2555.3896484  
2320.0      4244.8740234    2695.8315430    2556.7001953  
2340.0      4258.3837891    2703.9965820    2558.0034180  
2360.0      4271.8500977    2712.1364746    2559.3000488  
2380.0      4285.2739258    2720.2519531    2560.5898438  
2400.0      4491.6699219    2689.1599121    2592.3500977  
2420.0      4502.5439453    2697.7958984    2593.2373047  
2440.0      4513.4184570    2706.4321289    2594.1245117  
2460.0      4524.2919922    2715.0678711    2595.0117188  
2480.0      4535.1660156    2723.7036133    2595.8989258  
2500.0      4546.0400391    2732.3395996    2596.7861328  
2520.0      4550.2011719    2735.5419922    2597.6733398  
