# CI_RUS -118.08081525 34.05070765
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0       638.4124756     208.7099915    1965.8052979  
  20.0      1641.0836182     505.7349854    2124.1271973  
  40.0      1661.5500488     548.0000000    2127.3588867  
  60.0      1630.2041016     588.0000000    2122.4091797  
  80.0      1615.8939209     588.0000000    2120.1496582  
 100.0      1591.7830811     603.4699707    2116.3425293  
 120.0      1568.6479492     627.8599854    2112.6894531  
 140.0      1554.7026367     646.1400146    2110.4875488  
 160.0      1555.8408203     646.1400146    2110.6672363  
 180.0      1575.7092285     667.4799805    2113.8044434  
 200.0      1615.7760010     694.9099731    2120.1311035  
 220.0      1667.4959717     694.9099731    2128.2976074  
 240.0      1716.1923828     725.3900146    2135.9868164  
 260.0      1762.2719727     725.3900146    2143.2626953  
 280.0      1806.0603027     725.3900146    2150.1770020  
 300.0      1847.8212891     725.3900146    2156.7709961  
 320.0      1887.7761230     870.7810059    2163.0798340  
 340.0      1926.1076660     893.7685547    2169.1323242  
 360.0      1962.9704590     916.0119629    2174.9531250  
 380.0      1998.4990234     937.5747070    2180.5629883  
 400.0      2032.8073730     958.5112915    2185.9802246  
 420.0      2065.9951172     978.8694458    2191.2207031  
 440.0      2098.1494141     998.6911011    2196.2978516  
 460.0      2394.3071289    1199.9208984    2224.0600586  
 480.0      2402.0576172    1205.1600342    2227.7395020  
 500.0      2409.5029297    1210.2432861    2231.3186035  
 520.0      2422.7663574    1220.1136475    2234.8037109  
 540.0      2435.7626953    1229.8461914    2238.2006836  
 560.0      2448.5087891    1239.4488525    2241.5151367  
 580.0      2461.0192871    1248.9287109    2244.7517090  
 600.0      2473.3068848    1258.2923584    2247.9150391  
 620.0      2485.3842773    1267.5458984    2251.0092773  
 640.0      2497.2626953    1276.6944580    2254.0375977  
 660.0      2508.9523926    1285.7434082    2257.0036621  
 680.0      2520.4621582    1294.6966553    2259.9104004  
 700.0      2531.8012695    1303.5593262    2262.7609863  
 720.0      2542.9780273    1312.3350830    2265.5581055  
 740.0      2553.9992676    1321.0275879    2268.3037109  
 760.0      2564.8720703    1329.6405029    2271.0004883  
 780.0      2575.6027832    1338.1768799    2273.6506348  
 800.0      2586.1979980    1346.6397705    2276.2556152  
 820.0      2596.6623535    1355.0318604    2278.8181152  
 840.0      2607.0024414    1363.3562012    2281.3388672  
 860.0      2617.2216797    1371.6149902    2283.8203125  
 880.0      2627.3254395    1379.8104248    2286.2636719  
 900.0      2637.3183594    1387.9449463    2288.6699219  
 920.0      2647.2038574    1396.0209961    2291.0415039  
