# CI_SBPX -117.23482669 34.23234020
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0      3982.0341797    2310.8964844    2719.9987793  
  20.0      3979.8090820    2309.4362793    2719.9987793  
  40.0      3977.5844727    2307.9760742    2719.9987793  
  60.0      3975.3593750    2306.5158691    2719.9987793  
  80.0      3973.1347656    2305.0556641    2719.9987793  
 100.0      3970.9096680    2303.5952148    2719.9987793  
 120.0      3968.6850586    2302.1350098    2719.9987793  
 140.0      3966.4599609    2300.6748047    2719.9987793  
 160.0      3964.2353516    2299.2145996    2719.9987793  
 180.0      3962.0102539    2297.7543945    2719.9987793  
 200.0      3959.7856445    2296.2939453    2719.9987793  
 220.0      3957.5605469    2294.8337402    2719.9987793  
 240.0      3955.3359375    2293.3735352    2719.9987793  
 260.0      3953.1108398    2291.9130859    2719.9987793  
 280.0      3950.8862305    2290.4528809    2719.9987793  
 300.0      3948.6611328    2288.9926758    2719.9987793  
 320.0      3946.4365234    2287.5324707    2719.9987793  
 340.0      3944.2114258    2286.0722656    2719.9987793  
 360.0      3941.9868164    2284.6118164    2719.9987793  
 380.0      3939.7617188    2283.1516113    2719.9987793  
 400.0      3937.5371094    2281.6914062    2719.9987793  
 420.0      3935.3120117    2280.2312012    2719.9987793  
 440.0      3933.0874023    2278.7709961    2719.9987793  
 460.0      3930.8623047    2277.3105469    2719.9987793  
 480.0      3928.6376953    2275.8503418    2719.9987793  
 500.0      3926.4125977    2274.3901367    2719.9987793  
 520.0      3931.6103516    2277.9272461    2719.9987793  
 540.0      3936.8078613    2281.4643555    2719.9987793  
 560.0      3942.0053711    2285.0014648    2719.9987793  
 580.0      3947.2031250    2288.5385742    2719.9987793  
 600.0      3952.4008789    2292.0759277    2719.9987793  
 620.0      3957.5983887    2295.6130371    2719.9987793  
 640.0      3962.7958984    2299.1501465    2719.9987793  
 660.0      3967.9936523    2302.6872559    2719.9987793  
 680.0      3973.1911621    2306.2243652    2719.9987793  
 700.0      3978.3886719    2309.7614746    2719.9987793  
 720.0      3983.5864258    2313.2985840    2719.9987793  
 740.0      3988.7841797    2316.8359375    2719.9987793  
 760.0      3993.9814453    2320.3730469    2719.9987793  
 780.0      3999.1791992    2323.9101562    2719.9987793  
 800.0      4004.3769531    2327.4472656    2719.9987793  
 820.0      4009.5744629    2330.9843750    2719.9987793  
 840.0      4014.7719727    2334.5214844    2719.9987793  
 860.0      4019.9697266    2338.0585938    2719.9987793  
 880.0      4025.1672363    2341.5957031    2719.9987793  
 900.0      4030.3647461    2345.1328125    2719.9987793  
 920.0      4035.5625000    2348.6699219    2719.9987793  
 940.0      4040.7602539    2352.2072754    2719.9987793  
 960.0      4045.9577637    2355.7443848    2719.9987793  
 980.0      4051.1552734    2359.2814941    2719.9987793  
1000.0      4056.3789062    2362.8425293    2720.0029297  
1020.0      4063.6127930    2368.1611328    2720.3408203  
1040.0      4070.8461914    2373.4799805    2720.6784668  
1060.0      4078.0795898    2378.7985840    2721.0163574  
1080.0      4085.3129883    2384.1176758    2721.3542480  
1100.0      4092.5466309    2389.4360352    2721.6921387  
1120.0      4099.7802734    2394.7548828    2722.0300293  
1140.0      4107.0136719    2400.0734863    2722.3679199  
1160.0      4114.2470703    2405.3923340    2722.7058105  
1180.0      4121.4804688    2410.7111816    2723.0434570  
1200.0      4128.7138672    2416.0300293    2723.3813477  
1220.0      4135.9467773    2421.3486328    2723.7192383  
1240.0      4143.1806641    2426.6674805    2724.0571289  
1260.0      4150.4135742    2431.9863281    2724.3950195  
1280.0      4157.6474609    2437.3046875    2724.7329102  
1300.0      4164.8808594    2442.6235352    2725.0708008  
1320.0      4172.1147461    2447.9423828    2725.4086914  
1340.0      4179.3476562    2453.2609863    2725.7465820  
