# CI_SOF -117.55704956 33.37105062
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0      3944.9553223    2333.0214844    2579.9155273  
  20.0      3944.9560547    2333.0234375    2579.9155273  
  40.0      3944.9565430    2333.0251465    2579.9155273  
  60.0      3944.9572754    2333.0270996    2579.9155273  
  80.0      3944.9580078    2333.0288086    2579.9155273  
 100.0      3944.9587402    2333.0307617    2579.9155273  
 120.0      3944.9594727    2333.0327148    2579.9155273  
 140.0      3944.9602051    2333.0344238    2579.9155273  
 160.0      3944.9609375    2333.0363770    2579.9155273  
 180.0      3944.9614258    2333.0380859    2579.9155273  
 200.0      3944.9621582    2333.0400391    2579.9155273  
 220.0      3944.9628906    2333.0417480    2579.9155273  
 240.0      3944.9636230    2333.0437012    2579.9155273  
 260.0      3944.9643555    2333.0454102    2579.9155273  
 280.0      3944.9650879    2333.0473633    2579.9155273  
 300.0      3944.9658203    2333.0490723    2579.9155273  
 320.0      3944.9663086    2333.0510254    2579.9155273  
 340.0      3944.9670410    2333.0527344    2579.9155273  
 360.0      3944.9677734    2333.0546875    2579.9155273  
 380.0      3944.9685059    2333.0563965    2579.9155273  
 400.0      3944.9692383    2333.0583496    2579.9155273  
 420.0      3944.9697266    2333.0600586    2579.9155273  
 440.0      3944.9707031    2333.0620117    2579.9155273  
 460.0      3944.9711914    2333.0637207    2579.9155273  
 480.0      3944.9719238    2333.0656738    2579.9155273  
 500.0      3944.9726562    2333.0673828    2579.9155273  
 520.0      3948.7734375    2335.3061523    2579.9155273  
 540.0      3952.5744629    2337.5451660    2579.9155273  
 560.0      3956.3754883    2339.7839355    2579.9155273  
 580.0      3960.1762695    2342.0227051    2579.9155273  
 600.0      3963.9772949    2344.2617188    2579.9155273  
 620.0      3967.7783203    2346.5004883    2579.9155273  
 640.0      3971.5791016    2348.7392578    2579.9155273  
 660.0      3975.3801270    2350.9780273    2579.9155273  
 680.0      3979.1811523    2353.2170410    2579.9155273  
 700.0      3982.9819336    2355.4558105    2579.9155273  
 720.0      3986.7829590    2357.6945801    2579.9155273  
 740.0      3990.5839844    2359.9333496    2579.9155273  
 760.0      3994.3847656    2362.1723633    2579.9155273  
 780.0      3998.1857910    2364.4111328    2579.9155273  
 800.0      4001.9865723    2366.6499023    2579.9155273  
 820.0      4005.7875977    2368.8886719    2579.9155273  
 840.0      4009.5883789    2371.1276855    2579.9155273  
 860.0      4013.3894043    2373.3664551    2579.9155273  
