# CI_SRN -117.78949915 33.82855653
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0      3480.0651855    1907.3665771    2531.6157227  
  20.0      3476.2258301    1903.8283691    2531.6157227  
  40.0      3472.3864746    1900.2902832    2531.6157227  
  60.0      3468.5471191    1896.7520752    2531.6157227  
  80.0      3464.7077637    1893.2139893    2531.6157227  
 100.0      3460.8686523    1889.6757812    2531.6157227  
 120.0      3457.0292969    1886.1376953    2531.6157227  
 140.0      3453.1899414    1882.5994873    2531.6157227  
 160.0      3449.3505859    1879.0614014    2531.6157227  
 180.0      3445.5112305    1875.5231934    2531.6157227  
 200.0      3441.6718750    1871.9851074    2531.6157227  
 220.0      3437.8325195    1868.4468994    2531.6157227  
 240.0      3433.9934082    1864.9088135    2531.6157227  
 260.0      3430.1540527    1861.3706055    2531.6157227  
 280.0      3426.3146973    1857.8325195    2531.6157227  
 300.0      3422.4753418    1854.2943115    2531.6157227  
 320.0      3418.6362305    1850.7562256    2531.6157227  
 340.0      3414.7968750    1847.2180176    2531.6157227  
 360.0      3410.9575195    1843.6799316    2531.6157227  
 380.0      3407.1181641    1840.1417236    2531.6157227  
 400.0      3403.2788086    1836.6036377    2531.6157227  
 420.0      3399.4394531    1833.0654297    2531.6157227  
 440.0      3395.6000977    1829.5273438    2531.6157227  
 460.0      3391.7609863    1825.9891357    2531.6157227  
 480.0      3387.9216309    1822.4509277    2531.6157227  
 500.0      3384.0822754    1818.9128418    2531.6157227  
 520.0      3390.5327148    1823.6008301    2531.6157227  
 540.0      3396.9831543    1828.2889404    2531.6157227  
 560.0      3403.4335938    1832.9769287    2531.6157227  
 580.0      3409.8840332    1837.6650391    2531.6157227  
 600.0      3416.3344727    1842.3530273    2531.6157227  
 620.0      3422.7849121    1847.0411377    2531.6157227  
 640.0      3429.2353516    1851.7291260    2531.6157227  
 660.0      3435.6857910    1856.4172363    2531.6157227  
 680.0      3442.1362305    1861.1052246    2531.6157227  
 700.0      3448.5864258    1865.7932129    2531.6157227  
 720.0      3455.0371094    1870.4813232    2531.6157227  
 740.0      3461.4873047    1875.1693115    2531.6157227  
 760.0      3467.9377441    1879.8574219    2531.6157227  
 780.0      3474.3881836    1884.5454102    2531.6157227  
 800.0      3480.8386230    1889.2333984    2531.6157227  
 820.0      3487.2890625    1893.9215088    2531.6157227  
 840.0      3493.7395020    1898.6094971    2531.6157227  
 860.0      3500.1899414    1903.2976074    2531.6157227  
