# CI_TA2 -117.67810447 34.38204876
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0      4286.5151367    2381.9736328    2756.7270508  
  20.0      4286.8383789    2382.0915527    2756.7270508  
  40.0      4287.1611328    2382.2094727    2756.7270508  
  60.0      4287.4843750    2382.3271484    2756.7270508  
  80.0      4287.8076172    2382.4448242    2756.7270508  
 100.0      4288.1308594    2382.5627441    2756.7270508  
 120.0      4288.4536133    2382.6806641    2756.7270508  
 140.0      4288.7768555    2382.7983398    2756.7270508  
 160.0      4289.0996094    2382.9160156    2756.7270508  
 180.0      4289.4228516    2383.0339355    2756.7270508  
 200.0      4289.7460938    2383.1518555    2756.7270508  
 220.0      4290.0688477    2383.2695312    2756.7270508  
 240.0      4290.3920898    2383.3872070    2756.7270508  
 260.0      4290.7148438    2383.5051270    2756.7270508  
 280.0      4291.0380859    2383.6230469    2756.7270508  
 300.0      4291.3613281    2383.7407227    2756.7270508  
 320.0      4291.6845703    2383.8583984    2756.7270508  
 340.0      4292.0073242    2383.9763184    2756.7270508  
 360.0      4292.3305664    2384.0942383    2756.7270508  
 380.0      4292.6533203    2384.2119141    2756.7270508  
 400.0      4292.9765625    2384.3298340    2756.7270508  
 420.0      4293.2998047    2384.4475098    2756.7270508  
 440.0      4293.6230469    2384.5654297    2756.7270508  
 460.0      4293.9458008    2384.6831055    2756.7270508  
 480.0      4294.2690430    2384.8010254    2756.7270508  
 500.0      4294.5917969    2384.9187012    2756.7270508  
 520.0      4306.6933594    2394.4970703    2756.7270508  
 540.0      4318.7944336    2404.0751953    2756.7270508  
 560.0      4330.8959961    2413.6533203    2756.7270508  
 580.0      4342.9970703    2423.2314453    2756.7270508  
 600.0      4355.0986328    2432.8095703    2756.7270508  
 620.0      4367.1997070    2442.3876953    2756.7270508  
 640.0      4379.3007812    2451.9658203    2756.7270508  
 660.0      4391.4023438    2461.5439453    2756.7270508  
 680.0      4403.5039062    2471.1223145    2756.7270508  
 700.0      4415.6049805    2480.7004395    2756.7270508  
 720.0      4427.7060547    2490.2785645    2756.7270508  
 740.0      4439.8076172    2499.8566895    2756.7270508  
 760.0      4451.9086914    2509.4348145    2756.7270508  
 780.0      4464.0102539    2519.0131836    2756.7270508  
 800.0      4476.1113281    2528.5913086    2756.7270508  
 820.0      4488.2128906    2538.1694336    2756.7270508  
 840.0      4500.3139648    2547.7475586    2756.7270508  
 860.0      4512.4150391    2557.3256836    2756.7270508  
 880.0      4524.5166016    2566.9038086    2756.7270508  
 900.0      4536.6181641    2576.4821777    2756.7270508  
 920.0      4548.7192383    2586.0603027    2756.7270508  
 940.0      4560.8203125    2595.6384277    2756.7270508  
 960.0      4572.9218750    2605.2165527    2756.7270508  
 980.0      4585.0229492    2614.7946777    2756.7270508  
1000.0      4597.1508789    2624.3999023    2756.7312012  
1020.0      4612.8710938    2637.0039062    2757.0710449  
1040.0      4628.5922852    2649.6081543    2757.4111328  
1060.0      4644.3129883    2662.2121582    2757.7509766  
1080.0      4660.0341797    2674.8164062    2758.0910645  
1100.0      4675.7548828    2687.4201660    2758.4309082  
1120.0      4691.4760742    2700.0244141    2758.7709961  
1140.0      4707.1967773    2712.6284180    2759.1108398  
1160.0      4722.9179688    2725.2324219    2759.4509277  
1180.0      4738.6381836    2737.8369141    2759.7910156  
1200.0      4754.3588867    2750.4409180    2760.1308594  
1220.0      4770.0800781    2763.0449219    2760.4707031  
1240.0      4785.8007812    2775.6491699    2760.8107910  
1260.0      4801.5219727    2788.2531738    2761.1508789  
1280.0      4817.2421875    2800.8571777    2761.4907227  
1300.0      4832.9633789    2813.4614258    2761.8305664  
1320.0      4848.6840820    2826.0651855    2762.1706543  
1340.0      4864.4052734    2838.6694336    2762.5107422  
