# CI_USC -118.28622786 34.01922256
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0       404.7470093     184.7149963    1928.9095459  
  20.0      1163.5000000     389.8495483    2048.7165527  
  40.0      1299.9000244     355.1405640    2070.2541504  
  60.0      1311.6475830     398.7180176    2072.1091309  
  80.0      1301.1699219     428.1043701    2070.4548340  
 100.0      1293.4086914     450.3751831    2069.2292480  
 120.0      1295.5063477     466.5945435    2069.5605469  
 140.0      1312.4245605     478.7640381    2072.2319336  
 160.0      1347.1782227     551.4590454    2077.7194824  
 180.0      1400.9653320     572.7790527    2086.2124023  
 200.0      1473.2878418     600.2090454    2097.6320801  
 220.0      1520.7769775     600.2090454    2105.1306152  
 240.0      1565.4721680     630.6890259    2112.1879883  
 260.0      1607.7504883     630.6890259    2118.8637695  
 280.0      1647.9154053     630.6890259    2125.2058105  
 300.0      1686.2124023     630.6890259    2131.2529297  
 320.0      1722.8448486     773.5804443    2137.0371094  
 340.0      1757.9820557     794.0497437    2142.5854492  
 360.0      1791.7681885     813.8554077    2147.9201660  
 380.0      1824.3266602     833.0543213    2153.0612793  
 400.0      1855.7617188     851.6943359    2158.0249023  
 420.0      1886.1668701     869.8189697    2162.8256836  
 440.0      1915.6214600     887.4654541    2167.4765625  
 460.0      1944.1984863     904.6682739    2171.9890137  
 480.0      1971.9587402     921.4555664    2176.3723145  
 500.0      1998.9589844     937.8547974    2180.6357422  
 520.0      2025.2479248     953.8885498    2184.7866211  
 540.0      2050.8718262     969.5797729    2188.8327637  
 560.0      2075.8710938     984.9472656    2192.7800293  
 580.0      2295.4892578    1144.4459229    2220.5317383  
 600.0      2305.4882812    1153.6954346    2223.4279785  
 620.0      2315.2939453    1162.8468018    2226.2602539  
 640.0      2324.9172363    1171.9052734    2229.0324707  
 660.0      2334.3671875    1180.8746338    2231.7475586  
 680.0      2343.6523438    1189.7592773    2234.4084473  
 700.0      2352.7805176    1198.5631104    2237.0173340  
 720.0      2361.7604980    1207.2900391    2239.5773926  
 740.0      2370.5971680    1215.9428711    2242.0903320  
 760.0      2379.2978516    1224.5245361    2244.5583496  
 780.0      2387.8688965    1233.0386963    2246.9836426  
 800.0      2396.3151855    1241.4871826    2249.3676758  
 820.0      2404.6416016    1249.8730469    2251.7121582  
 840.0      2412.8537598    1258.1986084    2254.0192871  
 860.0      2420.9558105    1266.4658203    2256.2897949  
 880.0      2428.9511719    1274.6766357    2258.5251465  
 900.0      2436.8454590    1282.8336182    2260.7272949  
 920.0      2444.6416016    1290.9384766    2262.8972168  
 940.0      2452.3430176    1298.9925537    2265.0356445  
 960.0      2459.9521484    1306.9973145    2267.1435547  
 980.0      2467.4741211    1314.9552002    2269.2229004  
1000.0      2474.9106445    1322.8674316    2271.2741699  
1020.0      2484.6481934    1332.4228516    2273.2980957  
1040.0      2494.3056641    1341.9353027    2275.2958984  
1060.0      2503.8857422    1351.4060059    2277.2680664  
1080.0      2513.3913574    1360.8360596    2279.2158203  
1100.0      2522.8247070    1370.2265625    2281.1396484  
1120.0      2532.1875000    1379.5792236    2283.0402832  
1140.0      2541.4821777    1388.8939209    2284.9182129  
1160.0      2550.7102051    1398.1726074    2286.7741699  
1180.0      2559.8745117    1407.4163818    2288.6093750  
1200.0      2568.9765625    1416.6257324    2290.4238281  
1220.0      2578.0173340    1425.8016357    2292.2182617  
1240.0      2586.9990234    1434.9447021    2293.9931641  
1260.0      2595.9230957    1444.0559082    2295.7487793  
1280.0      2604.7912598    1453.1363525    2297.4863281  
1300.0      2613.6049805    1462.1864014    2299.2058105  
1320.0      2622.3652344    1471.2069092    2301.1806641  
1340.0      2631.0737305    1480.1986084    2303.3720703  
1360.0      2639.7316895    1489.1621094    2305.5417480  
1380.0      2648.3400879    1498.0980225    2307.6901855  
1400.0      2656.9006348    1507.0069580    2309.8181152  
1420.0      2665.4140625    1515.8896484    2311.9257812  
1440.0      2673.8813477    1524.7464600    2314.0139160  
1460.0      2682.3039551    1533.5781250    2316.0825195  
1480.0      2690.6828613    1542.4665527    2318.1325684  
