# CE_24941 -118.14685022 34.01738497
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0       696.4910278     252.1049957    1974.9759521  
  20.0      1534.6899414     533.1524658    2107.3276367  
  40.0      1661.5500488     531.8299561    2127.3588867  
  60.0      1630.1545410     582.5549927    2122.4013672  
  80.0      1613.9138184     588.0000000    2119.8369141  
 100.0      1584.6520996     603.4699707    2115.2165527  
 120.0      1552.8707275     627.8599854    2110.1982422  
 140.0      1526.8171387     646.1400146    2106.0844727  
 160.0      1512.6862793     646.1400146    2103.8532715  
 180.0      1514.6569824     655.1061401    2104.1643066  
 200.0      1534.9234619     666.4209595    2107.3645020  
 220.0      1583.9049072     693.9657593    2115.0986328  
 240.0      1630.0312500     720.1574707    2122.3818359  
 260.0      1673.6848145     725.3900146    2129.2749023  
 280.0      1715.1726074     725.3900146    2135.8256836  
 300.0      1754.7446289     725.3900146    2142.0742188  
 320.0      1792.6081543     814.3493042    2148.0527344  
 340.0      1828.9359131     835.7811890    2153.7890625  
 360.0      1863.8745117     856.5212402    2159.3056641  
 380.0      1897.5511475     876.6292114    2164.6232910  
 400.0      1930.0732422     896.1550903    2169.7585449  
 420.0      1961.5343018     915.1429443    2174.7263184  
 440.0      1992.0163574     933.6312866    2179.5393066  
 460.0      2021.5936279     951.6559448    2184.2097168  
 480.0      2050.3298340     969.2471924    2188.7470703  
 500.0      2078.2824707     986.4328613    2193.1608887  
 520.0      2387.8305664    1190.4822998    2221.1655273  
 540.0      2400.8591309    1200.3487549    2224.3867188  
 560.0      2413.6506348    1210.0944824    2227.5295410  
 580.0      2426.2182617    1219.7258301    2230.5986328  
 600.0      2438.5756836    1229.2491455    2233.5983887  
 620.0      2450.7336426    1238.6699219    2236.5322266  
 640.0      2462.7033691    1247.9931641    2239.4040527  
 660.0      2474.4938965    1257.2235107    2242.2170410  
 680.0      2486.1142578    1266.3651123    2244.9736328  
 700.0      2497.5725098    1275.4219971    2247.6770020  
 720.0      2508.8771973    1284.3984375    2250.3295898  
 740.0      2520.0351562    1293.2974854    2252.9335938  
 760.0      2531.0517578    1302.1219482    2255.4912109  
 780.0      2541.9340820    1310.8752441    2258.0046387  
 800.0      2552.6872559    1319.5604248    2260.4753418  
 820.0      2563.3171387    1328.1795654    2262.9057617  
 840.0      2573.8288574    1336.7354736    2265.2966309  
 860.0      2584.2263184    1345.2302246    2267.6499023  
 880.0      2594.5144043    1353.6665039    2269.9675293  
 900.0      2604.6975098    1362.0462646    2272.2502441  
 920.0      2614.7785645    1370.3709717    2274.4995117  
 940.0      2624.7617188    1378.6423340    2276.7160645  
 960.0      2634.6506348    1386.8627930    2278.9018555  
 980.0      2644.4479980    1395.0335693    2281.0576172  
1000.0      2654.1574707    1403.1563721    2283.1843262  
1020.0      2664.8896484    1412.5959473    2285.2827148  
1040.0      2675.5395508    1421.9903564    2287.3540039  
1060.0      2686.1096191    1431.3409424    2289.3986816  
1080.0      2696.6025391    1440.6490479    2291.4184570  
1100.0      2707.0202637    1449.9156494    2293.4128418  
1120.0      2717.3652344    1459.1423340    2295.3835449  
1140.0      2727.6396484    1468.3299561    2297.3310547  
1160.0      2737.8454590    1477.4793701    2299.2561035  
1180.0      2747.9848633    1486.5919189    2301.5073242  
1200.0      2758.0595703    1495.6685791    2303.9548340  
1220.0      2768.0712891    1504.7100830    2306.3752441  
1240.0      2778.0217285    1513.7174072    2308.7692871  
1260.0      2787.9125977    1522.6911621    2311.1376953  
1280.0      2797.7453613    1531.6325684    2313.4814453  
1300.0      2807.5217285    1540.5422363    2315.8010254  
1320.0      2817.2429199    1549.4207764    2318.0969238  
1340.0      2826.9106445    1564.5371094    2320.3696289  
1360.0      2836.5258789    1579.5881348    2322.6198730  
1380.0      2846.0900879    1594.5584717    2324.8483887  
1400.0      2855.6040039    1609.4495850    2327.0554199  
1420.0      2865.0695801    1624.2633057    2329.2414551  
1440.0      2874.4875488    1639.0014648    2331.4072266  
1460.0      2883.8596191    1653.6661377    2333.5532227  
1480.0      2893.1853027    1668.2570801    2335.6794434  
1500.0      2902.4670410    1682.7774658    2337.7866211  
1520.0      2915.9846191    1695.0783691    2339.8752441  
1540.0      2933.0419922    1707.3114014    2341.9458008  
1560.0      2949.9865723    1719.4780273    2343.9985352  
1580.0      2966.8205566    1731.5788574    2346.0336914  
1600.0      2983.5463867    1743.6154785    2348.0517578  
1620.0      3000.1660156    1755.5892334    2350.0532227  
1640.0      3016.6826172    1767.5017090    2352.0380859  
1660.0      3033.0971680    1779.3532715    2354.0070801  
1680.0      3049.4116211    1791.1453857    2355.9602051  
1700.0      3065.6291504    1802.8796387    2357.8981934  
1720.0      3081.7504883    1814.5561523    2359.8208008  
1740.0      3097.7783203    1826.1768799    2361.7287598  
1760.0      3113.7138672    1837.7421875    2363.6220703  
1780.0      3129.5588379    1849.2530518    2365.5009766  
1800.0      3145.3151855    1860.7110596    2367.3662109  
1820.0      3160.9846191    1872.1164551    2369.2175293  
1840.0      3176.5688477    1883.4704590    2371.0551758  
1860.0      3192.0688477    1894.7739258    2372.8798828  
1880.0      3207.4858398    1906.0270996    2374.6914062  
1900.0      3222.8227539    1917.2319336    2376.4899902  
1920.0      3238.0795898    1928.3884277    2378.2763672  
1940.0      3262.6003418    1946.0747070    2381.5251465  
1960.0      3287.7204590    1964.2089844    2384.8686523  
1980.0      3312.4846191    1982.1186523    2388.1562500  
2000.0      3336.9106445    1999.8139648    2391.3901367  
2020.0      3362.4902344    2018.0716553    2394.5727539  
2040.0      3387.7597656    2036.1334229    2397.7067871  
2060.0      3412.7324219    2054.0061035    2400.7937012  
2080.0      3437.4177246    2071.6960449    2403.8354492  
2100.0      3461.8334961    2089.2143555    2406.8344727  
2120.0      3485.9848633    2106.5639648    2409.7915039  
2140.0      3509.8833008    2123.7526855    2412.7089844  
2160.0      3533.5383301    2140.7856445    2415.5878906  
2180.0      3556.9592285    2157.6691895    2418.4299316  
2200.0      3580.1525879    2174.4067383    2421.2358398  
2220.0      3603.1264648    2191.0039062    2424.0073242  
2240.0      3625.8913574    2207.4672852    2426.7456055  
2260.0      3648.4514160    2223.7988281    2429.4516602  
2280.0      3670.8127441    2240.0026855    2432.1262207  
2300.0      3692.9829102    2256.0839844    2434.7707520  
2320.0      3714.9672852    2272.0451660    2437.3857422  
2340.0      3736.7719727    2287.8911133    2439.9726562  
2360.0      3758.4028320    2303.6247559    2442.5319824  
2380.0      3779.8598633    2319.2458496    2445.0637207  
2400.0      3801.1567383    2334.7639160    2447.5703125  
2420.0      3822.2902832    2350.1757812    2450.0510254  
2440.0      3843.2714844    2365.4897461    2452.5078125  
