# CI_CAC -118.12201034 34.13699263
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0       399.2119141     255.4544983    1928.0355225  
  20.0      1178.2149658     509.7779846    2051.0400391  
  40.0      1720.1472168     619.2490234    2136.6113281  
  60.0      1690.0867920     676.3334961    2131.8647461  
  80.0      1711.1356201     766.7885742    2135.1882324  
 100.0      1764.1281738     797.6436768    2143.5559082  
 120.0      1854.6064453     851.0074463    2157.8422852  
 140.0      1983.4570312     918.8822632    2178.1879883  
 160.0      3664.9177246     938.8822632    2443.6904297  
 180.0      4327.3955078     938.8822632    2548.2958984  
 200.0      5020.1494141     938.8822632    2657.6816406  
 220.0      5020.1708984     938.8822632    2657.6850586  
 240.0      5020.1708984     938.8822632    2657.6850586  
 260.0      5020.1708984     938.8822632    2657.6850586  
 280.0      5020.1708984     938.8822632    2657.6850586  
 300.0      5020.1708984     938.8822632    2657.6850586  
 320.0      4595.1181641    2119.4846191    2657.6850586  
 340.0      4582.8427734    2116.5693359    2657.6850586  
 360.0      4570.5673828    2113.6542969    2657.6850586  
 380.0      4558.2915039    2110.7390137    2657.6850586  
 400.0      4546.0161133    2107.8237305    2657.6850586  
 420.0      4533.7407227    2104.9086914    2657.6850586  
 440.0      4521.4653320    2101.9934082    2657.6850586  
 460.0      4509.1899414    2099.0781250    2657.6850586  
 480.0      4496.9145508    2096.1628418    2657.6850586  
 500.0      4484.6391602    2093.2478027    2657.6850586  
 520.0      4487.3945312    2097.4938965    2657.6850586  
 540.0      4490.1503906    2101.7402344    2657.6850586  
 560.0      4492.9057617    2105.9863281    2657.6850586  
 580.0      4495.6616211    2110.2324219    2657.6850586  
 600.0      4498.4169922    2114.4787598    2657.6850586  
 620.0      4501.1728516    2118.7248535    2657.6850586  
 640.0      4503.9282227    2122.9709473    2657.6850586  
 660.0      4506.6840820    2127.2172852    2657.6850586  
 680.0      4509.4394531    2131.4633789    2657.6850586  
 700.0      4512.1953125    2135.7097168    2657.6850586  
 720.0      4514.9506836    2139.9558105    2657.6850586  
 740.0      4517.7060547    2144.2019043    2657.6850586  
 760.0      4520.4619141    2148.4482422    2657.6850586  
 780.0      4523.2172852    2152.6943359    2657.6850586  
 800.0      4525.9731445    2156.9406738    2657.6850586  
 820.0      4528.7285156    2161.1867676    2657.6850586  
 840.0      4531.4843750    2165.4328613    2657.6850586  
 860.0      4534.2397461    2169.6791992    2657.6850586  
 880.0      4536.9956055    2173.9252930    2657.6850586  
 900.0      4539.7509766    2178.1716309    2657.6850586  
 920.0      4542.5068359    2182.4177246    2657.6850586  
 940.0      4545.2622070    2186.6638184    2657.6850586  
 960.0      4548.0180664    2190.9101562    2657.6850586  
 980.0      4550.7734375    2195.1562500    2657.6850586  
1000.0      4553.5903320    2199.4926758    2657.6945801  
1020.0      4566.7739258    2212.1965332    2658.4812012  
1040.0      4579.9580078    2224.9008789    2659.2678223  
1060.0      4593.1416016    2237.6047363    2660.0544434  
1080.0      4606.3261719    2250.3093262    2660.8410645  
1100.0      4619.5107422    2263.0131836    2661.6276855  
1120.0      4632.6938477    2275.7172852    2662.4140625  
1140.0      4645.8784180    2288.4213867    2663.2006836  
1160.0      4659.0625000    2301.1257324    2663.9873047  
1180.0      4672.2465820    2313.8298340    2664.7739258  
