# CI_DLA -118.09620586 33.84820280
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0       404.7470093     160.4799957    1928.9095459  
  20.0      1163.5000000     369.9134521    2048.7165527  
  40.0      1299.9000244     416.6700134    2070.2541504  
  60.0      1310.4233398     482.2000122    2071.9157715  
  80.0      1293.8747559     526.3900146    2069.3027344  
 100.0      1274.2664795     559.8800049    2066.2067871  
 120.0      1258.4755859     584.2700195    2063.7133789  
 140.0      1251.6423340     602.5700073    2062.6342773  
 160.0      1257.3498535     515.8772583    2063.5356445  
 180.0      1277.6977539     526.5755005    2066.7485352  
 200.0      1313.3726807     545.4660034    2072.3815918  
 220.0      1355.6450195     568.0669556    2079.0563965  
 240.0      1395.4339600     589.5507812    2085.3391113  
 260.0      1433.0748291     610.0587769    2091.2824707  
 280.0      1468.8353271     629.7053223    2096.9291992  
 300.0      1502.9351807     648.5842896    2102.3134766  
 320.0      1535.5541992     666.7738037    2107.4641113  
 340.0      1566.8427734     684.3392334    2112.4045410  
 360.0      1596.9293213     701.3368530    2117.1552734  
 380.0      1625.9232178     717.8153076    2121.7333984  
 400.0      1653.9182129     733.8158569    2126.1538086  
 420.0      1680.9963379     749.3753662    2130.4291992  
 440.0      1707.2293701     764.5263062    2134.5715332  
 460.0      1732.6795654     779.2963257    2138.5900879  
 480.0      1757.4034424     793.7117310    2142.4941406  
 500.0      1781.4508057     807.7944946    2146.2910156  
 520.0      1804.8662109     821.5656738    2149.9882812  
 540.0      1827.6885986     835.0429688    2153.5920410  
 560.0      1849.9552002     848.2435913    2157.1079102  
 580.0      1871.6982422     861.1826782    2160.5412598  
 600.0      1892.9476318     873.8737793    2163.8964844  
 620.0      1913.7307129     886.3302612    2167.1782227  
 640.0      1934.0710449     898.5625610    2170.3898926  
 660.0      1953.9927979     910.5824585    2173.5354004  
 680.0      1973.5163574     922.3995972    2176.6181641  
 700.0      1992.6604004     934.0229492    2179.6411133  
 720.0      2011.4450684     945.4620361    2182.6071777  
