# CI_LCG -118.37794635 34.00025070
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0       387.4637451     154.8035889    1926.1805420  
  20.0      1259.8599854     374.9873657    2063.9318848  
  40.0      1360.9665527     429.3048706    2079.8967285  
  60.0      1311.7343750     474.7860107    2072.1228027  
  80.0      1301.6868896     524.5546875    2070.5363770  
 100.0      1294.7641602     549.4718018    2069.4433594  
 120.0      1298.1278076     582.4104614    2069.9743652  
 140.0      1316.7258301     597.6909180    2072.9111328  
 160.0      1353.5339355     566.9328613    2078.7231445  
 180.0      1409.6850586     597.2943726    2087.5893555  
 200.0      1484.5987549     638.4150391    2099.4182129  
 220.0      1532.4562988     646.4409180    2106.9748535  
 240.0      1577.4964600     676.9208984    2114.0866699  
 260.0      1620.1026611     676.9208984    2120.8142090  
 280.0      1660.5775146     676.9208984    2127.2050781  
 300.0      1699.1711426     676.9208984    2133.2990723  
 320.0      1736.0870361     781.2791748    2139.1281738  
 340.0      1771.4954834     801.9570312    2144.7192383  
 360.0      1805.5428467     821.9644775    2150.0952148  
 380.0      1838.3519287     841.3584595    2155.2758789  
 400.0      1870.0305176     860.1884766    2160.2778320  
 420.0      1900.6708984     878.4978027    2165.1159668  
 440.0      1930.3531494     896.3236694    2169.8027344  
 460.0      1959.1501465     913.7006226    2174.3498535  
 480.0      1987.1240234     930.6578369    2178.7668457  
 500.0      2014.3326416     947.2233276    2183.0632324  
 520.0      2040.8256836     963.4204712    2187.2463379  
 540.0      2066.6467285     979.2702637    2191.3234863  
 560.0      2091.8391113     994.7936401    2195.3015137  
 580.0      2155.5720215    1053.7611084    2222.4931641  
 600.0      2166.1191406    1062.5411377    2225.4113770  
 620.0      2176.4724121    1071.2221680    2228.2658691  
 640.0      2186.6408691    1079.8088379    2231.0593262  
 660.0      2196.6350098    1088.3060303    2233.7954102  
 680.0      2206.4631348    1096.7174072    2236.4765625  
 700.0      2216.1337891    1105.0474854    2239.1059570  
 720.0      2225.6538086    1113.2994385    2241.6855469  
 740.0      2235.0302734    1121.4765625    2244.2177734  
 760.0      2244.2695312    1129.5820312    2246.7050781  
 780.0      2253.3781738    1137.6191406    2249.1491699  
 800.0      2262.3605957    1145.5898438    2251.5512695  
 820.0      2271.2229004    1153.4973145    2253.9140625  
 840.0      2279.9697266    1161.3437500    2256.2387695  
 860.0      2288.6052246    1169.1312256    2258.5268555  
 880.0      2297.1342773    1176.8619385    2260.7795410  
 900.0      2305.5607910    1184.5384521    2262.9987793  
 920.0      2313.8884277    1192.1618652    2265.1850586  
 940.0      2322.1196289    1199.7336426    2267.3398438  
 960.0      2330.2597656    1207.2567139    2269.4645996  
 980.0      2338.3115234    1214.7319336    2271.5598145  
1000.0      2346.2763672    1222.1605225    2273.6269531  
1020.0      2353.5278320    1231.0124512    2275.6665039  
1040.0      2360.6984863    1239.8208008    2277.6794434  
1060.0      2367.7915039    1248.5870361    2279.6669922  
1080.0      2374.8090820    1257.3120117    2281.6293945  
1100.0      2381.7543945    1265.9975586    2283.5681152  
1120.0      2388.6286621    1274.6444092    2285.4833984  
1140.0      2395.4331055    1283.2529297    2287.3759766  
1160.0      2402.1723633    1291.8256836    2289.2465820  
1180.0      2408.8461914    1300.3626709    2291.0957031  
1200.0      2415.4570312    1308.8646240    2292.9243164  
1220.0      2422.0061035    1317.3328857    2294.7321777  
1240.0      2428.4963379    1325.7683105    2296.5207520  
1260.0      2434.9277344    1334.1712646    2298.2900391  
1280.0      2441.3034668    1342.5432129    2300.0532227  
1300.0      2447.6240234    1350.8846436    2302.3071289  
1320.0      2453.8906250    1359.1960449    2304.5378418  
1340.0      2460.1052246    1367.4783936    2306.7460938  
1360.0      2466.2687988    1375.7321777    2308.9326172  
1380.0      2472.3830566    1383.9580078    2311.0976562  
1400.0      2478.4477539    1392.1567383    2313.2419434  
1420.0      2484.4660645    1400.3288574    2315.3657227  
1440.0      2490.4375000    1408.4748535    2317.4699707  
1460.0      2496.3640137    1420.6087646    2319.5546875  
1480.0      2502.2463379    1434.4227295    2321.6206055  
1500.0      2508.0854492    1448.1679688    2323.6677246  
1520.0      2517.1674805    1460.1984863    2325.6967773  
1540.0      2526.2077637    1472.1638184    2327.7082520  
1560.0      2535.2075195    1484.0649414    2329.7023926  
1580.0      2544.1682129    1495.9034424    2331.6796875  
1600.0      2553.0898438    1507.6796875    2333.6401367  
1620.0      2561.9733887    1519.3950195    2335.5842285  
1640.0      2570.8203125    1531.0518799    2337.5126953  
1660.0      2582.5327148    1542.6499023    2339.4252930  
1680.0      2598.8999023    1554.1903076    2341.3225098  
1700.0      2615.1726074    1565.6756592    2343.2050781  
1720.0      2631.3515625    1577.1052246    2345.0727539  
1740.0      2647.4404297    1588.4815674    2346.9262695  
1760.0      2663.4377441    1599.8031006    2348.7651367  
1780.0      2679.3476562    1611.0732422    2350.5903320  
1800.0      2695.1718750    1622.2922363    2352.4018555  
1820.0      2710.9125977    1633.4615479    2354.2004395  
1840.0      2726.5690918    1644.5806885    2355.9855957  
1860.0      2742.1425781    1655.6500244    2357.7575684  
1880.0      2757.6369629    1666.6719971    2359.5170898  
1900.0      2773.0534668    1677.6477051    2361.2644043  
1920.0      2788.3916016    1688.5764160    2362.9992676  
1940.0      2803.6540527    1699.4594727    2364.7221680  
1960.0      2818.8415527    1710.2978516    2366.4333496  
1980.0      2833.9555664    1721.0916748    2368.1328125  
2000.0      2848.9980469    1731.8427734    2369.8210449  
2020.0      2867.8505859    1743.7235107    2371.4980469  
2040.0      2886.6328125    1755.5617676    2373.1640625  
2060.0      2905.3464355    1767.3582764    2374.8188477  
2080.0      2923.9924316    1779.1142578    2376.4633789  
2100.0      2942.5722656    1790.8300781    2378.0971680  
2120.0      2961.0861816    1802.5059814    2379.7207031  
2140.0      2979.5356445    1814.1428223    2381.3339844  
2160.0      2997.9216309    1825.7409668    2382.9372559  
2180.0      3016.2458496    1837.3016357    2384.5307617  
2200.0      3034.5080566    1848.8244629    2386.1145020  
2220.0      3052.7094727    1860.3106689    2387.6887207  
2240.0      3070.8513184    1871.7601318    2389.2534180  
2260.0      3088.9343262    1883.1738281    2390.8088379  
2280.0      3106.9594727    1894.5524902    2392.3552246  
2300.0      3124.9272461    1905.8958740    2393.8925781  
2320.0      3203.5473633    1960.3833008    2405.0068359  
2340.0      3289.6606445    2020.5244141    2417.3041992  
2360.0      3369.0327148    2076.1372070    2428.5371094  
2380.0      3442.9279785    2128.0532227    2438.9052734  
2400.0      3512.2770996    2176.8876953    2448.5556641  
2420.0      3577.7907715    2223.1123047    2457.6005859  
2440.0      3640.0146484    2267.0898438    2466.1257324  
2460.0      3699.3864746    2309.1145020    2474.2006836  
2480.0      3756.2595215    2349.4223633    2481.8811035  
2500.0      3810.9235840    2388.2089844    2489.2126465  
2520.0      3854.7302246    2418.0244141    2496.2333984  
2540.0      3896.7685547    2443.4675293    2502.9750977  
2560.0      3937.2116699    2464.0283203    2509.4645996  
2580.0      3976.2062988    2483.7531738    2515.7255859  
2600.0      4013.8779297    2502.7141113    2521.7775879  
2620.0      4050.3381348    2520.9755859    2527.6381836  
2640.0      4085.6821289    2538.5925293    2533.3227539  
2660.0      4109.3681641    2549.4790039    2537.1665039  
2680.0      4119.3500977    2552.4531250    2538.8461914  
2700.0      4129.2783203    2555.3964844    2540.5175781  
2720.0      4139.1542969    2558.3098145    2542.1806641  
2740.0      4148.9785156    2561.1926270    2543.8354492  
2760.0      4158.7514648    2564.0466309    2545.4824219  
2780.0      4168.4765625    2566.8723145    2547.1215820  
2800.0      4178.1523438    2569.6699219    2548.7531738  
2820.0      4187.7773438    2572.4382324    2550.3764648  
2840.0      4197.3540039    2575.1784668    2551.9924316  
2860.0      4206.8823242    2577.8908691    2553.6005859  
2880.0      4216.3642578    2580.5761719    2555.2014160  
2900.0      4225.7993164    2583.2348633    2556.7949219  
2920.0      4235.1870117    2585.8662109    2558.3808594  
2940.0      4244.5292969    2588.4709473    2559.9597168  
2960.0      4253.8266602    2591.0500488    2561.5314941  
2980.0      4263.0800781    2593.6037598    2563.0961914  
3000.0      4272.2900391    2596.1323242    2564.6542969  
3020.0      4279.7436523    2596.3820801    2566.2048340  
3040.0      4287.1518555    2596.6057129    2567.7482910  
3060.0      4294.5200195    2596.8063965    2569.2856445  
3080.0      4301.8461914    2596.9824219    2570.8159180  
3100.0      4309.1318359    2597.1352539    2572.3403320  
3120.0      4316.3745117    2597.2629395    2573.8574219  
3140.0      4323.5761719    2597.3676758    2575.3684082  
3160.0      4330.7373047    2597.4482422    2576.8730469  
3180.0      4337.8583984    2597.5063477    2578.3710938  
3200.0      4344.9399414    2597.5410156    2579.8630371  
3220.0      4351.9819336    2597.5532227    2581.3486328  
3240.0      4358.9853516    2597.5429688    2582.8281250  
3260.0      4365.9497070    2597.5104980    2584.3017578  
3280.0      4372.8769531    2597.4560547    2585.7690430  
3300.0      4379.7656250    2597.3801270    2587.2307129  
3320.0      4386.6181641    2597.2827148    2588.6865234  
3340.0      4393.4316406    2597.1628418    2590.1359863  
3360.0      4400.2104492    2597.0229492    2591.5800781  
3380.0      4406.9521484    2596.8618164    2593.0185547  
3400.0      4413.6586914    2596.6799316    2594.4511719  
3420.0      4420.3291016    2596.4780273    2595.8781738  
3440.0      4426.9667969    2596.2565918    2597.2998047  
3460.0      4433.5664062    2596.0131836    2598.7158203  
3480.0      4440.1313477    2595.7497559    2600.1259766  
3500.0      4446.6630859    2595.4675293    2601.5312500  
3520.0      4462.8295898    2608.7163086    2602.9311523  
3540.0      4478.9609375    2621.9443359    2604.3254395  
3560.0      4495.0600586    2635.1545410    2605.7148438  
3580.0      4511.1269531    2648.3457031    2607.0991211  
3600.0      4527.1596680    2661.5170898    2608.4780273  
3620.0      4543.1611328    2674.6704102    2609.8518066  
3640.0      4559.1303711    2687.8051758    2611.2204590  
3660.0      4361.5034180    2393.8374023    2578.8625488  
3680.0      4369.5004883    2401.7871094    2578.9724121  
3700.0      4377.4970703    2409.7368164    2579.0825195  
3720.0      4385.4941406    2417.6865234    2579.1923828  
3740.0      4393.4907227    2425.6359863    2579.3022461  
3760.0      4401.4877930    2433.5856934    2579.4121094  
3780.0      4409.4843750    2441.5354004    2579.5222168  
3800.0      4417.4809570    2449.4848633    2579.6320801  
3820.0      4425.4780273    2457.4348145    2579.7421875  
3840.0      4433.4746094    2465.3842773    2579.8520508  
3860.0      4441.4716797    2473.3339844    2579.9619141  
3880.0      4449.4682617    2481.2836914    2580.0717773  
3900.0      4457.4653320    2489.2333984    2580.1818848  
3920.0      4465.4619141    2497.1831055    2580.2917480  
3940.0      4473.4589844    2505.1328125    2580.4018555  
3960.0      4481.4550781    2513.0825195    2580.5117188  
3980.0      4489.4521484    2521.0319824    2580.6215820  
4000.0      4497.4487305    2528.9816895    2580.7314453  
4020.0      4505.4418945    2530.3840332    2580.8413086  
4040.0      4513.4355469    2531.7861328    2580.9514160  
4060.0      4521.4291992    2533.1887207    2581.0612793  
4080.0      4529.4223633    2534.5910645    2581.1713867  
4100.0      4537.4160156    2535.9931641    2581.2812500  
4120.0      4545.4091797    2537.3955078    2581.3911133  
4140.0      4553.4028320    2538.7978516    2581.5009766  
4160.0      4561.3964844    2540.2001953    2581.6110840  
4180.0      4569.3896484    2541.6025391    2581.7209473  
4200.0      4577.3833008    2543.0048828    2581.8310547  
4220.0      4585.3769531    2544.4069824    2581.9409180  
4240.0      4593.3701172    2545.8093262    2582.0507812  
4260.0      4601.3637695    2547.2119141    2582.1606445  
4280.0      4609.3569336    2548.6140137    2582.2707520  
4300.0      4617.3500977    2550.0163574    2582.3806152  
4320.0      4625.3442383    2551.4184570    2582.4907227  
4340.0      4633.3369141    2552.8208008    2582.6005859  
4360.0      4641.3305664    2554.2233887    2582.7104492  
