# CI_LGB -118.14916886 33.97540661
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0       404.7470093     160.4799957    1928.9095459  
  20.0      1063.9224854     350.8499756    2032.9934082  
  40.0      1299.9000244     416.6700134    2070.2541504  
  60.0      1310.9124756     482.2000122    2071.9931641  
  80.0      1296.7915039     526.3900146    2069.7634277  
 100.0      1281.9227295     559.8800049    2067.4155273  
 120.0      1273.2905273     584.2700195    2066.0524902  
 140.0      1275.9636230     602.5700073    2066.4746094  
 160.0      1293.2984619     534.8154907    2069.2119141  
 180.0      1327.0336914     552.7442627    2074.5385742  
 200.0      1377.3813477     579.7782593    2082.4885254  
 220.0      1421.7469482     603.8684692    2089.4938965  
 240.0      1463.5032959     626.7658691    2096.0871582  
 260.0      1503.0039062     648.6223755    2102.3242188  
 280.0      1540.5312500     669.5603027    2108.2500000  
 300.0      1576.3135986     681.7999878    2113.8999023  
 320.0      1610.5416260     709.0612793    2119.3044434  
 340.0      1643.3734131     727.7786865    2124.4887695  
 360.0      1674.9432373     745.8901978    2129.4736328  
 380.0      1705.3658447     763.4475708    2134.2773438  
 400.0      1734.7399902     780.4953003    2138.9155273  
 420.0      1763.1519775     797.0724487    2143.4016113  
 440.0      1790.6766357     813.2136841    2147.7478027  
 460.0      1817.3795166     828.9485474    2151.9643555  
 480.0      1843.3210449     844.3051758    2156.0603027  
 500.0      1868.5517578     859.3071899    2160.0444336  
 520.0      1893.1187744     873.9760742    2163.9233398  
 540.0      1917.0642090     888.3319702    2167.7043457  
 560.0      1940.4255371     902.3922729    2171.3930664  
 580.0      1963.2384033     916.1741943    2174.9953613  
 600.0      1985.5333252     929.6915283    2178.5156250  
 620.0      2007.3370361     942.9573975    2181.9584961  
 640.0      2028.6782227     955.9857178    2185.3283691  
 660.0      2049.5793457     968.7869263    2188.6286621  
 680.0      2070.0625000     981.3713989    2191.8627930  
 700.0      2090.1489258     993.7500610    2195.0344238  
 720.0      2395.2729492    1212.5593262    2221.6938477  
 740.0      2406.3056641    1220.8115234    2224.0422363  
 760.0      2417.2111816    1228.9987793    2226.3488770  
 780.0      2427.9953613    1237.1243896    2228.6152344  
 800.0      2438.6628418    1245.1903076    2230.8435059  
 820.0      2449.2185059    1253.1984863    2233.0344238  
 840.0      2459.6672363    1261.1518555    2235.1906738  
 860.0      2470.0129395    1269.0520020    2237.3125000  
 880.0      2480.2600098    1276.9011230    2239.4016113  
 900.0      2490.4116211    1284.7006836    2241.4599609  
