# CI_LTP -118.17561190 33.88115800
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0       382.5962524     160.1532898    1925.4119873  
  20.0       981.6474609     358.9124756    2020.0021973  
  40.0      1299.9000244     416.6700134    2070.2541504  
  60.0      1310.4476318     482.2000122    2071.9196777  
  80.0      1294.0197754     526.3900146    2069.3256836  
 100.0      1274.6472168     559.8800049    2066.2668457  
 120.0      1259.2122803     584.2700195    2063.8295898  
 140.0      1252.8521729     602.5700073    2062.8254395  
 160.0      1259.1379395     516.8150635    2063.8178711  
 180.0      1280.1523438     527.8696899    2067.1359863  
 200.0      1316.5568848     547.1602783    2072.8842773  
 220.0      1358.9337158     569.8349609    2079.5756836  
 240.0      1398.8208008     591.3886719    2085.8737793  
 260.0      1436.5543213     611.9635620    2091.8320312  
 280.0      1472.4035645     631.6740112    2097.4924316  
 300.0      1506.5865479     650.6141357    2102.8901367  
 320.0      1539.2854004     668.8624268    2108.0532227  
 340.0      1570.6511230     686.4848633    2113.0058594  
 360.0      1600.8115234     703.5375366    2117.7680664  
 380.0      1629.8764648     720.0692749    2122.3574219  
 400.0      1657.9403076     736.1218872    2126.7888184  
 420.0      1685.0850830     751.7318726    2131.0749512  
 440.0      1711.3820801     766.9315186    2135.2272949  
 460.0      1736.8947754     781.7493286    2139.2556152  
 480.0      1761.6801758     796.2118530    2143.1694336  
 500.0      1785.7857666     810.3396606    2146.9755859  
 520.0      1809.2583008     824.1552734    2150.6818848  
 540.0      1832.1367188     837.6760254    2154.2944336  
 560.0      1854.4578857     850.9191284    2157.8188477  
 580.0      1876.2547607     863.9002686    2161.2607422  
 600.0      1897.5556641     876.6318970    2164.6240234  
 620.0      1918.3890381     889.1279907    2167.9135742  
 640.0      1938.7790527     901.3997192    2171.1333008  
 660.0      1958.7504883     913.4587402    2174.2866211  
 680.0      1978.3215332     925.3137817    2177.3769531  
 700.0      1997.5136719     936.9751587    2180.4074707  
 720.0      2016.3430176     948.4501343    2183.3806152  
 740.0      2034.8267822     959.7470703    2186.2990723  
 760.0      2052.9821777     970.8749390    2189.1660156  
 780.0      2070.8212891     981.8384399    2191.9826660  
 800.0      2088.3581543     992.6450195    2194.7517090  
 820.0      2172.7753906    1103.1788330    2221.1779785  
 840.0      2182.9611816    1109.5871582    2223.2377930  
 860.0      2193.0493164    1115.9460449    2225.2653809  
 880.0      2203.0424805    1122.2563477    2227.2617188  
 900.0      2212.9450684    1128.5203857    2229.2282715  
 920.0      2222.7592773    1134.7395020    2231.1657715  
 940.0      2232.4887695    1140.9145508    2233.0751953  
 960.0      2242.1379395    1147.0485840    2234.9582520  
 980.0      2251.7082520    1153.1418457    2236.8149414  
1000.0      2261.2016602    1159.1951904    2238.6467285  
1020.0      2271.1369629    1166.0332031    2240.4541016  
1040.0      2281.0012207    1172.8341064    2242.2380371  
1060.0      2290.7971191    1179.5992432    2243.9992676  
1080.0      2300.5258789    1186.3293457    2245.7385254  
1100.0      2310.1901855    1193.0258789    2247.4565430  
1120.0      2319.7915039    1199.6893311    2249.1538086  
1140.0      2329.3315430    1206.3206787    2250.8308105  
1160.0      2338.8129883    1212.9211426    2252.4885254  
1180.0      2348.2373047    1219.4913330    2254.1271973  
1200.0      2357.6052246    1226.0319824    2255.7478027  
1220.0      2366.9191895    1232.5438232    2257.3503418  
1240.0      2376.1804199    1239.0278320    2258.9353027  
1260.0      2385.3896484    1245.4838867    2260.5031738  
1280.0      2394.5493164    1251.9136963    2262.0546875  
1300.0      2403.6604004    1258.3178711    2263.5905762  
1320.0      2412.7238770    1264.6962891    2265.1101074  
1340.0      2421.7407227    1271.0498047    2266.6147461  
1360.0      2430.7128906    1277.3795166    2268.1044922  
1380.0      2439.6408691    1283.6853027    2269.5795898  
1400.0      2448.5253906    1289.9680176    2271.0407715  
1420.0      2457.3686523    1296.2280273    2272.4877930  
1440.0      2466.1708984    1302.4660645    2273.9216309  
1460.0      2474.9323730    1308.6820068    2275.3417969  
1480.0      2483.6547852    1314.8769531    2276.7492676  
1500.0      2492.3395996    1321.0513916    2278.1442871  
1520.0      2502.5820312    1328.3305664    2279.5268555  
1540.0      2512.7875977    1335.5894775    2280.8974609  
1560.0      2522.9580078    1342.8292236    2282.2561035  
1580.0      2533.0927734    1350.0496826    2283.6030273  
1600.0      2543.1933594    1357.2513428    2284.9387207  
1620.0      2553.2604980    1364.4345703    2286.2636719  
1640.0      2563.2954102    1371.6003418    2287.5776367  
1660.0      2573.2963867    1378.7476807    2288.8808594  
1680.0      2583.2663574    1385.8776855    2290.1733398  
1700.0      2593.2062988    1392.9909668    2291.4560547  
1720.0      2603.1152344    1400.0874023    2292.7287598  
1740.0      2612.9938965    1407.1672363    2293.9912109  
1760.0      2622.8442383    1414.2313232    2295.2443848  
1780.0      2632.6652832    1421.2792969    2296.4882812  
1800.0      2642.4584961    1428.3116455    2297.7224121  
1820.0      2652.2241211    1435.3288574    2298.9477539  
1840.0      2661.9626465    1442.3309326    2300.2136230  
1860.0      2671.6743164    1449.3179932    2301.7841797  
1880.0      2681.3593750    1456.2904053    2303.3435059  
1900.0      2691.0195312    1463.2490234    2304.8920898  
1920.0      2700.6542969    1470.1932373    2306.4296875  
1940.0      2710.2639160    1477.1235352    2307.9565430  
1960.0      2719.8496094    1484.0404053    2309.4731445  
1980.0      2729.4111328    1490.9438477    2310.9794922  
2000.0      2738.9492188    1497.8339844    2312.4755859  
2020.0      2750.1210938    1506.1750488    2313.9619141  
2040.0      2761.2707520    1514.5034180    2315.4384766  
2060.0      2772.3974609    1522.8187256    2316.9050293  
2080.0      2783.5014648    1531.8377686    2318.3623047  
