# CI_NOT -118.55826080 34.22865478
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0       390.4784546     197.7174377    1926.6564941  
  20.0      1207.6027832     376.4342041    2055.6804199  
  40.0      1478.4575195     514.6522217    2098.4484863  
  60.0      1703.9326172     605.4157715    2134.0510254  
  80.0      1961.1032715     662.1651611    2174.6582031  
 100.0      1938.2641602     737.5800171    2171.0520020  
 120.0      1923.5693359     780.2500000    2168.7316895  
 140.0      1908.1060791     827.3029785    2166.2900391  
 160.0      1900.4871826     878.3876343    2165.0869141  
 180.0      1906.4145508     881.9403687    2166.0229492  
 200.0      1928.6553955     895.3016357    2169.5346680  
 220.0      1961.7535400     915.2756348    2174.7609863  
 240.0      1992.6467285     934.0145874    2179.6389160  
 260.0      2021.6618652     951.6976929    2184.2204590  
 280.0      2049.0566406     968.4663086    2188.5461426  
 300.0      2075.0378418     984.4342041    2192.6484375  
 320.0      2099.7734375     999.6947021    2196.5541992  
 340.0      2232.8544922    1150.6082764    2223.3386230  
 360.0      2233.1911621    1152.3110352    2226.0871582  
 380.0      2233.1994629    1153.8316650    2228.7272949  
 400.0      2232.9106445    1155.1867676    2231.2697754  
 420.0      2314.2954102    1207.0526123    2260.7438965  
 440.0      2305.8662109    1203.4619141    2260.6020508  
 460.0      2290.8300781    1195.7336426    2258.2814941  
 480.0      2270.8435059    1184.9291992    2254.3286133  
 500.0      2214.6870117    1151.8601074    2238.4484863  
 520.0      2253.4077148    1176.8354492    2250.4313965  
 540.0      2287.3474121    1199.0975342    2260.8376465  
 560.0      2317.9282227    1219.4423828    2270.1367188  
 580.0      2346.0163574    1238.3583984    2278.6135254  
 600.0      2376.4016113    1258.8846436    2287.8479004  
 620.0      2406.6020508    1279.4431152    2297.0214844  
 640.0      2435.6276855    1299.3789062    2307.5537109  
 660.0      2463.6730957    1320.0664062    2318.5615234  
 680.0      2490.8884277    1368.5982666    2329.2128906  
 700.0      2520.8288574    1416.1021729    2339.5590820  
 720.0      2587.0520020    1462.7214355    2349.6396484  
 740.0      2651.8017578    1508.5743408    2359.4875488  
 760.0      2715.2504883    1553.7591553    2369.1301270  
 780.0      2777.5427246    1598.3579102    2378.5900879  
 800.0      2838.7985840    1642.4389648    2387.8864746  
 820.0      2899.1228027    1686.0611572    2397.0356445  
 840.0      2958.6035156    1729.2747803    2406.0515137  
 860.0      3017.3181152    1772.1239014    2414.9467773  
 880.0      3075.3354492    1814.6467285    2423.7314453  
 900.0      3132.7141113    1856.8769531    2432.4155273  
 920.0      3189.5073242    1898.8446045    2441.0073242  
 940.0      3245.7612305    1940.5747070    2449.5136719  
 960.0      3301.5170898    1982.0917969    2457.9416504  
 980.0      3356.8134766    2023.4162598    2466.2968750  
1000.0      3411.6835938    2064.5676270    2474.5849609  
1020.0      3405.9916992    2062.1030273    2473.1784668  
1040.0      3399.3388672    2058.9355469    2471.6201172  
1060.0      3391.7551270    2055.0888672    2469.9150391  
1080.0      3383.2666016    2050.5842285    2468.0668945  
1100.0      3373.8940430    2045.4372559    2466.0793457  
1120.0      3363.6633301    2039.6695557    2463.9560547  
1140.0      3352.5981445    2033.2996826    2461.7011719  
1160.0      3340.7148438    2026.3420410    2459.3171387  
1180.0      3328.0314941    2018.8114014    2456.8066406  
1200.0      3314.5708008    2010.7261963    2454.1735840  
1220.0      3300.3520508    2002.1030273    2451.4206543  
1240.0      3285.3886719    1992.9534912    2448.5502930  
1260.0      3269.6965332    1983.2911377    2445.5646973  
1280.0      3253.2966309    1973.1337891    2442.4675293  
1300.0      3236.2009277    1962.4918213    2439.2602539  
1320.0      3218.4194336    1951.3759766    2435.9450684  
1340.0      3199.9711914    1939.8016357    2432.5244141  
1360.0      3180.8688965    1927.7802734    2429.0002441  
1380.0      3161.1250000    1915.3237305    2425.3750000  
1400.0      3140.7504883    1902.4427490    2421.6501465  
1420.0      3119.7580566    1889.1486816    2417.8276367  
1440.0      3098.1586914    1875.4523926    2413.9094238  
1460.0      3075.9638672    1861.3647461    2409.8972168  
1480.0      3053.1840820    1846.8959961    2405.7924805  
1500.0      3029.8291016    1832.0559082    2401.5971680  
1520.0      3007.3979492    1816.4465332    2397.3125000  
1540.0      2984.4072266    1800.4836426    2392.9399414  
1560.0      2960.8723145    1784.1801758    2388.4812012  
1580.0      2936.7995605    1767.5440674    2383.9375000  
1600.0      2912.1972656    1750.5841064    2379.3100586  
1620.0      2887.0737305    1733.3098145    2374.6005859  
1640.0      2861.4384766    1715.7308350    2369.8100586  
1660.0      2839.0419922    1700.4692383    2365.5312500  
1680.0      2859.2670898    1714.9970703    2367.9821777  
1700.0      2879.4645996    1729.5205078    2370.4287109  
1720.0      2899.6398926    1744.0429688    2372.8718262  
1740.0      2919.7929688    1758.5640869    2375.3115234  
1760.0      2939.9238281    1773.0839844    2377.7475586  
1780.0      2960.0332031    1787.6031494    2380.1801758  
1800.0      2980.1215820    1802.1218262    2382.6096191  
1820.0      3000.1911621    1816.6411133    2385.0361328  
1840.0      3020.2419434    1831.1607666    2387.4594727  
1860.0      3040.2724609    1845.6799316    2389.8796387  
1880.0      3060.2854004    1860.2005615    2392.2971191  
1900.0      3080.2812500    1874.7227783    2394.7119141  
1920.0      3100.2592773    1889.2456055    2397.1237793  
1940.0      3120.2233887    1903.7722168    2399.5336914  
1960.0      3140.1723633    1918.3011475    2401.9409180  
1980.0      3160.1032715    1932.8305664    2404.3454590  
2000.0      3180.0205078    1947.3634033    2406.7478027  
2020.0      3201.5498047    1962.8166504    2409.1481934  
2040.0      3223.0629883    1978.2713623    2411.5458984  
2060.0      3244.5664062    1993.7320557    2413.9421387  
2080.0      3266.0546875    2009.1943359    2416.3359375  
2100.0      3287.5297852    2024.6602783    2418.7277832  
2120.0      3308.9980469    2040.1335449    2421.1184082  
2140.0      3330.4497070    2055.6079102    2423.5065918  
2160.0      3351.8920898    2071.0876465    2425.8930664  
2180.0      3373.3239746    2086.5722656    2428.2780762  
2200.0      3394.7451172    2102.0612793    2430.6611328  
2220.0      3416.1567383    2117.5561523    2433.0429688  
2240.0      3437.5595703    2133.0566406    2435.4233398  
2260.0      3458.9509277    2148.5605469    2437.8017578  
2280.0      3480.3347168    2164.0712891    2440.1791992  
2300.0      3501.7111816    2179.5888672    2442.5554199  
2320.0      3523.0747070    2195.1086426    2444.9294434  
2340.0      3544.4355469    2210.6384277    2447.3032227  
2360.0      3565.7883301    2226.1738281    2449.6757812  
2380.0      3587.1320801    2241.7143555    2452.0466309  
2400.0      3608.4675293    2257.2607422    2454.4165039  
2420.0      3629.7973633    2272.8144531    2456.7851562  
2440.0      3651.1210938    2288.3750000    2459.1530762  
2460.0      3672.4382324    2303.9421387    2461.5197754  
2480.0      3693.7495117    2319.5166016    2463.8857422  
2500.0      3715.0566406    2335.0991211    2466.2509766  
2520.0      3732.1582031    2346.4045410    2468.6147461  
2540.0      3749.2556152    2357.7177734    2470.9780273  
2560.0      3766.3474121    2369.0383301    2473.3403320  
2580.0      3783.4360352    2380.3671875    2475.7021484  
2600.0      3800.5185547    2391.7031250    2478.0632324  
2620.0      3817.5961914    2403.0461426    2480.4233398  
2640.0      3834.6716309    2414.3986816    2482.7832031  
2660.0      3851.7404785    2425.7565918    2485.1418457  
2680.0      3868.8098145    2437.1257324    2487.5004883  
2700.0      3885.8718262    2448.5004883    2489.8581543  
2720.0      3902.9316406    2459.8840332    2492.2155762  
2740.0      3919.9877930    2471.2761230    2494.5722656  
2760.0      3937.0419922    2482.6765137    2496.9287109  
2780.0      3954.0922852    2494.0849609    2499.2844238  
2800.0      3971.1386719    2503.7668457    2501.6396484  
2820.0      3988.1857910    2512.6955566    2503.9948730  
2840.0      4005.2265625    2521.6203613    2506.3491211  
2860.0      4022.2687988    2530.5466309    2508.7038574  
2880.0      4039.3093262    2539.4711914    2511.0581055  
2900.0      4056.3439941    2548.3928223    2513.4113770  
2920.0      4073.3815918    2557.3161621    2515.7651367  
2940.0      4090.4121094    2566.2353516    2518.1179199  
2960.0      4107.4443359    2575.1552734    2520.4707031  
2980.0      4124.4746094    2584.0742188    2522.8232422  
3000.0      4141.5048828    2592.9931641    2525.1760254  
3020.0      4156.5844727    2600.7294922    2527.5283203  
3040.0      4171.6630859    2608.4648438    2529.8803711  
3060.0      4186.7436523    2616.2014160    2532.2329102  
3080.0      4201.8193359    2623.9353027    2534.5844727  
3100.0      4216.8979492    2631.6706543    2536.9365234  
3120.0      4231.9726562    2639.4038086    2539.2878418  
3140.0      4247.0493164    2647.1381836    2541.6396484  
3160.0      4262.1250000    2654.8720703    2543.9912109  
3180.0      4277.1987305    2662.6049805    2546.3425293  
3200.0      4292.2763672    2670.3400879    2548.6945801  
3220.0      4307.3500977    2678.0727539    2551.0458984  
3240.0      4322.4306641    2685.8093262    2553.3984375  
3260.0      4337.5053711    2693.5424805    2555.7497559  
3280.0      4352.5825195    2701.2770996    2558.1015625  
3300.0      4367.6596680    2709.0117188    2560.4533691  
3320.0      4382.7377930    2716.7468262    2562.8054199  
3340.0      4397.8164062    2724.4824219    2565.1574707  
3360.0      4412.8959961    2732.2185059    2567.5097656  
3380.0      4427.9755859    2739.9545898    2569.8620605  
3400.0      4443.0566406    2747.6916504    2572.2145996  
3420.0      4458.1391602    2755.4291992    2574.5673828  
3440.0      4473.2226562    2763.1674805    2576.9201660  
3460.0      4488.3071289    2770.9064941    2579.2729492  
3480.0      4503.3935547    2778.6464844    2581.6264648  
3500.0      4518.4809570    2786.3869629    2583.9799805  
3520.0      4531.7099609    2792.1154785    2586.3334961  
3540.0      4544.9399414    2797.8442383    2588.6875000  
3560.0      4558.1723633    2803.5742188    2591.0415039  
3580.0      4571.4062500    2809.3054199    2593.3959961  
3600.0      4584.6411133    2815.0368652    2595.7507324  
3620.0      4597.8789062    2820.7705078    2598.1059570  
3640.0      4611.1176758    2826.5041504    2600.4609375  
3660.0      4624.3593750    2832.2397461    2602.8168945  
3680.0      4637.6020508    2837.9758301    2605.1726074  
3700.0      4650.8471680    2843.7133789    2607.5288086  
3720.0      4664.0952148    2849.4526367    2609.8854980  
3740.0      4677.3437500    2855.1923828    2612.2424316  
3760.0      4690.5952148    2860.9333496    2614.5996094  
3780.0      4703.8496094    2866.6762695    2616.9572754  
3800.0      4717.1064453    2872.4206543    2619.3154297  
3820.0      4730.3652344    2878.1660156    2621.6738281  
3840.0      4743.6269531    2883.9130859    2624.0327148  
3860.0      4756.8906250    2889.6616211    2626.3918457  
3880.0      4770.1577148    2895.4116211    2628.7514648  
3900.0      4783.4267578    2901.1630859    2631.1115723  
3920.0      4796.6982422    2906.9157715    2633.4719238  
3940.0      4809.9731445    2912.6704102    2635.8330078  
3960.0      4823.2509766    2918.4270020    2638.1943359  
3980.0      4836.5312500    2924.1848145    2640.5561523  
4000.0      4849.8139648    2929.9440918    2642.9182129  
4020.0      4865.3530273    2934.7810059    2645.2810059  
4040.0      4880.8955078    2939.6198730    2647.6442871  
4060.0      4896.4409180    2944.4604492    2650.0080566  
4080.0      4911.9892578    2949.3024902    2652.3720703  
4100.0      4927.5405273    2954.1464844    2654.7368164  
4120.0      4943.0952148    2958.9921875    2657.1020508  
4140.0      4958.6538086    2963.8405762    2659.4677734  
4160.0      4974.2148438    2968.6901855    2661.8339844  
4180.0      4989.7788086    2973.5415039    2664.2006836  
4200.0      5005.3471680    2978.3950195    2666.5678711  
4220.0      5020.9204102    2983.2514648    2668.9360352  
4240.0      5036.4941406    2988.1086426    2671.3041992  
4260.0      5052.0708008    2992.9672852    2673.6728516  
4280.0      5067.6528320    2997.8288574    2676.0422363  
4300.0      5083.2377930    3002.6923828    2678.4121094  
4320.0      5098.8291016    3007.5593262    2680.7832031  
4340.0      5114.4184570    3012.4252930    2683.1538086  
4360.0      5130.0151367    3017.2954102    2685.5256348  
4380.0      5145.6147461    3022.1672363    2687.8979492  
4400.0      5161.2187500    3027.0415039    2690.2709961  
4420.0      5176.8251953    3031.9174805    2692.6442871  
4440.0      5192.4365234    3036.7958984    2695.0183105  
4460.0      5208.0512695    3041.6762695    2697.3930664  
4480.0      5223.6699219    3046.5590820    2699.7680664  
4500.0      5239.2915039    3051.4438477    2702.1440430  
4520.0      5260.0751953    3059.6044922    2704.5205078  
4540.0      5280.8627930    3067.7673340    2706.8977051  
4560.0      5301.6552734    3075.9326172    2709.2753906  
4580.0      5322.4501953    3084.0996094    2711.6538086  
4600.0      5343.2485352    3092.2685547    2714.0327148  
4620.0      5364.0532227    3100.4411621    2716.4123535  
4640.0      5384.8608398    3108.6152344    2718.7924805  
4660.0      5405.6728516    3116.7919922    2721.1735840  
4680.0      5426.4882812    3124.9711914    2723.5551758  
4700.0      5447.3076172    3133.1523438    2725.9372559  
4720.0      5468.1328125    3141.3366699    2728.3203125  
4740.0      5488.9609375    3149.5227051    2730.7038574  
4760.0      5509.7934570    3157.7114258    2733.0881348  
4780.0      5530.6298828    3165.9023438    2735.4729004  
4800.0      5551.4707031    3174.0959473    2737.8583984  
4820.0      5572.3168945    3182.2924805    2740.2448730  
4840.0      5593.1669922    3190.4912109    2742.6318359  
4860.0      5614.0209961    3198.6923828    2745.0192871  
4880.0      5634.8789062    3206.8957520    2747.4077148  
4900.0      5655.7416992    3215.1020508    2749.7966309  
4920.0      5676.6083984    3223.3103027    2752.1862793  
4940.0      5697.4809570    3231.5219727    2754.5766602  
4960.0      5718.3574219    3239.7360840    2756.9677734  
4980.0      5739.2377930    3247.9523926    2759.3596191  
5000.0      5377.0166016    3102.7504883    2701.2597656  
