# CI_OLI -117.92379655 33.94538014
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0       696.4910278     213.0000000    1974.9759521  
  20.0      1534.6899414     414.3524780    2107.3276367  
  40.0      1661.5500488     548.0000000    2127.3588867  
  60.0      1630.2298584     588.0000000    2122.4133301  
  80.0      1616.9207764     588.0000000    2120.3117676  
 100.0      1595.4754639     603.4699707    2116.9255371  
 120.0      1576.8083496     627.8599854    2113.9780273  
 140.0      1569.1138916     646.1400146    2112.7631836  
 160.0      1578.1292725     646.1400146    2114.1865234  
 180.0      1607.2263184     667.4799805    2118.7810059  
 200.0      1657.4984131     694.9099731    2126.7189941  
 220.0      1710.6179199     694.9099731    2135.1064453  
 240.0      1760.6290283     725.3900146    2143.0034180  
 260.0      1807.9486084     725.3900146    2150.4750977  
 280.0      1852.9132080     725.3900146    2157.5749512  
 300.0      1895.7957764     725.3900146    2164.3461914  
 320.0      1936.8209229     900.2192993    2170.8239746  
 340.0      1976.1781006     924.0137329    2177.0385742  
 360.0      2014.0268555     947.0367432    2183.0148926  
 380.0      2050.5048828     969.3546143    2188.7746582  
 400.0      2085.7280273     991.0225830    2194.3364258  
 420.0      2295.3359375    1180.2148438    2222.9011230  
 440.0      2303.5009766    1185.9620361    2226.9086914  
 460.0      2311.3039551    1191.5241699    2230.7966309  
 480.0      2318.7709961    1196.9139404    2234.5739746  
 500.0      2325.9252930    1202.1423340    2238.2482910  
 520.0      2340.0883789    1211.9969482    2241.8259277  
 540.0      2353.9775391    1221.7086182    2245.3132324  
 560.0      2367.6088867    1231.2857666    2248.7158203  
 580.0      2380.9987793    1240.7358398    2252.0383301  
 600.0      2394.1599121    1250.0655518    2255.2858887  
 620.0      2407.1047363    1259.2807617    2258.4616699  
 640.0      2419.8457031    1268.3874512    2261.5705566  
 660.0      2432.3920898    1277.3906250    2264.6152344  
 680.0      2444.7548828    1286.2952881    2267.5991211  
 700.0      2456.9418945    1295.1058350    2270.5253906  
 720.0      2468.9616699    1303.8262939    2273.3962402  
 740.0      2480.8222656    1312.4605713    2276.2148438  
 760.0      2492.5305176    1321.0122070    2278.9831543  
 780.0      2504.0927734    1329.4846191    2281.7031250  
 800.0      2515.5156250    1337.8811035    2284.3771973  
 820.0      2526.8046875    1346.2042236    2287.0070801  
 840.0      2537.9653320    1354.4569092    2289.5947266  
 860.0      2549.0029297    1362.6418457    2292.1418457  
 880.0      2559.9213867    1370.7611084    2294.6496582  
 900.0      2570.7258301    1378.8175049    2297.1201172  
 920.0      2581.4208984    1386.8132324    2299.5541992  
 940.0      2592.0090332    1394.7493896    2302.5400391  
 960.0      2602.4948730    1402.6287842    2305.6164551  
 980.0      2612.8823242    1410.4531250    2308.6506348  
1000.0      2623.1740723    1418.2238770    2311.6437988  
1020.0      2634.1157227    1427.1741943    2314.5974121  
1040.0      2644.9677734    1436.0744629    2317.5126953  
1060.0      2655.7333984    1451.2526855    2320.3908691  
1080.0      2666.4155273    1467.9300537    2323.2331543  
1100.0      2677.0161133    1484.4787598    2326.0405273  
1120.0      2687.5380859    1500.9024658    2328.8142090  
1140.0      2697.9833984    1517.2048340    2331.5551758  
