# CI_Q0074 -118.37292573 33.88594684
# 
# Depth (m)   Vp (m/s)        Vs(m/s)      Density(kg/m3)
   0.0       696.4910278     213.0000000    1974.9759521  
  20.0      1534.6899414     385.3900146    2107.3276367  
  40.0      1661.5500488     548.0000000    2127.3588867  
  60.0      1630.1977539     588.0000000    2122.4082031  
  80.0      1615.7275391     588.0000000    2120.1232910  
 100.0      1591.3731689     603.4699707    2116.2778320  
 120.0      1568.0181885     627.8599854    2112.5900879  
 140.0      1553.9372559     646.1400146    2110.3666992  
 160.0      1555.0583496     646.1400146    2110.5437012  
 180.0      1575.0437012     667.4799805    2113.6994629  
 200.0      1615.3612061     694.9099731    2120.0654297  
 220.0      1667.4613037     694.9099731    2128.2922363  
 240.0      1716.4952393     725.3900146    2136.0346680  
 260.0      1762.8764648     725.3900146    2143.3581543  
 280.0      1806.9379883     725.3900146    2150.3154297  
 300.0      1848.9488525     725.3900146    2156.9489746  
 320.0      1889.1334229     871.5924683    2163.2941895  
 340.0      1927.6773682     894.7132568    2169.3803711  
 360.0      1964.7377930     917.0817261    2175.2321777  
 380.0      2000.4517822     938.7633667    2180.8713379  
 400.0      2034.9332275     959.8122559    2186.3159180  
 420.0      2068.2856445     980.2782593    2191.5822754  
 440.0      1964.4664307     897.3759766    2220.5695801  
 460.0      1964.5413818     894.8118896    2224.3747559  
 480.0      1964.2864990     892.0799561    2228.0708008  
 500.0      1963.7246094     889.1909790    2231.6660156  
 520.0      1974.4602051     898.2902222    2235.1667480  
 540.0      1984.9267578     907.2504883    2238.5783691  
 560.0      1995.1417236     916.0803223    2241.9072266  
 580.0      2005.1188965     924.7861328    2245.1574707  
 600.0      2014.8720703     933.3748779    2248.3339844  
 620.0      2024.4133301     941.8526611    2251.4406738  
 640.0      2033.7543945     950.2246094    2254.4812012  
 660.0      2042.9055176     958.4964600    2257.4592285  
 680.0      2051.8754883     966.6719971    2260.3776855  
 700.0      2060.6738281     974.7561035    2263.2392578  
 720.0      2069.3088379     982.7529297    2266.0471191  
 740.0      2077.7873535     990.6658936    2268.8032227  
 760.0      2086.1164551     998.4985352    2271.5100098  
 780.0      2094.3032227    1006.2542725    2274.1699219  
 800.0      2102.3530273    1013.9364014    2276.7849121  
 820.0      2110.2714844    1021.5469971    2279.3562012  
 840.0      2118.0649414    1029.0893555    2281.8864746  
 860.0      2125.7370605    1036.5657959    2284.3769531  
 880.0      2133.2927246    1043.9786377    2286.8286133  
 900.0      2140.7368164    1051.3302002    2289.2438965  
 920.0      2148.0737305    1058.6226807    2291.6235352  
 940.0      2155.3063965    1065.8577881    2293.9689941  
 960.0      2162.4387207    1073.0375977    2296.2812500  
 980.0      2169.4743652    1080.1638184    2298.5617676  
1000.0      2176.4169922    1087.2381592    2301.0551758  
1020.0      2183.4331055    1095.4313965    2303.9426270  
1040.0      2190.3615723    1103.5755615    2306.7924805  
1060.0      2197.2058105    1111.6726074    2309.6059570  
1080.0      2203.9680176    1119.7238770    2312.3845215  
1100.0      2210.6508789    1127.7302246    2315.1286621  
1120.0      2217.2565918    1135.6934814    2317.8400879  
1140.0      2223.7875977    1150.2966309    2320.5192871  
1160.0      2230.2456055    1165.5118408    2323.1672363  
1180.0      2236.6328125    1180.6153564    2325.7849121  
1200.0      2242.9521484    1195.6102295    2328.3732910  
1220.0      2249.2045898    1210.4991455    2330.9331055  
1240.0      2255.3920898    1225.2845459    2333.4650879  
1260.0      2261.5166016    1239.9687500    2335.9697266  
1280.0      2267.5791016    1254.5552979    2338.4482422  
1300.0      2282.3908691    1269.0457764    2340.9011230  
1320.0      2298.0507812    1283.4428711    2343.3291016  
1340.0      2313.5561523    1297.7481689    2345.7324219  
1360.0      2328.9108887    1311.9643555    2348.1120605  
1380.0      2344.1186523    1326.0927734    2350.4682617  
1400.0      2373.2573242    1349.8991699    2355.0244141  
1420.0      2408.6264648    1378.0949707    2360.5644531  
1440.0      2442.8630371    1405.5759277    2365.9255371  
1460.0      2476.0607910    1432.4000244    2371.1225586  
1480.0      2508.3066406    1458.6213379    2376.1691895  
1500.0      2539.6726074    1484.2841797    2381.0769043  
1520.0      2572.4331055    1508.6967773    2385.8559570  
1540.0      2604.4360352    1532.6270752    2390.5153809  
1560.0      2635.7321777    1556.1066895    2395.0632324  
1580.0      2666.3669434    1579.1645508    2399.5068359  
1600.0      2696.3813477    1601.8248291    2403.8520508  
1620.0      2725.8115234    1624.1113281    2408.1054688  
1640.0      2754.6948242    1646.0471191    2412.2722168  
1660.0      2783.0568848    1667.6480713    2416.3569336  
1680.0      2810.9272461    1688.9327393    2420.3637695  
1700.0      2838.3320312    1709.9176025    2424.2971191  
1720.0      2865.2917480    1730.6152344    2428.1601562  
1740.0      2891.8334961    1751.0434570    2431.9575195  
1760.0      2917.9716797    1771.2106934    2435.6909180  
1780.0      2943.7263184    1791.1292725    2439.3637695  
1800.0      2969.1159668    1810.8120117    2442.9790039  
1820.0      2994.1506348    1830.2634277    2446.5380859  
1840.0      3018.8535156    1849.4998779    2450.0449219  
1860.0      3043.2326660    1868.5256348    2453.5004883  
1880.0      3067.3012695    1887.3491211    2456.9072266  
1900.0      3091.0727539    1905.9788818    2460.2668457  
1920.0      3114.5573730    1924.4215088    2463.5812988  
1940.0      3137.7653809    1942.6833496    2466.8520508  
1960.0      3160.7075195    1960.7709961    2470.0805664  
1980.0      3183.3923340    1978.6903076    2473.2687988  
2000.0      3205.8291016    1996.4468994    2476.4177246  
2020.0      3235.4506836    2017.4738770    2479.5288086  
2040.0      3264.8398438    2038.3483887    2482.6032715  
2060.0      3294.0039062    2059.0742188    2485.6420898  
2080.0      3322.9506836    2079.6572266    2488.6464844  
2100.0      3351.6865234    2100.1015625    2491.6176758  
2120.0      3380.2167969    2120.4101562    2494.5566406  
2140.0      3408.5488281    2140.5874023    2497.4641113  
2160.0      3436.6879883    2160.2761230    2500.3410645  
2180.0      3464.6394043    2177.1875000    2503.1884766  
2200.0      3492.4082031    2193.9931641    2506.0068359  
2220.0      3519.9997559    2210.6967773    2508.7973633  
2240.0      3547.4184570    2227.3002930    2511.5607910  
2260.0      3574.6689453    2243.8071289    2514.2973633  
2280.0      3601.7558594    2260.2189941    2517.0083008  
2300.0      3628.6828613    2276.5388184    2519.6938477  
2320.0      3745.0610352    2344.5031738    2536.5039062  
2340.0      4139.2441406    2406.8222656    2597.1791992  
2360.0      4151.1743164    2414.8967285    2597.4968262  
2380.0      4163.1040039    2422.9704590    2597.8142090  
2400.0      4175.0346680    2431.0446777    2598.1318359  
2420.0      4186.9643555    2439.1184082    2598.4494629  
2440.0      4198.8950195    2447.1928711    2598.7670898  
2460.0      4210.8247070    2455.2666016    2599.0847168  
2480.0      4222.7548828    2463.3405762    2599.4023438  
2500.0      4234.6855469    2471.4145508    2599.7199707  
2520.0      4238.6162109    2472.4392090    2600.0375977  
2540.0      4242.5478516    2473.4638672    2600.3549805  
2560.0      4246.4785156    2474.4882812    2600.6728516  
2580.0      4250.4096680    2475.5129395    2600.9902344  
2600.0      4254.3413086    2476.5375977    2601.3078613  
2620.0      4258.2719727    2477.5620117    2601.6254883  
2640.0      4262.2031250    2478.5866699    2601.9431152  
2660.0      4266.1347656    2479.6113281    2602.2607422  
2680.0      4270.0659180    2480.6359863    2602.5783691  
2700.0      4273.9965820    2481.6606445    2602.8959961  
2720.0      4277.9282227    2482.6853027    2603.2133789  
2740.0      4281.8593750    2483.7097168    2603.5312500  
2760.0      4285.7905273    2484.7343750    2603.8486328  
2780.0      4289.7216797    2485.7587891    2604.1662598  
2800.0      4293.6523438    2486.7832031    2604.4838867  
2820.0      4297.5839844    2487.8081055    2604.8015137  
2840.0      4301.5146484    2488.8325195    2605.1191406  
2860.0      4305.4462891    2489.8574219    2605.4367676  
2880.0      4309.3774414    2490.8818359    2605.7543945  
2900.0      4313.3081055    2491.9067383    2606.0717773  
2920.0      4317.2397461    2492.9309082    2606.3896484  
2940.0      4321.1708984    2493.9555664    2606.7070312  
2960.0      4325.1015625    2494.9802246    2607.0246582  
2980.0      4329.0332031    2496.0048828    2607.3422852  
3000.0      4332.9638672    2497.0295410    2607.6599121  
3020.0      4338.8076172    2499.3630371    2607.9775391  
3040.0      4344.6508789    2501.6972656    2608.2951660  
3060.0      4350.4946289    2504.0307617    2608.6127930  
3080.0      4356.3378906    2506.3647461    2608.9301758  
3100.0      4362.1816406    2508.6984863    2609.2480469  
3120.0      4368.0253906    2511.0322266    2609.5656738  
3140.0      4373.8681641    2513.3662109    2609.8830566  
3160.0      4379.7119141    2515.6997070    2610.2006836  
3180.0      4385.5556641    2518.0339355    2610.5183105  
3200.0      4391.3989258    2520.3674316    2610.8359375  
3220.0      4397.2421875    2522.7016602    2611.1535645  
3240.0      4403.0859375    2525.0351562    2611.4711914  
3260.0      4408.9291992    2527.3691406    2611.7888184  
3280.0      4414.7724609    2529.7028809    2612.1064453  
3300.0      4420.6162109    2532.0366211    2612.4240723  
3320.0      4426.4594727    2534.3706055    2612.7416992  
3340.0      4432.3027344    2536.7043457    2613.0590820  
3360.0      4438.1464844    2539.0380859    2613.3767090  
3380.0      4443.9897461    2541.3720703    2613.6943359  
3400.0      4449.8330078    2543.7058105    2614.0119629  
3420.0      4455.6767578    2546.0395508    2614.3295898  
3440.0      4461.5200195    2548.3732910    2614.6472168  
3460.0      4467.3632812    2550.7070312    2614.9648438  
3480.0      4473.2070312    2553.0410156    2615.2824707  
3500.0      4479.0507812    2555.3747559    2615.6000977  
3520.0      4487.5449219    2559.0217285    2615.9174805  
3540.0      4496.0395508    2562.6684570    2616.2351074  
3560.0      4504.5341797    2566.3151855    2616.5527344  
3580.0      4513.0288086    2569.9619141    2616.8703613  
3600.0      4521.5229492    2573.6086426    2617.1879883  
3620.0      4530.0180664    2577.2553711    2617.5056152  
3640.0      4538.5122070    2580.9020996    2617.8232422  
3660.0      4547.0068359    2584.5488281    2618.1406250  
3680.0      4555.5014648    2588.1958008    2618.4584961  
3700.0      4563.9956055    2591.8422852    2618.7758789  
3720.0      4572.4902344    2595.4892578    2619.0935059  
3740.0      4580.9848633    2599.1357422    2619.4111328  
3760.0      4589.4790039    2602.7824707    2619.7287598  
3780.0      4597.9741211    2606.4294434    2620.0463867  
3800.0      4606.4682617    2610.0761719    2620.3640137  
3820.0      4614.9628906    2613.7229004    2620.6816406  
3840.0      4623.4575195    2617.3698730    2620.9992676  
3860.0      4631.9516602    2621.0166016    2621.3168945  
3880.0      4640.4467773    2624.6633301    2621.6345215  
3900.0      4648.9404297    2628.3098145    2621.9519043  
3920.0      4657.4350586    2631.9565430    2622.2695312  
3940.0      4665.9301758    2635.6035156    2622.5874023  
3960.0      4674.4238281    2639.2502441    2622.9047852  
3980.0      4682.9189453    2642.8969727    2623.2224121  
4000.0      4691.4135742    2646.5437012    2623.5400391  
4020.0      4701.1108398    2651.0649414    2623.8576660  
4040.0      4710.8085938    2655.5864258    2624.1752930  
4060.0      4720.5063477    2660.1071777    2624.4929199  
4080.0      4730.2036133    2664.6284180    2624.8105469  
4100.0      4739.9008789    2669.1496582    2625.1279297  
4120.0      4749.5986328    2673.6708984    2625.4458008  
4140.0      4759.2958984    2678.1921387    2625.7631836  
4160.0      4768.9941406    2682.7133789    2626.0808105  
4180.0      4778.6914062    2687.2346191    2626.3984375  
4200.0      4788.3891602    2691.7556152    2626.7160645  
4220.0      4798.0864258    2696.2770996    2627.0336914  
4240.0      4807.7836914    2700.7980957    2627.3513184  
4260.0      4817.4819336    2705.3193359    2627.6689453  
4280.0      4827.1791992    2709.8408203    2627.9863281  
4300.0      4836.8764648    2714.3618164    2628.3041992  
4320.0      4846.5742188    2718.8830566    2628.6215820  
4340.0      4856.2719727    2723.4042969    2628.9392090  
4360.0      4865.9692383    2727.9257812    2629.2568359  
4380.0      4875.6669922    2732.4467773    2629.5744629  
4400.0      4885.3642578    2736.9682617    2629.8920898  
4420.0      4895.0615234    2741.4895020    2630.2097168  
4440.0      4904.7597656    2746.0104980    2630.5273438  
4460.0      4914.4570312    2750.5317383    2630.8447266  
4480.0      4924.1542969    2755.0529785    2631.1623535  
4500.0      4933.8515625    2759.5742188    2631.4799805  
4520.0      4947.8671875    2769.1303711    2631.7976074  
4540.0      4961.8833008    2778.6865234    2632.1152344  
4560.0      4975.8984375    2788.2426758    2632.4328613  
4580.0      4989.9135742    2797.7990723    2632.7504883  
4600.0      5003.9287109    2807.3554688    2633.0681152  
4620.0      5017.9443359    2816.9113770    2633.3857422  
4640.0      5031.9599609    2826.4677734    2633.7031250  
4660.0      5045.9750977    2836.0241699    2634.0207520  
4680.0      5059.9907227    2845.5800781    2634.3383789  
4700.0      5074.0063477    2855.1362305    2634.6562500  
4720.0      5088.0209961    2864.6923828    2634.9736328  
4740.0      5102.0371094    2874.2485352    2635.2912598  
4760.0      5116.0522461    2883.8051758    2635.6088867  
4780.0      5130.0678711    2893.3610840    2635.9265137  
4800.0      5144.0830078    2902.9172363    2636.2441406  
4820.0      5158.0986328    2912.4736328    2636.5617676  
4840.0      5172.1147461    2922.0297852    2636.8793945  
4860.0      5186.1293945    2931.5859375    2637.1967773  
4880.0      5200.1450195    2941.1423340    2637.5146484  
4900.0      5214.1601562    2950.6984863    2637.8320312  
4920.0      5228.1757812    2960.2546387    2638.1496582  
4940.0      5242.1914062    2969.8110352    2638.4672852  
4960.0      5256.2065430    2979.3671875    2638.7849121  
4980.0      5270.2221680    2988.9233398    2639.1025391  
5000.0      5284.2373047    2998.4794922    2639.4201660  
